Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;AI/R;AWS AI Architect | Specialist (Remote);Brasil;01/09 14:00;https://www.linkedin.com/jobs/view/4451874599/;https://media.licdn.com/dms/image/v2/D4D0BAQE25m3eaP3M7w/company-logo_100_100/B4DZ2cjk2BHsAQ-/0/1776448065324/airevolutioncompany_logo?e=1790208000&v=beta&t=mIq2HKsi7FT-8VSGyXRZdA0Ezkls6Vz3wqajn1PPm7w;Architecture;https://www.linkedin.com/company/ai-r/about/;Inteligência Artificial;ai engineer OR engenheiro de ia OR ai data manager OR prompt engineering OR ai architect OR arquiteto de ia OR ai agents;ai/r;1;;https://www.linkedin.com/jobs/view/4451874599/;https://www.linkedin.com/jobs/view/4451874599/;Remote;Inteligência Artificial, Specialist, Cloud (AWS/GCP/Azure);02/09/2026;;;;;Brasil;América do Sul
2;Appnovation;Full-Stack AI Engineer;São Paulo (SP);01/09 15:00;https://www.linkedin.com/jobs/view/4462014747/;https://media.licdn.com/dms/image/v2/D560BAQGqhqkhD4yGQw/company-logo_100_100/company-logo_100_100/0/1721238927963/appnovation_logo?e=1790208000&v=beta&t=LAsqLuB0iMioRJyNw0kraAZI-tVGiOpwixm1YH4DAlI;Advanced > Information Technology;https://www.linkedin.com/company/appnovation/about/;Inteligência Artificial;ai engineer OR engenheiro de ia OR ai data manager OR prompt engineering OR ai architect OR arquiteto de ia OR ai agents;appnovation;1;;https://www.linkedin.com/jobs/view/4462014747/;https://www.linkedin.com/jobs/view/4462014747/;On-site;Inteligência Artificial, Full Stack, Engenharia Geral;02/09/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;Avanade;AI Architect Sênior | Microsoft AI & Solution Architecture (English Required);São Paulo (SP);01/09 21:00;https://www.linkedin.com/jobs/view/4435184838/;https://media.licdn.com/dms/image/v2/D4D0BAQH9oEH9vWAthw/company-logo_100_100/B4DZf0WkqfH8AY-/0/1752151247860/avanade_logo?e=1790208000&v=beta&t=ajRPQyJa40MlIsBzcbSULly2hf1-yJAGqlLpt0IjxwU;Architecture > Solutions Architect;https://www.linkedin.com/company/avanade/about/;Inteligência Artificial;ai engineer OR engenheiro de ia OR ai data manager OR prompt engineering OR ai architect OR arquiteto de ia OR ai agents;avanade;1;;https://www.linkedin.com/jobs/view/4435184838/;https://www.linkedin.com/jobs/view/4435184838/;On-site;Inteligência Artificial, Senior;02/09/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;BairesDev;AI Engineer - Remote Work | REF#295049;América Latina;02/09 05:00;https://www.linkedin.com/jobs/view/4462070931/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1790208000&v=beta&t=fra0ABqxIBcxtbNTi6Ri0kzvYwWHZ44oBBRH7IV9vW0;Advanced > Information Technology;https://www.linkedin.com/company/bairesdev/about/;-;ai engineer OR engenheiro de ia OR ai data manager OR prompt engineering OR ai architect OR arquiteto de ia OR ai agents;bairesdev;1;;https://www.linkedin.com/jobs/view/4462070931/;https://www.linkedin.com/jobs/view/4462070931/;Remote;Inteligência Artificial, Engenharia Geral;02/09/2026;;;;;;América Latina
5;BairesDev;Full-stack Python AI Engineer - Remote Work;América Latina;01/09 11:00;https://www.linkedin.com/jobs/view/4460292572/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1790208000&v=beta&t=fra0ABqxIBcxtbNTi6Ri0kzvYwWHZ44oBBRH7IV9vW0;Advanced > Information Technology;https://www.linkedin.com/company/bairesdev/about/;Inteligência Artificial;ai engineer OR engenheiro de ia OR ai data manager OR prompt engineering OR ai architect OR arquiteto de ia OR ai agents;bairesdev;1;;https://www.linkedin.com/jobs/view/4460292572/;https://www.linkedin.com/jobs/view/4460292572/;Remote;Inteligência Artificial, Full Stack, Engenharia Geral;02/09/2026;;;;;;América Latina
6;BairesDev;Senior AI Engineer - Remote Work | REF#302789;América Latina;01/09 20:00;https://www.linkedin.com/jobs/view/4462078355/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1790208000&v=beta&t=fra0ABqxIBcxtbNTi6Ri0kzvYwWHZ44oBBRH7IV9vW0;Advanced > Information Technology;https://www.linkedin.com/company/bairesdev/about/;Inteligência Artificial;ai engineer OR engenheiro de ia OR ai data manager OR prompt engineering OR ai architect OR arquiteto de ia OR ai agents;bairesdev;1;;https://www.linkedin.com/jobs/view/4462078355/;https://www.linkedin.com/jobs/view/4462078355/;Remote;Inteligência Artificial, Senior, Engenharia Geral;02/09/2026;;;;;;América Latina
7;BairesDev;Staff AI Engineer - Remote Work | REF#302921;América Latina;01/09 20:00;https://www.linkedin.com/jobs/view/4462084162/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1790208000&v=beta&t=fra0ABqxIBcxtbNTi6Ri0kzvYwWHZ44oBBRH7IV9vW0;Advanced > Information Technology;https://www.linkedin.com/company/bairesdev/about/;Inteligência Artificial;ai engineer OR engenheiro de ia OR ai data manager OR prompt engineering OR ai architect OR arquiteto de ia OR ai agents;bairesdev;1;;https://www.linkedin.com/jobs/view/4462084162/;https://www.linkedin.com/jobs/view/4462084162/;Remote;Inteligência Artificial, Engenharia Geral;02/09/2026;;;;;;América Latina
8;BairesDev;AI Engineer - Remote Work;Brasil;01/09 18:00;https://www.linkedin.com/jobs/view/4460660344/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1790208000&v=beta&t=fra0ABqxIBcxtbNTi6Ri0kzvYwWHZ44oBBRH7IV9vW0;Advanced > Information Technology;https://www.linkedin.com/company/bairesdev/about/;-;ai engineer OR engenheiro de ia OR ai data manager OR prompt engineering OR ai architect OR arquiteto de ia OR ai agents;bairesdev;1;;https://www.linkedin.com/jobs/view/4460660344/;https://www.linkedin.com/jobs/view/4460660344/;Remote;Inteligência Artificial, Engenharia Geral;02/09/2026;;;;;Brasil;América do Sul
9;BairesDev;AI Engineer - Remote Work | REF#302587;Brasil;01/09 20:00;https://www.linkedin.com/jobs/view/4462088082/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1790208000&v=beta&t=fra0ABqxIBcxtbNTi6Ri0kzvYwWHZ44oBBRH7IV9vW0;Advanced > Information Technology;https://www.linkedin.com/company/bairesdev/about/;-;ai engineer OR engenheiro de ia OR ai data manager OR prompt engineering OR ai architect OR arquiteto de ia OR ai agents;bairesdev;1;;https://www.linkedin.com/jobs/view/4462088082/;https://www.linkedin.com/jobs/view/4462088082/;Remote;Inteligência Artificial, Engenharia Geral;02/09/2026;;;;;Brasil;América do Sul
10;BairesDev;Agentic AI Engineer - Remote Work | REF#298244;Grande Rio de Janeiro (RJ);01/09 20:00;https://www.linkedin.com/jobs/view/4462070942/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1790208000&v=beta&t=fra0ABqxIBcxtbNTi6Ri0kzvYwWHZ44oBBRH7IV9vW0;Advanced > Information Technology;https://www.linkedin.com/company/bairesdev/about/;Inteligência Artificial;ai engineer OR engenheiro de ia OR ai data manager OR prompt engineering OR ai architect OR arquiteto de ia OR ai agents;bairesdev;1;;https://www.linkedin.com/jobs/view/4462070942/;https://www.linkedin.com/jobs/view/4462070942/;Remote;Inteligência Artificial, Engenharia Geral;02/09/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul
