Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;Amaris Consulting;Senior Data & Machine Learning Engineer;SP;03/06 09:00;https://www.linkedin.com/jobs/view/4422438666/;https://media.licdn.com/dms/image/v2/D4D0BAQHsB8-V6fxAMA/company-logo_100_100/company-logo_100_100/0/1729584227309/amaris_logo?e=1782345600&v=beta&t=Qut6DYdlSJN28RF6o-NP8ouotz3JIivUKeR4UGGS6IA;Data & Ai > Data Engineering;https://www.linkedin.com/company/amaris-consulting/about/;Consultoria e Assessoria;(artificial AND intelligence) OR (inteligencia AND artificial) OR (machine AND learning) OR (machine AND (learning OR mlops));amaris consulting;1.0;careers.mantu.com;https://www.linkedin.com/jobs/view/4422438666/;https://www.linkedin.com/jobs/view/4422438666/;On-site;Machine Learning, Senior, Dados/Analytics, Engenharia Geral;08/06/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
2;Andela;Senior Machine Learning Engineer;América Latina;04/06 09:00;https://www.linkedin.com/jobs/view/4420153243/;https://media.licdn.com/dms/image/v2/D4E0BAQF4stmbN8pBjg/company-logo_100_100/B4EZc7N7F4HgAQ-/0/1749045195669/andela_logo?e=1782345600&v=beta&t=orzZkWsVwuA1hy0zf3wUkWghEg8yvbDiJILYzhuBsXA;Advanced > Information Technology;https://www.linkedin.com/company/andela/about/;Inteligência Artificial;(artificial AND intelligence) OR (inteligencia AND artificial) OR (machine AND learning) OR (machine AND (learning OR mlops));andela;1.0;;https://www.linkedin.com/jobs/view/4420153243/;https://www.linkedin.com/jobs/view/4420153243/;Remote;Machine Learning, Senior, Engenharia Geral;08/06/2026;;;;;;América Latina
3;ArcelorMittal Brasil;Estagiário - Dados e Inteligencia Artificial;Contagem (MG);05/06 09:00;https://www.linkedin.com/jobs/view/4424446742/;https://media.licdn.com/dms/image/v2/D4D0BAQG6O7lghfl68w/company-logo_100_100/company-logo_100_100/0/1688414231286/arcelormittal_brasil_logo?e=1782345600&v=beta&t=ZD_2V9cSnpPc_7rKJE_ddUrY_3toyWcx91NSO4_f9PA;-;https://www.linkedin.com/company/arcelormittal-brasil/about/;Dados e Analytics;(artificial AND intelligence) OR (inteligencia AND artificial) OR (machine AND learning) OR (machine AND (learning OR mlops));arcelormittal brasil;1;;https://www.linkedin.com/jobs/view/4424446742/;https://www.linkedin.com/jobs/view/4424446742/;On-site;Intern, Dados/Analytics;08/06/2026;Contagem;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
4;Aubay Portugal;Senior Machine Learning Architect (Databricks) - Remote;Brasil;05/06 09:00;https://www.linkedin.com/jobs/view/4424183500/;https://media.licdn.com/dms/image/v2/D4D0BAQFSexdvK2mWhw/company-logo_100_100/company-logo_100_100/0/1736250958915/aubay_portugal_logo?e=1782345600&v=beta&t=7XbYMQutVM8RAVELsXAMrHDXVk3uEjoPtCzTzOhW17k;Architecture;https://www.linkedin.com/company/aubay-portugal/about/;Dados e Analytics;(artificial AND intelligence) OR (inteligencia AND artificial) OR (machine AND learning) OR (machine AND (learning OR mlops));aubay portugal;1.0;;https://www.linkedin.com/jobs/view/4424183500/;https://www.linkedin.com/jobs/view/4424183500/;Remote;Machine Learning, Senior;08/06/2026;;;;;Brasil;América do Sul
5;BairesDev;Artificial Intelligence + Python Engineer - Remote Work;América Latina;02/06 09:00;https://www.linkedin.com/jobs/view/4423215435/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1782345600&v=beta&t=lzdwMusIrU-UzFdwCZA1umW-K1YjD2p4X0uUiuIzfQw;Advanced > Information Technology;https://www.linkedin.com/company/bairesdev/about/;Hardware e Eletrônicos;(artificial AND intelligence) OR (inteligencia AND artificial) OR (machine AND learning) OR (machine AND (learning OR mlops));bairesdev;2.0;applicants.bairesdev.com;https://www.linkedin.com/jobs/view/4423215435/;https://www.linkedin.com/jobs/view/4423215435/;Remote;Inteligência Artificial, Engenharia Geral;08/06/2026;;;;;;América Latina
6;BairesDev;Machine Learning Engineer - Remote Work;América Latina;02/06 09:00;https://www.linkedin.com/jobs/view/4422886872/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1782345600&v=beta&t=lzdwMusIrU-UzFdwCZA1umW-K1YjD2p4X0uUiuIzfQw;Advanced > Information Technology;https://www.linkedin.com/company/bairesdev/about/;Inteligência Artificial;(artificial AND intelligence) OR (inteligencia AND artificial) OR (machine AND learning) OR (machine AND (learning OR mlops));bairesdev;2.0;applicants.bairesdev.com;https://www.linkedin.com/jobs/view/4422886872/;https://www.linkedin.com/jobs/view/4422886872/;Remote;Machine Learning, Engenharia Geral;08/06/2026;;;;;;América Latina
7;BreakmarkHR;Artificial Intelligence Engineer;América Latina;05/06 09:00;https://www.linkedin.com/jobs/view/4421113086/;https://media.licdn.com/dms/image/v2/D4E0BAQEcmDm70Kpt7w/company-logo_100_100/B4EZprNKnXHEAQ-/0/1762735205794/breakmarkhr_logo?e=1782345600&v=beta&t=8pBfMcfx3CB5rPYFdfES3Y39s4_aqmcQJsRFyYQ3imc;Advanced > Information Technology;https://www.linkedin.com/company/breakmarkhr/about/;Hardware e Eletrônicos;(artificial AND intelligence) OR (inteligencia AND artificial) OR (machine AND learning) OR (machine AND (learning OR mlops));breakmarkhr;1.0;;https://www.linkedin.com/jobs/view/4421113086/;https://www.linkedin.com/jobs/view/4421113086/;Remote;Inteligência Artificial, Engenharia Geral;08/06/2026;;;;;;América Latina
8;Bunge;Principal Machine Learning Engineer;São Paulo (SP);07/06 09:00;https://www.linkedin.com/jobs/view/4416000603/;https://media.licdn.com/dms/image/v2/D560BAQFJQ0GVco3UXw/company-logo_100_100/company-logo_100_100/0/1720012233520/bunge_logo?e=1782345600&v=beta&t=_WmE8D4Po1a35KANUiWTZdzbCQ-j9oatU9RvkryeX1g;Advanced > Information Technology;https://www.linkedin.com/company/bunge/about/;Inteligência Artificial;(artificial AND intelligence) OR (inteligencia AND artificial) OR (machine AND learning) OR (machine AND (learning OR mlops));bunge;3.0;jobs.bunge.com;https://www.linkedin.com/jobs/view/4416000603/;https://www.linkedin.com/jobs/view/4416000603/;On-site;Machine Learning, Engenharia Geral;08/06/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
9;CI&T;Senior Machine Learning Engineer, Brazil;Brasil;03/06 09:00;https://www.linkedin.com/jobs/view/4422463563/;https://media.licdn.com/dms/image/v2/D560BAQFOg3ALDaK1TA/company-logo_100_100/B56Z50JQRqHAAQ-/0/1780065044119/ciandt_logo?e=1782345600&v=beta&t=bY2AG-y8KULnHys-G3ardVae_c85nNjSv1WLFoFSDDo;Advanced > Information Technology;https://www.linkedin.com/company/ci-t/about/;Inteligência Artificial;(artificial AND intelligence) OR (inteligencia AND artificial) OR (machine AND learning) OR (machine AND (learning OR mlops));ci&t;4.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4422463563/;https://www.linkedin.com/jobs/view/4422463563/;Remote;Machine Learning, Senior, Engenharia Geral;08/06/2026;;;;;Brasil;América do Sul
10;Caylent;Machine Learning Architect - Not an Active Opening, Building Talent Pipeline;Brasil;07/06 09:00;https://www.linkedin.com/jobs/view/4242969427/;https://media.licdn.com/dms/image/v2/D560BAQE4WhSY33g_Ag/company-logo_100_100/company-logo_100_100/0/1734557363884/caylent_logo?e=1782345600&v=beta&t=UHdjdF-sR-FEwDYGE-N5qI1qMasqkDrcQp8e4U8bM8c;Architecture;https://www.linkedin.com/company/caylent/about/;Inteligência Artificial;(artificial AND intelligence) OR (inteligencia AND artificial) OR (machine AND learning) OR (machine AND (learning OR mlops));caylent;3.0;Greenhouse;https://www.linkedin.com/jobs/view/4242969427/;https://www.linkedin.com/jobs/view/4242969427/;Remote;Banco de Talentos, Machine Learning;08/06/2026;;;;;Brasil;América do Sul
