Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;ATRA;Arquiteto de Dados | GCP & Salesforce Data Cloud;Brasil;28/08 19:00;https://www.linkedin.com/jobs/view/4459413895/;https://media.licdn.com/dms/image/v2/C4E0BAQF1SilRR3FkfQ/company-logo_100_100/company-logo_100_100/0/1630576287271/atra_informatica_logo?e=1789603200&v=beta&t=k0oAsxlRM96RxzQlHfCRkrSsO5QfFcW44ZnvJ0aaz-o;Data & Ai > Data Engineering;https://www.linkedin.com/company/atra/about/;Dados e Analytics;data engineer OR data analyst OR bi analyst OR arquiteto de dados OR data architect OR database administrator OR administrador de banco de dados OR dba;atra;1;;https://www.linkedin.com/jobs/view/4459413895/;https://www.linkedin.com/jobs/view/4459413895/;Remote;Salesforce/CRM, Cloud (AWS/GCP/Azure), Dados/Analytics, Vendas / Comercial;29/08/2026;;;;;Brasil;América do Sul
2;Avanade;Consultor(a) Data Engineer;São Paulo (SP);29/08 07:00;https://www.linkedin.com/jobs/view/4441628775/;https://media.licdn.com/dms/image/v2/D4D0BAQH9oEH9vWAthw/company-logo_100_100/B4DZf0WkqfH8AY-/0/1752151247860/avanade_logo?e=1789603200&v=beta&t=wPx-jlHRq00AtMyCt1bIv9Iy-qwahTz5SLnXAOqmCPg;Data & Ai > Data Engineering;https://www.linkedin.com/company/avanade/about/;Dados e Analytics;data engineer OR data analyst OR bi analyst OR arquiteto de dados OR data architect OR database administrator OR administrador de banco de dados OR dba;avanade;1;;https://www.linkedin.com/jobs/view/4441628775/;https://www.linkedin.com/jobs/view/4441628775/;On-site;Consultor, Dados/Analytics, Engenharia Geral;29/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;Avanade;Consultor(a) Data Engineer Senior;São Paulo (SP);28/08 22:00;https://www.linkedin.com/jobs/view/4460560046/;https://media.licdn.com/dms/image/v2/D4D0BAQH9oEH9vWAthw/company-logo_100_100/B4DZf0WkqfH8AY-/0/1752151247860/avanade_logo?e=1789603200&v=beta&t=wPx-jlHRq00AtMyCt1bIv9Iy-qwahTz5SLnXAOqmCPg;Data & Ai > Data Engineering;https://www.linkedin.com/company/avanade/about/;Dados e Analytics;data engineer OR data analyst OR bi analyst OR arquiteto de dados OR data architect OR database administrator OR administrador de banco de dados OR dba;avanade;1;;https://www.linkedin.com/jobs/view/4460560046/;https://www.linkedin.com/jobs/view/4460560046/;On-site;Senior, Consultor, Dados/Analytics, Engenharia Geral;29/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;Capgemini;FBS Senior Data Engineer (Airflow);Brasil;29/08 09:00;https://www.linkedin.com/jobs/view/4448779901/;https://media.licdn.com/dms/image/v2/D4E0BAQHIL3HctxNfvg/company-logo_100_100/B4EZokv7VQIUAQ-/0/1761553135376/capgemini_logo?e=1789603200&v=beta&t=xjEwcIFi3cTlkOBhHlSf4YAgkIAw2ky2atuH7all4rM;Data & Ai > Data Engineering;https://www.linkedin.com/company/capgemini/about/;Dados e Analytics;data engineer OR data analyst OR bi analyst OR arquiteto de dados OR data architect OR database administrator OR administrador de banco de dados OR dba;capgemini;1;;https://www.linkedin.com/jobs/view/4448779901/;https://www.linkedin.com/jobs/view/4448779901/;Remote;Senior, Dados/Analytics, Engenharia Geral;29/08/2026;;;;;Brasil;América do Sul
5;EPAM Systems;Lead Data Engineer;Brasil;29/08 01:00;https://www.linkedin.com/jobs/view/4459479350/;https://media.licdn.com/dms/image/v2/D4D0BAQGd7yeYsBtfzw/company-logo_100_100/B4DZuc0QBQH4AQ-/0/1767862501956/epam_systems_logo?e=1789603200&v=beta&t=LAsNu-wzKdmTMEBjDbx4_IHtoYZTPgnJsheStT7n6-Q;Data & Ai > Data Engineering;https://www.linkedin.com/company/epam-systems/about/;Dados e Analytics;data engineer OR data analyst OR bi analyst OR arquiteto de dados OR data architect OR database administrator OR administrador de banco de dados OR dba;epam systems;1;;https://www.linkedin.com/jobs/view/4459479350/;https://www.linkedin.com/jobs/view/4459479350/;Remote;Mid, Liderança/Gerência, Dados/Analytics, Engenharia Geral;29/08/2026;;;;;Brasil;América do Sul
6;EPAM Systems;Lead Database Administrator (DBA) — Cloud Migration;Brasil;29/08 01:00;https://www.linkedin.com/jobs/view/4459461442/;https://media.licdn.com/dms/image/v2/D4D0BAQGd7yeYsBtfzw/company-logo_100_100/B4DZuc0QBQH4AQ-/0/1767862501956/epam_systems_logo?e=1789603200&v=beta&t=LAsNu-wzKdmTMEBjDbx4_IHtoYZTPgnJsheStT7n6-Q;Specific > Cloud;https://www.linkedin.com/company/epam-systems/about/;Dados e Analytics;data engineer OR data analyst OR bi analyst OR arquiteto de dados OR data architect OR database administrator OR administrador de banco de dados OR dba;epam systems;1;;https://www.linkedin.com/jobs/view/4459461442/;https://www.linkedin.com/jobs/view/4459461442/;Remote;Mid, Liderança/Gerência;29/08/2026;;;;;Brasil;América do Sul
7;EPAM Systems;Senior Database Administrator (DBA) — Cloud Migration;Brasil;29/08 01:00;https://www.linkedin.com/jobs/view/4459466454/;https://media.licdn.com/dms/image/v2/D4D0BAQGd7yeYsBtfzw/company-logo_100_100/B4DZuc0QBQH4AQ-/0/1767862501956/epam_systems_logo?e=1789603200&v=beta&t=LAsNu-wzKdmTMEBjDbx4_IHtoYZTPgnJsheStT7n6-Q;Specific > Cloud;https://www.linkedin.com/company/epam-systems/about/;Dados e Analytics;data engineer OR data analyst OR bi analyst OR arquiteto de dados OR data architect OR database administrator OR administrador de banco de dados OR dba;epam systems;1;;https://www.linkedin.com/jobs/view/4459466454/;https://www.linkedin.com/jobs/view/4459466454/;Remote;Senior;29/08/2026;;;;;Brasil;América do Sul
8;EY;DBA Oracle PeopleSoft - Performance, RAC e Troubleshooting;Recife (PE);29/08 06:00;https://www.linkedin.com/jobs/view/4458468663/;https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1789603200&v=beta&t=IUVxwsl9AjD3gguI2V9BtDgP6l4F_MkeT5x0BeD4CGo;People;https://www.linkedin.com/company/ey/about/;Software e Serviços de TI;data engineer OR data analyst OR bi analyst OR arquiteto de dados OR data architect OR database administrator OR administrador de banco de dados OR dba;ey;1;;https://www.linkedin.com/jobs/view/4458468663/;https://www.linkedin.com/jobs/view/4458468663/;Hybrid;-;29/08/2026;Recife;Pernambuco;PE;Região Nordeste;Brasil;América do Sul
9;Golabs Tech;Senior Data Architect;América Latina;28/08 20:00;https://www.linkedin.com/jobs/view/4460525412/;https://media.licdn.com/dms/image/v2/D4E0BAQEDAXNgN6A5rw/company-logo_100_100/B4EZ6pFBbVHoAI-/0/1780953126846/golabstech_logo?e=1789603200&v=beta&t=-nTZ3G_BXbQ5Z9j7DiA1F-rPrZPF8FjqfnQVvPo_msI;Data & Ai > Data Engineering;https://www.linkedin.com/company/golabs-tech/about/;Dados e Analytics;data engineer OR data analyst OR bi analyst OR arquiteto de dados OR data architect OR database administrator OR administrador de banco de dados OR dba;golabs tech;1;;https://www.linkedin.com/jobs/view/4460525412/;https://www.linkedin.com/jobs/view/4460525412/;Remote;Senior, Dados/Analytics;29/08/2026;;;;;;América Latina
10;Hyland;Principal Data Analyst;Brasil;28/08 20:00;https://www.linkedin.com/jobs/view/4448240864/;https://media.licdn.com/dms/image/v2/D4E0BAQGRzC5P03b71Q/company-logo_100_100/B4EZWpevatHcAU-/0/1742305163610/hyland_software_logo?e=1789603200&v=beta&t=L0dkd4ytXzYCehC23ZaXh38KYca1kenVdPz3TWbb9XM;Data & Ai > Data Engineering;https://www.linkedin.com/company/hyland/about/;Dados e Analytics;data engineer OR data analyst OR bi analyst OR arquiteto de dados OR data architect OR database administrator OR administrador de banco de dados OR dba;hyland;1;;https://www.linkedin.com/jobs/view/4448240864/;https://www.linkedin.com/jobs/view/4448240864/;Remote;Dados/Analytics;29/08/2026;;;;;Brasil;América do Sul
11;Infosys;DataBricks Data Engineer;São Paulo (SP);28/08 20:00;https://www.linkedin.com/jobs/view/4458439217/;https://media.licdn.com/dms/image/v2/D560BAQEv67uGFge5Sw/company-logo_100_100/B56ZfEsEVpHoAU-/0/1751351576332/infosys_logo?e=1789603200&v=beta&t=hfvTw9np8tTDT5TjZtAmrmlq3GynTGt9LyxM3Dim0sY;Data & Ai > Data Engineering;https://www.linkedin.com/company/infosys/about/;Dados e Analytics;data engineer OR data analyst OR bi analyst OR arquiteto de dados OR data architect OR database administrator OR administrador de banco de dados OR dba;infosys;1;;https://www.linkedin.com/jobs/view/4458439217/;https://www.linkedin.com/jobs/view/4458439217/;On-site;Dados/Analytics, Engenharia Geral;29/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
12;Kamino;Data Engineer;São Paulo (SP);28/08 20:00;https://www.linkedin.com/jobs/view/4458440251/;https://media.licdn.com/dms/image/v2/C4D0BAQGMLgucWTJMYg/company-logo_100_100/company-logo_100_100/0/1662487892226/kaminolatam_logo?e=1789603200&v=beta&t=Plr6W5d69VLSDchsrfXRvw-5Y70d6jyxHW8b86m1JJ8;Data & Ai > Data Engineering;https://www.linkedin.com/company/kamino/about/;Dados e Analytics;data engineer OR data analyst OR bi analyst OR arquiteto de dados OR data architect OR database administrator OR administrador de banco de dados OR dba;kamino;1;;https://www.linkedin.com/jobs/view/4458440251/;https://www.linkedin.com/jobs/view/4458440251/;Hybrid;Dados/Analytics, Engenharia Geral;29/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
13;Keyrus;Senior Data Engineer (AWS);Grande São Paulo (SP) ;29/08 08:00;https://www.linkedin.com/jobs/view/4441302983/;https://media.licdn.com/dms/image/v2/D4E0BAQFtMePGBVzHBw/company-logo_100_100/B4EZ7KQsSXKoAI-/0/1781509834309/keyrus_logo?e=1789603200&v=beta&t=8tHETO_tsi3o1aSMJ--TJKjIsfFwBYO49MuJBy7Rias;Data & Ai > Data Engineering;https://www.linkedin.com/company/keyrus/about/;Dados e Analytics;data engineer OR data analyst OR bi analyst OR arquiteto de dados OR data architect OR database administrator OR administrador de banco de dados OR dba;keyrus;1;;https://www.linkedin.com/jobs/view/4441302983/;https://www.linkedin.com/jobs/view/4441302983/;On-site;Senior, Cloud (AWS/GCP/Azure), Dados/Analytics, Engenharia Geral;29/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
14;Octave;Database Administrator (DBA);Grande Rio de Janeiro (RJ);28/08 14:00;https://www.linkedin.com/jobs/view/4458997160/;https://media.licdn.com/dms/image/v2/D4D0BAQFSzHPaxk690Q/company-logo_100_100/B4DZyuVeXvJUAQ-/0/1772451391319/octaveintelligence_logo?e=1789603200&v=beta&t=i2O31ifMAfYTaOxxUit8Bt4Iy-svCstF2PSvPpaMQI4;-;https://www.linkedin.com/company/octave/about/;Dados e Analytics;data engineer OR data analyst OR bi analyst OR arquiteto de dados OR data architect OR database administrator OR administrador de banco de dados OR dba;octave;1;;https://www.linkedin.com/jobs/view/4458997160/;https://www.linkedin.com/jobs/view/4458997160/;Hybrid;-;29/08/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul
15;Quik Hire Staffing;Business Data Analyst (Remote);Brasil;29/08 11:00;https://www.linkedin.com/jobs/view/4460823209/;https://media.licdn.com/dms/image/v2/D560BAQFYxxMZnepyAw/company-logo_100_100/B56ZsDhgBgI0AQ-/0/1765290672906/quik_hire_staffing_logo?e=1789603200&v=beta&t=rW3Fy1dhie2mSg9-6clcF0T45fCVw8pqOkUjUO3Xluw;Data & Ai > Data Engineering;https://www.linkedin.com/company/quik-hire-staffing/about/;Dados e Analytics;data engineer OR data analyst OR bi analyst OR arquiteto de dados OR data architect OR database administrator OR administrador de banco de dados OR dba;quik hire staffing;1;;https://www.linkedin.com/jobs/view/4460823209/;https://www.linkedin.com/jobs/view/4460823209/;Remote;Dados/Analytics;29/08/2026;;;;;Brasil;América do Sul
16;Quik Hire Staffing;Data Analyst (Remote);Brasil;29/08 11:00;https://www.linkedin.com/jobs/view/4460831231/;https://media.licdn.com/dms/image/v2/D560BAQFYxxMZnepyAw/company-logo_100_100/B56ZsDhgBgI0AQ-/0/1765290672906/quik_hire_staffing_logo?e=1789603200&v=beta&t=rW3Fy1dhie2mSg9-6clcF0T45fCVw8pqOkUjUO3Xluw;Data & Ai > Data Engineering;https://www.linkedin.com/company/quik-hire-staffing/about/;Dados e Analytics;data engineer OR data analyst OR bi analyst OR arquiteto de dados OR data architect OR database administrator OR administrador de banco de dados OR dba;quik hire staffing;1;;https://www.linkedin.com/jobs/view/4460831231/;https://www.linkedin.com/jobs/view/4460831231/;Remote;Dados/Analytics;29/08/2026;;;;;Brasil;América do Sul
