Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;4DF Connect;Desenvolvedor .NET;São Paulo, SP;12/08 21:00;https://www.linkedin.com/jobs/view/4453610178/;https://media.licdn.com/dms/image/v2/D4E0BAQHgznwIT2t3IA/company-logo_100_100/B4EZgUICjYGcAU-/0/1752684309117/4dfconnect_logo?e=1788393600&v=beta&t=ZLvQpHFN1bl-OL-xuW7CCYaNqNwjph_8sSPdaE3I2M0;-;https://www.linkedin.com/company/4df-connect/about/;-;data structures and algorithms OR data structures OR algorithms OR computer science;4df connect;1;;https://www.linkedin.com/jobs/view/4453610178/;https://www.linkedin.com/jobs/view/4453610178/;On-site;-;13/08/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
2;AVANTTi;Vaga | Cientista de Dados Sênior;Barueri, SP;12/08 22:00;https://www.linkedin.com/jobs/view/4452762484/;https://media.licdn.com/dms/image/v2/D4D0BAQEEGuq8S7cw1w/company-logo_100_100/company-logo_100_100/0/1687890929597/avantti_inovao_digital_logo?e=1788393600&v=beta&t=iNyZCcsneghVZiy-k-f9X3lJv_4GwTCjyKEYFsfMNxg;-;https://www.linkedin.com/company/avantti/about/;Dados e Analytics;data structures and algorithms OR data structures OR algorithms OR computer science;avantti;1;;https://www.linkedin.com/jobs/view/4452762484/;https://www.linkedin.com/jobs/view/4452762484/;Remote;Senior, Dados/Analytics;13/08/2026;Barueri;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;Accenture Brasil;Tech Lead Java | Sistemas Distribuídos de Alta Escala | Híbrido - Osasco/SP;São Paulo, SP;12/08 20:00;https://www.linkedin.com/jobs/view/4452754728/;https://media.licdn.com/dms/image/v2/D4D0BAQFxYk90aqWMqA/company-logo_100_100/company-logo_100_100/0/1727873248436/accenturebrasil_logo?e=1788393600&v=beta&t=FuaAWPZvNh587NmQQPneV5NE1cEO7aOW8ZBQalmKzwg;Middle > Manager;https://www.linkedin.com/company/accenture-brasil/about/;Software e Serviços de TI;data structures and algorithms OR data structures OR algorithms OR computer science;accenture brasil;1;;https://www.linkedin.com/jobs/view/4452754728/;https://www.linkedin.com/jobs/view/4452754728/;Not informed;Mid, Liderança/Gerência, TI/Tech;13/08/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;Acerto;Especialista em Ciência de dados (Machine Learning);Brasil;13/08 10:00;https://www.linkedin.com/jobs/view/4444035086/;https://media.licdn.com/dms/image/v2/D4D0BAQHf5WS_qqO9Fw/company-logo_100_100/company-logo_100_100/0/1738695557158/acertonegocie_logo?e=1788393600&v=beta&t=DFLckKfrIeUslhP12g7_t1mSfD67AKMVOen2IDPgByA;Advanced > Specialist;https://www.linkedin.com/company/acerto/about/;Dados e Analytics;data structures and algorithms OR data structures OR algorithms OR computer science;acerto;1;;https://www.linkedin.com/jobs/view/4444035086/;https://www.linkedin.com/jobs/view/4444035086/;Remote;Machine Learning, Specialist, Dados/Analytics;13/08/2026;;;;;Brasil;América do Sul
5;Acerto;Especialista em Analytics Engineer;São Paulo, SP;13/08 15:00;https://www.linkedin.com/jobs/view/4418834934/;https://media.licdn.com/dms/image/v2/D4D0BAQHf5WS_qqO9Fw/company-logo_100_100/company-logo_100_100/0/1738695557158/acertonegocie_logo?e=1788393600&v=beta&t=DFLckKfrIeUslhP12g7_t1mSfD67AKMVOen2IDPgByA;Data & Ai > BI Analytics And Big Data;https://www.linkedin.com/company/acerto/about/;Dados e Analytics;data structures and algorithms OR data structures OR algorithms OR computer science;acerto;1;;https://www.linkedin.com/jobs/view/4418834934/;https://www.linkedin.com/jobs/view/4418834934/;Hybrid;Specialist, Dados/Analytics, Engenharia Geral;13/08/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
6;Afya;Desenvolvedor(a) Backend Pleno - Python;Brasil;13/08 07:00;https://www.linkedin.com/jobs/view/4450483140/;https://media.licdn.com/dms/image/v2/D4D0BAQFvzrTQjlpxiQ/company-logo_100_100/B4DZVwtwN5HAAQ-/0/1741352797522/afyamedicina_logo?e=1788393600&v=beta&t=pP_5dp56oMM1G09o6qnP3ZX4KlCW2hTFpauI-Fiagak;-;https://www.linkedin.com/company/afya/about/;-;data structures and algorithms OR data structures OR algorithms OR computer science;afya;1;;https://www.linkedin.com/jobs/view/4450483140/;https://www.linkedin.com/jobs/view/4450483140/;Remote;Mid, Backend;13/08/2026;;;;;Brasil;América do Sul
7;Agoda;Principal Software Engineer, Back End (AI-powered Data Querying) (Bangkok based, Relocation provided);Grande Rio de Janeiro (RJ);13/08 15:00;https://www.linkedin.com/jobs/view/4403429212/;https://media.licdn.com/dms/image/v2/D4D0BAQHnu249lVL3yA/company-logo_100_100/B4DZ09fn8fJQAU-/0/1774853194495/agoda_logo?e=1788393600&v=beta&t=tAJ2KR5_C3uy4KqY5YVgn5DUdxrvYuyH4kYkeBLW2X4;Data & Ai > Data Engineering;https://www.linkedin.com/company/agoda/about/;Dados e Analytics;data structures and algorithms OR data structures OR algorithms OR computer science;agoda;1;;https://www.linkedin.com/jobs/view/4403429212/;https://www.linkedin.com/jobs/view/4403429212/;Not informed;Inteligência Artificial, TI/Tech, Backend, Dados/Analytics, Engenharia Geral;13/08/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul
8;Agrotis;Desenvolvedor(a) Back End Java SR (Curitiba-PR);Curitiba, PR;12/08 19:00;https://www.linkedin.com/jobs/view/4450189624/;https://media.licdn.com/dms/image/v2/D4E0BAQHWZYekY7HgAw/company-logo_100_100/company-logo_100_100/0/1724787809922/softwareagrotis_logo?e=1788393600&v=beta&t=j7aAQg9GrJL4_VkU6WV1Ij-vNBvLQ3f0q7zym0IugZs;-;https://www.linkedin.com/company/agrotis/about/;Agro;data structures and algorithms OR data structures OR algorithms OR computer science;agrotis;1;;https://www.linkedin.com/jobs/view/4450189624/;https://www.linkedin.com/jobs/view/4450189624/;On-site;Senior, Backend;13/08/2026;;Paraná;PR;Região Sul;Brasil;América do Sul
9;Ahoy by Belago;Engenheiro de Software SR (com foco em orquestração de agentes de IA);Brasil;12/08 19:00;https://www.linkedin.com/jobs/view/4453380395/;https://media.licdn.com/dms/image/v2/D4D0BAQGEe1exewMgbA/company-logo_100_100/B4DZtcPaEuIAAU-/0/1766779102430/ahoybr_logo?e=1788393600&v=beta&t=LKFbIEskJ4nwA9zq2H7LWhhqbqrxjyoipqQIPBebPLA;-;https://www.linkedin.com/company/ahoy-by-belago/about/;Inteligência Artificial;data structures and algorithms OR data structures OR algorithms OR computer science;ahoy by belago;1;;https://www.linkedin.com/jobs/view/4453380395/;https://www.linkedin.com/jobs/view/4453380395/;Remote;Inteligência Artificial, Senior, TI/Tech;13/08/2026;;;;;Brasil;América do Sul
10;Alexander Chapman;Full Stack Engineer (Backend leaning);Brasil;13/08 09:00;https://www.linkedin.com/jobs/view/4454003765/;https://media.licdn.com/dms/image/v2/C4E0BAQHetz_sr_qHBQ/company-logo_100_100/company-logo_100_100/0/1647822869660/alexander_chapman_logo?e=1788393600&v=beta&t=tDKF-eU4yuzn8elq6TbSABAt2HGScSSAIMK7qXBRjHk;Advanced > Information Technology;https://www.linkedin.com/company/alexander-chapman/about/;-;data structures and algorithms OR data structures OR algorithms OR computer science;alexander chapman;1;;https://www.linkedin.com/jobs/view/4454003765/;https://www.linkedin.com/jobs/view/4454003765/;Remote;Full Stack, Backend, Engenharia Geral;13/08/2026;;;;;Brasil;América do Sul
