Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;9net IT Security;Arquiteto de Soluções Cloud;São Paulo (SP);19/07 16:00;https://www.linkedin.com/jobs/view/4439698142/;https://media.licdn.com/dms/image/v2/D4D0BAQGmgwx6qzSR5Q/company-logo_100_100/company-logo_100_100/0/1667246778198/9net_tecnologia_logo?e=1785974400&v=beta&t=ohH66ygog97_tBxn1AOMXuyCBEaYdGEfwZqTWaaIaz8;Architecture;https://www.linkedin.com/company/9net-it-security/about/;Cibersegurança;arquiteto OR (arquiteto AND de AND sistemas) OR (arquiteto AND de AND software) OR (arquiteto AND de AND soluções) OR (software AND architect) OR (solutions AND architect) OR (systems AND architect) OR (design AND architecture) OR (design AND system) OR (system AND design);9net it security;1.0;;https://www.linkedin.com/jobs/view/4439698142/;https://www.linkedin.com/jobs/view/4439698142/;Hybrid;-;20/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
2;9net IT Security;Head de Engenharia / Arquiteto Sênior;São Paulo (SP);19/07 16:00;https://www.linkedin.com/jobs/view/4439692256/;https://media.licdn.com/dms/image/v2/D4D0BAQGmgwx6qzSR5Q/company-logo_100_100/company-logo_100_100/0/1667246778198/9net_tecnologia_logo?e=1785974400&v=beta&t=ohH66ygog97_tBxn1AOMXuyCBEaYdGEfwZqTWaaIaz8;Architecture;https://www.linkedin.com/company/9net-it-security/about/;Cibersegurança;arquiteto OR (arquiteto AND de AND sistemas) OR (arquiteto AND de AND software) OR (arquiteto AND de AND soluções) OR (software AND architect) OR (solutions AND architect) OR (systems AND architect) OR (design AND architecture) OR (design AND system) OR (system AND design);9net it security;1.0;;https://www.linkedin.com/jobs/view/4439692256/;https://www.linkedin.com/jobs/view/4439692256/;Hybrid;Senior, Liderança/Gerência, Engenharia Geral;20/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;Amazon Web Services (AWS);Arquiteto de Soluções, Financial Industry Brazil;Grande São Paulo (SP) ;19/07 13:00;https://www.linkedin.com/jobs/view/4405460841/;https://media.licdn.com/dms/image/v2/D4E0BAQFqdm1TZ-RZKQ/company-logo_100_100/B4EZgOay6gHEAY-/0/1752588562343/amazon_web_services_logo?e=1785974400&v=beta&t=LzjQ2-jIbNGcM38Oy1WqHYDlXX79xfk4r57qr2yuD4o;Architecture;https://www.linkedin.com/company/amazon-web-services-aws/about/;Manufatura e Produção;arquiteto OR (arquiteto AND de AND sistemas) OR (arquiteto AND de AND software) OR (arquiteto AND de AND soluções) OR (software AND architect) OR (solutions AND architect) OR (systems AND architect) OR (design AND architecture) OR (design AND system) OR (system AND design);amazon web services (aws);5.0;Amazon;https://www.linkedin.com/jobs/view/4405460841/;https://www.linkedin.com/jobs/view/4405460841/;On-site;-;20/07/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;Blink Reformei;Arquiteto Comercial;São Paulo (SP);19/07 11:00;https://www.linkedin.com/jobs/view/4440156302/;https://media.licdn.com/dms/image/v2/D4D0BAQGB4_mKaMn-1Q/company-logo_100_100/company-logo_100_100/0/1734454340724/blinkreformei_logo?e=1785974400&v=beta&t=j5cDzRe5Mhm8M0vPy-ewxFzvp3ipI0j0Gdw1p1arfWs;Architecture;https://www.linkedin.com/company/blink-reformei/about/;Software e Serviços de TI;arquiteto OR (arquiteto AND de AND sistemas) OR (arquiteto AND de AND software) OR (arquiteto AND de AND soluções) OR (software AND architect) OR (solutions AND architect) OR (systems AND architect) OR (design AND architecture) OR (design AND system) OR (system AND design);blink reformei;1.0;;https://www.linkedin.com/jobs/view/4440156302/;https://www.linkedin.com/jobs/view/4440156302/;Hybrid;Vendas / Comercial;20/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
5;CI&T;AI Engineering Lead / AI Solutions Architect;Brasil;20/07 01:00;https://www.linkedin.com/jobs/view/4442554987/;https://media.licdn.com/dms/image/v2/D4E0BAQHeZyGQWQJb7g/company-logo_100_100/B4EZ89lXBZJEAI-/0/1783444632002/ciandt_logo?e=1785974400&v=beta&t=fkeypj4BDpyxPE_FG8O_3WZxLWKvYJrxgliF3nhQO40;Architecture > Solutions Architect;https://www.linkedin.com/company/ci-t/about/;Inteligência Artificial;arquiteto OR (arquiteto AND de AND sistemas) OR (arquiteto AND de AND software) OR (arquiteto AND de AND soluções) OR (software AND architect) OR (solutions AND architect) OR (systems AND architect) OR (design AND architecture) OR (design AND system) OR (system AND design);ci&t;4.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4442554987/;https://www.linkedin.com/jobs/view/4442554987/;Remote;Inteligência Artificial, Mid, Liderança/Gerência, Engenharia Geral;20/07/2026;;;;;Brasil;América do Sul
6;CI&T;Arquiteto de Software, Brazil;Brasil;20/07 11:00;https://www.linkedin.com/jobs/view/4442716760/;https://media.licdn.com/dms/image/v2/D4E0BAQHeZyGQWQJb7g/company-logo_100_100/B4EZ89lXBZJEAI-/0/1783444632002/ciandt_logo?e=1785974400&v=beta&t=fkeypj4BDpyxPE_FG8O_3WZxLWKvYJrxgliF3nhQO40;Architecture;https://www.linkedin.com/company/ci-t/about/;Software e Serviços de TI;arquiteto OR (arquiteto AND de AND sistemas) OR (arquiteto AND de AND software) OR (arquiteto AND de AND soluções) OR (software AND architect) OR (solutions AND architect) OR (systems AND architect) OR (design AND architecture) OR (design AND system) OR (system AND design);ci&t;4.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4442716760/;https://www.linkedin.com/jobs/view/4442716760/;Remote;TI/Tech;20/07/2026;;;;;Brasil;América do Sul
7;Deloitte;Desenvolvedor(a) ServiceNow Especialista| Arquiteto de Soluções| Consultoria | Brasil;São Paulo (SP);19/07 23:00;https://www.linkedin.com/jobs/view/4424775609/;https://media.licdn.com/dms/image/v2/C560BAQGNtpblgQpJoQ/company-logo_100_100/company-logo_100_100/0/1662120928214/deloitte_logo?e=1785974400&v=beta&t=sHE5sKr-NL0KJtueTs3F6BtqLpphycRldvUmw4hCKCA;Architecture;https://www.linkedin.com/company/deloitte/about/;Consultoria e Assessoria;arquiteto OR (arquiteto AND de AND sistemas) OR (arquiteto AND de AND software) OR (arquiteto AND de AND soluções) OR (software AND architect) OR (solutions AND architect) OR (systems AND architect) OR (design AND architecture) OR (design AND system) OR (system AND design);deloitte;4.0;Inhire;https://www.linkedin.com/jobs/view/4424775609/;https://www.linkedin.com/jobs/view/4424775609/;Hybrid;Specialist, Consultor;20/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
8;Evertec Brasil;Arquiteto de Soluções Especialista;São Paulo (SP);19/07 14:00;https://www.linkedin.com/jobs/view/4441776769/;https://media.licdn.com/dms/image/v2/D4D0BAQGG_PyIEk0O0w/company-logo_100_100/B4DZfW8646GkAU-/0/1751657983926/evertecbr_logo?e=1785974400&v=beta&t=sUrxgZeXSPhbNjZzkGcr2FcHl1-EeNF1-zSdPObRxiQ;Architecture;https://www.linkedin.com/company/evertec-brasil/about/;Software e Serviços de TI;arquiteto OR (arquiteto AND de AND sistemas) OR (arquiteto AND de AND software) OR (arquiteto AND de AND soluções) OR (software AND architect) OR (solutions AND architect) OR (systems AND architect) OR (design AND architecture) OR (design AND system) OR (system AND design);evertec brasil;1.0;LinkedIn;https://www.linkedin.com/jobs/view/4441776769/;https://www.linkedin.com/jobs/view/4441776769/;Hybrid;Specialist;20/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
9;Hire Feed;Senior Solutions Architect - Remote;Brasil;20/07 09:00;https://www.linkedin.com/jobs/view/4442709506/;https://media.licdn.com/dms/image/v2/D4D0BAQEeII6H9qdObQ/company-logo_100_100/B4DZ3OfC9fHwAQ-/0/1777285738853/hirefeedd_logo?e=1785974400&v=beta&t=itJMOjyHwuiiSN534o_tHRry3ClyVBz2wnHrOvbQuY4;Architecture > Solutions Architect;https://www.linkedin.com/company/hire-feed/about/;Software e Serviços de TI;arquiteto OR (arquiteto AND de AND sistemas) OR (arquiteto AND de AND software) OR (arquiteto AND de AND soluções) OR (software AND architect) OR (solutions AND architect) OR (systems AND architect) OR (design AND architecture) OR (design AND system) OR (system AND design);hire feed;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4442709506/;https://www.linkedin.com/jobs/view/4442709506/;Remote;Senior;20/07/2026;;;;;Brasil;América do Sul
10;Jobbol;Arquiteto;Canoas (RS);19/07 23:00;https://www.linkedin.com/jobs/view/4442551845/;https://media.licdn.com/dms/image/v2/D4D0BAQEUwreILeGS7Q/company-logo_100_100/B4DZ5wJQzAG4AM-/0/1779997937122/jobbol_empregos_logo?e=1785974400&v=beta&t=iW1yIL5t2kl3c8kGnvdi2qcprmOF7RZpY6l4JLBlx_0;Architecture;https://www.linkedin.com/company/jobbol/about/;Software e Serviços de TI;arquiteto OR (arquiteto AND de AND sistemas) OR (arquiteto AND de AND software) OR (arquiteto AND de AND soluções) OR (software AND architect) OR (solutions AND architect) OR (systems AND architect) OR (design AND architecture) OR (design AND system) OR (system AND design);jobbol;1.0;LinkedIn;https://www.linkedin.com/jobs/view/4442551845/;https://www.linkedin.com/jobs/view/4442551845/;On-site;-;20/07/2026;Canoas;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
