Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;BairesDev;Kafka + Java Staff Engineer - Remote Work;América Latina;22/06 11:00;https://www.linkedin.com/jobs/view/4430539796/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1784160000&v=beta&t=daiLiamdsJLEM6E212eORLj8kpoqyUdBZiqNmB5BCZ0;Advanced > Information Technology;https://www.linkedin.com/company/bairesdev/about/;-;(principal AND architect) OR (principal AND engineer) OR (staff AND engineer) OR (senior AND engineer) OR (technical AND project AND lead);bairesdev;2.0;applicants.bairesdev.com;https://www.linkedin.com/jobs/view/4430539796/;https://www.linkedin.com/jobs/view/4430539796/;Remote;Engenharia Geral;25/06/2026;;;;;;América Latina
2;BairesDev;Principal Architect - Remote Work | REF#296331;América Latina;24/06 11:00;https://www.linkedin.com/jobs/view/4432468659/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1784160000&v=beta&t=daiLiamdsJLEM6E212eORLj8kpoqyUdBZiqNmB5BCZ0;Architecture > Principal Architect;https://www.linkedin.com/company/bairesdev/about/;Software e Serviços de TI;(principal AND architect) OR (principal AND engineer) OR (staff AND engineer) OR (senior AND engineer) OR (technical AND project AND lead);bairesdev;2.0;applicants.bairesdev.com;https://www.linkedin.com/jobs/view/4432468659/;https://www.linkedin.com/jobs/view/4432468659/;Remote;-;25/06/2026;;;;;;América Latina
3;BairesDev;Senior Engineer (Monitoring) - Remote Work | REF#296326;América Latina;24/06 11:00;https://www.linkedin.com/jobs/view/4432470214/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1784160000&v=beta&t=daiLiamdsJLEM6E212eORLj8kpoqyUdBZiqNmB5BCZ0;Advanced > Information Technology;https://www.linkedin.com/company/bairesdev/about/;Software e Serviços de TI;(principal AND architect) OR (principal AND engineer) OR (staff AND engineer) OR (senior AND engineer) OR (technical AND project AND lead);bairesdev;2.0;applicants.bairesdev.com;https://www.linkedin.com/jobs/view/4432470214/;https://www.linkedin.com/jobs/view/4432470214/;Remote;Senior, Engenharia Geral;25/06/2026;;;;;;América Latina
4;CloudWalk, Inc.;Staff Engineer – Issuing;São Paulo (SP);24/06 11:00;https://www.linkedin.com/jobs/view/4401644913/;https://media.licdn.com/dms/image/v2/D4D0BAQF1LcnKeI_UxQ/company-logo_100_100/company-logo_100_100/0/1738709971265/cloudwalk_inc_logo?e=1784160000&v=beta&t=ZM1Vs9QmY8IHRXpOUlT1tKxesd24ozRQU2uX-aaFQN0;Advanced > Information Technology;https://www.linkedin.com/company/cloudwalk-inc/about/;-;(principal AND architect) OR (principal AND engineer) OR (staff AND engineer) OR (senior AND engineer) OR (technical AND project AND lead);cloudwalk, inc.;1;;https://www.linkedin.com/jobs/view/4401644913/;https://www.linkedin.com/jobs/view/4401644913/;Remote;Engenharia Geral;25/06/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
5;Compass UOL;Principal Architect;Brasil;25/06 08:00;https://www.linkedin.com/jobs/view/4423095725/;https://media.licdn.com/dms/image/v2/D4D0BAQGS2dYkE6pQUA/company-logo_100_100/B4DZ2b.l4WIkAY-/0/1776438370262/compass_uol_logo?e=1784160000&v=beta&t=bpAOy28_kRZDeFTSNifqDtVfk3yrfnb8kus5ydavHk4;Architecture > Principal Architect;https://www.linkedin.com/company/compass-uol/about/;Software e Serviços de TI;(principal AND architect) OR (principal AND engineer) OR (staff AND engineer) OR (senior AND engineer) OR (technical AND project AND lead);compass uol;4.0;Gupy;https://www.linkedin.com/jobs/view/4423095725/;https://www.linkedin.com/jobs/view/4423095725/;Remote;-;25/06/2026;;;;;Brasil;América do Sul
6;Nagarro;Staff Engineer - SAP Commerce (Hybris);Grande Rio de Janeiro (RJ);24/06 11:00;https://www.linkedin.com/jobs/view/4431417021/;https://media.licdn.com/dms/image/v2/D4D0BAQHu-RIXbSi0fw/company-logo_100_100/company-logo_100_100/0/1688362226392/nagarro_logo?e=1784160000&v=beta&t=8lvlChfZMyeA5IHoKqr1OFTtQVelKMqOnmbQGbOY3fo;Advanced > Information Technology;https://www.linkedin.com/company/nagarro/about/;-;(principal AND architect) OR (principal AND engineer) OR (staff AND engineer) OR (senior AND engineer) OR (technical AND project AND lead);nagarro;1;;https://www.linkedin.com/jobs/view/4431417021/;https://www.linkedin.com/jobs/view/4431417021/;On-site;SAP, Engenharia Geral;25/06/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul
7;PWS Cloud;Principal Engineer;São Paulo (SP);24/06 11:00;https://www.linkedin.com/jobs/view/4432524634/;https://media.licdn.com/dms/image/v2/D4D0BAQGJMe1Owm2O6w/company-logo_100_100/B4DZ1itzN0IcAQ-/0/1775477667388/inovti_logo?e=1784160000&v=beta&t=p8SGo09LJdBxcG72zYyzvSSpfJrm90rsGvCWJfdOCuw;Advanced > Information Technology;https://www.linkedin.com/company/pws-cloud/about/;-;(principal AND architect) OR (principal AND engineer) OR (staff AND engineer) OR (senior AND engineer) OR (technical AND project AND lead);pws cloud;1;;https://www.linkedin.com/jobs/view/4432524634/;https://www.linkedin.com/jobs/view/4432524634/;On-site;Engenharia Geral;25/06/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
8;PagAmerican;Senior Staff Engineer (Orchestration & Smart Routing);São Paulo (SP);24/06 11:00;https://www.linkedin.com/jobs/view/4429450670/;https://media.licdn.com/dms/image/v2/D4D0BAQF1N5D5koOh9Q/company-logo_100_100/B4DZV7UMCZHAAQ-/0/1741530644978/pagamerican_logo?e=1784160000&v=beta&t=7_aRPsAOqaqb0WHj47261d9wd-zuUDH4Y81L9dQiR7Y;Advanced > Information Technology;https://www.linkedin.com/company/pagamerican/about/;Software e Serviços de TI;(principal AND architect) OR (principal AND engineer) OR (staff AND engineer) OR (senior AND engineer) OR (technical AND project AND lead);pagamerican;1;;https://www.linkedin.com/jobs/view/4429450670/;https://www.linkedin.com/jobs/view/4429450670/;Hybrid;Senior, Engenharia Geral;25/06/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
9;ROSEN;Senior Engineer;RJ;24/06 13:00;https://www.linkedin.com/jobs/view/4431866108/;https://media.licdn.com/dms/image/v2/D560BAQHoqmJenV7CDA/company-logo_100_100/company-logo_100_100/0/1714116244044/rosen_logo?e=1784160000&v=beta&t=HMspW5W4OWE-dV9O9j-B0_7zfAb6jXP2kl5ewZuzpdI;Advanced > Information Technology;https://www.linkedin.com/company/rosen/about/;-;(principal AND architect) OR (principal AND engineer) OR (staff AND engineer) OR (senior AND engineer) OR (technical AND project AND lead);rosen;1;;https://www.linkedin.com/jobs/view/4431866108/;https://www.linkedin.com/jobs/view/4431866108/;Hybrid;Senior, Engenharia Geral;25/06/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul
10;RecargaPay;Staff Engineer (Account);Brasil;19/06 11:00;https://www.linkedin.com/jobs/view/4412788620/;https://media.licdn.com/dms/image/v2/D4D0BAQEC_ABvsGjWeA/company-logo_100_100/company-logo_100_100/0/1716491254637/recargapay_logo?e=1784160000&v=beta&t=McIadKNfAhL68AjkMXe2yFaLAdOYc-SgoFlK_2IR8eE;Advanced > Information Technology;https://www.linkedin.com/company/recargapay/about/;-;(principal AND architect) OR (principal AND engineer) OR (staff AND engineer) OR (senior AND engineer) OR (technical AND project AND lead);recargapay;1;;https://www.linkedin.com/jobs/view/4412788620/;https://www.linkedin.com/jobs/view/4412788620/;Remote;Engenharia Geral;25/06/2026;;;;;Brasil;América do Sul
