Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;Accenture Brasil;Engenheiro(a) de IA Generativa;São Paulo (SP);30/08 05:00;https://www.linkedin.com/jobs/view/4409763108/;https://media.licdn.com/dms/image/v2/D4D0BAQFxYk90aqWMqA/company-logo_100_100/company-logo_100_100/0/1727873248436/accenturebrasil_logo?e=1789603200&v=beta&t=gcTC6x9z9wd8U3fCNXwemjbeTdBoE6bT9clzK2FU-w8;-;https://www.linkedin.com/company/accenture-brasil/about/;Inteligência Artificial;vibe coding OR claude code OR openclaw OR unip;accenture brasil;1;;https://www.linkedin.com/jobs/view/4409763108/;https://www.linkedin.com/jobs/view/4409763108/;Hybrid;Inteligência Artificial;30/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
2;Agibank;Software Engineering Leader - Campinas/SP;Campinas (SP);30/08 05:00;https://www.linkedin.com/jobs/view/4458538432/;https://media.licdn.com/dms/image/v2/C560BAQEjCCKGMhA9Yw/company-logo_100_100/company-logo_100_100/0/1630377372677/agibank_logo?e=1789603200&v=beta&t=tY957jEYvbn-BegpRbVw8HrmzeyPHsyLnrWP02ECC1c;Middle > Manager;https://www.linkedin.com/company/agibank/about/;Serviços Financeiros;vibe coding OR claude code OR openclaw OR unip;agibank;1;;https://www.linkedin.com/jobs/view/4458538432/;https://www.linkedin.com/jobs/view/4458538432/;On-site;Mid, Liderança/Gerência, TI/Tech, Engenharia Geral;30/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;Amazon;Data Engineer III, Amazon 1P Credito, Payments;Grande São Paulo (SP) ;30/08 05:00;https://www.linkedin.com/jobs/view/4459014371/;https://media.licdn.com/dms/image/v2/D560BAQGDLy4STCnHbg/company-logo_100_100/B56ZnZxDipI0AQ-/0/1760295142304/amazon_logo?e=1789603200&v=beta&t=YbP679OXs4AfrZshkXY4SuDusjL28UuY8fV7XRy9YYo;Data & Ai > Data Engineering;https://www.linkedin.com/company/amazon/about/;Dados e Analytics;vibe coding OR claude code OR openclaw OR unip;amazon;1;;https://www.linkedin.com/jobs/view/4459014371/;https://www.linkedin.com/jobs/view/4459014371/;On-site;Dados/Analytics, Engenharia Geral;30/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;Amazon;Software Dev Engineer - AI Agents, IES LATech;Grande São Paulo (SP) ;30/08 05:00;https://www.linkedin.com/jobs/view/4455791774/;https://media.licdn.com/dms/image/v2/D560BAQGDLy4STCnHbg/company-logo_100_100/B56ZnZxDipI0AQ-/0/1760295142304/amazon_logo?e=1789603200&v=beta&t=YbP679OXs4AfrZshkXY4SuDusjL28UuY8fV7XRy9YYo;Advanced > Information Technology;https://www.linkedin.com/company/amazon/about/;Inteligência Artificial;vibe coding OR claude code OR openclaw OR unip;amazon;1;;https://www.linkedin.com/jobs/view/4455791774/;https://www.linkedin.com/jobs/view/4455791774/;On-site;Inteligência Artificial, TI/Tech, Engenharia Geral;30/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
5;Amazon Web Services (AWS);Arquiteta de Soluções - Vaga para Mulheres, Brazil Solutions Architect - FSI;Grande São Paulo (SP) ;30/08 05:00;https://www.linkedin.com/jobs/view/4455786900/;https://media.licdn.com/dms/image/v2/D4E0BAQFqdm1TZ-RZKQ/company-logo_100_100/B4EZgOay6gHEAY-/0/1752588562343/amazon_web_services_logo?e=1789603200&v=beta&t=pyoNLMI3TlgJj_4qFzFk4V03vreNj_pdZJPiUPMOx8s;Architecture > Solutions Architect;https://www.linkedin.com/company/amazon-web-services-aws/about/;Software e Serviços de TI;vibe coding OR claude code OR openclaw OR unip;amazon web services (aws);1;;https://www.linkedin.com/jobs/view/4455786900/;https://www.linkedin.com/jobs/view/4455786900/;On-site;-;30/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
6;Amazon Web Services (AWS);Arquiteto(a) de Soluções, Financial Industry Brazil;Grande São Paulo (SP) ;30/08 05:00;https://www.linkedin.com/jobs/view/4457043191/;https://media.licdn.com/dms/image/v2/D4E0BAQFqdm1TZ-RZKQ/company-logo_100_100/B4EZgOay6gHEAY-/0/1752588562343/amazon_web_services_logo?e=1789603200&v=beta&t=pyoNLMI3TlgJj_4qFzFk4V03vreNj_pdZJPiUPMOx8s;Architecture;https://www.linkedin.com/company/amazon-web-services-aws/about/;Manufatura e Produção;vibe coding OR claude code OR openclaw OR unip;amazon web services (aws);1;;https://www.linkedin.com/jobs/view/4457043191/;https://www.linkedin.com/jobs/view/4457043191/;On-site;-;30/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
7;Amazon Web Services (AWS);Solutions Architect, Automotive and Manufacturing, Brazil Solutions Architecture;Grande São Paulo (SP) ;30/08 05:00;https://www.linkedin.com/jobs/view/4455925188/;https://media.licdn.com/dms/image/v2/D4E0BAQFqdm1TZ-RZKQ/company-logo_100_100/B4EZgOay6gHEAY-/0/1752588562343/amazon_web_services_logo?e=1789603200&v=beta&t=pyoNLMI3TlgJj_4qFzFk4V03vreNj_pdZJPiUPMOx8s;Architecture > Solutions Architect;https://www.linkedin.com/company/amazon-web-services-aws/about/;Manufatura e Produção;vibe coding OR claude code OR openclaw OR unip;amazon web services (aws);1;;https://www.linkedin.com/jobs/view/4455925188/;https://www.linkedin.com/jobs/view/4455925188/;On-site;-;30/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
8;BRQ Digital Solutions;Arquiteto(a) de Sistemas;São Paulo (SP);30/08 05:00;https://www.linkedin.com/jobs/view/4458262228/;https://media.licdn.com/dms/image/v2/D4D0BAQHsHMIGkFifsw/company-logo_100_100/B4DZwerWdfIoAQ-/0/1770041207049/brq_logo?e=1789603200&v=beta&t=Y-IygJAS33DrecZHXkbMSRQwtppaiHVhPJn_s3V2PR8;Architecture;https://www.linkedin.com/company/brq-digital-solutions/about/;Software e Serviços de TI;vibe coding OR claude code OR openclaw OR unip;brq digital solutions;1;;https://www.linkedin.com/jobs/view/4458262228/;https://www.linkedin.com/jobs/view/4458262228/;Hybrid;TI/Tech;30/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
9;Bosch Brasil;MID LEVEL DIGITAL SOLUTION ARCHITECT (33992);Grande Curitiba (PR);30/08 05:00;https://www.linkedin.com/jobs/view/4397631076/;https://media.licdn.com/dms/image/v2/D4D0BAQFLngNLBW1vZg/company-logo_100_100/B4DZ1Dtv3UGoAQ-/0/1774957560000/boschbrasil_logo?e=1789603200&v=beta&t=tyo5owZvSU1H5yn3dhFvTAOQGdzl1BGitYzN2d49xuk;Architecture > Solutions Architect;https://www.linkedin.com/company/bosch-brasil/about/;Software e Serviços de TI;vibe coding OR claude code OR openclaw OR unip;bosch brasil;1;;https://www.linkedin.com/jobs/view/4397631076/;https://www.linkedin.com/jobs/view/4397631076/;Hybrid;Mid, TI/Tech;30/08/2026;;Paraná;PR;Região Sul;Brasil;América do Sul
10;Bunge;Cloud Security Engineer;São Paulo (SP);30/08 05:00;https://www.linkedin.com/jobs/view/4435304534/;https://media.licdn.com/dms/image/v2/D560BAQFJQ0GVco3UXw/company-logo_100_100/company-logo_100_100/0/1720012233520/bunge_logo?e=1789603200&v=beta&t=REthqTGudV_eaYZMXuzcXexCowukcQJrBabr6UGKcXQ;Cybersecurity;https://www.linkedin.com/company/bunge/about/;Cibersegurança;vibe coding OR claude code OR openclaw OR unip;bunge;1;;https://www.linkedin.com/jobs/view/4435304534/;https://www.linkedin.com/jobs/view/4435304534/;On-site;Cybersecurity, Engenharia Geral;30/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
