Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;AJC Group;Sales Assistant(Sales Representative Track)(Bilingual French);Porto Alegre (RS);24/07 19:00;https://www.linkedin.com/jobs/view/4444398744/;https://media.licdn.com/dms/image/v2/D4E0BAQFbp-gfUV3nSA/company-logo_100_100/company-logo_100_100/0/1704244301006/theajcgroup_logo?e=1786579200&v=beta&t=qWXxNm0sX3a0AqIxMe6Lw4gOUt3C6fxcp1Iy-TlPGjk;-;https://www.linkedin.com/company/ajc-group/about/;Software e Serviços de TI;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);ajc group;1.0;;https://www.linkedin.com/jobs/view/4444398744/;https://www.linkedin.com/jobs/view/4444398744/;On-site;Inglês Fluente/Avançado, Associate, Vendas / Comercial;25/07/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
2;Axon;Strategic Account Manager, Public Sector, Brazil;Brasil;25/07 05:00;https://www.linkedin.com/jobs/view/4445312472/;https://media.licdn.com/dms/image/v2/D4E0BAQHmFbifpO0kLg/company-logo_100_100/company-logo_100_100/0/1706130547752/axon_protect_life_logo?e=1786579200&v=beta&t=DXXCGVN8dkzvav7XCEiSYd_gnFezce6NNmDZ3bNOwd0;Specific > Sales > Account;https://www.linkedin.com/company/axon/about/;-;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);axon;1.0;;https://www.linkedin.com/jobs/view/4445312472/;https://www.linkedin.com/jobs/view/4445312472/;Remote;Liderança/Gerência, Executivo de Contas;25/07/2026;;;;;Brasil;América do Sul
3;Canonical;Graduate Customer Success Manager;América Latina;25/07 12:00;https://www.linkedin.com/jobs/view/4286642900/;https://media.licdn.com/dms/image/v2/C560BAQEbIYAkAURcYw/company-logo_100_100/company-logo_100_100/0/1650566107463/canonical_logo?e=1786579200&v=beta&t=Pf4UD_6_QjRBzSXQ5grqAba-9IVOjk4UcoOzmhuZnl0;Specific > Customer Success Manager;https://www.linkedin.com/company/canonical/about/;-;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);canonical;3.0;Greenhouse;https://www.linkedin.com/jobs/view/4286642900/;https://www.linkedin.com/jobs/view/4286642900/;Remote;Liderança/Gerência;25/07/2026;;;;;;América Latina
4;Cosine Italy;SALES AMBASSADOR;Viamão (RS);24/07 16:00;https://www.linkedin.com/jobs/view/4441827702/;https://media.licdn.com/dms/image/v2/C4D0BAQHdNfcfJMjrGw/company-logo_100_100/company-logo_100_100/0/1677844482055/cosine_italy_logo?e=1786579200&v=beta&t=8ooKrpcqNnIlQXuYK7q7kUf_uI_9Zxb5pJpNX4FeUbc;-;https://www.linkedin.com/company/cosine-italy/about/;Software e Serviços de TI;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);cosine italy;1;;https://www.linkedin.com/jobs/view/4441827702/;https://www.linkedin.com/jobs/view/4441827702/;On-site;Vendas / Comercial;25/07/2026;Viamão;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
5;Cosine Italy;Sales Expert | Conoscenza canale Horeca | Bergamo;Viamão (RS);24/07 16:00;https://www.linkedin.com/jobs/view/4441840046/;https://media.licdn.com/dms/image/v2/C4D0BAQHdNfcfJMjrGw/company-logo_100_100/company-logo_100_100/0/1677844482055/cosine_italy_logo?e=1786579200&v=beta&t=8ooKrpcqNnIlQXuYK7q7kUf_uI_9Zxb5pJpNX4FeUbc;Advanced > Specialist;https://www.linkedin.com/company/cosine-italy/about/;Software e Serviços de TI;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);cosine italy;1;;https://www.linkedin.com/jobs/view/4441840046/;https://www.linkedin.com/jobs/view/4441840046/;On-site;Specialist, Vendas / Comercial;25/07/2026;Viamão;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
6;Cosine Italy;Sales Expert | Conoscenza canale Horeca | Brescia;Viamão (RS);24/07 16:00;https://www.linkedin.com/jobs/view/4441834345/;https://media.licdn.com/dms/image/v2/C4D0BAQHdNfcfJMjrGw/company-logo_100_100/company-logo_100_100/0/1677844482055/cosine_italy_logo?e=1786579200&v=beta&t=8ooKrpcqNnIlQXuYK7q7kUf_uI_9Zxb5pJpNX4FeUbc;Advanced > Specialist;https://www.linkedin.com/company/cosine-italy/about/;Software e Serviços de TI;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);cosine italy;1;;https://www.linkedin.com/jobs/view/4441834345/;https://www.linkedin.com/jobs/view/4441834345/;On-site;Specialist, Vendas / Comercial;25/07/2026;Viamão;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
7;Cosine Italy;Sales Expert | Conoscenza canale Horeca | Milano;Viamão (RS);24/07 16:00;https://www.linkedin.com/jobs/view/4441826785/;https://media.licdn.com/dms/image/v2/C4D0BAQHdNfcfJMjrGw/company-logo_100_100/company-logo_100_100/0/1677844482055/cosine_italy_logo?e=1786579200&v=beta&t=8ooKrpcqNnIlQXuYK7q7kUf_uI_9Zxb5pJpNX4FeUbc;Advanced > Specialist;https://www.linkedin.com/company/cosine-italy/about/;Software e Serviços de TI;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);cosine italy;1;;https://www.linkedin.com/jobs/view/4441826785/;https://www.linkedin.com/jobs/view/4441826785/;On-site;Specialist, Vendas / Comercial;25/07/2026;Viamão;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
8;Cosine Italy;Sales Expert | Conoscenza canale Horeca | Modena;Viamão (RS);24/07 16:00;https://www.linkedin.com/jobs/view/4441840048/;https://media.licdn.com/dms/image/v2/C4D0BAQHdNfcfJMjrGw/company-logo_100_100/company-logo_100_100/0/1677844482055/cosine_italy_logo?e=1786579200&v=beta&t=8ooKrpcqNnIlQXuYK7q7kUf_uI_9Zxb5pJpNX4FeUbc;Advanced > Specialist;https://www.linkedin.com/company/cosine-italy/about/;Software e Serviços de TI;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);cosine italy;1;;https://www.linkedin.com/jobs/view/4441840048/;https://www.linkedin.com/jobs/view/4441840048/;On-site;Specialist, Vendas / Comercial;25/07/2026;Viamão;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
9;Cosine Italy;Sales Expert | Conoscenza canale Horeca | Monza Brianza;Viamão (RS);24/07 16:00;https://www.linkedin.com/jobs/view/4441829567/;https://media.licdn.com/dms/image/v2/C4D0BAQHdNfcfJMjrGw/company-logo_100_100/company-logo_100_100/0/1677844482055/cosine_italy_logo?e=1786579200&v=beta&t=8ooKrpcqNnIlQXuYK7q7kUf_uI_9Zxb5pJpNX4FeUbc;Advanced > Specialist;https://www.linkedin.com/company/cosine-italy/about/;Software e Serviços de TI;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);cosine italy;1;;https://www.linkedin.com/jobs/view/4441829567/;https://www.linkedin.com/jobs/view/4441829567/;On-site;Specialist, Vendas / Comercial;25/07/2026;Viamão;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
10;Empresa Confidencial;Supervisor de Vendas - Minas Gerais (canal cash e key account);Belo Horizonte (MG);24/07 14:00;https://www.linkedin.com/jobs/view/4445349327/;https://media.licdn.com/dms/image/v2/D4D0BAQE5LKe2moMnHg/company-logo_100_100/company-logo_100_100/0/1736630274411/empresa_confidencial_logo?e=1786579200&v=beta&t=RTsYjMQhxU_UgcyARBdX_U9zcLnE2_CNuRXubveB_Hk;Middle > Manager;https://www.linkedin.com/company/empresa-confidencial/about/;Vendas e Suporte;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);empresa confidencial;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4445349327/;https://www.linkedin.com/jobs/view/4445349327/;On-site;Mid, Liderança/Gerência, Vendas / Comercial;25/07/2026;Belo Horizonte;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
11;G4;Executivo(a) de Vendas – Aquisição (Inbound Sales);SP;24/07 15:00;https://www.linkedin.com/jobs/view/4445209246/;https://media.licdn.com/dms/image/v2/D4D0BAQHMVlRb3EQ9XQ/company-logo_100_100/B4DZwq9xC7J8AU-/0/1770247361919/g4businessbr_logo?e=1786579200&v=beta&t=q5enWYhKkrY9xRgfGf4BbdbTqCmbnLltl14tbRmneis;-;https://www.linkedin.com/company/g4/about/;Software e Serviços de TI;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);g4;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4445209246/;https://www.linkedin.com/jobs/view/4445209246/;On-site;Vendas / Comercial;25/07/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
12;Globaltize;Account Manager;América Latina;25/07 12:00;https://www.linkedin.com/jobs/view/4445347211/;https://media.licdn.com/dms/image/v2/D560BAQE-0GobDYeRfQ/company-logo_100_100/B56ZmoA3KlJwAU-/0/1759460424343/globaltize_logo?e=1786579200&v=beta&t=zyT_u2WUMB4PkZSl4BohfIM2-YiWsVE-LXIBJwEKh6g;Specific > Sales > Account;https://www.linkedin.com/company/globaltize/about/;Software e Serviços de TI;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);globaltize;2.0;;https://www.linkedin.com/jobs/view/4445347211/;https://www.linkedin.com/jobs/view/4445347211/;Remote;Liderança/Gerência, Executivo de Contas;25/07/2026;;;;;;América Latina
13;Globaltize;Account Manager;América Latina;24/07 14:00;https://www.linkedin.com/jobs/view/4445341350/;https://media.licdn.com/dms/image/v2/D560BAQE-0GobDYeRfQ/company-logo_100_100/B56ZmoA3KlJwAU-/0/1759460424343/globaltize_logo?e=1786579200&v=beta&t=zyT_u2WUMB4PkZSl4BohfIM2-YiWsVE-LXIBJwEKh6g;Specific > Sales > Account;https://www.linkedin.com/company/globaltize/about/;Software e Serviços de TI;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);globaltize;2.0;;https://www.linkedin.com/jobs/view/4445341350/;https://www.linkedin.com/jobs/view/4445341350/;Remote;Liderança/Gerência, Executivo de Contas;25/07/2026;;;;;;América Latina
14;Grupo Navesa;SDR (Sales Development Representative) - MS;Campo Grande (MS);25/07 00:00;https://www.linkedin.com/jobs/view/4441852887/;https://media.licdn.com/dms/image/v2/D4D0BAQH8qp8Zz3ot_Q/company-logo_100_100/B4DZy9n8xsHcAQ-/0/1772707892726/grupo_navesa_logo?e=1786579200&v=beta&t=SPjrXQQdFrSCKfXO1g5Al8zyJ8ZCsDTz2MNPwDAkuqQ;-;https://www.linkedin.com/company/grupo-navesa/about/;Software e Serviços de TI;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);grupo navesa;1.0;empregos.com.br;https://www.linkedin.com/jobs/view/4441852887/;https://www.linkedin.com/jobs/view/4441852887/;On-site;Vendas / Comercial;25/07/2026;Campo Grande;Mato Grosso do Sul;MS;Região Centro-Oeste;Brasil;América do Sul
15;HBK - Hottinger Brüel & Kjær;Engineering Intern – Inside Technical Sales and Commercial Support;São Paulo (SP);25/07 10:00;https://www.linkedin.com/jobs/view/4427999708/;https://media.licdn.com/dms/image/v2/D4D0BAQFu2nRBNNcnJQ/company-logo_100_100/company-logo_100_100/0/1688367718359/hbkworld_test_and_measurement_logo?e=1786579200&v=beta&t=ei9KLLiI9NEtFXkONxfB5JAbk755nmGXlJHFWfV5BRM;Advanced > Information Technology;https://www.linkedin.com/company/hbk-hottinger-br-el-kj-r/about/;Software e Serviços de TI;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);hbk - hottinger brüel & kjær;1.0;;https://www.linkedin.com/jobs/view/4427999708/;https://www.linkedin.com/jobs/view/4427999708/;On-site;Intern, TI/Tech, Engenharia Geral, Vendas / Comercial;25/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
16;HireLATAM;Remote Sales Development Representative;América Latina;24/07 14:00;https://www.linkedin.com/jobs/view/4431850911/;https://media.licdn.com/dms/image/v2/D4E0BAQEOrTbLkHhg2Q/company-logo_100_100/company-logo_100_100/0/1690768734557/hirelatam_logo?e=1786579200&v=beta&t=-QvEn4QfV6TcUmx_LUtYxCySTN9bwsZzXhDBobuRlA8;-;https://www.linkedin.com/company/hirelatam/about/;Software e Serviços de TI;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);hirelatam;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4431850911/;https://www.linkedin.com/jobs/view/4431850911/;Remote;Vendas / Comercial;25/07/2026;;;;;;América Latina
17;Hired;Enterprise Account Manager (Government) (Remote);América Latina;24/07 14:00;https://www.linkedin.com/jobs/view/4445319033/;https://media.licdn.com/dms/image/v2/D4D0BAQG6dDbCPSmUIg/company-logo_100_100/B4DZ0k8alIKgAQ-/0/1774441311024/hiredddd_logo?e=1786579200&v=beta&t=SppVus_RCoUGIT1hPbKBgxuG1An9jjMRrqAZYu6y2Ks;Specific > Sales > Account;https://www.linkedin.com/company/hired/about/;Governo e Social;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);hired;1.0;jobs.micro1.ai;https://www.linkedin.com/jobs/view/4445319033/;https://www.linkedin.com/jobs/view/4445319033/;Remote;Liderança/Gerência, Executivo de Contas;25/07/2026;;;;;;América Latina
18;Hired;Sales/Account Executive (Remote);América Latina;24/07 14:00;https://www.linkedin.com/jobs/view/4445328530/;https://media.licdn.com/dms/image/v2/D4D0BAQG6dDbCPSmUIg/company-logo_100_100/B4DZ0k8alIKgAQ-/0/1774441311024/hiredddd_logo?e=1786579200&v=beta&t=SppVus_RCoUGIT1hPbKBgxuG1An9jjMRrqAZYu6y2Ks;-;https://www.linkedin.com/company/hired/about/;Software e Serviços de TI;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);hired;1.0;jobs.micro1.ai;https://www.linkedin.com/jobs/view/4445328530/;https://www.linkedin.com/jobs/view/4445328530/;Remote;Vendas / Comercial, Executivo de Contas;25/07/2026;;;;;;América Latina
19;Hired;Technical Writer (Remote);América Latina;24/07 14:00;https://www.linkedin.com/jobs/view/4445296820/;https://media.licdn.com/dms/image/v2/D4D0BAQG6dDbCPSmUIg/company-logo_100_100/B4DZ0k8alIKgAQ-/0/1774441311024/hiredddd_logo?e=1786579200&v=beta&t=SppVus_RCoUGIT1hPbKBgxuG1An9jjMRrqAZYu6y2Ks;-;https://www.linkedin.com/company/hired/about/;Software e Serviços de TI;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);hired;1.0;jobs.micro1.ai;https://www.linkedin.com/jobs/view/4445296820/;https://www.linkedin.com/jobs/view/4445296820/;Remote;TI/Tech;25/07/2026;;;;;;América Latina
20;Hired;Enterprise Account Manager (Government) (Remote);Brasil;25/07 09:00;https://www.linkedin.com/jobs/view/4445321884/;https://media.licdn.com/dms/image/v2/D4D0BAQG6dDbCPSmUIg/company-logo_100_100/B4DZ0k8alIKgAQ-/0/1774441311024/hiredddd_logo?e=1786579200&v=beta&t=SppVus_RCoUGIT1hPbKBgxuG1An9jjMRrqAZYu6y2Ks;Specific > Sales > Account;https://www.linkedin.com/company/hired/about/;Governo e Social;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);hired;1.0;jobs.micro1.ai;https://www.linkedin.com/jobs/view/4445321884/;https://www.linkedin.com/jobs/view/4445321884/;Remote;Liderança/Gerência, Executivo de Contas;25/07/2026;;;;;Brasil;América do Sul
21;InsideOut;Bilingual Sales Development Representative (Job ID: IRESAM1R);América Latina;24/07 21:00;https://www.linkedin.com/jobs/view/4441838939/;https://media.licdn.com/dms/image/v2/D4E0BAQF44XdXKN7RSw/company-logo_100_100/B4EZ1j9w5SHUAU-/0/1775498628979/insideoutvas_logo?e=1786579200&v=beta&t=b0MzjilG54IS-oWL7MUlHGRUhr1oKHTUbrC7iDiFAwA;-;https://www.linkedin.com/company/insideout/about/;Software e Serviços de TI;sales OR account OR (customer AND success AND manager) OR (client AND success) OR (developer AND relations) OR (technical AND writer);insideout;3.0;insideouthiring.applytojob.com;https://www.linkedin.com/jobs/view/4441838939/;https://www.linkedin.com/jobs/view/4441838939/;Remote;Inglês Fluente/Avançado, Vendas / Comercial;25/07/2026;;;;;;América Latina
