Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;Accenture Brasil;AWS / Sr Application Developer;Grande Rio de Janeiro (RJ);16/07 20:00;https://www.linkedin.com/jobs/view/4441109578/;https://media.licdn.com/dms/image/v2/D4D0BAQFxYk90aqWMqA/company-logo_100_100/company-logo_100_100/0/1727873248436/accenturebrasil_logo?e=1785974400&v=beta&t=NKxRGkcvxTyehkA9w5lkM76qjDJxnPAXQKCQ2SlvX-o;Advanced > Information Technology;https://www.linkedin.com/company/accenture-brasil/about/;Software e Serviços de TI;aws OR cloudflare OR (arquiteto AND cloud) OR (arquiteto AND de AND cloud) OR (cloud AND architect) OR (cloud OR finops);accenture brasil;4.0;LinkedIn;https://www.linkedin.com/jobs/view/4441109578/;https://www.linkedin.com/jobs/view/4441109578/;Remote;Senior, Cloud (AWS/GCP/Azure);17/07/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul
2;Ahoy by Belago;ENGENHEIRO DE DADOS - SAP (AWS) Databricks e Datastage - conhecimento com ingestão de dados vindos do SAP;Brasil;16/07 14:00;https://www.linkedin.com/jobs/view/4441600329/;https://media.licdn.com/dms/image/v2/D4D0BAQGEe1exewMgbA/company-logo_100_100/B4DZtcPaEuIAAU-/0/1766779102430/ahoybr_logo?e=1785974400&v=beta&t=ujaMRpwTzGb7cj2fmWPfpw0dkUCvOE3fdrOew4lt61s;-;https://www.linkedin.com/company/ahoy-by-belago/about/;Dados e Analytics;aws OR cloudflare OR (arquiteto AND cloud) OR (arquiteto AND de AND cloud) OR (cloud AND architect) OR (cloud OR finops);ahoy by belago;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4441600329/;https://www.linkedin.com/jobs/view/4441600329/;Remote;SAP, Cloud (AWS/GCP/Azure), Dados/Analytics;17/07/2026;;;;;Brasil;América do Sul
3;Allied Global Technology Services;Sr Data Engineer (AWS Redshift);América Latina;16/07 15:00;https://www.linkedin.com/jobs/view/4441624360/;https://media.licdn.com/dms/image/v2/D4E0BAQFInA271jnPhQ/company-logo_100_100/company-logo_100_100/0/1688570414713/allied_global_its_logo?e=1785974400&v=beta&t=0ZBYDE7MeDM6drJT09curfdnRVn8f5MUuLsqDtLhFgs;Data & Ai > Data Engineering;https://www.linkedin.com/company/allied-global-technology-services/about/;Dados e Analytics;aws OR cloudflare OR (arquiteto AND cloud) OR (arquiteto AND de AND cloud) OR (cloud AND architect) OR (cloud OR finops);allied global technology services;1.0;allied-global-its.talentlyft.com;https://www.linkedin.com/jobs/view/4441624360/;https://www.linkedin.com/jobs/view/4441624360/;Remote;Senior, Cloud (AWS/GCP/Azure), Dados/Analytics, Engenharia Geral;17/07/2026;;;;;;América Latina
4;Amazon Web Services (AWS);Deep Learning Architect, AWS Gen AI Innovation Center;Grande São Paulo (SP) ;17/07 13:00;https://www.linkedin.com/jobs/view/4405459803/;https://media.licdn.com/dms/image/v2/D4E0BAQFqdm1TZ-RZKQ/company-logo_100_100/B4EZgOay6gHEAY-/0/1752588562343/amazon_web_services_logo?e=1785974400&v=beta&t=LzjQ2-jIbNGcM38Oy1WqHYDlXX79xfk4r57qr2yuD4o;Inovação > Ai Innovation;https://www.linkedin.com/company/amazon-web-services-aws/about/;Inteligência Artificial;aws OR cloudflare OR (arquiteto AND cloud) OR (arquiteto AND de AND cloud) OR (cloud AND architect) OR (cloud OR finops);amazon web services (aws);5.0;Amazon;https://www.linkedin.com/jobs/view/4405459803/;https://www.linkedin.com/jobs/view/4405459803/;On-site;Deep Learning, Inteligência Artificial, Cloud (AWS/GCP/Azure), Inovação/P&D;17/07/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
5;Compass UOL;GCP Cloud Architect | Specialist (Remote);Brasil;17/07 07:00;https://www.linkedin.com/jobs/view/4411413368/;https://media.licdn.com/dms/image/v2/D4D0BAQGS2dYkE6pQUA/company-logo_100_100/B4DZ2b.l4WIkAY-/0/1776438370262/compass_uol_logo?e=1785974400&v=beta&t=yj_WC5qvDq_kUk2bbvwbpoRWqbDuF_i1ZLg1oAxkTI8;Architecture;https://www.linkedin.com/company/compass-uol/about/;Software e Serviços de TI;aws OR cloudflare OR (arquiteto AND cloud) OR (arquiteto AND de AND cloud) OR (cloud AND architect) OR (cloud OR finops);compass uol;4.0;Gupy;https://www.linkedin.com/jobs/view/4411413368/;https://www.linkedin.com/jobs/view/4411413368/;Remote;Specialist, Cloud (AWS/GCP/Azure);17/07/2026;;;;;Brasil;América do Sul
6;EY;Integration Tech Lead (IBM API Connect & AWS);São Paulo (SP);17/07 12:00;https://www.linkedin.com/jobs/view/4430283282/;https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1785974400&v=beta&t=QsXm0lm6EzN9AL1508DcIdveES1JkHKX1-aCrCkXqv4;Middle > Manager;https://www.linkedin.com/company/ey/about/;Software e Serviços de TI;aws OR cloudflare OR (arquiteto AND cloud) OR (arquiteto AND de AND cloud) OR (cloud AND architect) OR (cloud OR finops);ey;1.0;LinkedIn;https://www.linkedin.com/jobs/view/4430283282/;https://www.linkedin.com/jobs/view/4430283282/;On-site;Mid, Liderança/Gerência, Cloud (AWS/GCP/Azure), TI/Tech;17/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
7;EY;Senior Integration Developer (IBM APIC / AWS / MQSeries);São Paulo (SP);16/07 14:00;https://www.linkedin.com/jobs/view/4438726248/;https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1785974400&v=beta&t=QsXm0lm6EzN9AL1508DcIdveES1JkHKX1-aCrCkXqv4;Advanced > Information Technology;https://www.linkedin.com/company/ey/about/;Software e Serviços de TI;aws OR cloudflare OR (arquiteto AND cloud) OR (arquiteto AND de AND cloud) OR (cloud AND architect) OR (cloud OR finops);ey;1.0;LinkedIn;https://www.linkedin.com/jobs/view/4438726248/;https://www.linkedin.com/jobs/view/4438726248/;On-site;Senior, Cloud (AWS/GCP/Azure);17/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
8;GFT Brasil;DevOps / Cloud Engineer com foco em AWS | Híbrido/SP - 134677;São Paulo (SP);16/07 17:00;https://www.linkedin.com/jobs/view/4441647970/;https://media.licdn.com/dms/image/v2/D4E0BAQHo8b2c2pSzMw/company-logo_100_100/B4EZmE9mMwIMAU-/0/1758872364214/gft_technologies_brasil_logo?e=1785974400&v=beta&t=gsTBspRoJo8rcshrq4-djUpbe6-pPQfZ9zm9s9MQemU;Specific > Cloud;https://www.linkedin.com/company/gft-brasil/about/;-;aws OR cloudflare OR (arquiteto AND cloud) OR (arquiteto AND de AND cloud) OR (cloud AND architect) OR (cloud OR finops);gft brasil;3.0;jobs.gft.com;https://www.linkedin.com/jobs/view/4441647970/;https://www.linkedin.com/jobs/view/4441647970/;Hybrid;Cloud (AWS/GCP/Azure), DevOps, Engenharia Geral;17/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
9;GFT Technologies;Desenvolvimento .Net AWS Sênior - Híbrido - 134722;SP;17/07 10:00;https://www.linkedin.com/jobs/view/4439224576/;https://media.licdn.com/dms/image/v2/D4E0BAQFS8Oq_RoTX9Q/company-logo_100_100/B4EZmE9ECUIUAQ-/0/1758872224292/gft_technologies_logo?e=1785974400&v=beta&t=YfjVO92THVrdHEvKm_B0WFnP4CTsgNN5a6oDVW3U8r4;-;https://www.linkedin.com/company/gft-technologies/about/;Software e Serviços de TI;aws OR cloudflare OR (arquiteto AND cloud) OR (arquiteto AND de AND cloud) OR (cloud AND architect) OR (cloud OR finops);gft technologies;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4439224576/;https://www.linkedin.com/jobs/view/4439224576/;Hybrid;Senior, Cloud (AWS/GCP/Azure);17/07/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
10;Grupo Bolt;Data Engineer AWS Mid-Level;São Paulo (SP);16/07 15:00;https://www.linkedin.com/jobs/view/4438736685/;https://media.licdn.com/dms/image/v2/D4D0BAQHAsSiEul4IWw/company-logo_100_100/B4DZ6tmcApGYAI-/0/1781028995322/bolt_energy_oficial_logo?e=1785974400&v=beta&t=SfsuEVPzHjnSkiSPM5FHwkSgWdqN-kAVpSjpUrt4_nI;Data & Ai > Data Engineering;https://www.linkedin.com/company/grupo-bolt/about/;Dados e Analytics;aws OR cloudflare OR (arquiteto AND cloud) OR (arquiteto AND de AND cloud) OR (cloud AND architect) OR (cloud OR finops);grupo bolt;1.0;;https://www.linkedin.com/jobs/view/4438736685/;https://www.linkedin.com/jobs/view/4438736685/;On-site;Mid, Cloud (AWS/GCP/Azure), Dados/Analytics, Engenharia Geral;17/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
