Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;DBACorp - Inteligência Aplicada a TI;DBA SQL Server Senior;São Paulo (SP);04/08 22:00;https://www.linkedin.com/jobs/view/4449405922/;https://media.licdn.com/dms/image/v2/C510BAQGlmWOqoxXl8Q/company-logo_100_100/company-logo_100_100/0/1631391126792?e=1787788800&v=beta&t=KHMdA00i03qjKDjA5WMmDm0WF9tpgYnw-Iy-8PYhyCk;-;https://www.linkedin.com/company/dbacorp-intelig-ncia-aplicada-a-ti/about/;Hardware e Eletrônicos;postgresql OR mongodb OR redis OR elasticsearch OR sql OR graphql OR (api AND design);dbacorp - inteligência aplicada a ti;1;;https://www.linkedin.com/jobs/view/4449405922/;https://www.linkedin.com/jobs/view/4449405922/;Hybrid;Senior;05/08/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
2;Deloitte;Desenvolvedor(a) C# / SQL Pleno - São Paulo;São Paulo (SP);04/08 19:00;https://www.linkedin.com/jobs/view/4432493373/;https://media.licdn.com/dms/image/v2/C560BAQGNtpblgQpJoQ/company-logo_100_100/company-logo_100_100/0/1662120928214/deloitte_logo?e=1787788800&v=beta&t=Irpx85JBjpxcHY4eP3dzdG4PLPYYnbjqiP6vhG120nY;-;https://www.linkedin.com/company/deloitte/about/;Software e Serviços de TI;postgresql OR mongodb OR redis OR elasticsearch OR sql OR graphql OR (api AND design);deloitte;1;;https://www.linkedin.com/jobs/view/4432493373/;https://www.linkedin.com/jobs/view/4432493373/;Hybrid;Mid;05/08/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;Exadel;Associate Database Administrator (SQL Server, Oracle);São Paulo (SP);05/08 16:00;https://www.linkedin.com/jobs/view/4449148966/;https://media.licdn.com/dms/image/v2/D4D0BAQFyYBZhERAHMw/company-logo_100_100/B4DZpI3bI.JUAQ-/0/1762159080456/exadel_logo?e=1787788800&v=beta&t=QAFOtfcqQWs1SLXpT3qVmyLT129yNFwcdDGzqCY5Mvg;-;https://www.linkedin.com/company/exadel/about/;Dados e Analytics;postgresql OR mongodb OR redis OR elasticsearch OR sql OR graphql OR (api AND design);exadel;1;;https://www.linkedin.com/jobs/view/4449148966/;https://www.linkedin.com/jobs/view/4449148966/;Hybrid;Associate;05/08/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;INDI Staffing Services;Junior SQL Server DBA - Remote Work;América Latina;05/08 11:00;https://www.linkedin.com/jobs/view/4449640562/;https://media.licdn.com/dms/image/v2/D560BAQErXjIzfHesyQ/company-logo_100_100/company-logo_100_100/0/1666898446316/indi_staffing_services_logo?e=1787788800&v=beta&t=U7CaGBidGZsENTXHUe_-ey8HUPsLPjpKRil9qAbBee8;-;https://www.linkedin.com/company/indi-staffing-services/about/;-;postgresql OR mongodb OR redis OR elasticsearch OR sql OR graphql OR (api AND design);indi staffing services;1;;https://www.linkedin.com/jobs/view/4449640562/;https://www.linkedin.com/jobs/view/4449640562/;Remote;Junior;05/08/2026;;;;;;América Latina
5;INDI Staffing Services;Junior SQL Server Developer - Remote Work;América Latina;05/08 11:00;https://www.linkedin.com/jobs/view/4449619691/;https://media.licdn.com/dms/image/v2/D560BAQErXjIzfHesyQ/company-logo_100_100/company-logo_100_100/0/1666898446316/indi_staffing_services_logo?e=1787788800&v=beta&t=U7CaGBidGZsENTXHUe_-ey8HUPsLPjpKRil9qAbBee8;Advanced > Information Technology;https://www.linkedin.com/company/indi-staffing-services/about/;-;postgresql OR mongodb OR redis OR elasticsearch OR sql OR graphql OR (api AND design);indi staffing services;1;;https://www.linkedin.com/jobs/view/4449619691/;https://www.linkedin.com/jobs/view/4449619691/;Remote;Junior;05/08/2026;;;;;;América Latina
6;INDI Staffing Services;Senior SQL Server DBA - Remote Work;Campinas (SP);05/08 12:00;https://www.linkedin.com/jobs/view/4449649086/;https://media.licdn.com/dms/image/v2/D560BAQErXjIzfHesyQ/company-logo_100_100/company-logo_100_100/0/1666898446316/indi_staffing_services_logo?e=1787788800&v=beta&t=U7CaGBidGZsENTXHUe_-ey8HUPsLPjpKRil9qAbBee8;-;https://www.linkedin.com/company/indi-staffing-services/about/;-;postgresql OR mongodb OR redis OR elasticsearch OR sql OR graphql OR (api AND design);indi staffing services;1;;https://www.linkedin.com/jobs/view/4449649086/;https://www.linkedin.com/jobs/view/4449649086/;Remote;Senior;05/08/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul
7;M3 USA;Senior Data Engineer (SQL DBA);Grande Rio de Janeiro (RJ);04/08 19:00;https://www.linkedin.com/jobs/view/4397315028/;https://media.licdn.com/dms/image/v2/D560BAQGHvVPa3-nQUg/company-logo_100_100/company-logo_100_100/0/1738874065999/so_net_m3_logo?e=1787788800&v=beta&t=6R-i_GE4Ws-zoFVQICVFxvb6npHQjbV7hsGnGKCht14;Data & Ai > Data Engineering;https://www.linkedin.com/company/m3-usa/about/;Dados e Analytics;postgresql OR mongodb OR redis OR elasticsearch OR sql OR graphql OR (api AND design);m3 usa;1;;https://www.linkedin.com/jobs/view/4397315028/;https://www.linkedin.com/jobs/view/4397315028/;Remote;Senior, Dados/Analytics, Engenharia Geral;05/08/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul
8;Noorden Group;Engenheiro de Dados PostgreSQL;São Paulo (SP);04/08 22:00;https://www.linkedin.com/jobs/view/4447304844/;https://media.licdn.com/dms/image/v2/D4D0BAQF485rym_RM7g/company-logo_100_100/B4DZwgDEm_LAAU-/0/1770064202765/noorden_group_logo?e=1787788800&v=beta&t=7Daw8tMVeNQOaMa6HR9ypsGcZrDrrVmTcqaF20kKLcg;-;https://www.linkedin.com/company/noorden-group/about/;Dados e Analytics;postgresql OR mongodb OR redis OR elasticsearch OR sql OR graphql OR (api AND design);noorden group;1;;https://www.linkedin.com/jobs/view/4447304844/;https://www.linkedin.com/jobs/view/4447304844/;Remote;Dados/Analytics;05/08/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
9;PUCRS Carreiras;ESTÁGIO - THEMA INFORMÁTICA - ANÁLISE/RELATÓRIOS SQL;Grande Porto Alegre (RS);05/08 14:00;https://www.linkedin.com/jobs/view/4449136399/;https://media.licdn.com/dms/image/v2/C4D0BAQHILVV2gptPuA/company-logo_100_100/company-logo_100_100/0/1630569403269/escritrio_de_carreiras_pucrs_logo?e=1787788800&v=beta&t=Y7vlrg_xq5kwAn-xzlOB8YrYdTN2mkxqmALIu0YogBg;-;https://www.linkedin.com/company/pucrs-carreiras/about/;Software e Serviços de TI;postgresql OR mongodb OR redis OR elasticsearch OR sql OR graphql OR (api AND design);pucrs carreiras;1;;https://www.linkedin.com/jobs/view/4449136399/;https://www.linkedin.com/jobs/view/4449136399/;On-site;Intern;05/08/2026;;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
10;Tata Consultancy Services;Senior Application Support Engineer L3 (Java, SQL e Sistemas Financeiros);São Paulo (SP);05/08 10:00;https://www.linkedin.com/jobs/view/4449490911/;https://media.licdn.com/dms/image/v2/D4D0BAQGsGR9p4ikS5w/company-logo_100_100/company-logo_100_100/0/1708946550425/tata_consultancy_services_logo?e=1787788800&v=beta&t=urr3R3Tnj2ofNVbaBrYw1RzrssHvdEGbumdMRYiCJdY;Leadership > Middle Management > Leader > Application Support;https://www.linkedin.com/company/tata-consultancy-services/about/;Serviços Financeiros;postgresql OR mongodb OR redis OR elasticsearch OR sql OR graphql OR (api AND design);tata consultancy services;1;;https://www.linkedin.com/jobs/view/4449490911/;https://www.linkedin.com/jobs/view/4449490911/;On-site;Senior, TI/Tech, Engenharia Geral, Financeiro/Fiscal;05/08/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
