Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;BairesDev;Cyber Security Analyst - Remote Work;América Latina;31/08 17:00;https://www.linkedin.com/jobs/view/4460055873/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1789603200&v=beta&t=fAO62JH2G4jFPctfAkIzzpHS7alkyDb6uR24MWD1fUc;Cybersecurity;https://www.linkedin.com/company/bairesdev/about/;Cibersegurança;cybersecurity OR cyber security OR ai red team;bairesdev;1;;https://www.linkedin.com/jobs/view/4460055873/;https://www.linkedin.com/jobs/view/4460055873/;Remote;Cybersecurity;01/09/2026;;;;;;América Latina
2;BairesDev;Cyber Security Analyst - Remote Work;Brasil;01/09 05:00;https://www.linkedin.com/jobs/view/4460284721/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1789603200&v=beta&t=fAO62JH2G4jFPctfAkIzzpHS7alkyDb6uR24MWD1fUc;Cybersecurity;https://www.linkedin.com/company/bairesdev/about/;Cibersegurança;cybersecurity OR cyber security OR ai red team;bairesdev;1;;https://www.linkedin.com/jobs/view/4460284721/;https://www.linkedin.com/jobs/view/4460284721/;Remote;Cybersecurity;01/09/2026;;;;;Brasil;América do Sul
3;BairesDev;Cyber Security Analyst - Remote Work;RJ;31/08 17:00;https://www.linkedin.com/jobs/view/4460068095/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1789603200&v=beta&t=fAO62JH2G4jFPctfAkIzzpHS7alkyDb6uR24MWD1fUc;Cybersecurity;https://www.linkedin.com/company/bairesdev/about/;Cibersegurança;cybersecurity OR cyber security OR ai red team;bairesdev;1;;https://www.linkedin.com/jobs/view/4460068095/;https://www.linkedin.com/jobs/view/4460068095/;Remote;Cybersecurity;01/09/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul
4;Cellebrite;Enterprise Account Executive- Cybersecurity & Investigative Solutions;São Paulo (SP);31/08 15:00;https://www.linkedin.com/jobs/view/4446785193/;https://media.licdn.com/dms/image/v2/D560BAQHxV2h3FtCXQw/company-logo_100_100/company-logo_100_100/0/1719836228423/cellebrite_logo?e=1789603200&v=beta&t=tljkt_5a3Z_xyc8YLZdlTm7t0DJXz_8J-AXNZxEca4A;Cybersecurity;https://www.linkedin.com/company/cellebrite/about/;Cibersegurança;cybersecurity OR cyber security OR ai red team;cellebrite;1;;https://www.linkedin.com/jobs/view/4446785193/;https://www.linkedin.com/jobs/view/4446785193/;Remote;Cybersecurity, Vendas / Comercial, Executivo de Contas;01/09/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
5;Every TI Cybersecurity and GRC Solutions;Consultor de Governança de Dados;RJ;31/08 20:00;https://www.linkedin.com/jobs/view/4458009847/;https://media.licdn.com/dms/image/v2/D4D0BAQGHC-VljxxpiA/company-logo_100_100/company-logo_100_100/0/1729517277402/everycybersecurity_logo?e=1789603200&v=beta&t=AwBgB90EceT9J6P3E49vvVl7IzOAtDmpgEvtXK8Ywdo;Advanced > Specialist;https://www.linkedin.com/company/every-ti-cybersecurity-and-grc-solutions/about/;Cibersegurança;cybersecurity OR cyber security OR ai red team;every ti cybersecurity and grc solutions;1;;https://www.linkedin.com/jobs/view/4458009847/;https://www.linkedin.com/jobs/view/4458009847/;On-site;Consultor, Dados/Analytics;01/09/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul
6;Ewave do Brasil;Gerente de Projetos TI - Cybersecurity;Brasil;31/08 17:00;https://www.linkedin.com/jobs/view/4459250155/;https://media.licdn.com/dms/image/v2/C4D0BAQG_13WodBpHoA/company-logo_100_100/company-logo_100_100/0/1630556405650/ewave_do_brasil_logo?e=1789603200&v=beta&t=ume9GOySLEDcaek_ZH_VufFfGrPPRBf1o08P9FHWn_k;Cybersecurity;https://www.linkedin.com/company/ewave-do-brasil/about/;Cibersegurança;cybersecurity OR cyber security OR ai red team;ewave do brasil;1;;https://www.linkedin.com/jobs/view/4459250155/;https://www.linkedin.com/jobs/view/4459250155/;Remote;Mid, Liderança/Gerência, TI/Tech, Cybersecurity;01/09/2026;;;;;Brasil;América do Sul
7;Kanastra;Cybersecurity Specialist;Brasil;31/08 21:00;https://www.linkedin.com/jobs/view/4460280691/;https://media.licdn.com/dms/image/v2/D4D0BAQFZabjO8TZ9nw/company-logo_100_100/B4DZU.Kv2fHIAQ-/0/1740504761166/kanastra_logo?e=1789603200&v=beta&t=sCaIfq-LEs14TU3sfwa_SQxmbPSvt_ImvklYcReC12Y;Cybersecurity;https://www.linkedin.com/company/kanastra/about/;Cibersegurança;cybersecurity OR cyber security OR ai red team;kanastra;1;;https://www.linkedin.com/jobs/view/4460280691/;https://www.linkedin.com/jobs/view/4460280691/;Remote;Specialist, Cybersecurity;01/09/2026;;;;;Brasil;América do Sul
8;Mercadocar;Especialista em Cybersecurity | Segurança da Informação;São Paulo (SP);31/08 18:00;https://www.linkedin.com/jobs/view/4461294162/;https://media.licdn.com/dms/image/v2/C4E0BAQEWdVXPqWca-w/company-logo_100_100/company-logo_100_100/0/1630566260241/mercadocar_mercantil_ltda_logo?e=1789603200&v=beta&t=KDG7pvGsrpLAM8QgHO4U96hSV_jjmkDX1fMvN7Pcits;Cybersecurity;https://www.linkedin.com/company/mercadocar/about/;Cibersegurança;cybersecurity OR cyber security OR ai red team;mercadocar;1;;https://www.linkedin.com/jobs/view/4461294162/;https://www.linkedin.com/jobs/view/4461294162/;On-site;Specialist, Cybersecurity;01/09/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
9;Qubika;Cybersecurity Engineer (EASM);América Latina;31/08 20:00;https://www.linkedin.com/jobs/view/4461296662/;https://media.licdn.com/dms/image/v2/D4E0BAQFzvHK-9_P_vg/company-logo_100_100/company-logo_100_100/0/1689269712803/moove_it_logo?e=1789603200&v=beta&t=xLALH1y0Hy_3GaEc4m0mrFDyNEBd1rwpEZ0nJSeG-vg;Cybersecurity;https://www.linkedin.com/company/qubika/about/;Cibersegurança;cybersecurity OR cyber security OR ai red team;qubika;1;;https://www.linkedin.com/jobs/view/4461296662/;https://www.linkedin.com/jobs/view/4461296662/;Remote;Cybersecurity, Engenharia Geral;01/09/2026;;;;;;América Latina
10;Qubika;Cybersecurity Intel Analyst;América Latina;31/08 20:00;https://www.linkedin.com/jobs/view/4461507033/;https://media.licdn.com/dms/image/v2/D4E0BAQFzvHK-9_P_vg/company-logo_100_100/company-logo_100_100/0/1689269712803/moove_it_logo?e=1789603200&v=beta&t=xLALH1y0Hy_3GaEc4m0mrFDyNEBd1rwpEZ0nJSeG-vg;Cybersecurity;https://www.linkedin.com/company/qubika/about/;Cibersegurança;cybersecurity OR cyber security OR ai red team;qubika;1;;https://www.linkedin.com/jobs/view/4461507033/;https://www.linkedin.com/jobs/view/4461507033/;Remote;Cybersecurity;01/09/2026;;;;;;América Latina
