Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;Accenture Brasil;Consultor(a) SAP ABAP;Grande Recife (PE);21/07 10:00;https://www.linkedin.com/jobs/view/4327949764/;https://media.licdn.com/dms/image/v2/D4D0BAQFxYk90aqWMqA/company-logo_100_100/company-logo_100_100/0/1727873248436/accenturebrasil_logo?e=1785974400&v=beta&t=NKxRGkcvxTyehkA9w5lkM76qjDJxnPAXQKCQ2SlvX-o;Advanced > Specialist;https://www.linkedin.com/company/accenture-brasil/about/;-;Accenture OR Avanade (Bain AND Company) OR BHS OR (Boston AND Consulting AND Group) OR BCG OR Capgemini OR Databricks OR Deloitte OR Encora OR EY OR (Ernst AND Young) OR KPMG OR (McKinsey AND Company) OR Oracle OR PwC OR Radix OR Salesforce OR SAP OR ServiceNow OR Softplan OR (South AND System) OR Stefanini OR TOTVS OR Visagio OR (Zup AND Innovation);accenture brasil;4.0;LinkedIn;https://www.linkedin.com/jobs/view/4327949764/;https://www.linkedin.com/jobs/view/4327949764/;Remote;Consultor, SAP;21/07/2026;;Pernambuco;PE;Região Nordeste;Brasil;América do Sul
2;Accenture Brasil;Accenture Supply Chain & Engineering - Oportunidades em Supply Chain (Híbrido / Presencial);São Paulo (SP);21/07 10:00;https://www.linkedin.com/jobs/view/4328029702/;https://media.licdn.com/dms/image/v2/D4D0BAQFxYk90aqWMqA/company-logo_100_100/company-logo_100_100/0/1727873248436/accenturebrasil_logo?e=1785974400&v=beta&t=NKxRGkcvxTyehkA9w5lkM76qjDJxnPAXQKCQ2SlvX-o;Advanced > Information Technology;https://www.linkedin.com/company/accenture-brasil/about/;Logística e Supply Chain;Accenture OR Avanade (Bain AND Company) OR BHS OR (Boston AND Consulting AND Group) OR BCG OR Capgemini OR Databricks OR Deloitte OR Encora OR EY OR (Ernst AND Young) OR KPMG OR (McKinsey AND Company) OR Oracle OR PwC OR Radix OR Salesforce OR SAP OR ServiceNow OR Softplan OR (South AND System) OR Stefanini OR TOTVS OR Visagio OR (Zup AND Innovation);accenture brasil;4.0;LinkedIn;https://www.linkedin.com/jobs/view/4328029702/;https://www.linkedin.com/jobs/view/4328029702/;On-site;Logística/Supply, Engenharia Geral;21/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;Ahoy by Belago;ENGENHEIRO DE DADOS - SAP (AWS) Databricks e Datastage - conhecimento com ingestão de dados vindos do SAP;Brasil;21/07 00:00;https://www.linkedin.com/jobs/view/4443074723/;https://media.licdn.com/dms/image/v2/D4D0BAQGEe1exewMgbA/company-logo_100_100/B4DZtcPaEuIAAU-/0/1766779102430/ahoybr_logo?e=1785974400&v=beta&t=ujaMRpwTzGb7cj2fmWPfpw0dkUCvOE3fdrOew4lt61s;-;https://www.linkedin.com/company/ahoy-by-belago/about/;Dados e Analytics;Accenture OR Avanade (Bain AND Company) OR BHS OR (Boston AND Consulting AND Group) OR BCG OR Capgemini OR Databricks OR Deloitte OR Encora OR EY OR (Ernst AND Young) OR KPMG OR (McKinsey AND Company) OR Oracle OR PwC OR Radix OR Salesforce OR SAP OR ServiceNow OR Softplan OR (South AND System) OR Stefanini OR TOTVS OR Visagio OR (Zup AND Innovation);ahoy by belago;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4443074723/;https://www.linkedin.com/jobs/view/4443074723/;Remote;SAP, Cloud (AWS/GCP/Azure), Dados/Analytics;21/07/2026;;;;;Brasil;América do Sul
4;Almaviva Solutions;Gerente Comercial - Google;SP;21/07 13:00;https://www.linkedin.com/jobs/view/4440492198/;https://media.licdn.com/dms/image/v2/D4D0BAQFo3Nh7VYx-kg/company-logo_100_100/company-logo_100_100/0/1732382836517/almaviva_solutions_logo?e=1785974400&v=beta&t=fwC3a41IwlwYjrUUBH1B1HyPLC1SxStF5767kYZJjgg;Middle > Manager;https://www.linkedin.com/company/almaviva-solutions/about/;Software e Serviços de TI;Accenture OR Avanade (Bain AND Company) OR BHS OR (Boston AND Consulting AND Group) OR BCG OR Capgemini OR Databricks OR Deloitte OR Encora OR EY OR (Ernst AND Young) OR KPMG OR (McKinsey AND Company) OR Oracle OR PwC OR Radix OR Salesforce OR SAP OR ServiceNow OR Softplan OR (South AND System) OR Stefanini OR TOTVS OR Visagio OR (Zup AND Innovation);almaviva solutions;1.0;Gupy;https://www.linkedin.com/jobs/view/4440492198/;https://www.linkedin.com/jobs/view/4440492198/;Hybrid;Mid, Liderança/Gerência, Vendas / Comercial;21/07/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
5;Ambev Tech;[Ambev Global Tech] Data Migration SAP Specialist;Campinas (SP);20/07 14:00;https://www.linkedin.com/jobs/view/4367476007/;https://media.licdn.com/dms/image/v2/D4D0BAQG19YPzhmP11Q/company-logo_100_100/company-logo_100_100/0/1710449003347/ambevtech_logo?e=1785974400&v=beta&t=21jDlumRyR-e7TZuwGU5U6p2EMMMBBbFwxTINoK2Lvc;Data & Ai > Data Engineering;https://www.linkedin.com/company/ambev-tech/about/;Alimentos e Bebidas;Accenture OR Avanade (Bain AND Company) OR BHS OR (Boston AND Consulting AND Group) OR BCG OR Capgemini OR Databricks OR Deloitte OR Encora OR EY OR (Ernst AND Young) OR KPMG OR (McKinsey AND Company) OR Oracle OR PwC OR Radix OR Salesforce OR SAP OR ServiceNow OR Softplan OR (South AND System) OR Stefanini OR TOTVS OR Visagio OR (Zup AND Innovation);ambev tech;5.0;;https://www.linkedin.com/jobs/view/4367476007/;https://www.linkedin.com/jobs/view/4367476007/;On-site;Specialist, SAP, TI/Tech, Dados/Analytics;21/07/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul
6;Ambev Tech;[Ambev Global Tech] Especialista SAP TAX Reform;Campinas (SP);21/07 10:00;https://www.linkedin.com/jobs/view/4367617931/;https://media.licdn.com/dms/image/v2/D4D0BAQG19YPzhmP11Q/company-logo_100_100/company-logo_100_100/0/1710449003347/ambevtech_logo?e=1785974400&v=beta&t=21jDlumRyR-e7TZuwGU5U6p2EMMMBBbFwxTINoK2Lvc;Advanced > Specialist;https://www.linkedin.com/company/ambev-tech/about/;Alimentos e Bebidas;Accenture OR Avanade (Bain AND Company) OR BHS OR (Boston AND Consulting AND Group) OR BCG OR Capgemini OR Databricks OR Deloitte OR Encora OR EY OR (Ernst AND Young) OR KPMG OR (McKinsey AND Company) OR Oracle OR PwC OR Radix OR Salesforce OR SAP OR ServiceNow OR Softplan OR (South AND System) OR Stefanini OR TOTVS OR Visagio OR (Zup AND Innovation);ambev tech;5.0;;https://www.linkedin.com/jobs/view/4367617931/;https://www.linkedin.com/jobs/view/4367617931/;On-site;Specialist, SAP, TI/Tech, Financeiro/Fiscal;21/07/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul
7;Ardagh Group;IT Developer - SAP BW Backend;São Paulo (SP);21/07 14:00;https://www.linkedin.com/jobs/view/4433358103/;https://media.licdn.com/dms/image/v2/C4E0BAQFXl3EcHoPYeQ/company-logo_100_100/company-logo_100_100/0/1631330546931?e=1785974400&v=beta&t=OP7MoED7Yq6SpsdeppR6iU_ICLKtt5uDpSZayVmCXmA;Advanced > Information Technology;https://www.linkedin.com/company/ardagh-group/about/;Software e Serviços de TI;Accenture OR Avanade (Bain AND Company) OR BHS OR (Boston AND Consulting AND Group) OR BCG OR Capgemini OR Databricks OR Deloitte OR Encora OR EY OR (Ernst AND Young) OR KPMG OR (McKinsey AND Company) OR Oracle OR PwC OR Radix OR Salesforce OR SAP OR ServiceNow OR Softplan OR (South AND System) OR Stefanini OR TOTVS OR Visagio OR (Zup AND Innovation);ardagh group;1.0;;https://www.linkedin.com/jobs/view/4433358103/;https://www.linkedin.com/jobs/view/4433358103/;On-site;SAP, Backend;21/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
8;Assurance IT;Desenvolvedor SAP ABAP – Remoto;Brasil;20/07 17:00;https://www.linkedin.com/jobs/view/4442214586/;https://media.licdn.com/dms/image/v2/D4D0BAQEXQ4qAQyMt9g/company-logo_100_100/B4DZgexx3wHYAQ-/0/1752863023053/assurance_it_logo?e=1785974400&v=beta&t=BGIXsDU-8XOfG84xk8NPxKlsSSdcPggf_jya7Ej_rdw;-;https://www.linkedin.com/company/assurance-it/about/;Software e Serviços de TI;Accenture OR Avanade (Bain AND Company) OR BHS OR (Boston AND Consulting AND Group) OR BCG OR Capgemini OR Databricks OR Deloitte OR Encora OR EY OR (Ernst AND Young) OR KPMG OR (McKinsey AND Company) OR Oracle OR PwC OR Radix OR Salesforce OR SAP OR ServiceNow OR Softplan OR (South AND System) OR Stefanini OR TOTVS OR Visagio OR (Zup AND Innovation);assurance it;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4442214586/;https://www.linkedin.com/jobs/view/4442214586/;Remote;SAP;21/07/2026;;;;;Brasil;América do Sul
9;Avanade;Data Engineer | Ecossistema Azure - Databricks;São Paulo (SP);20/07 22:00;https://www.linkedin.com/jobs/view/4443062532/;https://media.licdn.com/dms/image/v2/D4D0BAQH9oEH9vWAthw/company-logo_100_100/B4DZf0WkqfH8AY-/0/1752151247860/avanade_logo?e=1785974400&v=beta&t=341syjMvDz-3a2xfefDO-hxujNxzI07xVBRnRa0PwXU;Data & Ai > Data Engineering;https://www.linkedin.com/company/avanade/about/;Dados e Analytics;Accenture OR Avanade (Bain AND Company) OR BHS OR (Boston AND Consulting AND Group) OR BCG OR Capgemini OR Databricks OR Deloitte OR Encora OR EY OR (Ernst AND Young) OR KPMG OR (McKinsey AND Company) OR Oracle OR PwC OR Radix OR Salesforce OR SAP OR ServiceNow OR Softplan OR (South AND System) OR Stefanini OR TOTVS OR Visagio OR (Zup AND Innovation);avanade;3.0;LinkedIn;https://www.linkedin.com/jobs/view/4443062532/;https://www.linkedin.com/jobs/view/4443062532/;On-site;Cloud (AWS/GCP/Azure), Dados/Analytics, Engenharia Geral;21/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
10;Avanade;Engenheiro de Dados | Databricks;São Paulo (SP);20/07 22:00;https://www.linkedin.com/jobs/view/4443060603/;https://media.licdn.com/dms/image/v2/D4D0BAQH9oEH9vWAthw/company-logo_100_100/B4DZf0WkqfH8AY-/0/1752151247860/avanade_logo?e=1785974400&v=beta&t=341syjMvDz-3a2xfefDO-hxujNxzI07xVBRnRa0PwXU;-;https://www.linkedin.com/company/avanade/about/;Dados e Analytics;Accenture OR Avanade (Bain AND Company) OR BHS OR (Boston AND Consulting AND Group) OR BCG OR Capgemini OR Databricks OR Deloitte OR Encora OR EY OR (Ernst AND Young) OR KPMG OR (McKinsey AND Company) OR Oracle OR PwC OR Radix OR Salesforce OR SAP OR ServiceNow OR Softplan OR (South AND System) OR Stefanini OR TOTVS OR Visagio OR (Zup AND Innovation);avanade;3.0;LinkedIn;https://www.linkedin.com/jobs/view/4443060603/;https://www.linkedin.com/jobs/view/4443060603/;On-site;Dados/Analytics;21/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
