Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;AB InBev;Especialista em Segurança SAP;Campinas (SP);22/07 10:00;https://www.linkedin.com/jobs/view/4443125962/;https://media.licdn.com/dms/image/v2/C560BAQEZRSga0FreWA/company-logo_100_100/company-logo_100_100/0/1656631574816/ab_inbev_logo?e=1786579200&v=beta&t=-ZbpKbw2wRP7vHqvzcHbgV6kEnswRsi2myLjVn0pusI;Advanced > Specialist;https://www.linkedin.com/company/ab-inbev/about/;Cibersegurança;(AB AND InBev) OR Ambev OR (Arcos AND Dorados) OR McDonald's OR Bauducco OR Cargill OR (Coca-Cola AND FEMSA) OR Diageo OR (General AND Mills) OR (Grupo AND Boticário) OR (Kraft AND Heinz) OR L'Oréal OR Natura OR Nestlé OR PepsiCo OR (Philip AND Morris AND International) OR (Red AND Bull) OR (The AND HEINEKEN AND Company) OR Unilever OR (Whirlpool AND Corporation);ab inbev;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4443125962/;https://www.linkedin.com/jobs/view/4443125962/;On-site;Specialist, SAP;22/07/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul
2;AB InBev;Especialista em migração de dados;Campinas (SP);22/07 13:00;https://www.linkedin.com/jobs/view/4443181068/;https://media.licdn.com/dms/image/v2/C560BAQEZRSga0FreWA/company-logo_100_100/company-logo_100_100/0/1656631574816/ab_inbev_logo?e=1786579200&v=beta&t=-ZbpKbw2wRP7vHqvzcHbgV6kEnswRsi2myLjVn0pusI;Advanced > Specialist;https://www.linkedin.com/company/ab-inbev/about/;Dados e Analytics;(AB AND InBev) OR Ambev OR (Arcos AND Dorados) OR McDonald's OR Bauducco OR Cargill OR (Coca-Cola AND FEMSA) OR Diageo OR (General AND Mills) OR (Grupo AND Boticário) OR (Kraft AND Heinz) OR L'Oréal OR Natura OR Nestlé OR PepsiCo OR (Philip AND Morris AND International) OR (Red AND Bull) OR (The AND HEINEKEN AND Company) OR Unilever OR (Whirlpool AND Corporation);ab inbev;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4443181068/;https://www.linkedin.com/jobs/view/4443181068/;On-site;Specialist, Dados/Analytics;22/07/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;AB InBev;Gerente de Finanças | Operações Globais & PMO;Campinas (SP);22/07 14:00;https://www.linkedin.com/jobs/view/4443181316/;https://media.licdn.com/dms/image/v2/C560BAQEZRSga0FreWA/company-logo_100_100/company-logo_100_100/0/1656631574816/ab_inbev_logo?e=1786579200&v=beta&t=-ZbpKbw2wRP7vHqvzcHbgV6kEnswRsi2myLjVn0pusI;Produtos > Product Manager;https://www.linkedin.com/company/ab-inbev/about/;Serviços Financeiros;(AB AND InBev) OR Ambev OR (Arcos AND Dorados) OR McDonald's OR Bauducco OR Cargill OR (Coca-Cola AND FEMSA) OR Diageo OR (General AND Mills) OR (Grupo AND Boticário) OR (Kraft AND Heinz) OR L'Oréal OR Natura OR Nestlé OR PepsiCo OR (Philip AND Morris AND International) OR (Red AND Bull) OR (The AND HEINEKEN AND Company) OR Unilever OR (Whirlpool AND Corporation);ab inbev;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4443181316/;https://www.linkedin.com/jobs/view/4443181316/;On-site;Mid, Liderança/Gerência, PMO, Financeiro/Fiscal;22/07/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;Broker Horizonte Nestlé;Promotor de Merchandsing;Bom Despacho (MG);21/07 22:00;https://www.linkedin.com/jobs/view/4443711563/;https://media.licdn.com/dms/image/v2/D4D0BAQFxgBUfkJGrqg/company-logo_100_100/B4DZYfwU.JGwAY-/0/1744289485336/brokerhorizonteestl_logo?e=1786579200&v=beta&t=ISMbeROICOJLLjW0-1IZQeik9Hg7zEpcFEQKyGRMkfA;-;https://www.linkedin.com/company/broker-horizonte-nestl/about/;Alimentos e Bebidas;(AB AND InBev) OR Ambev OR (Arcos AND Dorados) OR McDonald's OR Bauducco OR Cargill OR (Coca-Cola AND FEMSA) OR Diageo OR (General AND Mills) OR (Grupo AND Boticário) OR (Kraft AND Heinz) OR L'Oréal OR Natura OR Nestlé OR PepsiCo OR (Philip AND Morris AND International) OR (Red AND Bull) OR (The AND HEINEKEN AND Company) OR Unilever OR (Whirlpool AND Corporation);broker horizonte nestlé;1;;https://www.linkedin.com/jobs/view/4443711563/;https://www.linkedin.com/jobs/view/4443711563/;On-site;-;22/07/2026;Bom Despacho;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
5;Broker Horizonte Nestlé;Promotor de Merchandsing;Brasil;21/07 22:00;https://www.linkedin.com/jobs/view/4443724121/;https://media.licdn.com/dms/image/v2/D4D0BAQFxgBUfkJGrqg/company-logo_100_100/B4DZYfwU.JGwAY-/0/1744289485336/brokerhorizonteestl_logo?e=1786579200&v=beta&t=ISMbeROICOJLLjW0-1IZQeik9Hg7zEpcFEQKyGRMkfA;-;https://www.linkedin.com/company/broker-horizonte-nestl/about/;Alimentos e Bebidas;(AB AND InBev) OR Ambev OR (Arcos AND Dorados) OR McDonald's OR Bauducco OR Cargill OR (Coca-Cola AND FEMSA) OR Diageo OR (General AND Mills) OR (Grupo AND Boticário) OR (Kraft AND Heinz) OR L'Oréal OR Natura OR Nestlé OR PepsiCo OR (Philip AND Morris AND International) OR (Red AND Bull) OR (The AND HEINEKEN AND Company) OR Unilever OR (Whirlpool AND Corporation);broker horizonte nestlé;1;;https://www.linkedin.com/jobs/view/4443724121/;https://www.linkedin.com/jobs/view/4443724121/;On-site;-;22/07/2026;;;;;Brasil;América do Sul
6;Broker Horizonte Nestlé;Promotor de Merchandsing;Brasil;21/07 22:00;https://www.linkedin.com/jobs/view/4443718175/;https://media.licdn.com/dms/image/v2/D4D0BAQFxgBUfkJGrqg/company-logo_100_100/B4DZYfwU.JGwAY-/0/1744289485336/brokerhorizonteestl_logo?e=1786579200&v=beta&t=ISMbeROICOJLLjW0-1IZQeik9Hg7zEpcFEQKyGRMkfA;-;https://www.linkedin.com/company/broker-horizonte-nestl/about/;Alimentos e Bebidas;(AB AND InBev) OR Ambev OR (Arcos AND Dorados) OR McDonald's OR Bauducco OR Cargill OR (Coca-Cola AND FEMSA) OR Diageo OR (General AND Mills) OR (Grupo AND Boticário) OR (Kraft AND Heinz) OR L'Oréal OR Natura OR Nestlé OR PepsiCo OR (Philip AND Morris AND International) OR (Red AND Bull) OR (The AND HEINEKEN AND Company) OR Unilever OR (Whirlpool AND Corporation);broker horizonte nestlé;1;;https://www.linkedin.com/jobs/view/4443718175/;https://www.linkedin.com/jobs/view/4443718175/;On-site;-;22/07/2026;;;;;Brasil;América do Sul
7;Broker Horizonte Nestlé;Promotor de Merchandsing;Brasil;21/07 22:00;https://www.linkedin.com/jobs/view/4443719154/;https://media.licdn.com/dms/image/v2/D4D0BAQFxgBUfkJGrqg/company-logo_100_100/B4DZYfwU.JGwAY-/0/1744289485336/brokerhorizonteestl_logo?e=1786579200&v=beta&t=ISMbeROICOJLLjW0-1IZQeik9Hg7zEpcFEQKyGRMkfA;-;https://www.linkedin.com/company/broker-horizonte-nestl/about/;Alimentos e Bebidas;(AB AND InBev) OR Ambev OR (Arcos AND Dorados) OR McDonald's OR Bauducco OR Cargill OR (Coca-Cola AND FEMSA) OR Diageo OR (General AND Mills) OR (Grupo AND Boticário) OR (Kraft AND Heinz) OR L'Oréal OR Natura OR Nestlé OR PepsiCo OR (Philip AND Morris AND International) OR (Red AND Bull) OR (The AND HEINEKEN AND Company) OR Unilever OR (Whirlpool AND Corporation);broker horizonte nestlé;1;;https://www.linkedin.com/jobs/view/4443719154/;https://www.linkedin.com/jobs/view/4443719154/;On-site;-;22/07/2026;;;;;Brasil;América do Sul
8;Broker Horizonte Nestlé;Promotor de Merchandsing;Brasil;21/07 22:00;https://www.linkedin.com/jobs/view/4443712372/;https://media.licdn.com/dms/image/v2/D4D0BAQFxgBUfkJGrqg/company-logo_100_100/B4DZYfwU.JGwAY-/0/1744289485336/brokerhorizonteestl_logo?e=1786579200&v=beta&t=ISMbeROICOJLLjW0-1IZQeik9Hg7zEpcFEQKyGRMkfA;-;https://www.linkedin.com/company/broker-horizonte-nestl/about/;Alimentos e Bebidas;(AB AND InBev) OR Ambev OR (Arcos AND Dorados) OR McDonald's OR Bauducco OR Cargill OR (Coca-Cola AND FEMSA) OR Diageo OR (General AND Mills) OR (Grupo AND Boticário) OR (Kraft AND Heinz) OR L'Oréal OR Natura OR Nestlé OR PepsiCo OR (Philip AND Morris AND International) OR (Red AND Bull) OR (The AND HEINEKEN AND Company) OR Unilever OR (Whirlpool AND Corporation);broker horizonte nestlé;1;;https://www.linkedin.com/jobs/view/4443712372/;https://www.linkedin.com/jobs/view/4443712372/;On-site;-;22/07/2026;;;;;Brasil;América do Sul
9;Broker Horizonte Nestlé;Promotor de Merchandsing;Brasil;21/07 22:00;https://www.linkedin.com/jobs/view/4443719150/;https://media.licdn.com/dms/image/v2/D4D0BAQFxgBUfkJGrqg/company-logo_100_100/B4DZYfwU.JGwAY-/0/1744289485336/brokerhorizonteestl_logo?e=1786579200&v=beta&t=ISMbeROICOJLLjW0-1IZQeik9Hg7zEpcFEQKyGRMkfA;-;https://www.linkedin.com/company/broker-horizonte-nestl/about/;Alimentos e Bebidas;(AB AND InBev) OR Ambev OR (Arcos AND Dorados) OR McDonald's OR Bauducco OR Cargill OR (Coca-Cola AND FEMSA) OR Diageo OR (General AND Mills) OR (Grupo AND Boticário) OR (Kraft AND Heinz) OR L'Oréal OR Natura OR Nestlé OR PepsiCo OR (Philip AND Morris AND International) OR (Red AND Bull) OR (The AND HEINEKEN AND Company) OR Unilever OR (Whirlpool AND Corporation);broker horizonte nestlé;1;;https://www.linkedin.com/jobs/view/4443719150/;https://www.linkedin.com/jobs/view/4443719150/;On-site;-;22/07/2026;;;;;Brasil;América do Sul
10;Broker Horizonte Nestlé;Promotor de Merchandsing;Candeias (BA);21/07 22:00;https://www.linkedin.com/jobs/view/4443717234/;https://media.licdn.com/dms/image/v2/D4D0BAQFxgBUfkJGrqg/company-logo_100_100/B4DZYfwU.JGwAY-/0/1744289485336/brokerhorizonteestl_logo?e=1786579200&v=beta&t=ISMbeROICOJLLjW0-1IZQeik9Hg7zEpcFEQKyGRMkfA;-;https://www.linkedin.com/company/broker-horizonte-nestl/about/;Alimentos e Bebidas;(AB AND InBev) OR Ambev OR (Arcos AND Dorados) OR McDonald's OR Bauducco OR Cargill OR (Coca-Cola AND FEMSA) OR Diageo OR (General AND Mills) OR (Grupo AND Boticário) OR (Kraft AND Heinz) OR L'Oréal OR Natura OR Nestlé OR PepsiCo OR (Philip AND Morris AND International) OR (Red AND Bull) OR (The AND HEINEKEN AND Company) OR Unilever OR (Whirlpool AND Corporation);broker horizonte nestlé;1;;https://www.linkedin.com/jobs/view/4443717234/;https://www.linkedin.com/jobs/view/4443717234/;On-site;-;22/07/2026;Candeias;Bahia;BA;Região Nordeste;Brasil;América do Sul
