Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;4-PAY Soluções em pagamentos eletrônicos.;EXPANSÃO NOVAS FRANQUIAS BIN PARANÁ - FISERV;Rio Grande do Sul, Brasil;05/08 20:00;https://www.linkedin.com/jobs/view/4446218687/;https://media.licdn.com/dms/image/v2/C4E0BAQEOt5d3G8sTZw/company-logo_100_100/company-logo_100_100/0/1630595226035?e=1787788800&v=beta&t=1ilOL1xHSxlGU-fjimK9FtWyJW_uv9hDuJ7QCJAeq5Q;-;https://www.linkedin.com/company/4-pay-solu-es-em-pagamentos-eletr-nicos/about/;Hardware e Eletrônicos;Adyen OR (Allianz AND Partners) OR Aon OR Asaas OR (AXA AND no AND Brasil) OR (Banco AND ABC) OR (Banco AND ABC AND Brasil) OR (Banco AND Bradesco) OR (Banco AND BV) OR (Banco AND do AND Brasil) OR (Banco AND Toyota AND do AND Brasil) OR BBVA OR Bradesco OR (BTG AND Pactual) OR (C6 AND Bank) OR Cielo OR (Ferrari AND Organização) OR Fiserv OR (Itaú AND Unibanco) OR JPMorganChase OR (MAG AND Seguros) OR Mapfre OR Mastercard OR (Mercado AND Livre) OR Nubank OR PagBank OR PagoNxt OR Santander OR Sicoob OR Sicredi OR Stone OR SumUp OR (Tokio AND Marine) OR Viacredi OR Visa OR (Volvo AND Financial AND Services) OR WEX OR (XP AND Inc.);4-pay soluções em pagamentos eletrônicos.;1;;https://www.linkedin.com/jobs/view/4446218687/;https://www.linkedin.com/jobs/view/4446218687/;Remote;-;06/08/2026;;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
2;Franquia Stone Cataguases;Agente Comercial Externo Stone;Cataguases (MG);05/08 21:00;https://www.linkedin.com/jobs/view/4408108102/;https://media.licdn.com/dms/image/v2/D4D0BAQHd7WKG6NUO1w/company-logo_100_100/B4DZiHDambG8AU-/0/1754612477964?e=1787788800&v=beta&t=RMFVjAbVmglUPrSJp0Tq2CKh8loe7UCO0rTWXqhgiRU;-;https://www.linkedin.com/company/franquia-stone-cataguases/about/;Vendas e Suporte;Adyen OR (Allianz AND Partners) OR Aon OR Asaas OR (AXA AND no AND Brasil) OR (Banco AND ABC) OR (Banco AND ABC AND Brasil) OR (Banco AND Bradesco) OR (Banco AND BV) OR (Banco AND do AND Brasil) OR (Banco AND Toyota AND do AND Brasil) OR BBVA OR Bradesco OR (BTG AND Pactual) OR (C6 AND Bank) OR Cielo OR (Ferrari AND Organização) OR Fiserv OR (Itaú AND Unibanco) OR JPMorganChase OR (MAG AND Seguros) OR Mapfre OR Mastercard OR (Mercado AND Livre) OR Nubank OR PagBank OR PagoNxt OR Santander OR Sicoob OR Sicredi OR Stone OR SumUp OR (Tokio AND Marine) OR Viacredi OR Visa OR (Volvo AND Financial AND Services) OR WEX OR (XP AND Inc.);franquia stone cataguases;1;;https://www.linkedin.com/jobs/view/4408108102/;https://www.linkedin.com/jobs/view/4408108102/;On-site;Vendas / Comercial;06/08/2026;Cataguases;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
3;Mercado Libre;Gerente Senior de Categoría - Mercado Livre;SP;06/08 16:00;https://www.linkedin.com/jobs/view/4448448703/;https://media.licdn.com/dms/image/v2/D4D0BAQGBWvG8qkeDWA/company-logo_100_100/B4DZUUsRzCGcAU-/0/1739808906936/mercadolibre_logo?e=1787788800&v=beta&t=JifBRPNE53sTv_SnwJUa0-SSb_DYn02ZXvDs9MBREJo;Middle > Manager;https://www.linkedin.com/company/mercado-libre/about/;Varejo e E-commerce;Adyen OR (Allianz AND Partners) OR Aon OR Asaas OR (AXA AND no AND Brasil) OR (Banco AND ABC) OR (Banco AND ABC AND Brasil) OR (Banco AND Bradesco) OR (Banco AND BV) OR (Banco AND do AND Brasil) OR (Banco AND Toyota AND do AND Brasil) OR BBVA OR Bradesco OR (BTG AND Pactual) OR (C6 AND Bank) OR Cielo OR (Ferrari AND Organização) OR Fiserv OR (Itaú AND Unibanco) OR JPMorganChase OR (MAG AND Seguros) OR Mapfre OR Mastercard OR (Mercado AND Livre) OR Nubank OR PagBank OR PagoNxt OR Santander OR Sicoob OR Sicredi OR Stone OR SumUp OR (Tokio AND Marine) OR Viacredi OR Visa OR (Volvo AND Financial AND Services) OR WEX OR (XP AND Inc.);mercado libre;1;;https://www.linkedin.com/jobs/view/4448448703/;https://www.linkedin.com/jobs/view/4448448703/;Hybrid;Senior, Mid, Liderança/Gerência;06/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;Santander Brasil;Espec Santander II 8h;Federal District, Brasil;06/08 09:00;https://www.linkedin.com/jobs/view/4450251184/;https://media.licdn.com/dms/image/v2/D4D0BAQGO_CAKXyEH2g/company-logo_100_100/B4DZfGdXQHHMAQ-/0/1751381276407/grupo_santander_brasil_logo?e=1787788800&v=beta&t=kaKjz6XGJ_9PLC_XHq60y54mQTxAs8D3EOWZQZEP9Cw;-;https://www.linkedin.com/company/santander-brasil/about/;-;Adyen OR (Allianz AND Partners) OR Aon OR Asaas OR (AXA AND no AND Brasil) OR (Banco AND ABC) OR (Banco AND ABC AND Brasil) OR (Banco AND Bradesco) OR (Banco AND BV) OR (Banco AND do AND Brasil) OR (Banco AND Toyota AND do AND Brasil) OR BBVA OR Bradesco OR (BTG AND Pactual) OR (C6 AND Bank) OR Cielo OR (Ferrari AND Organização) OR Fiserv OR (Itaú AND Unibanco) OR JPMorganChase OR (MAG AND Seguros) OR Mapfre OR Mastercard OR (Mercado AND Livre) OR Nubank OR PagBank OR PagoNxt OR Santander OR Sicoob OR Sicredi OR Stone OR SumUp OR (Tokio AND Marine) OR Viacredi OR Visa OR (Volvo AND Financial AND Services) OR WEX OR (XP AND Inc.);santander brasil;1;;https://www.linkedin.com/jobs/view/4450251184/;https://www.linkedin.com/jobs/view/4450251184/;On-site;Specialist;06/08/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul
5;Santander Brasil;BRA Espec Santander II 8h;Santos (SP);06/08 15:00;https://www.linkedin.com/jobs/view/4450606795/;https://media.licdn.com/dms/image/v2/D4D0BAQGO_CAKXyEH2g/company-logo_100_100/B4DZfGdXQHHMAQ-/0/1751381276407/grupo_santander_brasil_logo?e=1787788800&v=beta&t=kaKjz6XGJ_9PLC_XHq60y54mQTxAs8D3EOWZQZEP9Cw;-;https://www.linkedin.com/company/santander-brasil/about/;-;Adyen OR (Allianz AND Partners) OR Aon OR Asaas OR (AXA AND no AND Brasil) OR (Banco AND ABC) OR (Banco AND ABC AND Brasil) OR (Banco AND Bradesco) OR (Banco AND BV) OR (Banco AND do AND Brasil) OR (Banco AND Toyota AND do AND Brasil) OR BBVA OR Bradesco OR (BTG AND Pactual) OR (C6 AND Bank) OR Cielo OR (Ferrari AND Organização) OR Fiserv OR (Itaú AND Unibanco) OR JPMorganChase OR (MAG AND Seguros) OR Mapfre OR Mastercard OR (Mercado AND Livre) OR Nubank OR PagBank OR PagoNxt OR Santander OR Sicoob OR Sicredi OR Stone OR SumUp OR (Tokio AND Marine) OR Viacredi OR Visa OR (Volvo AND Financial AND Services) OR WEX OR (XP AND Inc.);santander brasil;1;;https://www.linkedin.com/jobs/view/4450606795/;https://www.linkedin.com/jobs/view/4450606795/;On-site;Specialist;06/08/2026;Santos;São Paulo;SP;Região Sudeste;Brasil;América do Sul
6;Santander Brasil;BRA Espec Santander II 8h;Santos (SP);05/08 21:00;https://www.linkedin.com/jobs/view/4449949376/;https://media.licdn.com/dms/image/v2/D4D0BAQGO_CAKXyEH2g/company-logo_100_100/B4DZfGdXQHHMAQ-/0/1751381276407/grupo_santander_brasil_logo?e=1787788800&v=beta&t=kaKjz6XGJ_9PLC_XHq60y54mQTxAs8D3EOWZQZEP9Cw;-;https://www.linkedin.com/company/santander-brasil/about/;-;Adyen OR (Allianz AND Partners) OR Aon OR Asaas OR (AXA AND no AND Brasil) OR (Banco AND ABC) OR (Banco AND ABC AND Brasil) OR (Banco AND Bradesco) OR (Banco AND BV) OR (Banco AND do AND Brasil) OR (Banco AND Toyota AND do AND Brasil) OR BBVA OR Bradesco OR (BTG AND Pactual) OR (C6 AND Bank) OR Cielo OR (Ferrari AND Organização) OR Fiserv OR (Itaú AND Unibanco) OR JPMorganChase OR (MAG AND Seguros) OR Mapfre OR Mastercard OR (Mercado AND Livre) OR Nubank OR PagBank OR PagoNxt OR Santander OR Sicoob OR Sicredi OR Stone OR SumUp OR (Tokio AND Marine) OR Viacredi OR Visa OR (Volvo AND Financial AND Services) OR WEX OR (XP AND Inc.);santander brasil;1;;https://www.linkedin.com/jobs/view/4449949376/;https://www.linkedin.com/jobs/view/4449949376/;On-site;Specialist;06/08/2026;Santos;São Paulo;SP;Região Sudeste;Brasil;América do Sul
7;Sicoob UniMais Rio;Gerente de Agência - Sicoob Paulista - Osasco/SP;Osasco (SP);05/08 20:00;https://www.linkedin.com/jobs/view/4448074478/;https://media.licdn.com/dms/image/v2/D4D0BAQHMcR-f7kpSiQ/company-logo_100_100/company-logo_100_100/0/1684776461539/sicoob_unimais_rio_logo?e=1787788800&v=beta&t=JLe6jH814gQP9CwADFxNR-K3CT7FDIIPvbuU74uOAaw;Middle > Manager;https://www.linkedin.com/company/sicoob-unimais-rio/about/;Marketing e Publicidade Marketing;Adyen OR (Allianz AND Partners) OR Aon OR Asaas OR (AXA AND no AND Brasil) OR (Banco AND ABC) OR (Banco AND ABC AND Brasil) OR (Banco AND Bradesco) OR (Banco AND BV) OR (Banco AND do AND Brasil) OR (Banco AND Toyota AND do AND Brasil) OR BBVA OR Bradesco OR (BTG AND Pactual) OR (C6 AND Bank) OR Cielo OR (Ferrari AND Organização) OR Fiserv OR (Itaú AND Unibanco) OR JPMorganChase OR (MAG AND Seguros) OR Mapfre OR Mastercard OR (Mercado AND Livre) OR Nubank OR PagBank OR PagoNxt OR Santander OR Sicoob OR Sicredi OR Stone OR SumUp OR (Tokio AND Marine) OR Viacredi OR Visa OR (Volvo AND Financial AND Services) OR WEX OR (XP AND Inc.);sicoob unimais rio;1;;https://www.linkedin.com/jobs/view/4448074478/;https://www.linkedin.com/jobs/view/4448074478/;On-site;Mid, Liderança/Gerência;06/08/2026;Osasco;São Paulo;SP;Região Sudeste;Brasil;América do Sul
8;Sicoob UniMais Rio;Estágio - Sicoob Paulista - Santa Cruz do Rio Pardo/SP;Santa Cruz do Rio Pardo (SP);06/08 19:00;https://www.linkedin.com/jobs/view/4448474804/;https://media.licdn.com/dms/image/v2/D4D0BAQHMcR-f7kpSiQ/company-logo_100_100/company-logo_100_100/0/1684776461539/sicoob_unimais_rio_logo?e=1787788800&v=beta&t=JLe6jH814gQP9CwADFxNR-K3CT7FDIIPvbuU74uOAaw;-;https://www.linkedin.com/company/sicoob-unimais-rio/about/;-;Adyen OR (Allianz AND Partners) OR Aon OR Asaas OR (AXA AND no AND Brasil) OR (Banco AND ABC) OR (Banco AND ABC AND Brasil) OR (Banco AND Bradesco) OR (Banco AND BV) OR (Banco AND do AND Brasil) OR (Banco AND Toyota AND do AND Brasil) OR BBVA OR Bradesco OR (BTG AND Pactual) OR (C6 AND Bank) OR Cielo OR (Ferrari AND Organização) OR Fiserv OR (Itaú AND Unibanco) OR JPMorganChase OR (MAG AND Seguros) OR Mapfre OR Mastercard OR (Mercado AND Livre) OR Nubank OR PagBank OR PagoNxt OR Santander OR Sicoob OR Sicredi OR Stone OR SumUp OR (Tokio AND Marine) OR Viacredi OR Visa OR (Volvo AND Financial AND Services) OR WEX OR (XP AND Inc.);sicoob unimais rio;1;;https://www.linkedin.com/jobs/view/4448474804/;https://www.linkedin.com/jobs/view/4448474804/;On-site;Intern;06/08/2026;Santa Cruz do Rio Pardo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
9;Sicredi;Estágio NS - Agência Barra de São Francisco ES - Sicredi Essência RS/ES;Barra de São Francisco (ES);05/08 20:00;https://www.linkedin.com/jobs/view/4449684644/;https://media.licdn.com/dms/image/v2/C4E0BAQGnL3LzxJa-xg/company-logo_100_100/company-logo_100_100/0/1630600609502/sicredi_logo?e=1787788800&v=beta&t=3y82rwITC-d5zqgYpapaHTRUUTY0pNWWrCjiT85eJXo;-;https://www.linkedin.com/company/sicredi/about/;Marketing e Publicidade Marketing;Adyen OR (Allianz AND Partners) OR Aon OR Asaas OR (AXA AND no AND Brasil) OR (Banco AND ABC) OR (Banco AND ABC AND Brasil) OR (Banco AND Bradesco) OR (Banco AND BV) OR (Banco AND do AND Brasil) OR (Banco AND Toyota AND do AND Brasil) OR BBVA OR Bradesco OR (BTG AND Pactual) OR (C6 AND Bank) OR Cielo OR (Ferrari AND Organização) OR Fiserv OR (Itaú AND Unibanco) OR JPMorganChase OR (MAG AND Seguros) OR Mapfre OR Mastercard OR (Mercado AND Livre) OR Nubank OR PagBank OR PagoNxt OR Santander OR Sicoob OR Sicredi OR Stone OR SumUp OR (Tokio AND Marine) OR Viacredi OR Visa OR (Volvo AND Financial AND Services) OR WEX OR (XP AND Inc.);sicredi;1;;https://www.linkedin.com/jobs/view/4449684644/;https://www.linkedin.com/jobs/view/4449684644/;On-site;Intern;06/08/2026;Barra de São Francisco;Espírito Santo;ES;Região Sudeste;Brasil;América do Sul
10;Sicredi;Gerente de Negócios Agro - Agência - Britânia/GO - Sicredi Araxingu - R1;Britânia (GO);06/08 15:00;https://www.linkedin.com/jobs/view/4450623143/;https://media.licdn.com/dms/image/v2/C4E0BAQGnL3LzxJa-xg/company-logo_100_100/company-logo_100_100/0/1630600609502/sicredi_logo?e=1787788800&v=beta&t=3y82rwITC-d5zqgYpapaHTRUUTY0pNWWrCjiT85eJXo;Middle > Manager;https://www.linkedin.com/company/sicredi/about/;Agro;Adyen OR (Allianz AND Partners) OR Aon OR Asaas OR (AXA AND no AND Brasil) OR (Banco AND ABC) OR (Banco AND ABC AND Brasil) OR (Banco AND Bradesco) OR (Banco AND BV) OR (Banco AND do AND Brasil) OR (Banco AND Toyota AND do AND Brasil) OR BBVA OR Bradesco OR (BTG AND Pactual) OR (C6 AND Bank) OR Cielo OR (Ferrari AND Organização) OR Fiserv OR (Itaú AND Unibanco) OR JPMorganChase OR (MAG AND Seguros) OR Mapfre OR Mastercard OR (Mercado AND Livre) OR Nubank OR PagBank OR PagoNxt OR Santander OR Sicoob OR Sicredi OR Stone OR SumUp OR (Tokio AND Marine) OR Viacredi OR Visa OR (Volvo AND Financial AND Services) OR WEX OR (XP AND Inc.);sicredi;1;;https://www.linkedin.com/jobs/view/4450623143/;https://www.linkedin.com/jobs/view/4450623143/;On-site;Mid, Gerente de Negócios, Liderança/Gerência;06/08/2026;Britânia;Goiás;GO;Região Centro-Oeste;Brasil;América do Sul
