Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;ABRH Estágio;Estágio em Engenharia de Automação - JOHN DEERE;Montenegro (RS);05/08 20:00;https://www.linkedin.com/jobs/view/4449142331/;https://media.licdn.com/dms/image/v2/D4E0BAQEhoY_pQ1cCow/company-logo_100_100/B4EZ84seu2IcAI-/0/1783362612380/abrhestagio_logo?e=1787788800&v=beta&t=sVgNDoqLLT0paKMU3JgVIpBmYuPzG2g9qcGNKJ5Msak;Advanced > Process & Automation;https://www.linkedin.com/company/abrh-est-gio/about/;Recursos Humanos;3M OR (3S AND Corp) OR ABB OR (Air AND Liquide) OR (Astellas AND Pharma) OR BASF OR Bayer OR Boeing OR Bosch OR (Bosch AND Brasil) OR Braskem OR (BYD AND Auto AND Brasil) OR (BYD AND Brasil) OR (BYD AND Carreiras) OR Caterpillar OR Continental OR CRRC OR (Daikin AND Brasil) OR Dow OR Eaton OR (Electrolux AND Group) OR Embraer OR (Enel AND Brasil) OR Eurofarma OR Flexform OR Gerdau OR (Grupo AND Brasileiro) OR (Hitachi AND Energy) OR Honda OR (Honda AND Brasil) OR (Hyundai AND Motor AND Company) OR (John AND Deere) OR Komatsu OR (Komatsu AND Brasil) OR Michelin OR (Nissan AND Motor AND Corporation) OR (Nortel AND Suprimentos AND Industriais) OR (Novartis AND Brasil) OR (Novo AND Nordisk) OR Petrobras OR Raízen OR Roche OR SGS OR (Siemens AND Energy) OR (Stellantis AND South AND America) OR Suzano OR (Tetra AND Pak) OR Vale OR WEG;abrh estágio;1;;https://www.linkedin.com/jobs/view/4449142331/;https://www.linkedin.com/jobs/view/4449142331/;On-site;Intern, Engenharia Geral;06/08/2026;Montenegro;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
2;ABRH Estágio;Estágio em Engenharia de Fábrica - JOHN DEERE;Montenegro (RS);05/08 20:00;https://www.linkedin.com/jobs/view/4449149225/;https://media.licdn.com/dms/image/v2/D4E0BAQEhoY_pQ1cCow/company-logo_100_100/B4EZ84seu2IcAI-/0/1783362612380/abrhestagio_logo?e=1787788800&v=beta&t=sVgNDoqLLT0paKMU3JgVIpBmYuPzG2g9qcGNKJ5Msak;-;https://www.linkedin.com/company/abrh-est-gio/about/;Manufatura e Produção;3M OR (3S AND Corp) OR ABB OR (Air AND Liquide) OR (Astellas AND Pharma) OR BASF OR Bayer OR Boeing OR Bosch OR (Bosch AND Brasil) OR Braskem OR (BYD AND Auto AND Brasil) OR (BYD AND Brasil) OR (BYD AND Carreiras) OR Caterpillar OR Continental OR CRRC OR (Daikin AND Brasil) OR Dow OR Eaton OR (Electrolux AND Group) OR Embraer OR (Enel AND Brasil) OR Eurofarma OR Flexform OR Gerdau OR (Grupo AND Brasileiro) OR (Hitachi AND Energy) OR Honda OR (Honda AND Brasil) OR (Hyundai AND Motor AND Company) OR (John AND Deere) OR Komatsu OR (Komatsu AND Brasil) OR Michelin OR (Nissan AND Motor AND Corporation) OR (Nortel AND Suprimentos AND Industriais) OR (Novartis AND Brasil) OR (Novo AND Nordisk) OR Petrobras OR Raízen OR Roche OR SGS OR (Siemens AND Energy) OR (Stellantis AND South AND America) OR Suzano OR (Tetra AND Pak) OR Vale OR WEG;abrh estágio;1;;https://www.linkedin.com/jobs/view/4449149225/;https://www.linkedin.com/jobs/view/4449149225/;On-site;Intern, Engenharia Geral;06/08/2026;Montenegro;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
3;ABRH Estágio;Estágio em Engenharia de Logística - JOHN DEERE;Montenegro (RS);05/08 20:00;https://www.linkedin.com/jobs/view/4449136393/;https://media.licdn.com/dms/image/v2/D4E0BAQEhoY_pQ1cCow/company-logo_100_100/B4EZ84seu2IcAI-/0/1783362612380/abrhestagio_logo?e=1787788800&v=beta&t=sVgNDoqLLT0paKMU3JgVIpBmYuPzG2g9qcGNKJ5Msak;-;https://www.linkedin.com/company/abrh-est-gio/about/;Logística e Supply Chain;3M OR (3S AND Corp) OR ABB OR (Air AND Liquide) OR (Astellas AND Pharma) OR BASF OR Bayer OR Boeing OR Bosch OR (Bosch AND Brasil) OR Braskem OR (BYD AND Auto AND Brasil) OR (BYD AND Brasil) OR (BYD AND Carreiras) OR Caterpillar OR Continental OR CRRC OR (Daikin AND Brasil) OR Dow OR Eaton OR (Electrolux AND Group) OR Embraer OR (Enel AND Brasil) OR Eurofarma OR Flexform OR Gerdau OR (Grupo AND Brasileiro) OR (Hitachi AND Energy) OR Honda OR (Honda AND Brasil) OR (Hyundai AND Motor AND Company) OR (John AND Deere) OR Komatsu OR (Komatsu AND Brasil) OR Michelin OR (Nissan AND Motor AND Corporation) OR (Nortel AND Suprimentos AND Industriais) OR (Novartis AND Brasil) OR (Novo AND Nordisk) OR Petrobras OR Raízen OR Roche OR SGS OR (Siemens AND Energy) OR (Stellantis AND South AND America) OR Suzano OR (Tetra AND Pak) OR Vale OR WEG;abrh estágio;1;;https://www.linkedin.com/jobs/view/4449136393/;https://www.linkedin.com/jobs/view/4449136393/;On-site;Intern, Logística/Supply, Engenharia Geral;06/08/2026;Montenegro;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
4;ABRH Estágio;Estágio em Engenharia de Qualidade - JOHN DEERE;Montenegro (RS);05/08 20:00;https://www.linkedin.com/jobs/view/4449146299/;https://media.licdn.com/dms/image/v2/D4E0BAQEhoY_pQ1cCow/company-logo_100_100/B4EZ84seu2IcAI-/0/1783362612380/abrhestagio_logo?e=1787788800&v=beta&t=sVgNDoqLLT0paKMU3JgVIpBmYuPzG2g9qcGNKJ5Msak;-;https://www.linkedin.com/company/abrh-est-gio/about/;Recursos Humanos;3M OR (3S AND Corp) OR ABB OR (Air AND Liquide) OR (Astellas AND Pharma) OR BASF OR Bayer OR Boeing OR Bosch OR (Bosch AND Brasil) OR Braskem OR (BYD AND Auto AND Brasil) OR (BYD AND Brasil) OR (BYD AND Carreiras) OR Caterpillar OR Continental OR CRRC OR (Daikin AND Brasil) OR Dow OR Eaton OR (Electrolux AND Group) OR Embraer OR (Enel AND Brasil) OR Eurofarma OR Flexform OR Gerdau OR (Grupo AND Brasileiro) OR (Hitachi AND Energy) OR Honda OR (Honda AND Brasil) OR (Hyundai AND Motor AND Company) OR (John AND Deere) OR Komatsu OR (Komatsu AND Brasil) OR Michelin OR (Nissan AND Motor AND Corporation) OR (Nortel AND Suprimentos AND Industriais) OR (Novartis AND Brasil) OR (Novo AND Nordisk) OR Petrobras OR Raízen OR Roche OR SGS OR (Siemens AND Energy) OR (Stellantis AND South AND America) OR Suzano OR (Tetra AND Pak) OR Vale OR WEG;abrh estágio;1;;https://www.linkedin.com/jobs/view/4449146299/;https://www.linkedin.com/jobs/view/4449146299/;On-site;Intern, Engenharia Geral;06/08/2026;Montenegro;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
5;ABRH Estágio;Estágio em Planejamento de Materiais (Supply Chain) - JOHN DEERE;Montenegro (RS);05/08 20:00;https://www.linkedin.com/jobs/view/4449326345/;https://media.licdn.com/dms/image/v2/D4E0BAQEhoY_pQ1cCow/company-logo_100_100/B4EZ84seu2IcAI-/0/1783362612380/abrhestagio_logo?e=1787788800&v=beta&t=sVgNDoqLLT0paKMU3JgVIpBmYuPzG2g9qcGNKJ5Msak;-;https://www.linkedin.com/company/abrh-est-gio/about/;Logística e Supply Chain;3M OR (3S AND Corp) OR ABB OR (Air AND Liquide) OR (Astellas AND Pharma) OR BASF OR Bayer OR Boeing OR Bosch OR (Bosch AND Brasil) OR Braskem OR (BYD AND Auto AND Brasil) OR (BYD AND Brasil) OR (BYD AND Carreiras) OR Caterpillar OR Continental OR CRRC OR (Daikin AND Brasil) OR Dow OR Eaton OR (Electrolux AND Group) OR Embraer OR (Enel AND Brasil) OR Eurofarma OR Flexform OR Gerdau OR (Grupo AND Brasileiro) OR (Hitachi AND Energy) OR Honda OR (Honda AND Brasil) OR (Hyundai AND Motor AND Company) OR (John AND Deere) OR Komatsu OR (Komatsu AND Brasil) OR Michelin OR (Nissan AND Motor AND Corporation) OR (Nortel AND Suprimentos AND Industriais) OR (Novartis AND Brasil) OR (Novo AND Nordisk) OR Petrobras OR Raízen OR Roche OR SGS OR (Siemens AND Energy) OR (Stellantis AND South AND America) OR Suzano OR (Tetra AND Pak) OR Vale OR WEG;abrh estágio;1;;https://www.linkedin.com/jobs/view/4449326345/;https://www.linkedin.com/jobs/view/4449326345/;On-site;Intern, Logística/Supply;06/08/2026;Montenegro;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
6;ABRH Estágio;Estágio na área da Qualidade do Produto - JOHN DEERE;Montenegro (RS);05/08 20:00;https://www.linkedin.com/jobs/view/4449153127/;https://media.licdn.com/dms/image/v2/D4E0BAQEhoY_pQ1cCow/company-logo_100_100/B4EZ84seu2IcAI-/0/1783362612380/abrhestagio_logo?e=1787788800&v=beta&t=sVgNDoqLLT0paKMU3JgVIpBmYuPzG2g9qcGNKJ5Msak;-;https://www.linkedin.com/company/abrh-est-gio/about/;Recursos Humanos;3M OR (3S AND Corp) OR ABB OR (Air AND Liquide) OR (Astellas AND Pharma) OR BASF OR Bayer OR Boeing OR Bosch OR (Bosch AND Brasil) OR Braskem OR (BYD AND Auto AND Brasil) OR (BYD AND Brasil) OR (BYD AND Carreiras) OR Caterpillar OR Continental OR CRRC OR (Daikin AND Brasil) OR Dow OR Eaton OR (Electrolux AND Group) OR Embraer OR (Enel AND Brasil) OR Eurofarma OR Flexform OR Gerdau OR (Grupo AND Brasileiro) OR (Hitachi AND Energy) OR Honda OR (Honda AND Brasil) OR (Hyundai AND Motor AND Company) OR (John AND Deere) OR Komatsu OR (Komatsu AND Brasil) OR Michelin OR (Nissan AND Motor AND Corporation) OR (Nortel AND Suprimentos AND Industriais) OR (Novartis AND Brasil) OR (Novo AND Nordisk) OR Petrobras OR Raízen OR Roche OR SGS OR (Siemens AND Energy) OR (Stellantis AND South AND America) OR Suzano OR (Tetra AND Pak) OR Vale OR WEG;abrh estágio;1;;https://www.linkedin.com/jobs/view/4449153127/;https://www.linkedin.com/jobs/view/4449153127/;On-site;Intern;06/08/2026;Montenegro;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
7;Ambev;Analista de Distribuição (CDD Suzano/SP);Suzano (SP);06/08 14:00;https://www.linkedin.com/jobs/view/4449771292/;https://media.licdn.com/dms/image/v2/D4E0BAQGehmQW7ITyRQ/company-logo_100_100/B4EZ.6DSqeKcAI-/0/1785532853302/ambev_logo?e=1787788800&v=beta&t=3oRiNvJozmO2lbRHhHNI8Tr9SCoVnU4QjJju8S8dSOI;Advanced > Specialist;https://www.linkedin.com/company/ambev/about/;Alimentos e Bebidas;3M OR (3S AND Corp) OR ABB OR (Air AND Liquide) OR (Astellas AND Pharma) OR BASF OR Bayer OR Boeing OR Bosch OR (Bosch AND Brasil) OR Braskem OR (BYD AND Auto AND Brasil) OR (BYD AND Brasil) OR (BYD AND Carreiras) OR Caterpillar OR Continental OR CRRC OR (Daikin AND Brasil) OR Dow OR Eaton OR (Electrolux AND Group) OR Embraer OR (Enel AND Brasil) OR Eurofarma OR Flexform OR Gerdau OR (Grupo AND Brasileiro) OR (Hitachi AND Energy) OR Honda OR (Honda AND Brasil) OR (Hyundai AND Motor AND Company) OR (John AND Deere) OR Komatsu OR (Komatsu AND Brasil) OR Michelin OR (Nissan AND Motor AND Corporation) OR (Nortel AND Suprimentos AND Industriais) OR (Novartis AND Brasil) OR (Novo AND Nordisk) OR Petrobras OR Raízen OR Roche OR SGS OR (Siemens AND Energy) OR (Stellantis AND South AND America) OR Suzano OR (Tetra AND Pak) OR Vale OR WEG;ambev;1;;https://www.linkedin.com/jobs/view/4449771292/;https://www.linkedin.com/jobs/view/4449771292/;On-site;Associate;06/08/2026;Suzano;São Paulo;SP;Região Sudeste;Brasil;América do Sul
8;Blumen Energia;Representante Comercial SR - Vale do Itajaí e Alto Vale;Blumenau (SC);05/08 20:00;https://www.linkedin.com/jobs/view/4450672051/;https://media.licdn.com/dms/image/v2/D4D0BAQH8hwZYSEGSvg/company-logo_100_100/company-logo_100_100/0/1735156838384?e=1787788800&v=beta&t=y65FZIue1Ot2xQ98ztYh6QVj-XMXL1NWLs1b0hmYLvA;-;https://www.linkedin.com/company/blumen-energia/about/;Energia e Combustíveis;3M OR (3S AND Corp) OR ABB OR (Air AND Liquide) OR (Astellas AND Pharma) OR BASF OR Bayer OR Boeing OR Bosch OR (Bosch AND Brasil) OR Braskem OR (BYD AND Auto AND Brasil) OR (BYD AND Brasil) OR (BYD AND Carreiras) OR Caterpillar OR Continental OR CRRC OR (Daikin AND Brasil) OR Dow OR Eaton OR (Electrolux AND Group) OR Embraer OR (Enel AND Brasil) OR Eurofarma OR Flexform OR Gerdau OR (Grupo AND Brasileiro) OR (Hitachi AND Energy) OR Honda OR (Honda AND Brasil) OR (Hyundai AND Motor AND Company) OR (John AND Deere) OR Komatsu OR (Komatsu AND Brasil) OR Michelin OR (Nissan AND Motor AND Corporation) OR (Nortel AND Suprimentos AND Industriais) OR (Novartis AND Brasil) OR (Novo AND Nordisk) OR Petrobras OR Raízen OR Roche OR SGS OR (Siemens AND Energy) OR (Stellantis AND South AND America) OR Suzano OR (Tetra AND Pak) OR Vale OR WEG;blumen energia;1;;https://www.linkedin.com/jobs/view/4450672051/;https://www.linkedin.com/jobs/view/4450672051/;On-site;Senior, Vendas / Comercial;06/08/2026;Blumenau;Santa Catarina;SC;Região Sul;Brasil;América do Sul
9;CENTAURO;Assistente de Loja - Shopping Center Vale;São José dos Campos (SP);06/08 19:00;https://www.linkedin.com/jobs/view/4448474507/;https://media.licdn.com/dms/image/v2/D4D0BAQGfGq2jNQBaRg/company-logo_100_100/B4DZfF.1ziGUAQ-/0/1751373274746/centauroesportes_logo?e=1787788800&v=beta&t=LyNRp2qUkCBhaIHe8eZrLD-71vYCA7bf6j0kIQTkq2o;-;https://www.linkedin.com/company/centauro/about/;Mineração e Extração;3M OR (3S AND Corp) OR ABB OR (Air AND Liquide) OR (Astellas AND Pharma) OR BASF OR Bayer OR Boeing OR Bosch OR (Bosch AND Brasil) OR Braskem OR (BYD AND Auto AND Brasil) OR (BYD AND Brasil) OR (BYD AND Carreiras) OR Caterpillar OR Continental OR CRRC OR (Daikin AND Brasil) OR Dow OR Eaton OR (Electrolux AND Group) OR Embraer OR (Enel AND Brasil) OR Eurofarma OR Flexform OR Gerdau OR (Grupo AND Brasileiro) OR (Hitachi AND Energy) OR Honda OR (Honda AND Brasil) OR (Hyundai AND Motor AND Company) OR (John AND Deere) OR Komatsu OR (Komatsu AND Brasil) OR Michelin OR (Nissan AND Motor AND Corporation) OR (Nortel AND Suprimentos AND Industriais) OR (Novartis AND Brasil) OR (Novo AND Nordisk) OR Petrobras OR Raízen OR Roche OR SGS OR (Siemens AND Energy) OR (Stellantis AND South AND America) OR Suzano OR (Tetra AND Pak) OR Vale OR WEG;centauro;1;;https://www.linkedin.com/jobs/view/4448474507/;https://www.linkedin.com/jobs/view/4448474507/;On-site;Associate;06/08/2026;São José dos Campos;São Paulo;SP;Região Sudeste;Brasil;América do Sul
10;Candirales;MAYARA E DANIEL CASAMENTOS VALE VERDE FESTAS - FLOREST - JUDIAI - NOTURNO 545 0;Vale Verde (MA);06/08 19:00;https://www.linkedin.com/jobs/view/4450637868/;https://media.licdn.com/dms/image/v2/D4D0BAQHhluKPnG_ewQ/company-logo_100_100/B4DZ4n_2SPKAAI-/0/1778787509791?e=1787788800&v=beta&t=xHRJULCvbYdXYp8hHJFOBj31hYv9l_TnE6Ihca_TEQY;-;https://www.linkedin.com/company/candirales/about/;Mineração e Extração;3M OR (3S AND Corp) OR ABB OR (Air AND Liquide) OR (Astellas AND Pharma) OR BASF OR Bayer OR Boeing OR Bosch OR (Bosch AND Brasil) OR Braskem OR (BYD AND Auto AND Brasil) OR (BYD AND Brasil) OR (BYD AND Carreiras) OR Caterpillar OR Continental OR CRRC OR (Daikin AND Brasil) OR Dow OR Eaton OR (Electrolux AND Group) OR Embraer OR (Enel AND Brasil) OR Eurofarma OR Flexform OR Gerdau OR (Grupo AND Brasileiro) OR (Hitachi AND Energy) OR Honda OR (Honda AND Brasil) OR (Hyundai AND Motor AND Company) OR (John AND Deere) OR Komatsu OR (Komatsu AND Brasil) OR Michelin OR (Nissan AND Motor AND Corporation) OR (Nortel AND Suprimentos AND Industriais) OR (Novartis AND Brasil) OR (Novo AND Nordisk) OR Petrobras OR Raízen OR Roche OR SGS OR (Siemens AND Energy) OR (Stellantis AND South AND America) OR Suzano OR (Tetra AND Pak) OR Vale OR WEG;candirales;1;;https://www.linkedin.com/jobs/view/4450637868/;https://www.linkedin.com/jobs/view/4450637868/;On-site;-;06/08/2026;;Maranhão;MA;Região Nordeste;Brasil;América do Sul
