Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;Apetece Sistemas De Alimentacao;Copeira Hospitalar - HOSPITAL IAMSPE - SP;Grande São Paulo (SP) ;24/07 23:00;https://www.linkedin.com/jobs/view/4441857820/;https://media.licdn.com/dms/image/v2/C4E0BAQHUxlWfBf3F1w/company-logo_100_100/company-logo_100_100/0/1630588844989/apetece_sistemas_de_alimentacao_logo?e=1786579200&v=beta&t=Ooqs8UY9veSRc899HEn8y1x4JBjN1BvKuyllOo_5IYU;-;https://www.linkedin.com/company/apetece-sistemas-de-alimentacao/about/;Cuidado Animal;(A.C.Camargo AND Cancer AND Center) OR (Astellas AND Pharma) OR (Cogna AND Educação) OR (Albert AND Einstein) OR Hospital OR Estácio OR Eurofarma OR Globo OR Hcor OR (Johnson AND Johnson) OR (Novo AND Nordisk) OR (Rede AND D'Or) OR (Smart AND Fit) OR (Vivo AND Telefônica AND Brasil);apetece sistemas de alimentacao;1.0;;https://www.linkedin.com/jobs/view/4441857820/;https://www.linkedin.com/jobs/view/4441857820/;On-site;-;25/07/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
2;Apetece Sistemas De Alimentacao;Meio Oficial de Cozinha - Hospital Ipiranga - SP;Grande São Paulo (SP) ;24/07 23:00;https://www.linkedin.com/jobs/view/4441855830/;https://media.licdn.com/dms/image/v2/C4E0BAQHUxlWfBf3F1w/company-logo_100_100/company-logo_100_100/0/1630588844989/apetece_sistemas_de_alimentacao_logo?e=1786579200&v=beta&t=Ooqs8UY9veSRc899HEn8y1x4JBjN1BvKuyllOo_5IYU;-;https://www.linkedin.com/company/apetece-sistemas-de-alimentacao/about/;Cuidado Animal;(A.C.Camargo AND Cancer AND Center) OR (Astellas AND Pharma) OR (Cogna AND Educação) OR (Albert AND Einstein) OR Hospital OR Estácio OR Eurofarma OR Globo OR Hcor OR (Johnson AND Johnson) OR (Novo AND Nordisk) OR (Rede AND D'Or) OR (Smart AND Fit) OR (Vivo AND Telefônica AND Brasil);apetece sistemas de alimentacao;1.0;;https://www.linkedin.com/jobs/view/4441855830/;https://www.linkedin.com/jobs/view/4441855830/;On-site;-;25/07/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;Einstein Hospital Israelita;Oportunidades de Carreira: Auxiliar Logística - Hospital Central de Alta Complexidade de Mato Grosso - Cuiabá - MT (1312238);São Paulo (SP);25/07 07:00;https://www.linkedin.com/jobs/view/4444680210/;https://media.licdn.com/dms/image/v2/D4D0BAQFgoQlIBWk2WA/company-logo_100_100/B4DZ8fWfysJQAI-/0/1782937423211/einstein_hospital_israelita_logo?e=1786579200&v=beta&t=fLTatj5Q-iUdlS8r4nby6ioW963kDdZKTNMXUdnZRpQ;-;https://www.linkedin.com/company/einstein-hospital-israelita/about/;Logística e Supply Chain;(A.C.Camargo AND Cancer AND Center) OR (Astellas AND Pharma) OR (Cogna AND Educação) OR (Albert AND Einstein) OR Hospital OR Estácio OR Eurofarma OR Globo OR Hcor OR (Johnson AND Johnson) OR (Novo AND Nordisk) OR (Rede AND D'Or) OR (Smart AND Fit) OR (Vivo AND Telefônica AND Brasil);einstein hospital israelita;1.0;SuccessFactors (SAP);https://www.linkedin.com/jobs/view/4444680210/;https://www.linkedin.com/jobs/view/4444680210/;On-site;Associate, Logística/Supply;25/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;Estácio;PRECEPTOR ENSINO PROFISSIONALIZANTE - ENFERMAGEM - ESTÁCIO FEIRA DE SANTANA;Feira de Santana (BA);25/07 07:00;https://www.linkedin.com/jobs/view/4441898752/;https://media.licdn.com/dms/image/v2/D4D0BAQECPZ79nPxRGw/company-logo_100_100/B4DZy0P2uJJYAQ-/0/1772550581529/estacio_logo?e=1786579200&v=beta&t=L-UIzg-d1LD35rxpOVcGm8ZSs6I0quUbTaQqHKy6ElE;-;https://www.linkedin.com/company/est-cio/about/;-;(A.C.Camargo AND Cancer AND Center) OR (Astellas AND Pharma) OR (Cogna AND Educação) OR (Albert AND Einstein) OR Hospital OR Estácio OR Eurofarma OR Globo OR Hcor OR (Johnson AND Johnson) OR (Novo AND Nordisk) OR (Rede AND D'Or) OR (Smart AND Fit) OR (Vivo AND Telefônica AND Brasil);estácio;1.0;;https://www.linkedin.com/jobs/view/4441898752/;https://www.linkedin.com/jobs/view/4441898752/;On-site;-;25/07/2026;Feira de Santana;Bahia;BA;Região Nordeste;Brasil;América do Sul
5;Estácio;PROFESSOR AUXILIAR I  -  ENFERMAGEM - ESTÁCIO FEIRA DE SANTANA;Feira de Santana (BA);24/07 19:00;https://www.linkedin.com/jobs/view/4441848503/;https://media.licdn.com/dms/image/v2/D4D0BAQECPZ79nPxRGw/company-logo_100_100/B4DZy0P2uJJYAQ-/0/1772550581529/estacio_logo?e=1786579200&v=beta&t=L-UIzg-d1LD35rxpOVcGm8ZSs6I0quUbTaQqHKy6ElE;-;https://www.linkedin.com/company/est-cio/about/;-;(A.C.Camargo AND Cancer AND Center) OR (Astellas AND Pharma) OR (Cogna AND Educação) OR (Albert AND Einstein) OR Hospital OR Estácio OR Eurofarma OR Globo OR Hcor OR (Johnson AND Johnson) OR (Novo AND Nordisk) OR (Rede AND D'Or) OR (Smart AND Fit) OR (Vivo AND Telefônica AND Brasil);estácio;1.0;;https://www.linkedin.com/jobs/view/4441848503/;https://www.linkedin.com/jobs/view/4441848503/;On-site;Associate;25/07/2026;Feira de Santana;Bahia;BA;Região Nordeste;Brasil;América do Sul
6;Estácio;PROFESSOR I A - EDUCAÇÃO FÍSICA - ESTÁCIO VIA CORPVS;Fortaleza (CE);25/07 07:00;https://www.linkedin.com/jobs/view/4442310061/;https://media.licdn.com/dms/image/v2/D4D0BAQECPZ79nPxRGw/company-logo_100_100/B4DZy0P2uJJYAQ-/0/1772550581529/estacio_logo?e=1786579200&v=beta&t=L-UIzg-d1LD35rxpOVcGm8ZSs6I0quUbTaQqHKy6ElE;-;https://www.linkedin.com/company/est-cio/about/;Educação;(A.C.Camargo AND Cancer AND Center) OR (Astellas AND Pharma) OR (Cogna AND Educação) OR (Albert AND Einstein) OR Hospital OR Estácio OR Eurofarma OR Globo OR Hcor OR (Johnson AND Johnson) OR (Novo AND Nordisk) OR (Rede AND D'Or) OR (Smart AND Fit) OR (Vivo AND Telefônica AND Brasil);estácio;1.0;;https://www.linkedin.com/jobs/view/4442310061/;https://www.linkedin.com/jobs/view/4442310061/;On-site;-;25/07/2026;Fortaleza;Ceará;CE;Região Nordeste;Brasil;América do Sul
7;Estácio;PROFESSOR AUXILIAR I - PSICOLOGIA - ESTÁCIO NOVA FRIBURGO;New Fribourg (RJ);25/07 07:00;https://www.linkedin.com/jobs/view/4441895824/;https://media.licdn.com/dms/image/v2/D4D0BAQECPZ79nPxRGw/company-logo_100_100/B4DZy0P2uJJYAQ-/0/1772550581529/estacio_logo?e=1786579200&v=beta&t=L-UIzg-d1LD35rxpOVcGm8ZSs6I0quUbTaQqHKy6ElE;-;https://www.linkedin.com/company/est-cio/about/;-;(A.C.Camargo AND Cancer AND Center) OR (Astellas AND Pharma) OR (Cogna AND Educação) OR (Albert AND Einstein) OR Hospital OR Estácio OR Eurofarma OR Globo OR Hcor OR (Johnson AND Johnson) OR (Novo AND Nordisk) OR (Rede AND D'Or) OR (Smart AND Fit) OR (Vivo AND Telefônica AND Brasil);estácio;1.0;;https://www.linkedin.com/jobs/view/4441895824/;https://www.linkedin.com/jobs/view/4441895824/;On-site;Associate;25/07/2026;Nova Friburgo;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul
8;Globo;Pessoa Desenvolvedora Mobile Pleno | GloboID - Vaga exclusiva para pessoas negras ✊🏾;Grande Porto Alegre (RS);25/07 08:00;https://www.linkedin.com/jobs/view/4433708576/;https://media.licdn.com/dms/image/v2/D4D0BAQHqBil8lJvbFA/company-logo_100_100/B4DZt.dFX3KAAQ-/0/1767353113034?e=1786579200&v=beta&t=ZL1na_NVhfpyJF638N_WzyeZoXpSyn-GsaqctS5V2o8;-;https://www.linkedin.com/company/globo/about/;Mídia e Entretenimento;(A.C.Camargo AND Cancer AND Center) OR (Astellas AND Pharma) OR (Cogna AND Educação) OR (Albert AND Einstein) OR Hospital OR Estácio OR Eurofarma OR Globo OR Hcor OR (Johnson AND Johnson) OR (Novo AND Nordisk) OR (Rede AND D'Or) OR (Smart AND Fit) OR (Vivo AND Telefônica AND Brasil);globo;1.0;Gupy;https://www.linkedin.com/jobs/view/4433708576/;https://www.linkedin.com/jobs/view/4433708576/;Hybrid;PCD / Afirmativa, Mid;25/07/2026;;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
9;Instituto de Responsabilidade Social Sírio-Libanês;AUXILIAR ADMINISTRATIVO - S.A.U - ESCALA 5X2 - HOSPITAL REGIONAL ROTA DOS BANDEIRANTES - BARUERI;Barueri (SP);24/07 19:00;https://www.linkedin.com/jobs/view/4441851400/;https://media.licdn.com/dms/image/v2/D4D0BAQGFmBRJ4-KcEQ/company-logo_100_100/company-logo_100_100/0/1723581573199/irssloficial_logo?e=1786579200&v=beta&t=KTo_lZ0TQyojxKXnnZSFARD4jCkv_zNOIfLjQ0s83io;-;https://www.linkedin.com/company/instituto-de-responsabilidade-social-s-rio-liban-s/about/;Saúde e Hospitais;(A.C.Camargo AND Cancer AND Center) OR (Astellas AND Pharma) OR (Cogna AND Educação) OR (Albert AND Einstein) OR Hospital OR Estácio OR Eurofarma OR Globo OR Hcor OR (Johnson AND Johnson) OR (Novo AND Nordisk) OR (Rede AND D'Or) OR (Smart AND Fit) OR (Vivo AND Telefônica AND Brasil);instituto de responsabilidade social sírio-libanês;1;;https://www.linkedin.com/jobs/view/4441851400/;https://www.linkedin.com/jobs/view/4441851400/;On-site;Associate;25/07/2026;Barueri;São Paulo;SP;Região Sudeste;Brasil;América do Sul
10;Instituto de Responsabilidade Social Sírio-Libanês;AUXILIAR DE ENFERMAGEM - HOSPITAL DIA - 5X2 - 12:00H AS 20:12H - HOSPITAL REGIONAL ROTA DOS BANDEIRANTES - BARUERI;Barueri (SP);25/07 07:00;https://www.linkedin.com/jobs/view/4441898738/;https://media.licdn.com/dms/image/v2/D4D0BAQGFmBRJ4-KcEQ/company-logo_100_100/company-logo_100_100/0/1723581573199/irssloficial_logo?e=1786579200&v=beta&t=KTo_lZ0TQyojxKXnnZSFARD4jCkv_zNOIfLjQ0s83io;-;https://www.linkedin.com/company/instituto-de-responsabilidade-social-s-rio-liban-s/about/;Saúde e Hospitais;(A.C.Camargo AND Cancer AND Center) OR (Astellas AND Pharma) OR (Cogna AND Educação) OR (Albert AND Einstein) OR Hospital OR Estácio OR Eurofarma OR Globo OR Hcor OR (Johnson AND Johnson) OR (Novo AND Nordisk) OR (Rede AND D'Or) OR (Smart AND Fit) OR (Vivo AND Telefônica AND Brasil);instituto de responsabilidade social sírio-libanês;1;;https://www.linkedin.com/jobs/view/4441898738/;https://www.linkedin.com/jobs/view/4441898738/;On-site;Associate;25/07/2026;Barueri;São Paulo;SP;Região Sudeste;Brasil;América do Sul
