Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;Agoda;Analyst/Senior Analyst, Meta Search Engine Marketing (Bangkok Based, Relocation provided);Belo Horizonte (MG);24/07 16:00;https://www.linkedin.com/jobs/view/4365038756/;https://media.licdn.com/dms/image/v2/D4D0BAQHnu249lVL3yA/company-logo_100_100/B4DZ09fn8fJQAU-/0/1774853194495/agoda_logo?e=1786579200&v=beta&t=uL3JjvfkzJyTYPrZjqqFa1r6-NpILhL9wnsuXlKOsFk;Advanced > Specialist;https://www.linkedin.com/company/agoda/about/;Marketing e Publicidade Marketing;Adobe OR Amazon OR AWS OR Apple OR Cisco OR Dell OR Ericsson OR Google OR Alphabet OR Hotmart OR IBM OR Meta OR Microsoft OR NVIDIA OR OpenAI OR (Red AND Hat) OR Shopee OR TikTok OR Uber OR (Vivo AND Telefônica);agoda;1.0;Greenhouse;https://www.linkedin.com/jobs/view/4365038756/;https://www.linkedin.com/jobs/view/4365038756/;On-site;Senior, Marketing/Mídia;25/07/2026;Belo Horizonte;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
2;Agoda;Analyst/Senior Analyst, Meta Search Engine Marketing (Bangkok Based, Relocation provided);Brasília (DF);24/07 16:00;https://www.linkedin.com/jobs/view/4365045567/;https://media.licdn.com/dms/image/v2/D4D0BAQHnu249lVL3yA/company-logo_100_100/B4DZ09fn8fJQAU-/0/1774853194495/agoda_logo?e=1786579200&v=beta&t=uL3JjvfkzJyTYPrZjqqFa1r6-NpILhL9wnsuXlKOsFk;Advanced > Specialist;https://www.linkedin.com/company/agoda/about/;Marketing e Publicidade Marketing;Adobe OR Amazon OR AWS OR Apple OR Cisco OR Dell OR Ericsson OR Google OR Alphabet OR Hotmart OR IBM OR Meta OR Microsoft OR NVIDIA OR OpenAI OR (Red AND Hat) OR Shopee OR TikTok OR Uber OR (Vivo AND Telefônica);agoda;1.0;Greenhouse;https://www.linkedin.com/jobs/view/4365045567/;https://www.linkedin.com/jobs/view/4365045567/;On-site;Senior, Marketing/Mídia;25/07/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul
3;Agoda;Analyst/Senior Analyst, Meta Search Engine Marketing (Bangkok Based, Relocation provided);Curitiba (PR);24/07 16:00;https://www.linkedin.com/jobs/view/4372239896/;https://media.licdn.com/dms/image/v2/D4D0BAQHnu249lVL3yA/company-logo_100_100/B4DZ09fn8fJQAU-/0/1774853194495/agoda_logo?e=1786579200&v=beta&t=uL3JjvfkzJyTYPrZjqqFa1r6-NpILhL9wnsuXlKOsFk;Advanced > Specialist;https://www.linkedin.com/company/agoda/about/;Marketing e Publicidade Marketing;Adobe OR Amazon OR AWS OR Apple OR Cisco OR Dell OR Ericsson OR Google OR Alphabet OR Hotmart OR IBM OR Meta OR Microsoft OR NVIDIA OR OpenAI OR (Red AND Hat) OR Shopee OR TikTok OR Uber OR (Vivo AND Telefônica);agoda;1.0;Greenhouse;https://www.linkedin.com/jobs/view/4372239896/;https://www.linkedin.com/jobs/view/4372239896/;On-site;Senior, Marketing/Mídia;25/07/2026;Curitiba;Paraná;PR;Região Sul;Brasil;América do Sul
4;Agoda;Analyst/Senior Analyst, Meta Search Engine Marketing (Bangkok Based, Relocation provided);Grande Rio de Janeiro (RJ);24/07 15:00;https://www.linkedin.com/jobs/view/4365023991/;https://media.licdn.com/dms/image/v2/D4D0BAQHnu249lVL3yA/company-logo_100_100/B4DZ09fn8fJQAU-/0/1774853194495/agoda_logo?e=1786579200&v=beta&t=uL3JjvfkzJyTYPrZjqqFa1r6-NpILhL9wnsuXlKOsFk;Advanced > Specialist;https://www.linkedin.com/company/agoda/about/;Marketing e Publicidade Marketing;Adobe OR Amazon OR AWS OR Apple OR Cisco OR Dell OR Ericsson OR Google OR Alphabet OR Hotmart OR IBM OR Meta OR Microsoft OR NVIDIA OR OpenAI OR (Red AND Hat) OR Shopee OR TikTok OR Uber OR (Vivo AND Telefônica);agoda;1.0;Greenhouse;https://www.linkedin.com/jobs/view/4365023991/;https://www.linkedin.com/jobs/view/4365023991/;On-site;Senior, Marketing/Mídia;25/07/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul
5;Amazon;First Mile Process Specialist, Amazon Customer Excellence System (ACES);Osasco (SP);25/07 04:00;https://www.linkedin.com/jobs/view/4445208482/;https://media.licdn.com/dms/image/v2/D560BAQGDLy4STCnHbg/company-logo_100_100/B56ZnZxDipI0AQ-/0/1760295142304/amazon_logo?e=1786579200&v=beta&t=pvVR4_84OgbkPRJxJByYw3Ah1p9aW9s4tMpztsl82gw;Advanced > Process & Automation;https://www.linkedin.com/company/amazon/about/;Varejo e E-commerce;Adobe OR Amazon OR AWS OR Apple OR Cisco OR Dell OR Ericsson OR Google OR Alphabet OR Hotmart OR IBM OR Meta OR Microsoft OR NVIDIA OR OpenAI OR (Red AND Hat) OR Shopee OR TikTok OR Uber OR (Vivo AND Telefônica);amazon;5.0;Amazon;https://www.linkedin.com/jobs/view/4445208482/;https://www.linkedin.com/jobs/view/4445208482/;On-site;Specialist;25/07/2026;Osasco;São Paulo;SP;Região Sudeste;Brasil;América do Sul
6;Andiamo! Group Talent Partners;Microsoft Dynamics GP Consultant;Brasil;24/07 15:00;https://www.linkedin.com/jobs/view/4444385559/;https://media.licdn.com/dms/image/v2/C4D0BAQEsmoaHWmqJrQ/company-logo_100_100/company-logo_100_100/0/1630548161775/andiamo_group_logo?e=1786579200&v=beta&t=Hg7AjW-F6tBNLpihOEWTBwsAnXgQA_tV2cJ-oLeAq7Q;Advanced > Specialist;https://www.linkedin.com/company/andiamo-group-talent-partners/about/;-;Adobe OR Amazon OR AWS OR Apple OR Cisco OR Dell OR Ericsson OR Google OR Alphabet OR Hotmart OR IBM OR Meta OR Microsoft OR NVIDIA OR OpenAI OR (Red AND Hat) OR Shopee OR TikTok OR Uber OR (Vivo AND Telefônica);andiamo! group talent partners;1;;https://www.linkedin.com/jobs/view/4444385559/;https://www.linkedin.com/jobs/view/4444385559/;Remote;Consultor;25/07/2026;;;;;Brasil;América do Sul
7;Betha Sistemas;ARQUITETO DE SISTEMAS SR  (AWS l JAVA);Brasil;24/07 19:00;https://www.linkedin.com/jobs/view/4441848376/;https://media.licdn.com/dms/image/v2/D4D0BAQG05Ca1tHcw3g/company-logo_100_100/company-logo_100_100/0/1720528847583/betha_sistemas_logo?e=1786579200&v=beta&t=FOsKUZiDDdJKDtHmqKkAEWpqTSTKhU31UzXKGUAmcCM;Architecture;https://www.linkedin.com/company/betha-sistemas/about/;Software e Serviços de TI;Adobe OR Amazon OR AWS OR Apple OR Cisco OR Dell OR Ericsson OR Google OR Alphabet OR Hotmart OR IBM OR Meta OR Microsoft OR NVIDIA OR OpenAI OR (Red AND Hat) OR Shopee OR TikTok OR Uber OR (Vivo AND Telefônica);betha sistemas;1.0;;https://www.linkedin.com/jobs/view/4441848376/;https://www.linkedin.com/jobs/view/4441848376/;Remote;Senior, Cloud (AWS/GCP/Azure), TI/Tech;25/07/2026;;;;;Brasil;América do Sul
8;BruntWork;Meta Ads & Cold Email Lead Generation Manager;América Latina;24/07 15:00;https://www.linkedin.com/jobs/view/4441810971/;https://media.licdn.com/dms/image/v2/D560BAQEcCL_eiKAREA/company-logo_100_100/company-logo_100_100/0/1721186064757/bruntworkcareers_logo?e=1786579200&v=beta&t=uH1_vTDcreGQai39QfC8WqMWTYe4hFVikJhFqXECstg;Middle > Manager;https://www.linkedin.com/company/bruntwork/about/;Software e Serviços de TI;Adobe OR Amazon OR AWS OR Apple OR Cisco OR Dell OR Ericsson OR Google OR Alphabet OR Hotmart OR IBM OR Meta OR Microsoft OR NVIDIA OR OpenAI OR (Red AND Hat) OR Shopee OR TikTok OR Uber OR (Vivo AND Telefônica);bruntwork;1.0;apply.bruntworkcareers.co;https://www.linkedin.com/jobs/view/4441810971/;https://www.linkedin.com/jobs/view/4441810971/;Remote;Mid, Liderança/Gerência;25/07/2026;;;;;;América Latina
9;BuscarVagas - Empregos Brasil;Analista de Infraestrutura Microsoft – Porto Alegre – RS - Estamos Contratando;Porto Alegre (RS);25/07 05:00;https://www.linkedin.com/jobs/view/4441889539/;https://media.licdn.com/dms/image/v2/D4D0BAQGegAuLcKhWMg/img-crop_100/B4DZrc3ndQIgAM-/0/1764642161116?e=1786579200&v=beta&t=9-YVEHVw9ylA2PMNTTSe19w72yJrcaUYul4BSzqdR-4;Advanced > Specialist;https://www.linkedin.com/company/buscarvagas-empregos-brasil/about/;Energia e Combustíveis;Adobe OR Amazon OR AWS OR Apple OR Cisco OR Dell OR Ericsson OR Google OR Alphabet OR Hotmart OR IBM OR Meta OR Microsoft OR NVIDIA OR OpenAI OR (Red AND Hat) OR Shopee OR TikTok OR Uber OR (Vivo AND Telefônica);buscarvagas - empregos brasil;2.0;Vagas.com;https://www.linkedin.com/jobs/view/4441889539/;https://www.linkedin.com/jobs/view/4441889539/;On-site;Associate, Infraestrutura/Redes;25/07/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
10;CI&T;Mid-Level I Senior .Net I AWS Developer, Brazil;Brasil;25/07 09:00;https://www.linkedin.com/jobs/view/4436780524/;https://media.licdn.com/dms/image/v2/D4E0BAQHeZyGQWQJb7g/company-logo_100_100/B4EZ89lXBZJEAI-/0/1783444632002/ciandt_logo?e=1786579200&v=beta&t=zdiU4-TjKhy1EFENpwOc9iRppgAsgkXSABft4QJ8sVU;Advanced > Information Technology;https://www.linkedin.com/company/ci-t/about/;-;Adobe OR Amazon OR AWS OR Apple OR Cisco OR Dell OR Ericsson OR Google OR Alphabet OR Hotmart OR IBM OR Meta OR Microsoft OR NVIDIA OR OpenAI OR (Red AND Hat) OR Shopee OR TikTok OR Uber OR (Vivo AND Telefônica);ci&t;4.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4436780524/;https://www.linkedin.com/jobs/view/4436780524/;Remote;Senior, Mid, Cloud (AWS/GCP/Azure);25/07/2026;;;;;Brasil;América do Sul
