Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;Banco Bradesco;Gerente de Negócios e Serviços I;Apucarana (PR);1 day ago;https://www.linkedin.com/jobs/view/4403490032/;https://media.licdn.com/dms/image/v2/C4E0BAQEXB9xussWsHQ/company-logo_100_100/company-logo_100_100/0/1680038081185/bradesco_logo?e=1778112000&v=beta&t=e0E7AAqXayR8p4Z5UmOnERiH-vIYn2KhxKDJT5zfV0c;Middle > Manager;https://www.linkedin.com/company/banco-bradesco/about/;Finance;bradesco.csod.com;banco bradesco;4.0;https://www.linkedin.com/jobs/view/4403490032/;;On-site;Mid, Gerente de Negócios, Liderança/Gerência;18/04/2026
2;Banco Bradesco;Gerente Relacionamento Prime | Banco de Talentos;Belo Horizonte (MG);16 hours ago;https://www.linkedin.com/jobs/view/4342903677/;https://media.licdn.com/dms/image/v2/C4E0BAQEXB9xussWsHQ/company-logo_100_100/company-logo_100_100/0/1680038081185/bradesco_logo?e=1778112000&v=beta&t=e0E7AAqXayR8p4Z5UmOnERiH-vIYn2KhxKDJT5zfV0c;People;https://www.linkedin.com/company/banco-bradesco/about/;Finance;bradesco.csod.com;banco bradesco;4.0;https://www.linkedin.com/jobs/view/4342903677/;;On-site;Banco de Talentos, Mid, Liderança/Gerência;18/04/2026
3;Banco Bradesco;Gerente Relacionamento Empresas I;Castro (PR);Viewed;https://www.linkedin.com/jobs/view/4389940818/;https://media.licdn.com/dms/image/v2/C4E0BAQEXB9xussWsHQ/company-logo_100_100/company-logo_100_100/0/1680038081185/bradesco_logo?e=1778112000&v=beta&t=e0E7AAqXayR8p4Z5UmOnERiH-vIYn2KhxKDJT5zfV0c;Middle > Manager;https://www.linkedin.com/company/banco-bradesco/about/;Finance;bradesco.csod.com;banco bradesco;4.0;https://www.linkedin.com/jobs/view/4389940818/;;On-site;Mid, Liderança/Gerência;18/04/2026
4;Banco Bradesco;Gerente Relacionamento Principal I;Caxias do Sul (RS);16 hours ago;https://www.linkedin.com/jobs/view/4372153637/;https://media.licdn.com/dms/image/v2/C4E0BAQEXB9xussWsHQ/company-logo_100_100/company-logo_100_100/0/1680038081185/bradesco_logo?e=1778112000&v=beta&t=e0E7AAqXayR8p4Z5UmOnERiH-vIYn2KhxKDJT5zfV0c;Middle > Manager;https://www.linkedin.com/company/banco-bradesco/about/;Finance;bradesco.csod.com;banco bradesco;4.0;https://www.linkedin.com/jobs/view/4372153637/;;On-site;Mid, Liderança/Gerência;18/04/2026
5;Banco Bradesco;Advisor Investimentos PL;Fortaleza (CE);1 day ago;https://www.linkedin.com/jobs/view/4403536967/;https://media.licdn.com/dms/image/v2/C4E0BAQEXB9xussWsHQ/company-logo_100_100/company-logo_100_100/0/1680038081185/bradesco_logo?e=1778112000&v=beta&t=e0E7AAqXayR8p4Z5UmOnERiH-vIYn2KhxKDJT5zfV0c;-;https://www.linkedin.com/company/banco-bradesco/about/;Finance;bradesco.csod.com;banco bradesco;4.0;https://www.linkedin.com/jobs/view/4403536967/;;On-site;Mid;18/04/2026
6;Banco Bradesco;Gerente Financiamentos II;Fortaleza (CE);1 day ago;https://www.linkedin.com/jobs/view/4403483151/;https://media.licdn.com/dms/image/v2/C4E0BAQEXB9xussWsHQ/company-logo_100_100/company-logo_100_100/0/1680038081185/bradesco_logo?e=1778112000&v=beta&t=e0E7AAqXayR8p4Z5UmOnERiH-vIYn2KhxKDJT5zfV0c;Middle > Manager;https://www.linkedin.com/company/banco-bradesco/about/;Finance;bradesco.csod.com;banco bradesco;4.0;https://www.linkedin.com/jobs/view/4403483151/;;On-site;Mid, Liderança/Gerência;18/04/2026
7;Banco Bradesco;Gerente Relacionamento Principal I;Grande Rio de Janeiro (RJ);1 day ago;https://www.linkedin.com/jobs/view/4403550123/;https://media.licdn.com/dms/image/v2/C4E0BAQEXB9xussWsHQ/company-logo_100_100/company-logo_100_100/0/1680038081185/bradesco_logo?e=1778112000&v=beta&t=e0E7AAqXayR8p4Z5UmOnERiH-vIYn2KhxKDJT5zfV0c;Middle > Manager;https://www.linkedin.com/company/banco-bradesco/about/;Finance;bradesco.csod.com;banco bradesco;4.0;https://www.linkedin.com/jobs/view/4403550123/;;On-site;Mid, Liderança/Gerência;18/04/2026
8;Banco Bradesco;Gerente Relacionamento Principal I;Grande Rio de Janeiro (RJ);1 day ago;https://www.linkedin.com/jobs/view/4403534969/;https://media.licdn.com/dms/image/v2/C4E0BAQEXB9xussWsHQ/company-logo_100_100/company-logo_100_100/0/1680038081185/bradesco_logo?e=1778112000&v=beta&t=e0E7AAqXayR8p4Z5UmOnERiH-vIYn2KhxKDJT5zfV0c;Middle > Manager;https://www.linkedin.com/company/banco-bradesco/about/;Finance;bradesco.csod.com;banco bradesco;4.0;https://www.linkedin.com/jobs/view/4403534969/;;On-site;Mid, Liderança/Gerência;18/04/2026
9;Banco Bradesco;Gerente de Negócios e Operações Principal;Grande São Paulo (SP) ;16 hours ago;https://www.linkedin.com/jobs/view/4371439513/;https://media.licdn.com/dms/image/v2/C4E0BAQEXB9xussWsHQ/company-logo_100_100/company-logo_100_100/0/1680038081185/bradesco_logo?e=1778112000&v=beta&t=e0E7AAqXayR8p4Z5UmOnERiH-vIYn2KhxKDJT5zfV0c;Middle > Manager;https://www.linkedin.com/company/banco-bradesco/about/;Finance;bradesco.csod.com;banco bradesco;4.0;https://www.linkedin.com/jobs/view/4371439513/;;On-site;Mid, Gerente de Negócios, Liderança/Gerência;18/04/2026
10;Banco Bradesco;Gerente Relacionamento Principal I;Indaiatuba (SP);1 day ago;https://www.linkedin.com/jobs/view/4403547139/;https://media.licdn.com/dms/image/v2/C4E0BAQEXB9xussWsHQ/company-logo_100_100/company-logo_100_100/0/1680038081185/bradesco_logo?e=1778112000&v=beta&t=e0E7AAqXayR8p4Z5UmOnERiH-vIYn2KhxKDJT5zfV0c;Middle > Manager;https://www.linkedin.com/company/banco-bradesco/about/;Finance;bradesco.csod.com;banco bradesco;4.0;https://www.linkedin.com/jobs/view/4403547139/;;On-site;Mid, Liderança/Gerência;18/04/2026
11;Banco Bradesco;Agente de Negócios;Nova Londrina (PR);1 day ago;https://www.linkedin.com/jobs/view/4403488058/;https://media.licdn.com/dms/image/v2/C4E0BAQEXB9xussWsHQ/company-logo_100_100/company-logo_100_100/0/1680038081185/bradesco_logo?e=1778112000&v=beta&t=e0E7AAqXayR8p4Z5UmOnERiH-vIYn2KhxKDJT5zfV0c;-;https://www.linkedin.com/company/banco-bradesco/about/;Finance;bradesco.csod.com;banco bradesco;4.0;https://www.linkedin.com/jobs/view/4403488058/;;On-site;-;18/04/2026
12;Banco Bradesco;Analista Endomarketing JR - vaga exclusiva para pessoas com deficiência;Osasco (SP);1 day ago;https://www.linkedin.com/jobs/view/4403478273/;https://media.licdn.com/dms/image/v2/C4E0BAQEXB9xussWsHQ/company-logo_100_100/company-logo_100_100/0/1680038081185/bradesco_logo?e=1778112000&v=beta&t=e0E7AAqXayR8p4Z5UmOnERiH-vIYn2KhxKDJT5zfV0c;Advanced > Specialist;https://www.linkedin.com/company/banco-bradesco/about/;Finance;bradesco.csod.com;banco bradesco;4.0;https://www.linkedin.com/jobs/view/4403478273/;;Hybrid;PCD / Afirmativa, Junior, Associate, Marketing/Mídia;18/04/2026
13;Banco Bradesco;Analista Operações Produtos Digitais SR;Osasco (SP);1 day ago;https://www.linkedin.com/jobs/view/4403542286/;https://media.licdn.com/dms/image/v2/C4E0BAQEXB9xussWsHQ/company-logo_100_100/company-logo_100_100/0/1680038081185/bradesco_logo?e=1778112000&v=beta&t=e0E7AAqXayR8p4Z5UmOnERiH-vIYn2KhxKDJT5zfV0c;Advanced > Specialist;https://www.linkedin.com/company/banco-bradesco/about/;Finance;bradesco.csod.com;banco bradesco;4.0;https://www.linkedin.com/jobs/view/4403542286/;;Hybrid;Senior, Associate;18/04/2026
14;Banco Bradesco;Analista Produtos JR;Osasco (SP);16 hours ago;https://www.linkedin.com/jobs/view/4391753670/;https://media.licdn.com/dms/image/v2/C4E0BAQEXB9xussWsHQ/company-logo_100_100/company-logo_100_100/0/1680038081185/bradesco_logo?e=1778112000&v=beta&t=e0E7AAqXayR8p4Z5UmOnERiH-vIYn2KhxKDJT5zfV0c;Advanced > Specialist;https://www.linkedin.com/company/banco-bradesco/about/;Finance;bradesco.csod.com;banco bradesco;4.0;https://www.linkedin.com/jobs/view/4391753670/;;Hybrid;Junior, Associate;18/04/2026
