Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;Almaviva Solutions;"10973084 | Gerente Comercial - Google
São Paulo - SP and Hybrid
Full-time employee";São Paulo (SP);1 day ago;https://www.linkedin.com/jobs/view/4402732457/;https://media.licdn.com/dms/image/v2/D4D0BAQFo3Nh7VYx-kg/company-logo_100_100/company-logo_100_100/0/1732382836517/almaviva_solutions_logo?e=1778112000&v=beta&t=LM-EojAh6A76rPyxaq4X38LCctj5hkJJca-Qh1P5nYU;Middle > Manager;https://www.linkedin.com/company/almaviva-solutions/about/;IT;Gupy;almaviva solutions;1.0;https://www.linkedin.com/jobs/view/4402732457/;;Hybrid;CLT/Efetivo, Mid, Liderança/Gerência, Vendas / Comercial;18/04/2026
2;Geoambiente - Google Enterprise Partner;Customer Engineer - Google Cloud;São José dos Campos (SP);15 hours ago;https://www.linkedin.com/jobs/view/4403044444/;https://media.licdn.com/dms/image/v2/D4D0BAQGhMzQqbZhJ0A/company-logo_100_100/company-logo_100_100/0/1738953691298/geoambientebr_logo?e=1778112000&v=beta&t=XKDAoFUs3ndg1ucculyepf5WG30o1QdfAiGE2EPSY1Y;Specific > Cloud;https://www.linkedin.com/company/geoambiente-google-enterprise-partner/about/;Marketing;;geoambiente - google enterprise partner;1;https://www.linkedin.com/jobs/view/4403044444/;;Hybrid;Cloud (AWS/GCP/Azure), Engenharia Geral;18/04/2026
3;Google;Technical Program Manager, EHS Design Safety;Atalanta (SC);Viewed;https://www.linkedin.com/jobs/view/4390959765/;https://media.licdn.com/dms/image/v2/D4E0BAQGv3cqOuUMY7g/company-logo_100_100/B4EZmhegXHGcAU-/0/1759350753990/google_logo?e=1778112000&v=beta&t=fkmJiCqROrA6IvaF3mXfKe8ZrihUMpSE1AaRWzHMn8M;Portfolio > Programas > Program Manager;https://www.linkedin.com/company/google/about/;IT;;google;5.0;https://www.linkedin.com/jobs/view/4390959765/;;On-site;Liderança/Gerência, TI/Tech;18/04/2026
4;Google;Software Engineer, Early Career (For Women in Tech Candidates);Belo Horizonte (MG);1 day ago;https://www.linkedin.com/jobs/view/4365572968/;https://media.licdn.com/dms/image/v2/D4E0BAQGv3cqOuUMY7g/company-logo_100_100/B4EZmhegXHGcAU-/0/1759350753990/google_logo?e=1778112000&v=beta&t=fkmJiCqROrA6IvaF3mXfKe8ZrihUMpSE1AaRWzHMn8M;Advanced > Information Technology;https://www.linkedin.com/company/google/about/;IT;;google;5.0;https://www.linkedin.com/jobs/view/4365572968/;;On-site;TI/Tech, Engenharia Geral;18/04/2026
5;Google;Software Engineer, Early Career (For Women in Tech Candidates);Grande São Paulo (SP) ;1 day ago;https://www.linkedin.com/jobs/view/4365592082/;https://media.licdn.com/dms/image/v2/D4E0BAQGv3cqOuUMY7g/company-logo_100_100/B4EZmhegXHGcAU-/0/1759350753990/google_logo?e=1778112000&v=beta&t=fkmJiCqROrA6IvaF3mXfKe8ZrihUMpSE1AaRWzHMn8M;Advanced > Information Technology;https://www.linkedin.com/company/google/about/;IT;;google;5.0;https://www.linkedin.com/jobs/view/4365592082/;;On-site;TI/Tech, Engenharia Geral;18/04/2026
6;IPNET by Vivo;Consultor em Colaboração I Google Workspace;Grande Rio de Janeiro (RJ);23 hours ago;https://www.linkedin.com/jobs/view/4400882727/;https://media.licdn.com/dms/image/v2/D4D0BAQHUKdeg5gYZag/company-logo_100_100/company-logo_100_100/0/1727968831406/ipnet_logo?e=1778112000&v=beta&t=l4-_QydPSmNxsYgx4KMxobnPVVqWWloowcYH5Lo4Xy0;Advanced > Specialist;https://www.linkedin.com/company/ipnet-by-vivo/about/;Telecommunications;empregos.com.br;ipnet by vivo;1.0;https://www.linkedin.com/jobs/view/4400882727/;;On-site;Consultor;18/04/2026
7;IPNET by Vivo;Especialista em Arquitetura Cloud - Google Cloud I Tech Sales;Grande São Paulo (SP) ;23 hours ago;https://www.linkedin.com/jobs/view/4400886877/;https://media.licdn.com/dms/image/v2/D4D0BAQHUKdeg5gYZag/company-logo_100_100/company-logo_100_100/0/1727968831406/ipnet_logo?e=1778112000&v=beta&t=l4-_QydPSmNxsYgx4KMxobnPVVqWWloowcYH5Lo4Xy0;Specific > Cloud;https://www.linkedin.com/company/ipnet-by-vivo/about/;IT;empregos.com.br;ipnet by vivo;1.0;https://www.linkedin.com/jobs/view/4400886877/;;On-site;Specialist, Cloud (AWS/GCP/Azure), TI/Tech, Vendas / Comercial;18/04/2026
8;Lago;PPC Specialist (Google Ads);América Latina;1 day ago;https://www.linkedin.com/jobs/view/4402734655/;https://media.licdn.com/dms/image/v2/D560BAQEFpYD5X9UkKA/company-logo_100_100/B56ZXUPdJfGcAQ-/0/1743022576533/lagostaffing_logo?e=1778112000&v=beta&t=qgN8EW2tZWYgVADXcmQdyzfM0kwluCK9I00MFp02ilY;Advanced > Specialist;https://www.linkedin.com/company/lago/about/;Other;apply.workable.com;lago;1.0;https://www.linkedin.com/jobs/view/4402734655/;;Remote;Specialist;18/04/2026
9;Maplink;Senior Sales Executive - Google Cloud (Argentina);São Paulo (SP);1 day ago;https://www.linkedin.com/jobs/view/4400876137/;https://media.licdn.com/dms/image/v2/D4D0BAQEOr76tCF_9NA/company-logo_100_100/B4DZf5_I0THAAY-/0/1752245768132/maplink_logo?e=1778112000&v=beta&t=OeSEYuMRymYy_8mRTZF7_JRVNhYFel7M6aZoIUUeZ4s;Specific > Cloud;https://www.linkedin.com/company/maplink/about/;IT;;maplink;1;https://www.linkedin.com/jobs/view/4400876137/;;Hybrid;Senior, Cloud (AWS/GCP/Azure), Vendas / Comercial;18/04/2026
10;Remote Leverage;Google Ads Specialist;América Latina;19 hours ago;https://www.linkedin.com/jobs/view/4402633103/;https://media.licdn.com/dms/image/v2/D560BAQELT-7rBftAAQ/company-logo_100_100/company-logo_100_100/0/1736898373026/remote_leverage_logo?e=1778112000&v=beta&t=u_W5v-HEGms8QylbmHE8oBwCYwQkAPsVq1-XjvXwS8Y;Advanced > Specialist;https://www.linkedin.com/company/remote-leverage/about/;Other;Recruit CRM;remote leverage;1.0;https://www.linkedin.com/jobs/view/4402633103/;;Remote;Specialist;18/04/2026
