Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;Agoda;Analyst/Senior Analyst, Meta Search Engine (Marketing Analytics, Bangkok Based, Relocation provided);Brasília (DF);Viewed;https://www.linkedin.com/jobs/view/4365045567/;https://media.licdn.com/dms/image/v2/D4D0BAQHnu249lVL3yA/company-logo_100_100/B4DZ09fn8fJQAU-/0/1774853194495/agoda_logo?e=1778112000&v=beta&t=DjjYXtrk6Kg7UCr7J2CxorfNDAgp67KHVvEfu_AmYfo;Data & Ai > BI Analytics And Big Data;https://www.linkedin.com/company/agoda/about/;Data;Greenhouse;agoda;1.0;https://www.linkedin.com/jobs/view/4365045567/;;On-site;Senior, Dados/Analytics, Marketing/Mídia;18/04/2026
2;Agoda;Analyst/Senior Analyst, Meta Search Engine (Marketing Analytics, Bangkok Based, Relocation provided);Curitiba (PR);10 hours ago;https://www.linkedin.com/jobs/view/4372239896/;https://media.licdn.com/dms/image/v2/D4D0BAQHnu249lVL3yA/company-logo_100_100/B4DZ09fn8fJQAU-/0/1774853194495/agoda_logo?e=1778112000&v=beta&t=DjjYXtrk6Kg7UCr7J2CxorfNDAgp67KHVvEfu_AmYfo;Data & Ai > BI Analytics And Big Data;https://www.linkedin.com/company/agoda/about/;Data;Greenhouse;agoda;1.0;https://www.linkedin.com/jobs/view/4372239896/;;On-site;Senior, Dados/Analytics, Marketing/Mídia;18/04/2026
3;Agoda;Analyst/Senior Analyst, Meta Search Engine (Marketing Analytics, Bangkok Based, Relocation provided);Grande Rio de Janeiro (RJ);Be an early applicant;https://www.linkedin.com/jobs/view/4365023991/;https://media.licdn.com/dms/image/v2/D4D0BAQHnu249lVL3yA/company-logo_100_100/B4DZ09fn8fJQAU-/0/1774853194495/agoda_logo?e=1778112000&v=beta&t=DjjYXtrk6Kg7UCr7J2CxorfNDAgp67KHVvEfu_AmYfo;Data & Ai > BI Analytics And Big Data;https://www.linkedin.com/company/agoda/about/;Data;Greenhouse;agoda;1.0;https://www.linkedin.com/jobs/view/4365023991/;;On-site;Senior, Dados/Analytics, Marketing/Mídia;18/04/2026
4;Agoda;Analyst/Senior Analyst, Meta Search Engine (Marketing Analytics, Bangkok Based, Relocation provided);Porto Alegre (RS);1 day ago;https://www.linkedin.com/jobs/view/4365034749/;https://media.licdn.com/dms/image/v2/D4D0BAQHnu249lVL3yA/company-logo_100_100/B4DZ09fn8fJQAU-/0/1774853194495/agoda_logo?e=1778112000&v=beta&t=DjjYXtrk6Kg7UCr7J2CxorfNDAgp67KHVvEfu_AmYfo;Data & Ai > BI Analytics And Big Data;https://www.linkedin.com/company/agoda/about/;Data;Greenhouse;agoda;1.0;https://www.linkedin.com/jobs/view/4365034749/;;On-site;Senior, Dados/Analytics, Marketing/Mídia;18/04/2026
5;Meta;Analista de Governança de IA Sênior;Brasil;1 day ago;https://www.linkedin.com/jobs/view/4400875083/;https://media.licdn.com/dms/image/v2/C4D0BAQHXTqaueX7X5A/company-logo_100_100/company-logo_100_100/0/1675356313243/metaoficial_logo?e=1778112000&v=beta&t=l-en8AnGZVqQlwP3t4YB7Y-RavknWZLe8bjcgfziOmo;Advanced > Specialist;https://www.linkedin.com/company/meta/about/;Other;recrut.ai;meta;2.0;https://www.linkedin.com/jobs/view/4400875083/;;Remote;Inteligência Artificial, Senior, Associate;18/04/2026
6;Meta;Consultor(a) Sênior em Microsoft 365 - Copilot;Brasil;1 day ago;https://www.linkedin.com/jobs/view/4400874096/;https://media.licdn.com/dms/image/v2/C4D0BAQHXTqaueX7X5A/company-logo_100_100/company-logo_100_100/0/1675356313243/metaoficial_logo?e=1778112000&v=beta&t=l-en8AnGZVqQlwP3t4YB7Y-RavknWZLe8bjcgfziOmo;Advanced > Specialist;https://www.linkedin.com/company/meta/about/;Other;recrut.ai;meta;2.0;https://www.linkedin.com/jobs/view/4400874096/;;Remote;Senior, Consultor;18/04/2026
7;Meta;Desenvolvedor C Ansi Sênior;Brasil;1 day ago;https://www.linkedin.com/jobs/view/4400842634/;https://media.licdn.com/dms/image/v2/C4D0BAQHXTqaueX7X5A/company-logo_100_100/company-logo_100_100/0/1675356313243/metaoficial_logo?e=1778112000&v=beta&t=l-en8AnGZVqQlwP3t4YB7Y-RavknWZLe8bjcgfziOmo;-;https://www.linkedin.com/company/meta/about/;Other;recrut.ai;meta;2.0;https://www.linkedin.com/jobs/view/4400842634/;;Remote;Senior;18/04/2026
8;Meta;Desenvolvedor Java / Angular Sênior;Brasil;1 day ago;https://www.linkedin.com/jobs/view/4400870210/;https://media.licdn.com/dms/image/v2/C4D0BAQHXTqaueX7X5A/company-logo_100_100/company-logo_100_100/0/1675356313243/metaoficial_logo?e=1778112000&v=beta&t=l-en8AnGZVqQlwP3t4YB7Y-RavknWZLe8bjcgfziOmo;-;https://www.linkedin.com/company/meta/about/;Other;recrut.ai;meta;2.0;https://www.linkedin.com/jobs/view/4400870210/;;Remote;Senior;18/04/2026
9;Meta;Desenvolvedor .NET Sênior (Híbrido em Curitiba);Curitiba (PR);1 day ago;https://www.linkedin.com/jobs/view/4400873079/;https://media.licdn.com/dms/image/v2/C4D0BAQHXTqaueX7X5A/company-logo_100_100/company-logo_100_100/0/1675356313243/metaoficial_logo?e=1778112000&v=beta&t=l-en8AnGZVqQlwP3t4YB7Y-RavknWZLe8bjcgfziOmo;-;https://www.linkedin.com/company/meta/about/;IT;recrut.ai;meta;2.0;https://www.linkedin.com/jobs/view/4400873079/;;Hybrid;Senior;18/04/2026
10;Meta;Business Engineer, Business AI;São Paulo (SP);14 hours ago;https://www.linkedin.com/jobs/view/4379308617/;https://media.licdn.com/dms/image/v2/D560BAQHBmbxCDP0JQQ/company-logo_100_100/B56ZlkdQSaI8AQ-/0/1758327015620/meta_logo?e=1778112000&v=beta&t=kzvVgww6ffMemu61aTnv7BMvY0B8Ehw8Y5t3AWH7EPY;Advanced > Information Technology;https://www.linkedin.com/company/meta/about/;AI;recrut.ai;meta;2.0;https://www.linkedin.com/jobs/view/4379308617/;;On-site;Inteligência Artificial, Engenharia Geral;18/04/2026
