Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;Santander Brasil;Espec Clientes Select High;Campinas (SP);1 day ago;https://www.linkedin.com/jobs/view/4403571141/;https://media.licdn.com/dms/image/v2/D4D0BAQGO_CAKXyEH2g/company-logo_100_100/B4DZfGdXQHHMAQ-/0/1751381276407/grupo_santander_brasil_logo?e=1778112000&v=beta&t=qTD-sPXNM21PAHqSvBL8ssxAcrf_hoRgcGKuQlYYPWI;-;https://www.linkedin.com/company/santander-brasil/about/;Other;Workday;santander brasil;4.0;https://www.linkedin.com/jobs/view/4403571141/;;Hybrid;Specialist;18/04/2026
2;Santander Brasil;BRA Espec Santander II 8h;Chapecó (SC);1 day ago;https://www.linkedin.com/jobs/view/4403559941/;https://media.licdn.com/dms/image/v2/D4D0BAQGO_CAKXyEH2g/company-logo_100_100/B4DZfGdXQHHMAQ-/0/1751381276407/grupo_santander_brasil_logo?e=1778112000&v=beta&t=qTD-sPXNM21PAHqSvBL8ssxAcrf_hoRgcGKuQlYYPWI;-;https://www.linkedin.com/company/santander-brasil/about/;Other;Workday;santander brasil;4.0;https://www.linkedin.com/jobs/view/4403559941/;;On-site;Specialist;18/04/2026
3;Santander Brasil;Banco de Talentos - Especialista Business Banking 1 - Rio de Janeiro;Grande Campinas (SP);14 hours ago;https://www.linkedin.com/jobs/view/4372761289/;https://media.licdn.com/dms/image/v2/D4D0BAQGO_CAKXyEH2g/company-logo_100_100/B4DZfGdXQHHMAQ-/0/1751381276407/grupo_santander_brasil_logo?e=1778112000&v=beta&t=qTD-sPXNM21PAHqSvBL8ssxAcrf_hoRgcGKuQlYYPWI;People;https://www.linkedin.com/company/santander-brasil/about/;Finance;Workday;santander brasil;4.0;https://www.linkedin.com/jobs/view/4372761289/;;On-site;Banco de Talentos, Specialist;18/04/2026
4;Santander Brasil;Banco de Talentos | Especialista Santander II 8h;Grande Campinas (SP);1 day ago;https://www.linkedin.com/jobs/view/4403562894/;https://media.licdn.com/dms/image/v2/D4D0BAQGO_CAKXyEH2g/company-logo_100_100/B4DZfGdXQHHMAQ-/0/1751381276407/grupo_santander_brasil_logo?e=1778112000&v=beta&t=qTD-sPXNM21PAHqSvBL8ssxAcrf_hoRgcGKuQlYYPWI;People;https://www.linkedin.com/company/santander-brasil/about/;Finance;Workday;santander brasil;4.0;https://www.linkedin.com/jobs/view/4403562894/;;On-site;Banco de Talentos, Specialist;18/04/2026
5;Santander Brasil;Espec Clientes Prospera;Grande Natal;20 hours ago;https://www.linkedin.com/jobs/view/4403589723/;https://media.licdn.com/dms/image/v2/D4D0BAQGO_CAKXyEH2g/company-logo_100_100/B4DZfGdXQHHMAQ-/0/1751381276407/grupo_santander_brasil_logo?e=1778112000&v=beta&t=qTD-sPXNM21PAHqSvBL8ssxAcrf_hoRgcGKuQlYYPWI;-;https://www.linkedin.com/company/santander-brasil/about/;Marketing;Workday;santander brasil;4.0;https://www.linkedin.com/jobs/view/4403589723/;;On-site;Specialist;18/04/2026
6;Santander Brasil;Espec Clientes B2 I;Grande Rio de Janeiro (RJ);1 day ago;https://www.linkedin.com/jobs/view/4403565263/;https://media.licdn.com/dms/image/v2/D4D0BAQGO_CAKXyEH2g/company-logo_100_100/B4DZfGdXQHHMAQ-/0/1751381276407/grupo_santander_brasil_logo?e=1778112000&v=beta&t=qTD-sPXNM21PAHqSvBL8ssxAcrf_hoRgcGKuQlYYPWI;-;https://www.linkedin.com/company/santander-brasil/about/;Other;Workday;santander brasil;4.0;https://www.linkedin.com/jobs/view/4403565263/;;On-site;Specialist;18/04/2026
7;Santander Brasil;Espec Select One;Grande Rio de Janeiro (RJ);14 hours ago;https://www.linkedin.com/jobs/view/4390322243/;https://media.licdn.com/dms/image/v2/D4D0BAQGO_CAKXyEH2g/company-logo_100_100/B4DZfGdXQHHMAQ-/0/1751381276407/grupo_santander_brasil_logo?e=1778112000&v=beta&t=qTD-sPXNM21PAHqSvBL8ssxAcrf_hoRgcGKuQlYYPWI;-;https://www.linkedin.com/company/santander-brasil/about/;Other;Workday;santander brasil;4.0;https://www.linkedin.com/jobs/view/4390322243/;;Remote;Specialist;18/04/2026
8;Santander Brasil;Espec Select One;Grande Rio de Janeiro (RJ);15 hours ago;https://www.linkedin.com/jobs/view/4390313684/;https://media.licdn.com/dms/image/v2/D4D0BAQGO_CAKXyEH2g/company-logo_100_100/B4DZfGdXQHHMAQ-/0/1751381276407/grupo_santander_brasil_logo?e=1778112000&v=beta&t=qTD-sPXNM21PAHqSvBL8ssxAcrf_hoRgcGKuQlYYPWI;-;https://www.linkedin.com/company/santander-brasil/about/;Other;Workday;santander brasil;4.0;https://www.linkedin.com/jobs/view/4390313684/;;Remote;Specialist;18/04/2026
9;Santander Brasil;BRA Espec Santander II 8h;Grande São Paulo (SP) ;1 day ago;https://www.linkedin.com/jobs/view/4403579073/;https://media.licdn.com/dms/image/v2/D4D0BAQGO_CAKXyEH2g/company-logo_100_100/B4DZfGdXQHHMAQ-/0/1751381276407/grupo_santander_brasil_logo?e=1778112000&v=beta&t=qTD-sPXNM21PAHqSvBL8ssxAcrf_hoRgcGKuQlYYPWI;-;https://www.linkedin.com/company/santander-brasil/about/;Other;Workday;santander brasil;4.0;https://www.linkedin.com/jobs/view/4403579073/;;On-site;Specialist;18/04/2026
10;Santander Brasil;Espec Clientes Select High;Nova Lima (MG);14 hours ago;https://www.linkedin.com/jobs/view/4403812597/;https://media.licdn.com/dms/image/v2/D4D0BAQGO_CAKXyEH2g/company-logo_100_100/B4DZfGdXQHHMAQ-/0/1751381276407/grupo_santander_brasil_logo?e=1778112000&v=beta&t=qTD-sPXNM21PAHqSvBL8ssxAcrf_hoRgcGKuQlYYPWI;-;https://www.linkedin.com/company/santander-brasil/about/;Other;Workday;santander brasil;4.0;https://www.linkedin.com/jobs/view/4403812597/;;Hybrid;Specialist;18/04/2026
