Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;Serasa Experian;Analista de Design Sênior;Blumenau (SC);17 hours ago;https://www.linkedin.com/jobs/view/4392011292/;https://media.licdn.com/dms/image/v2/D4D0BAQGW4EB1A1aUYQ/company-logo_100_100/B4DZyL2uQ_IUAY-/0/1771872904949/serasaexperian_logo?e=1778112000&v=beta&t=edmwcrxn4x5nQtlrsEHfpnmcU_okkxt_dCCuCnj3jm4;Advanced > Specialist;https://www.linkedin.com/company/serasa-experian/about/;Other;Smartrecruiters;serasa experian;4.0;https://www.linkedin.com/jobs/view/4392011292/;;Hybrid;Senior, Associate;18/04/2026
2;Serasa Experian;Administrador(a) de Sistemas SaaS Pleno;São Carlos (SP);1 day ago;https://www.linkedin.com/jobs/view/4403503136/;https://media.licdn.com/dms/image/v2/D4D0BAQGW4EB1A1aUYQ/company-logo_100_100/B4DZyL2uQ_IUAY-/0/1771872904949/serasaexperian_logo?e=1778112000&v=beta&t=edmwcrxn4x5nQtlrsEHfpnmcU_okkxt_dCCuCnj3jm4;-;https://www.linkedin.com/company/serasa-experian/about/;IT;Smartrecruiters;serasa experian;4.0;https://www.linkedin.com/jobs/view/4403503136/;;Remote;Mid, TI/Tech;18/04/2026
3;Serasa Experian;Analista de DevOps Pleno;São Carlos (SP);17 hours ago;https://www.linkedin.com/jobs/view/4391727810/;https://media.licdn.com/dms/image/v2/D4D0BAQGW4EB1A1aUYQ/company-logo_100_100/B4DZyL2uQ_IUAY-/0/1771872904949/serasaexperian_logo?e=1778112000&v=beta&t=edmwcrxn4x5nQtlrsEHfpnmcU_okkxt_dCCuCnj3jm4;Advanced > Specialist;https://www.linkedin.com/company/serasa-experian/about/;Other;Smartrecruiters;serasa experian;4.0;https://www.linkedin.com/jobs/view/4391727810/;;Remote;Mid, Associate, DevOps;18/04/2026
4;Serasa Experian;Analista de DevOps Sênior;São Carlos (SP);17 hours ago;https://www.linkedin.com/jobs/view/4391731672/;https://media.licdn.com/dms/image/v2/D4D0BAQGW4EB1A1aUYQ/company-logo_100_100/B4DZyL2uQ_IUAY-/0/1771872904949/serasaexperian_logo?e=1778112000&v=beta&t=edmwcrxn4x5nQtlrsEHfpnmcU_okkxt_dCCuCnj3jm4;Advanced > Specialist;https://www.linkedin.com/company/serasa-experian/about/;Other;Smartrecruiters;serasa experian;4.0;https://www.linkedin.com/jobs/view/4391731672/;;Remote;Senior, Associate, DevOps;18/04/2026
5;Serasa Experian;Arquiteto (a) Sênior;São Carlos (SP);17 hours ago;https://www.linkedin.com/jobs/view/4391742505/;https://media.licdn.com/dms/image/v2/D4D0BAQGW4EB1A1aUYQ/company-logo_100_100/B4DZyL2uQ_IUAY-/0/1771872904949/serasaexperian_logo?e=1778112000&v=beta&t=edmwcrxn4x5nQtlrsEHfpnmcU_okkxt_dCCuCnj3jm4;Architecture;https://www.linkedin.com/company/serasa-experian/about/;IT;Smartrecruiters;serasa experian;4.0;https://www.linkedin.com/jobs/view/4391742505/;;Remote;Senior;18/04/2026
6;Serasa Experian;DevOps Pleno;São Carlos (SP);17 hours ago;https://www.linkedin.com/jobs/view/4391738534/;https://media.licdn.com/dms/image/v2/D4D0BAQGW4EB1A1aUYQ/company-logo_100_100/B4DZyL2uQ_IUAY-/0/1771872904949/serasaexperian_logo?e=1778112000&v=beta&t=edmwcrxn4x5nQtlrsEHfpnmcU_okkxt_dCCuCnj3jm4;-;https://www.linkedin.com/company/serasa-experian/about/;Other;Smartrecruiters;serasa experian;4.0;https://www.linkedin.com/jobs/view/4391738534/;;Remote;Mid, DevOps;18/04/2026
7;Serasa Experian;Engenheiro (a) de Software Sênior - GoLang;São Carlos (SP);17 hours ago;https://www.linkedin.com/jobs/view/4391741504/;https://media.licdn.com/dms/image/v2/D4D0BAQGW4EB1A1aUYQ/company-logo_100_100/B4DZyL2uQ_IUAY-/0/1771872904949/serasaexperian_logo?e=1778112000&v=beta&t=edmwcrxn4x5nQtlrsEHfpnmcU_okkxt_dCCuCnj3jm4;-;https://www.linkedin.com/company/serasa-experian/about/;IT;Smartrecruiters;serasa experian;4.0;https://www.linkedin.com/jobs/view/4391741504/;;Remote;Senior, TI/Tech;18/04/2026
8;Serasa Experian;Engenheiro de Software Pleno;São Carlos (SP);Viewed;https://www.linkedin.com/jobs/view/4391737534/;https://media.licdn.com/dms/image/v2/D4D0BAQGW4EB1A1aUYQ/company-logo_100_100/B4DZyL2uQ_IUAY-/0/1771872904949/serasaexperian_logo?e=1778112000&v=beta&t=edmwcrxn4x5nQtlrsEHfpnmcU_okkxt_dCCuCnj3jm4;-;https://www.linkedin.com/company/serasa-experian/about/;IT;Smartrecruiters;serasa experian;4.0;https://www.linkedin.com/jobs/view/4391737534/;;Remote;Mid, TI/Tech;18/04/2026
9;Serasa Experian;Engenheiro de Software Pleno;São Carlos (SP);Viewed;https://www.linkedin.com/jobs/view/4391734629/;https://media.licdn.com/dms/image/v2/D4D0BAQGW4EB1A1aUYQ/company-logo_100_100/B4DZyL2uQ_IUAY-/0/1771872904949/serasaexperian_logo?e=1778112000&v=beta&t=edmwcrxn4x5nQtlrsEHfpnmcU_okkxt_dCCuCnj3jm4;-;https://www.linkedin.com/company/serasa-experian/about/;IT;Smartrecruiters;serasa experian;4.0;https://www.linkedin.com/jobs/view/4391734629/;;Remote;Mid, TI/Tech;18/04/2026
10;Serasa Experian;Engineering Manager;São Carlos (SP);1 day ago;https://www.linkedin.com/jobs/view/4403447503/;https://media.licdn.com/dms/image/v2/D4D0BAQGW4EB1A1aUYQ/company-logo_100_100/B4DZyL2uQ_IUAY-/0/1771872904949/serasaexperian_logo?e=1778112000&v=beta&t=edmwcrxn4x5nQtlrsEHfpnmcU_okkxt_dCCuCnj3jm4;Middle > Manager;https://www.linkedin.com/company/serasa-experian/about/;Other;Smartrecruiters;serasa experian;4.0;https://www.linkedin.com/jobs/view/4403447503/;;Remote;Liderança/Gerência, Engenharia Geral;18/04/2026
