Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;Paineiras;Copeira - Shopee;Grande São Paulo (SP) ;23 hours ago;https://www.linkedin.com/jobs/view/4400889837/;Sem logo;-;https://www.linkedin.com/company/paineiras/about/;Other;;paineiras;1;https://www.linkedin.com/jobs/view/4400889837/;;On-site;-;18/04/2026
2;Shopee;Analista de PCP Pleno | Guarulhos, SP;Guarulhos (SP);1 day ago;https://www.linkedin.com/jobs/view/4402726026/;https://media.licdn.com/dms/image/v2/C560BAQE0iX_dgdH7nA/company-logo_100_100/company-logo_100_100/0/1672279162763/shopee_logo?e=1778112000&v=beta&t=1Qr1H-Ag3p0VBKPSB4cHfQr9J8j3NHpGnXNftBiy2jY;Advanced > Specialist;https://www.linkedin.com/company/shopee/about/;Other;careers.shopee.sg;shopee;3.0;https://www.linkedin.com/jobs/view/4402726026/;;On-site;Mid, Associate, PCP;18/04/2026
3;Shopee;Técnico em Segurança do Trabalho Pleno | Itaitinga/CE;Itaitinga (CE);1 day ago;https://www.linkedin.com/jobs/view/4402764292/;https://media.licdn.com/dms/image/v2/C560BAQE0iX_dgdH7nA/company-logo_100_100/company-logo_100_100/0/1672279162763/shopee_logo?e=1778112000&v=beta&t=1Qr1H-Ag3p0VBKPSB4cHfQr9J8j3NHpGnXNftBiy2jY;-;https://www.linkedin.com/company/shopee/about/;IT;careers.shopee.sg;shopee;3.0;https://www.linkedin.com/jobs/view/4402764292/;;On-site;Mid;18/04/2026
4;Shopee;Analista Generalista de RH PL - Varginha/MG;São Paulo (SP);1 day ago;https://www.linkedin.com/jobs/view/4402731648/;https://media.licdn.com/dms/image/v2/C560BAQE0iX_dgdH7nA/company-logo_100_100/company-logo_100_100/0/1672279162763/shopee_logo?e=1778112000&v=beta&t=1Qr1H-Ag3p0VBKPSB4cHfQr9J8j3NHpGnXNftBiy2jY;Advanced > Specialist;https://www.linkedin.com/company/shopee/about/;HR;careers.shopee.sg;shopee;3.0;https://www.linkedin.com/jobs/view/4402731648/;;On-site;Mid, Associate;18/04/2026
5;Shopee;Analista Pleno de Operações (BPO & Collections Operations);São Paulo (SP);12 hours ago;https://www.linkedin.com/jobs/view/4381068533/;https://media.licdn.com/dms/image/v2/C560BAQE0iX_dgdH7nA/company-logo_100_100/company-logo_100_100/0/1672279162763/shopee_logo?e=1778112000&v=beta&t=1Qr1H-Ag3p0VBKPSB4cHfQr9J8j3NHpGnXNftBiy2jY;Advanced > Specialist;https://www.linkedin.com/company/shopee/about/;IT;careers.shopee.sg;shopee;3.0;https://www.linkedin.com/jobs/view/4381068533/;;Hybrid;Mid, Associate;18/04/2026
6;Shopee;Analista de Facilities Junior - Viana/ES;São Paulo (SP);14 hours ago;https://www.linkedin.com/jobs/view/4368779464/;https://media.licdn.com/dms/image/v2/C560BAQE0iX_dgdH7nA/company-logo_100_100/company-logo_100_100/0/1672279162763/shopee_logo?e=1778112000&v=beta&t=1Qr1H-Ag3p0VBKPSB4cHfQr9J8j3NHpGnXNftBiy2jY;Advanced > Specialist;https://www.linkedin.com/company/shopee/about/;IT;careers.shopee.sg;shopee;3.0;https://www.linkedin.com/jobs/view/4368779464/;;On-site;Junior, Associate;18/04/2026
7;Shopee;Analista de Facilities Pleno - São Paulo/SP;São Paulo (SP);12 hours ago;https://www.linkedin.com/jobs/view/4381058873/;https://media.licdn.com/dms/image/v2/C560BAQE0iX_dgdH7nA/company-logo_100_100/company-logo_100_100/0/1672279162763/shopee_logo?e=1778112000&v=beta&t=1Qr1H-Ag3p0VBKPSB4cHfQr9J8j3NHpGnXNftBiy2jY;Advanced > Specialist;https://www.linkedin.com/company/shopee/about/;IT;careers.shopee.sg;shopee;3.0;https://www.linkedin.com/jobs/view/4381058873/;;On-site;Mid, Associate;18/04/2026
8;Shopee;Analista de Growth Pleno | CRM;São Paulo (SP);12 hours ago;https://www.linkedin.com/jobs/view/4380457324/;https://media.licdn.com/dms/image/v2/C560BAQE0iX_dgdH7nA/company-logo_100_100/company-logo_100_100/0/1672279162763/shopee_logo?e=1778112000&v=beta&t=1Qr1H-Ag3p0VBKPSB4cHfQr9J8j3NHpGnXNftBiy2jY;Advanced > Specialist;https://www.linkedin.com/company/shopee/about/;Other;careers.shopee.sg;shopee;3.0;https://www.linkedin.com/jobs/view/4380457324/;;Hybrid;Mid, Associate, Salesforce/CRM;18/04/2026
9;Shopee;Analista de Operação Logística Junior - Blumenau/SC;São Paulo (SP);1 day ago;https://www.linkedin.com/jobs/view/4402730713/;https://media.licdn.com/dms/image/v2/C560BAQE0iX_dgdH7nA/company-logo_100_100/company-logo_100_100/0/1672279162763/shopee_logo?e=1778112000&v=beta&t=1Qr1H-Ag3p0VBKPSB4cHfQr9J8j3NHpGnXNftBiy2jY;Advanced > Specialist;https://www.linkedin.com/company/shopee/about/;IT;careers.shopee.sg;shopee;3.0;https://www.linkedin.com/jobs/view/4402730713/;;Hybrid;Junior, Associate, Logística/Supply;18/04/2026
10;Shopee;Analista de Processos Pleno - Cascavel/PR;São Paulo (SP);14 hours ago;https://www.linkedin.com/jobs/view/4390980068/;https://media.licdn.com/dms/image/v2/C560BAQE0iX_dgdH7nA/company-logo_100_100/company-logo_100_100/0/1672279162763/shopee_logo?e=1778112000&v=beta&t=1Qr1H-Ag3p0VBKPSB4cHfQr9J8j3NHpGnXNftBiy2jY;Advanced > Process & Automation;https://www.linkedin.com/company/shopee/about/;Marketing;careers.shopee.sg;shopee;3.0;https://www.linkedin.com/jobs/view/4390980068/;;On-site;Mid, Associate, Processos/Excelência;18/04/2026
