Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;Beyond Soluções;DBA Sênior - Foco em Centralização de Dados (Remoto);Barueri (SP);25/04 10:00;https://www.linkedin.com/jobs/view/4405754684/;https://media.licdn.com/dms/image/v2/D4D0BAQHs_WFHCqf9Fg/company-logo_100_100/company-logo_100_100/0/1701378457059/beyond_solucoes_logo?e=1778716800&v=beta&t=KuGTkPNs17p5_XGmIIVizqDEihH27MCSjRkI-TElhbg;-;https://www.linkedin.com/company/beyond-solu-es/about/;Data;Quickin;beyond soluções;1.0;https://www.linkedin.com/jobs/view/4405754684/;https://jobs.quickin.io/imaginebeyond/jobs/69ebacf09ea388001330c7ef?src=LinkedIn%20Limited%20Listings;Hybrid;Senior, Dados/Analytics;26/04/2026
2;Beyond Soluções;DBA Sênior - Foco em Centralização de Dados (Remoto);Brasil;25/04 03:00;https://www.linkedin.com/jobs/view/4404122056/;https://media.licdn.com/dms/image/v2/D4D0BAQHs_WFHCqf9Fg/company-logo_100_100/company-logo_100_100/0/1701378457059/beyond_solucoes_logo?e=1778716800&v=beta&t=KuGTkPNs17p5_XGmIIVizqDEihH27MCSjRkI-TElhbg;-;https://www.linkedin.com/company/beyond-solu-es/about/;Data;Quickin;beyond soluções;1.0;https://www.linkedin.com/jobs/view/4404122056/;https://jobs.quickin.io/imaginebeyond/jobs/69ebacf09ea388001330c7ef;Remote;Senior, Dados/Analytics;26/04/2026
3;Ingram Micro;Analista de Administração de Banco de Dados III;São Paulo (SP);25/04 15:00;https://www.linkedin.com/jobs/view/4367038089/;https://media.licdn.com/dms/image/v2/C560BAQHIMBG6vd-Hzg/company-logo_100_100/company-logo_100_100/0/1656514592564/ingram_micro_logo?e=1778716800&v=beta&t=dmgVL8l8q81L5xnnPK5K_bdrkevJ3hEypLGdVk3hDxE;Advanced > Specialist;https://www.linkedin.com/company/ingram-micro/about/;Data;careers.ingrammicro.com;ingram micro;1.0;https://www.linkedin.com/jobs/view/4367038089/;https://careers.ingrammicro.com/en/jobs/r-112919/analista-de-administracao-de-banco-de-dados-iii/?source=LinkedIn;Hybrid;Associate, Dados/Analytics;26/04/2026
4;Joveo AI;Database Administrator (DBA) (Remote);SP;25/04 12:00;https://www.linkedin.com/jobs/view/4406859721/;https://media.licdn.com/dms/image/v2/D560BAQGZaEx4qwD7IA/company-logo_100_100/B56Z2GgtYDKwAQ-/0/1776078215755/joveo_ai_logo?e=1778716800&v=beta&t=txKU3eKAW5pmHb-64yR27yrf1kzENyjJW0-vqaFsoxo;-;https://www.linkedin.com/company/joveo-ai/about/;Data;LinkedIn (Easy Apply);joveo ai;1.0;https://www.linkedin.com/jobs/view/4406859721/;https://www.linkedin.com/jobs/view/4406859721/;Remote;-;26/04/2026
5;Qaracter Brasil;Mainframe Pleno/Sênior;SP;25/04 03:00;https://www.linkedin.com/jobs/view/4404118587/;https://media.licdn.com/dms/image/v2/D4D0BAQFnUtGk1SgS8w/company-logo_100_100/company-logo_100_100/0/1699376549487/qaracterbrasil_logo?e=1778716800&v=beta&t=I4yvPhRbXVZXl-K2_us9ExMFxj4cU7oSrNYpXYQjQeI;-;https://www.linkedin.com/company/qaracter-brasil/about/;Other;LinkedIn (Easy Apply);qaracter brasil;1.0;https://www.linkedin.com/jobs/view/4404118587/;https://www.linkedin.com/jobs/view/4404118587/;Hybrid;Senior, Mid, Mainframe;26/04/2026
6;Softtek;Administrador de banco de dados MS SQL Server;São Paulo (SP);25/04 03:00;https://www.linkedin.com/jobs/view/4403793112/;https://media.licdn.com/dms/image/v2/D560BAQGPNg8TewdnIg/company-logo_100_100/company-logo_100_100/0/1699028835508/softtek_logo?e=1778716800&v=beta&t=UJVygMS6ffSgDBlch9zhBMldaTenL3werd3I_-24Tgo;-;https://www.linkedin.com/company/softtek/about/;Data;LinkedIn (Easy Apply);softtek;1.0;https://www.linkedin.com/jobs/view/4403793112/;https://www.linkedin.com/jobs/view/4403793112/;Hybrid;Dados/Analytics;26/04/2026
7;Softtek;Analista de Infraestrutura de Banco de Dados Oracle;São Paulo (SP);25/04 03:00;https://www.linkedin.com/jobs/view/4403783942/;https://media.licdn.com/dms/image/v2/D560BAQGPNg8TewdnIg/company-logo_100_100/company-logo_100_100/0/1699028835508/softtek_logo?e=1778716800&v=beta&t=UJVygMS6ffSgDBlch9zhBMldaTenL3werd3I_-24Tgo;Advanced > Specialist;https://www.linkedin.com/company/softtek/about/;Data;LinkedIn (Easy Apply);softtek;1.0;https://www.linkedin.com/jobs/view/4403783942/;https://www.linkedin.com/jobs/view/4403783942/;Hybrid;Associate, Dados/Analytics, Infraestrutura/Redes;26/04/2026
8;Solutis Tecnologias;Administrador de Banco de Dados (DBA) | Presencial - Salvador BA;Salvador (BA);25/04 10:00;https://www.linkedin.com/jobs/view/4358994473/;https://media.licdn.com/dms/image/v2/C4E0BAQFKFEaP4rsn-w/company-logo_100_100/company-logo_100_100/0/1630604754577?e=1778716800&v=beta&t=NFEKrS5rkhy01dGiqIrzQQEufJ-9__9DvmI02W1eVSs;-;https://www.linkedin.com/company/solutis-tecnologias/about/;Data;Inhire;solutis tecnologias;1.0;https://www.linkedin.com/jobs/view/4358994473/;https://solutis.inhire.app/vagas/d7d65bd6-b266-4c74-955b-6e06d5c3b76a/administrador-de-banco-de-dados-dba-or-presencial-salvador-ba?src=LinkedIn;On-site;Dados/Analytics;26/04/2026
9;Stefanini Brasil;Administrador de Banco de Dados (DBA) – PostgreSQL / AlloyDB;Curitiba (PR);25/04 03:00;https://www.linkedin.com/jobs/view/4406829206/;https://media.licdn.com/dms/image/v2/D4D0BAQFOPyOhO4wTTg/company-logo_100_100/company-logo_100_100/0/1719784126380/stefanini_brasil_logo?e=1778716800&v=beta&t=YCInb9rrVVKoay_uNgEwyvn25-VmuGa02W8hilGdP8w;-;https://www.linkedin.com/company/stefanini-brasil/about/;Data;LinkedIn (Easy Apply);stefanini brasil;4.0;https://www.linkedin.com/jobs/view/4406829206/;https://www.linkedin.com/jobs/view/4406829206/;On-site;Dados/Analytics;26/04/2026
10;Trustly;Database Administrator;Vitória (ES);25/04 03:00;https://www.linkedin.com/jobs/view/4404125087/;https://media.licdn.com/dms/image/v2/D4D0BAQHA341YiwaGhg/company-logo_100_100/company-logo_100_100/0/1690194366981/trustly_logo?e=1778716800&v=beta&t=ZQfZ5FrSZ8R4TfbY2g3ifC1FUyq6DliF5594PJvDhgU;-;https://www.linkedin.com/company/trustly/about/;Data;Lever;trustly;1.0;https://www.linkedin.com/jobs/view/4404125087/;https://jobs.lever.co/trustly/ebaebd28-3287-446e-b62b-bc2fb8eabad1/apply?lever-source=LinkedIn;Remote;-;26/04/2026
11;innolevels;Administrador de Banco de Dados Big Data  - RJ;Grande Rio de Janeiro (RJ);25/04 23:00;https://www.linkedin.com/jobs/view/4404198855/;https://media.licdn.com/dms/image/v2/C4D0BAQHTJl0dF22boA/company-logo_100_100/company-logo_100_100/0/1662223622824/innolevels_logo?e=1778716800&v=beta&t=fFCYGrswms2w0k7sMF06Ftph_3tD2l7_PsCq7ik-TzQ;Data & Ai > Data Engineering;https://www.linkedin.com/company/innolevels/about/;Data;empregos.com.br;innolevels;1.0;https://www.linkedin.com/jobs/view/4404198855/;https://www.empregos.com.br/vaga/11450913/administrador-de-banco-de-dados-big-data-rj-em-rio-de-janeiro-rj-FD11450913IN;Remote;Dados/Analytics;26/04/2026
12;innolevels;DBA MySQL Sênior  - SP;Grande São Paulo (SP) ;25/04 03:00;https://www.linkedin.com/jobs/view/4404189976/;https://media.licdn.com/dms/image/v2/C4D0BAQHTJl0dF22boA/company-logo_100_100/company-logo_100_100/0/1662223622824/innolevels_logo?e=1778716800&v=beta&t=fFCYGrswms2w0k7sMF06Ftph_3tD2l7_PsCq7ik-TzQ;-;https://www.linkedin.com/company/innolevels/about/;Other;empregos.com.br;innolevels;1.0;https://www.linkedin.com/jobs/view/4404189976/;https://www.empregos.com.br/vaga/11474035/dba-mysql-senior-sp-em-sao-paulo-sp-FD11474035IN;Remote;Senior;26/04/2026
13;ioet;Data Administrator;América Latina;25/04 03:00;https://www.linkedin.com/jobs/view/4403791485/;https://media.licdn.com/dms/image/v2/D4E0BAQGhgbgaO1YTjg/company-logo_100_100/company-logo_100_100/0/1684773305567/ioet_logo?e=1778716800&v=beta&t=K7_xNZ-XTijLQW5iqQRMbje-YOiQT1EjjRIhU64PPZg;Data & Ai > Data Engineering;https://www.linkedin.com/company/ioet/about/;Data;ioet.na.teamtailor.com;ioet;1.0;https://www.linkedin.com/jobs/view/4403791485/;https://ioet.na.teamtailor.com/jobs/577734-item-master-data-administrator-netsuite;Remote;Dados/Analytics;26/04/2026
