Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;/asbz;ADVOGADO(A) PLENO - CÍVEL (MEIOS DE PAGAMENTO); (SP);1 week ago;https://www.linkedin.com/jobs/view/4383312653/;https://media.licdn.com/dms/image/v2/D4D0BAQEIw-vUVPybRA/company-logo_100_100/B4DZ1JEp6SKoAQ-/0/1775047451034?e=1778112000&v=beta&t=8K6INGPGa5wuZtW-RAua7-Vl-QNkmF_Pt-dsa2poAvo;-;https://www.linkedin.com/company/asbz/about/;Other;;/asbz;1;https://www.linkedin.com/jobs/view/4383312653/;;Hybrid;Mid;17/04/2026
2;/asbz;ADVOGADO(A) PLENO - FINANCORP (M&A e SOCIETÁRIO); (SP);Easy Apply;https://www.linkedin.com/jobs/view/4383334308/;https://media.licdn.com/dms/image/v2/D4D0BAQEIw-vUVPybRA/company-logo_100_100/B4DZ1JEp6SKoAQ-/0/1775047451034?e=1778112000&v=beta&t=8K6INGPGa5wuZtW-RAua7-Vl-QNkmF_Pt-dsa2poAvo;-;https://www.linkedin.com/company/asbz/about/;Other;;/asbz;1;https://www.linkedin.com/jobs/view/4383334308/;;On-site;Mid;17/04/2026
3;ABDO Advogados;Advogado(a);Novo Hamburgo (RS);4 days ago;https://www.linkedin.com/jobs/view/4399548689/;https://media.licdn.com/dms/image/v2/D4D0BAQG92q7rT3G5pQ/company-logo_100_100/B4DZbEbDGsHAAU-/0/1747052151307/abdoadvogados_logo?e=1778112000&v=beta&t=6RhivPULOp-pqVcbO61rHQEKIIfhVCZVgVuGUqI-pdI;-;https://www.linkedin.com/company/abdo-advogados/about/;Legal;;abdo advogados;1;https://www.linkedin.com/jobs/view/4399548689/;;On-site;-;17/04/2026
4;ABDO Advogados;Advogado(a) Previdenciário;Novo Hamburgo (RS);4 days ago;https://www.linkedin.com/jobs/view/4399556570/;https://media.licdn.com/dms/image/v2/D4D0BAQG92q7rT3G5pQ/company-logo_100_100/B4DZbEbDGsHAAU-/0/1747052151307/abdoadvogados_logo?e=1778112000&v=beta&t=6RhivPULOp-pqVcbO61rHQEKIIfhVCZVgVuGUqI-pdI;-;https://www.linkedin.com/company/abdo-advogados/about/;Legal;;abdo advogados;1;https://www.linkedin.com/jobs/view/4399556570/;;On-site;-;17/04/2026
5;ACZ | Andara, Coitiño e Zanchi Advogados;Advogado(a) de Controladoria Jurídica;Porto Alegre (RS);58 minutes ago;https://www.linkedin.com/jobs/view/4400846441/;https://media.licdn.com/dms/image/v2/D4D0BAQEdXrlsOF8Fdg/company-logo_100_100/B4DZuPLEsoKQAQ-/0/1767633603827/andara_coitio_e_zanchi_advogados_logo?e=1778112000&v=beta&t=cy4DaIV_NR1J7JmIf-_WrhNmoxjufg1xUPPV58ApWmo;-;https://www.linkedin.com/company/acz-andara-coiti-o-e-zanchi-advogados/about/;IT;;acz | andara, coitiño e zanchi advogados;1;https://www.linkedin.com/jobs/view/4400846441/;;Hybrid;-;17/04/2026
6;ADCCONT;Advogado;Grande São Paulo (SP) ;1 month ago;https://www.linkedin.com/jobs/view/4384583437/;https://media.licdn.com/dms/image/v2/D4D0BAQF-WCLotP8CQw/company-logo_100_100/B4DZal8x3QG8AQ-/0/1746540896169/adccont_servios_contbeis_logo?e=1778112000&v=beta&t=ryyqt8Yg9exyryLYuO4PzMB5jtK8NIcG5dPw6o_l-Rw;-;https://www.linkedin.com/company/adccont/about/;Other;;adccont;1;https://www.linkedin.com/jobs/view/4384583437/;;On-site;-;17/04/2026
7;ALD Automotive Brasil;Analista de Sinistro Sr.;São Paulo (SP);1 week ago;https://www.linkedin.com/jobs/view/4394731056/;https://media.licdn.com/dms/image/v2/C4E0BAQEwh7kMyzqllg/company-logo_100_100/company-logo_100_100/0/1630573746604/ald_automotive_brasil_logo?e=1778112000&v=beta&t=384x4L1uJyPzYXbUxewx-HeNNplPT6GmJGByU1yun3I;Advanced > Specialist;https://www.linkedin.com/company/ald-automotive-brasil/about/;IT;;ald automotive brasil;1;https://www.linkedin.com/jobs/view/4394731056/;;On-site;Senior, Associate;17/04/2026
8;ALE Combustíveis;Advogado | Pleno;Grande Natal;1 month ago;https://www.linkedin.com/jobs/view/4382779448/;https://media.licdn.com/dms/image/v2/D4D0BAQHYzLuusLnsZg/company-logo_100_100/company-logo_100_100/0/1730820577961/alecombustiveis_logo?e=1778112000&v=beta&t=n2XUZDlxIj6_qkA6dB4um7PZFboyZ1wHes03XHYsr9M;-;https://www.linkedin.com/company/ale-combust-veis/about/;Other;;ale combustíveis;1.0;https://www.linkedin.com/jobs/view/4382779448/;;Hybrid;Mid;17/04/2026
9;ALM GENTE E GESTÃO;Advogado Trabalhista;Brasil;3 weeks ago;https://www.linkedin.com/jobs/view/4400414575/;https://media.licdn.com/dms/image/v2/D4D0BAQEJkvrAgy6ZTA/company-logo_100_100/company-logo_100_100/0/1663606387571?e=1778112000&v=beta&t=uA9F5P-VrEYJwZdFqAV1glr1GBVY9gNJdiEvaohXVkk;-;https://www.linkedin.com/company/alm-gente-e-gest-o/about/;Other;;alm gente e gestão;1;https://www.linkedin.com/jobs/view/4400414575/;;On-site;-;17/04/2026
10;ANTUNES ADVOGADOS ASSOCIADOS;ADVOGADO ou estudante de direito (para atendimento ao cliente);Santos (SP);1 week ago;https://www.linkedin.com/jobs/view/4398419050/;Sem logo;-;https://www.linkedin.com/company/antunes-advogados-associados/about/;IT;;antunes advogados associados;1;https://www.linkedin.com/jobs/view/4398419050/;;On-site;-;17/04/2026
