Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;.;Analista de Martech SR (Whatsapp) _ Híbrido SP - SP;Grande São Paulo (SP) ;26/04 23:00;https://www.linkedin.com/jobs/view/4404658277/;https://media.licdn.com/dms/image/v2/D4D0BAQG7yoZPwvPnjg/company-logo_100_100/B4DZxxQxuGJwAQ-/0/1771426749742/red_logo?e=1778716800&v=beta&t=r9bf_NVPlFG1_1EM8GuheR87ewlVGO8LGXK3Fv6F9So;Advanced > Specialist;https://www.linkedin.com/company//about/;IT;;.;1;https://www.linkedin.com/jobs/view/4404658277/;;On-site;Senior, Associate, TI/Tech, Marketing/Mídia;27/04/2026
2;1GLOBAL;Voice and Services Engineer - São Paulo/Rio de Janeiro Based;Grande Rio de Janeiro (RJ);27/04 11:00;https://www.linkedin.com/jobs/view/4406201240/;https://media.licdn.com/dms/image/v2/D4E0BAQEcWkLeij3rJw/company-logo_100_100/company-logo_100_100/0/1693561970417/1global_logo?e=1778716800&v=beta&t=zYWNqT7SA02oV2mEyEo4YUlDulFJC8PfRtDc8FM6awk;Advanced > Information Technology;https://www.linkedin.com/company/1global/about/;Other;;1global;1.0;https://www.linkedin.com/jobs/view/4406201240/;;Hybrid;Engenharia Geral;27/04/2026
3;1GLOBAL;IP Network Team Lead;Grande São Paulo (SP) ;27/04 11:00;https://www.linkedin.com/jobs/view/4405995241/;https://media.licdn.com/dms/image/v2/D4E0BAQEcWkLeij3rJw/company-logo_100_100/company-logo_100_100/0/1693561970417/1global_logo?e=1778716800&v=beta&t=zYWNqT7SA02oV2mEyEo4YUlDulFJC8PfRtDc8FM6awk;Leadership > Middle Management > Leader > Team Leader;https://www.linkedin.com/company/1global/about/;Other;;1global;1.0;https://www.linkedin.com/jobs/view/4405995241/;;Hybrid;Mid, Liderança/Gerência, Infraestrutura/Redes;27/04/2026
4;1GLOBAL;Voice and Services Engineer - São Paulo/Rio de Janeiro Based;São Paulo (SP);27/04 11:00;https://www.linkedin.com/jobs/view/4405997288/;https://media.licdn.com/dms/image/v2/D4E0BAQEcWkLeij3rJw/company-logo_100_100/company-logo_100_100/0/1693561970417/1global_logo?e=1778716800&v=beta&t=zYWNqT7SA02oV2mEyEo4YUlDulFJC8PfRtDc8FM6awk;Advanced > Information Technology;https://www.linkedin.com/company/1global/about/;Other;;1global;1.0;https://www.linkedin.com/jobs/view/4405997288/;;Hybrid;Engenharia Geral;27/04/2026
5;2A Cenografia;Arquiteta - SP - SP - SP - SP - SP;Brasil;26/04 23:00;https://www.linkedin.com/jobs/view/4404654331/;https://media.licdn.com/dms/image/v2/D560BAQGBSZotKhmx5A/company-logo_100_100/B56ZWFNzUaGoAY-/0/1741696743197/2a_cenografia_logo?e=1778716800&v=beta&t=pSYYZPkVTfoOrIE6Iy21G4uW9sQOY7T-xNaA5q9vQvI;-;https://www.linkedin.com/company/2a-cenografia/about/;IT;;2a cenografia;1;https://www.linkedin.com/jobs/view/4404654331/;;On-site;-;27/04/2026
6;2Maker;Desenvolvedor Full Stack;Blumenau (SC);27/04 11:00;https://www.linkedin.com/jobs/view/4407429137/;https://media.licdn.com/dms/image/v2/D4D0BAQHnJbS0bS5Xqg/company-logo_100_100/company-logo_100_100/0/1737551752021/2makerdesenvolvimento_logo?e=1778716800&v=beta&t=w-UtrADgEjGmxsUXuGx4oswUctbUjUNUnAfVuBeajAE;-;https://www.linkedin.com/company/2maker/about/;Other;;2maker;1;https://www.linkedin.com/jobs/view/4407429137/;;On-site;Full Stack;27/04/2026
7;4juris;Desenvolvedor(a) Fullstack Pleno (React/Next.js + Node.js/Nest);Fortaleza (CE);27/04 10:00;https://www.linkedin.com/jobs/view/4407412754/;https://media.licdn.com/dms/image/v2/D4D0BAQGnBrbYKryEJQ/company-logo_100_100/company-logo_100_100/0/1702480038699/4jurismarketing_logo?e=1778716800&v=beta&t=rJMArCTIia9oDk4a75E18OG4FNJobAHZpMQXPZnIH2Q;-;https://www.linkedin.com/company/4juris/about/;Other;;4juris;1;https://www.linkedin.com/jobs/view/4407412754/;;On-site;Mid, Full Stack;27/04/2026
8;4juris;Sales Farmer;Fortaleza (CE);27/04 10:00;https://www.linkedin.com/jobs/view/4407409793/;https://media.licdn.com/dms/image/v2/D4D0BAQGnBrbYKryEJQ/company-logo_100_100/company-logo_100_100/0/1702480038699/4jurismarketing_logo?e=1778716800&v=beta&t=rJMArCTIia9oDk4a75E18OG4FNJobAHZpMQXPZnIH2Q;-;https://www.linkedin.com/company/4juris/about/;Sales;;4juris;1;https://www.linkedin.com/jobs/view/4407409793/;;On-site;Vendas / Comercial;27/04/2026
9;<LaFinteca>;Partnership Manager (Payments);América Latina;27/04 07:00;https://www.linkedin.com/jobs/view/4407182692/;https://media.licdn.com/dms/image/v2/D4E0BAQEUB9QDV0TinQ/company-logo_100_100/company-logo_100_100/0/1693582703857?e=1778716800&v=beta&t=im5v58uIDSk0u9iungXVlrAAw_UsvJdoo07BBRgcxho;Middle > Manager;https://www.linkedin.com/company/lafinteca/about/;Other;LinkedIn (Easy Apply);<lafinteca>;1.0;https://www.linkedin.com/jobs/view/4407182692/;;Remote;Liderança/Gerência;27/04/2026
10;A.C.Camargo Cancer Center;Engenheiro de Dados III;São Paulo (SP);27/04 09:00;https://www.linkedin.com/jobs/view/4407413213/;https://media.licdn.com/dms/image/v2/D4D0BAQEYnwtKr6hI-w/company-logo_100_100/company-logo_100_100/0/1726515191454/accamargo_logo?e=1778716800&v=beta&t=Gp91ujmrmcxqgDuPeW2GHGw4ruR5Lzi-dnCk1Y8howY;-;https://www.linkedin.com/company/a-c-camargo-cancer-center/about/;Data;LinkedIn (Easy Apply);a.c.camargo cancer center;1.0;https://www.linkedin.com/jobs/view/4407413213/;;Hybrid;Dados/Analytics;27/04/2026
11;A1 Engineering;Comprador;Araucária (PR);27/04 09:00;https://www.linkedin.com/jobs/view/4407423004/;https://media.licdn.com/dms/image/v2/D4D0BAQH1blvImOnDig/company-logo_100_100/B4DZrZ5DD2H4AQ-/0/1764592202829/grupoa1_logo?e=1778716800&v=beta&t=0YLjErw-MIZcQnfZhvHWlAVpOO_bcVPoA-rGbcMZSZ0;-;https://www.linkedin.com/company/a1-engineering/about/;Marketing;LinkedIn (Easy Apply);a1 engineering;1.0;https://www.linkedin.com/jobs/view/4407423004/;;On-site;-;27/04/2026
12;A1 Engineering;Estagiário de engenharia;Araucária (PR);27/04 09:00;https://www.linkedin.com/jobs/view/4407403289/;https://media.licdn.com/dms/image/v2/D4D0BAQH1blvImOnDig/company-logo_100_100/B4DZrZ5DD2H4AQ-/0/1764592202829/grupoa1_logo?e=1778716800&v=beta&t=0YLjErw-MIZcQnfZhvHWlAVpOO_bcVPoA-rGbcMZSZ0;-;https://www.linkedin.com/company/a1-engineering/about/;Other;LinkedIn (Easy Apply);a1 engineering;1.0;https://www.linkedin.com/jobs/view/4407403289/;;On-site;Intern, Engenharia Geral;27/04/2026
13;ABB;Senior Project Engineer - MES Systems;São Paulo (SP);26/04 23:00;https://www.linkedin.com/jobs/view/4407162248/;https://media.licdn.com/dms/image/v2/C4D0BAQHPGAMgqJMBZQ/company-logo_100_100/company-logo_100_100/0/1630579606103/abb_logo?e=1778716800&v=beta&t=5MzZyGKZUQYik7n042CPjau8xBnyP6GnaeqOzOaCBVo;Advanced > Information Technology;https://www.linkedin.com/company/abb/about/;Marketing;careers.abb;abb;1.0;https://www.linkedin.com/jobs/view/4407162248/;;On-site;Senior, Engenharia Geral;27/04/2026
