Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;3AM IT Services;Analista Desenvolvedor Sênior (VB6, ORACLE, SGV, SVC);Brasil;25/04 04:00;https://www.linkedin.com/jobs/view/4406806713/;https://media.licdn.com/dms/image/v2/D4D0BAQFMqpfEio73BQ/company-logo_100_100/B4DZb0jJQMG8AU-/0/1747859576571/3am_it_services_logo?e=1778716800&v=beta&t=Phg8dkLDr2bfwpGut9L6OxtCrsaRwkkubBz-hyq_trk;Advanced > Specialist;https://www.linkedin.com/company/3am-it-services/about/;IT;LinkedIn (Easy Apply);3am it services;1.0;https://www.linkedin.com/jobs/view/4406806713/;;Remote;Senior, Associate;26/04/2026
2;4flow;Software Developer;Campinas (SP);25/04 09:00;https://www.linkedin.com/jobs/view/4384894146/;https://media.licdn.com/dms/image/v2/D4E0BAQGY0ZP1SH6NvQ/company-logo_100_100/company-logo_100_100/0/1725445110768/4flow_logo?e=1778716800&v=beta&t=zc_ukxB2H0oznyo7969Zy6aFOZhfBWtc4KJTpMhlW1A;Advanced > Information Technology;https://www.linkedin.com/company/4flow/about/;IT;;4flow;1.0;https://www.linkedin.com/jobs/view/4384894146/;;Hybrid;TI/Tech;26/04/2026
3;4flow;Software Developer;São Paulo (SP);25/04 10:00;https://www.linkedin.com/jobs/view/4384887531/;https://media.licdn.com/dms/image/v2/D4E0BAQGY0ZP1SH6NvQ/company-logo_100_100/company-logo_100_100/0/1725445110768/4flow_logo?e=1778716800&v=beta&t=zc_ukxB2H0oznyo7969Zy6aFOZhfBWtc4KJTpMhlW1A;Advanced > Information Technology;https://www.linkedin.com/company/4flow/about/;IT;;4flow;1.0;https://www.linkedin.com/jobs/view/4384887531/;;Hybrid;TI/Tech;26/04/2026
4;ACCION | Tecnologia e Inovação;Desenvolvedor Web (Node.js + TypeScript + React);Maringá (PR);25/04 04:00;https://www.linkedin.com/jobs/view/4406685981/;https://media.licdn.com/dms/image/v2/D4D0BAQEL7h8nWAd0Kg/company-logo_100_100/company-logo_100_100/0/1707239137687/accion_sistemas_logo?e=1778716800&v=beta&t=WjPN7Q-bmNKZWzfE2A7lTprpKYakdv7qMmWOF-sWaHA;-;https://www.linkedin.com/company/accion-tecnologia-e-inova-o/about/;IT;;accion | tecnologia e inovação;1;https://www.linkedin.com/jobs/view/4406685981/;;On-site;-;26/04/2026
5;AGGRANDIZE;Desenvolvedor Oracle APEX Sênior (Remoto);Pelotas (RS);25/04 16:00;https://www.linkedin.com/jobs/view/4406687859/;https://media.licdn.com/dms/image/v2/D4E0BAQFORY8aKXnjig/company-logo_100_100/B4EZwFlbMnH8AQ-/0/1769620223223/aggrandize_it_logo?e=1778716800&v=beta&t=gUl3aihRusce-z5-ZfaLVENN2nCPDiTZdT7sDU8AL1I;-;https://www.linkedin.com/company/aggrandize/about/;Other;Solidês;aggrandize;1.0;https://www.linkedin.com/jobs/view/4406687859/;;Remote;Senior;26/04/2026
6;ALTAVE;Estágio em Visão Computacional - Nível Superior;São José dos Campos (SP);25/04 04:00;https://www.linkedin.com/jobs/view/4406807768/;https://media.licdn.com/dms/image/v2/D4D0BAQFPU6_MwIJlhg/company-logo_100_100/B4DZdaIs6QGkAU-/0/1749563920541/flyaltave_logo?e=1778716800&v=beta&t=E9QkVogR-FJBfC_VvcMqACJS2oCIHpQv4oEnzBdRUm0;-;https://www.linkedin.com/company/altave/about/;Other;;altave;3.0;https://www.linkedin.com/jobs/view/4406807768/;;Remote;Intern;26/04/2026
7;ASAAS;Data Platform Engineer Senior;Brasil;25/04 16:00;https://www.linkedin.com/jobs/view/4404133074/;https://media.licdn.com/dms/image/v2/D4D0BAQHnReI431P6iw/company-logo_100_100/B4DZ1DwvyBGUAQ-/0/1774958345828/asaasbrasil_logo?e=1778716800&v=beta&t=HEraM2x02sNQeFvC8RRxOtFDEEqm8VQ_ffyj0wgJStw;Data & Ai > Data Engineering;https://www.linkedin.com/company/asaas/about/;Data;;asaas;1.0;https://www.linkedin.com/jobs/view/4404133074/;;Remote;Senior, Dados/Analytics, Engenharia Geral;26/04/2026
8;AVANTTi;Analista Desenvolvedor Senior;Embu das Artes (SP);25/04 04:00;https://www.linkedin.com/jobs/view/4405710910/;https://media.licdn.com/dms/image/v2/D4D0BAQEEGuq8S7cw1w/company-logo_100_100/company-logo_100_100/0/1687890929597/avantti_inovao_digital_logo?e=1778716800&v=beta&t=aA4OvLl29mMsdu-HM7NQCXDg64sCgMzXGKpFng6k2yQ;Advanced > Specialist;https://www.linkedin.com/company/avantti/about/;IT;;avantti;1.0;https://www.linkedin.com/jobs/view/4405710910/;;On-site;Senior, Associate;26/04/2026
9;Agro1 - Soluções para o agronegócio;Desenvolvedor Fullstack;Brasil;25/04 14:00;https://www.linkedin.com/jobs/view/4406868656/;https://media.licdn.com/dms/image/v2/D4D0BAQFpu6DL7S6ucw/company-logo_100_100/company-logo_100_100/0/1704482560260?e=1778716800&v=beta&t=pbWZqJ_pexEa07FB8MbZrFiWNVAKE74kD_mfWOlPLeo;-;https://www.linkedin.com/company/agro1-solu-es-para-o-agroneg-cio/about/;Agribusiness;;agro1 - soluções para o agronegócio;1;https://www.linkedin.com/jobs/view/4406868656/;;Remote;Full Stack;26/04/2026
10;Agrofel;Desenvolvedor(a) Fullstack SR;Brasil;25/04 08:00;https://www.linkedin.com/jobs/view/4404173422/;https://media.licdn.com/dms/image/v2/D4D0BAQHjm0sImD4e9A/company-logo_100_100/company-logo_100_100/0/1732913982065/agrofel_logo?e=1778716800&v=beta&t=8VRQT_Kb173f08meUL2hF0bZ7H-orB5vr9LDt2o7XwY;-;https://www.linkedin.com/company/agrofel/about/;Agribusiness;;agrofel;1;https://www.linkedin.com/jobs/view/4404173422/;;Remote;Senior, Full Stack;26/04/2026
