Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;ART IT - Intelligent Technology;Gerente de Projetos Pleno (Analytics);Sumaré (SP);27/05 14:00;https://www.linkedin.com/jobs/view/4417228887/;https://media.licdn.com/dms/image/v2/D560BAQFrcvnTTEe0XQ/company-logo_100_100/company-logo_100_100/0/1713535685857/artitbrasil_logo?e=1781740800&v=beta&t=xQtOBU-xV0X8U5-qEnRnJTvg7Rl16rIhgVGiougaJxc;Middle > Manager;https://www.linkedin.com/company/art-it-intelligent-technology/about/;Dados e Analytics;gerente de projetos;art it - intelligent technology;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4417228887/;https://www.linkedin.com/jobs/view/4417228887/;On-site;Mid, Liderança/Gerência, Dados/Analytics;27/05/2026;Sumaré;São Paulo;SP;Região Sudeste;Brasil;América do Sul
2;Almaviva Solutions;Gerente de Projetos;SP;26/05 18:00;https://www.linkedin.com/jobs/view/4416834866/;https://media.licdn.com/dms/image/v2/D4D0BAQFo3Nh7VYx-kg/company-logo_100_100/company-logo_100_100/0/1732382836517/almaviva_solutions_logo?e=1781740800&v=beta&t=c6OcOUZ-vS5NRrEVeArIzFkc-rNVDVu0C4cjr0-O9iI;Middle > Manager;https://www.linkedin.com/company/almaviva-solutions/about/;Software e Serviços de TI;gerente de projetos;almaviva solutions;1.0;Gupy;https://www.linkedin.com/jobs/view/4416834866/;https://www.linkedin.com/jobs/view/4416834866/;Hybrid;Mid, Liderança/Gerência;27/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;CSP Tech;Agilista / Gerente de Projetos;Brasil;26/05 21:00;https://www.linkedin.com/jobs/view/4418828456/;https://media.licdn.com/dms/image/v2/D4D0BAQEcm6Utt7yLPA/company-logo_100_100/company-logo_100_100/0/1714509254213/csp_tech_logo?e=1781740800&v=beta&t=TeMNNL2z8cIO-ACfmCDe-mKBvsfEN7iH9879VKhT2dk;Middle > Manager;https://www.linkedin.com/company/csp-tech/about/;Software e Serviços de TI;gerente de projetos;csp tech;1;;https://www.linkedin.com/jobs/view/4418828456/;https://www.linkedin.com/jobs/view/4418828456/;Remote;Mid, Liderança/Gerência;27/05/2026;;;;;Brasil;América do Sul
4;Cyber Tools and Solutions;Gerente de Projetos Híbrido;São Paulo (SP);26/05 18:00;https://www.linkedin.com/jobs/view/4419116217/;https://media.licdn.com/dms/image/v2/D4D0BAQE9dozXJLvEYA/company-logo_100_100/B4DZ22o7USJYAU-/0/1776885675668/cybertools_and_solutions_logo?e=1781740800&v=beta&t=UIbUaHObzxKVoMcv6S5oVmBvm0uxF8tegyB9qH906z4;Middle > Manager;https://www.linkedin.com/company/cyber-tools-and-solutions/about/;Software e Serviços de TI;gerente de projetos;cyber tools and solutions;1.0;Solidês;https://www.linkedin.com/jobs/view/4419116217/;https://www.linkedin.com/jobs/view/4419116217/;Hybrid;Mid, Liderança/Gerência;27/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
5;DBC Company;Gerente de Projetos de Vulnerabilidades (GPV);Guaíba (RS);26/05 18:00;https://www.linkedin.com/jobs/view/4409399386/;https://media.licdn.com/dms/image/v2/C4D0BAQFszK2MGQUCUA/company-logo_100_100/company-logo_100_100/0/1668687291660?e=1781740800&v=beta&t=5M8_biBiN1Y8n1zQcJzxCSu4EIMIKeu-DKY3bLb4nZw;Middle > Manager;https://www.linkedin.com/company/dbc-company/about/;-;gerente de projetos;dbc company;1.0;Vagas.com;https://www.linkedin.com/jobs/view/4409399386/;https://www.linkedin.com/jobs/view/4409399386/;On-site;Mid, Liderança/Gerência;27/05/2026;Guaíba;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
6;DevHunt;Gerente de Projetos - TI;São Paulo (SP);25/05 18:00;https://www.linkedin.com/jobs/view/4419106393/;https://media.licdn.com/dms/image/v2/D560BAQG8JP8U8BTi1A/company-logo_100_100/B56ZVMaVV2GUAQ-/0/1740743727572/data_2_win_logo?e=1781740800&v=beta&t=Ujjfs0enVigxCnPLeyrzbxI1Z92ua6RSFciu3E5vmHs;Middle > Manager;https://www.linkedin.com/company/devhunt/about/;Software e Serviços de TI;gerente de projetos;devhunt;1;;https://www.linkedin.com/jobs/view/4419106393/;https://www.linkedin.com/jobs/view/4419106393/;Remote;Mid, Liderança/Gerência, TI/Tech;27/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
7;Dexian Brasil;"""Gerente de Projetos Especialista#1003241""";Grande São Paulo (SP) ;27/05 15:00;https://www.linkedin.com/jobs/view/4418819793/;https://media.licdn.com/dms/image/v2/D560BAQGaZpYWHidaqw/company-logo_100_100/company-logo_100_100/0/1738000677714/dexian_brasil_logo?e=1781740800&v=beta&t=NR3SIMXPtij7bfIXXWLPiacOo2BUZYsUCjJH9VVo3u0;Advanced > Specialist;https://www.linkedin.com/company/dexian-brasil/about/;-;gerente de projetos;dexian brasil;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4418819793/;https://www.linkedin.com/jobs/view/4418819793/;Hybrid;Specialist, Mid, Liderança/Gerência;27/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
8;ENGESOFTWARE TECNOLOGIA S.A.;Gerente de Projetos;Fortaleza (CE);26/05 18:00;https://www.linkedin.com/jobs/view/4418286514/;https://media.licdn.com/dms/image/v2/C4E0BAQFrP6aGdJl_Bg/company-logo_100_100/company-logo_100_100/0/1648044022639/engesoftware_logo?e=1781740800&v=beta&t=W9iVJTd4E2VGtPxetm0cHi7dcl0pelx4AseyyasiCvg;Middle > Manager;https://www.linkedin.com/company/engesoftware-tecnologia-s-a/about/;Software e Serviços de TI;gerente de projetos;engesoftware tecnologia s.a.;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4418286514/;https://www.linkedin.com/jobs/view/4418286514/;On-site;Mid, Liderança/Gerência;27/05/2026;Fortaleza;Ceará;CE;Região Nordeste;Brasil;América do Sul
9;GFX Consultoria;Gerente de projetos SAP;Fortaleza (CE);27/05 17:00;https://www.linkedin.com/jobs/view/4419954508/;https://media.licdn.com/dms/image/v2/C510BAQFBwx5xFvIH_g/company-logo_100_100/company-logo_100_100/0/1631317174680?e=1781740800&v=beta&t=8VMl83PQd8QYapPLSuTLiRzxkQMA3KcVvJmwQ_vxqWg;Middle > Manager;https://www.linkedin.com/company/gfx-consultoria/about/;Consultoria e Assessoria;gerente de projetos;gfx consultoria;1;;https://www.linkedin.com/jobs/view/4419954508/;https://www.linkedin.com/jobs/view/4419954508/;Hybrid;Mid, Liderança/Gerência, SAP;27/05/2026;Fortaleza;Ceará;CE;Região Nordeste;Brasil;América do Sul
10;Gravity3;Gerente de Projetos;São Paulo (SP);26/05 18:00;https://www.linkedin.com/jobs/view/4419484258/;https://media.licdn.com/dms/image/v2/D4D0BAQGugLapBaIlCg/company-logo_100_100/company-logo_100_100/0/1727187541019/gravity3xyz_logo?e=1781740800&v=beta&t=OWwChyN4xdX3KX9ZGqVcSugMDIjO4JratisWIqvcJ9U;Middle > Manager;https://www.linkedin.com/company/gravity3/about/;Software e Serviços de TI;gerente de projetos;gravity3;1;;https://www.linkedin.com/jobs/view/4419484258/;https://www.linkedin.com/jobs/view/4419484258/;Hybrid;Mid, Liderança/Gerência;27/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
11;Grupo BHEver;Gerente de Projetos Pleno;São José (SC);26/05 22:00;https://www.linkedin.com/jobs/view/4419564436/;https://media.licdn.com/dms/image/v2/D4D0BAQElezLzFogtMQ/company-logo_100_100/B4DZZjCwvZGgAU-/0/1745418391743/grupo_bhever_logo?e=1781740800&v=beta&t=T8qii17v1wJMJ4o66eQvNt8oOK1i9JL4oxoK0dWSaSk;Middle > Manager;https://www.linkedin.com/company/grupo-bhever/about/;-;gerente de projetos;grupo bhever;1;;https://www.linkedin.com/jobs/view/4419564436/;https://www.linkedin.com/jobs/view/4419564436/;Remote;Mid, Liderança/Gerência;27/05/2026;São José;Santa Catarina;SC;Região Sul;Brasil;América do Sul
12;Hitss Brasil;21285-Gerente de Projetos (Cloud);São Paulo (SP);26/05 18:00;https://www.linkedin.com/jobs/view/4419164293/;https://media.licdn.com/dms/image/v2/D4D0BAQHU9akE4trzfQ/company-logo_100_100/company-logo_100_100/0/1737119189689/global_hitss_logo?e=1781740800&v=beta&t=zaNNw3cnUnVpff8sJhel7y1MPUJ8PAuDf5TgX2l4Yqw;-;https://www.linkedin.com/company/hitss-brasil/about/;Software e Serviços de TI;gerente de projetos;hitss brasil;2.0;Gupy;https://www.linkedin.com/jobs/view/4419164293/;https://www.linkedin.com/jobs/view/4419164293/;On-site;Mid, Liderança/Gerência;27/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
13;IDOMED - Instituto de Educação Médica;PESSOA GERENTE DE PROJETOS ESTRATÉGICOS - IDOMED;Rio de Janeiro (RJ);26/05 20:00;https://www.linkedin.com/jobs/view/4416858209/;https://media.licdn.com/dms/image/v2/D4D0BAQGAg0A8kI0jGg/company-logo_100_100/company-logo_100_100/0/1698864119763/idomedoficial_logo?e=1781740800&v=beta&t=fbDcKOLnGwrojZCMjRCWSE-KXfwiRCCfpT1oyuqc2zg;Middle > Manager;https://www.linkedin.com/company/idomed-instituto-de-educa-o-m-dica/about/;Educação;gerente de projetos;idomed - instituto de educação médica;1;;https://www.linkedin.com/jobs/view/4416858209/;https://www.linkedin.com/jobs/view/4416858209/;Hybrid;PCD / Afirmativa, Mid, Liderança/Gerência;27/05/2026;Rio de Janeiro;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul
14;ILHA SERVICE TECNOLOGIA LTDA.;GERENTE DE PROJETOS DE TECNOLOGIA DA INFORMAÇÃO - ESPECIALISTA EM DESENVOLVIMENTO DE SOFTWARE;Brasília (DF);27/05 18:00;https://www.linkedin.com/jobs/view/4419966676/;https://media.licdn.com/dms/image/v2/D4D0BAQHnOQ7CYPWviw/company-logo_100_100/B4DZ1zkt4tG0AQ-/0/1775760498739/ilhaservice_tecnologia_logo?e=1781740800&v=beta&t=7JhGci19rShDJDuUaRK079j6MFdgjtTkY5RK2_eNCAE;Middle > Manager;https://www.linkedin.com/company/ilha-service-tecnologia-ltda/about/;Software e Serviços de TI;gerente de projetos;ilha service tecnologia ltda.;1.0;;https://www.linkedin.com/jobs/view/4419966676/;https://www.linkedin.com/jobs/view/4419966676/;On-site;Specialist, Mid, Liderança/Gerência, TI/Tech;27/05/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul
15;LG lugar de gente;Gerente de Projetos;São Paulo (SP);27/05 17:00;https://www.linkedin.com/jobs/view/4418860100/;https://media.licdn.com/dms/image/v2/D4D0BAQEUSbAlJwnnYQ/company-logo_100_100/company-logo_100_100/0/1733149720553/lglugardegente_logo?e=1781740800&v=beta&t=3O4X8bu9ry63IyxTcyE_34czgj39886FryV-GMZ7TCs;Middle > Manager;https://www.linkedin.com/company/lg-lugar-de-gente/about/;-;gerente de projetos;lg lugar de gente;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4418860100/;https://www.linkedin.com/jobs/view/4418860100/;On-site;Mid, Liderança/Gerência;27/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
16;Meta;Gerente de Projetos Sênior;São Paulo (SP);26/05 19:00;https://www.linkedin.com/jobs/view/4416853683/;https://media.licdn.com/dms/image/v2/C4D0BAQHXTqaueX7X5A/company-logo_100_100/company-logo_100_100/0/1675356313243/metaoficial_logo?e=1781740800&v=beta&t=PLamBoP3j_x3TIuZw8iu2Jcj5WZjAV3Neoxo_3zeEBM;Middle > Manager;https://www.linkedin.com/company/meta/about/;-;gerente de projetos;meta;2.0;recrut.ai;https://www.linkedin.com/jobs/view/4416853683/;https://www.linkedin.com/jobs/view/4416853683/;Hybrid;Senior, Mid, Liderança/Gerência;27/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
17;Montree Tecnologia;Gerente de projetos;Goiânia (GO);26/05 18:00;https://www.linkedin.com/jobs/view/4416805457/;https://media.licdn.com/dms/image/v2/D4D0BAQHFjvWllIfqxg/company-logo_100_100/B4DZmmcUHsIcAQ-/0/1759434064746?e=1781740800&v=beta&t=BfOyJo5jsy6ajpJVT26Z_FBR2kS03-RhoQz6qnacprw;Middle > Manager;https://www.linkedin.com/company/montree-tecnologia/about/;-;gerente de projetos;montree tecnologia;1;;https://www.linkedin.com/jobs/view/4416805457/;https://www.linkedin.com/jobs/view/4416805457/;Remote;Mid, Liderança/Gerência;27/05/2026;Goiânia;Goiás;GO;Região Centro-Oeste;Brasil;América do Sul
18;NowVertical Group Inc.;Gerente de Projetos;SP;26/05 18:00;https://www.linkedin.com/jobs/view/4417267013/;https://media.licdn.com/dms/image/v2/C4D0BAQGSdhNAMNfQXQ/company-logo_100_100/company-logo_100_100/0/1639780088692/nowvertical_inc_logo?e=1781740800&v=beta&t=4j8mL6dkbFxTesh-0mQgxGZXmB_EUBQzeq8IUIinsdY;Middle > Manager;https://www.linkedin.com/company/nowvertical-group-inc/about/;Software e Serviços de TI;gerente de projetos;nowvertical group inc.;1;;https://www.linkedin.com/jobs/view/4417267013/;https://www.linkedin.com/jobs/view/4417267013/;Hybrid;Mid, Liderança/Gerência;27/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
