Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;A.P. Moller - Maersk;Project Specialist  – Customer Implementation - SP; (SP);Viewed;https://www.linkedin.com/jobs/view/4402812297/;https://media.licdn.com/dms/image/v2/C4D0BAQFxaOJ8VzplhA/company-logo_100_100/company-logo_100_100/0/1630463556967/maersk_group_logo?e=1778716800&v=beta&t=Nittm4uHWAL7wmbc0U0Ik-zy62Au_6d9q0ciCyuxEFM;Advanced > Specialist;https://www.linkedin.com/company/a-p-moller-maersk/about/;IT;Workday;a.p. moller - maersk;1.0;https://www.linkedin.com/jobs/view/4402812297/;https://maersk.wd3.myworkdayjobs.com/Maersk_Careers/job/Brazil-So-Paulo-Sao-Paulo-04719-002/Project-Specialist----Customer-Implementation---SP_R177926-1;On-site;Specialist;23/04/2026
2;ADM;Analista de Processos Financeiros PL;Ribeirão Preto (SP);Viewed;https://www.linkedin.com/jobs/view/4403244474/;https://media.licdn.com/dms/image/v2/C560BAQG0X_qChwy0vg/company-logo_100_100/company-logo_100_100/0/1656694101135/adm_logo?e=1778716800&v=beta&t=6mT9fGkikjnVQdBuf4KjAoiDlAu17LABelVwx2HGOVg;Advanced > Process & Automation;https://www.linkedin.com/company/adm/about/;Finance;sjobs.brassring.com;adm;1.0;https://www.linkedin.com/jobs/view/4403244474/;https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25416&siteid=5764&Areq=108058BR#jobDetails=3363112_5764;On-site;Mid, Associate, Processos/Excelência, Financeiro/Fiscal;23/04/2026
3;AS2 GROUP;Gerente de projetos;São José dos Campos (SP);9 hours ago;https://www.linkedin.com/jobs/view/4403206223/;https://media.licdn.com/dms/image/v2/C4E0BAQGAVkAzhJxWsg/company-logo_100_100/company-logo_100_100/0/1630644468705/as2_automao_industrial_logo?e=1778716800&v=beta&t=cQ1idFE89t8JU1HRhfON9oXD8Ay39RarJsFyLlikC6M;Middle > Manager;https://www.linkedin.com/company/as2-group/about/;Marketing;LinkedIn (Easy Apply);as2 group;1.0;https://www.linkedin.com/jobs/view/4403206223/;https://www.linkedin.com/jobs/view/4403206223/;Hybrid;Mid, Liderança/Gerência;23/04/2026
4;AXIA Energia;Analista de implantação de projetos de engenharia II - Planejamento;Montes Claros (MG);Viewed;https://www.linkedin.com/jobs/view/4384300897/;https://media.licdn.com/dms/image/v2/D4D0BAQH6a4cGr1tuWQ/company-logo_100_100/B4DZoMkDQ4JIAQ-/0/1761147369272?e=1778716800&v=beta&t=0WWNwMKArWiGyGdpBebxhjJA3Ofwf_0O7DW90lbF2zo;Advanced > Specialist;https://www.linkedin.com/company/axia-energia/about/;Energy;Gupy;axia energia;1.0;https://www.linkedin.com/jobs/view/4384300897/;https://axiaenergia.gupy.io/jobs/10898164?jobBoardSource=linkedin;On-site;Associate, Engenharia Geral, Implementação;23/04/2026
5;AgE Tecnologias/AgE Parcerias;Projetista;São José (SC);2 hours ago;https://www.linkedin.com/jobs/view/4405828904/;https://media.licdn.com/dms/image/v2/D4D0BAQF5r1BX-OGGRg/company-logo_100_100/company-logo_100_100/0/1693249553768/age_tecnologias___meio_ambiente_saneamento_e_ambi_ncia_ltda__logo?e=1778716800&v=beta&t=Jk4nRENkM-IKOGQ5Wj8RNZ3Irg6S2XWL1ZEaINUvGqE;-;https://www.linkedin.com/company/age-tecnologias-age-parcerias/about/;IT;LinkedIn (Easy Apply);age tecnologias/age parcerias;1.0;https://www.linkedin.com/jobs/view/4405828904/;https://www.linkedin.com/jobs/view/4405828904/;Hybrid;-;23/04/2026
6;Agromai;Analista de projetos;Porto Alegre (RS);1 day ago;https://www.linkedin.com/jobs/view/4402806142/;https://media.licdn.com/dms/image/v2/D4D0BAQHZt-1esCcGHg/company-logo_100_100/B4DZVnfHtQHYAQ-/0/1741197966566/agromai_logo?e=1778716800&v=beta&t=zOpoOIWwBb-qSEZO9Q4bvOleANUHPzxnO5MtV8d3UM4;Advanced > Specialist;https://www.linkedin.com/company/agromai/about/;Agribusiness;LinkedIn (Easy Apply);agromai;1.0;https://www.linkedin.com/jobs/view/4402806142/;https://www.linkedin.com/jobs/view/4402806142/;On-site;Associate;23/04/2026
7;Agência Freela;Gestor(a) de Projetos Digitais e Growth;São Paulo (SP);Viewed;https://www.linkedin.com/jobs/view/4405407642/;https://media.licdn.com/dms/image/v2/C4D0BAQGwg1dKHnpDQw/company-logo_100_100/company-logo_100_100/0/1630477907365/ag_ncia_freela_logo?e=1778716800&v=beta&t=lnLCRirbNeditNvD-hZ6IpyB0i0kgn4HP5WfhSfM72U;-;https://www.linkedin.com/company/ag-ncia-freela/about/;IT;Trampos;agência freela;1.0;https://www.linkedin.com/jobs/view/4405407642/;https://trampos.co/oportunidades/772628-gestor-a-de-projetos?utm_campaign=jobboard&utm_medium=site&utm_source=linkedin;On-site;Liderança/Gerência;23/04/2026
8;Air Products;Ingeniero/a de Proyectos;Planta (BA);1 day ago;https://www.linkedin.com/jobs/view/4405450100/;https://media.licdn.com/dms/image/v2/D560BAQFJq_ocyL_11g/company-logo_100_100/company-logo_100_100/0/1688155662108/air_products_logo?e=1778716800&v=beta&t=_hmgMO7l8UPkQmUL2iPg1eREa_4y9WA3ZFiqM7QrWok;-;https://www.linkedin.com/company/air-products/about/;Marketing;Workday;air products;1.0;https://www.linkedin.com/jobs/view/4405450100/;https://airproducts.wd5.myworkdayjobs.com/AP0001/job/Planta-Sibate-0I21/Ingeniero-a-de-Proyectos_JR-2026-20032?source=LinkedIn;On-site;-;23/04/2026
9;Algar;AGILE MASTER - PLENO;Uberlândia (MG);6 hours ago;https://www.linkedin.com/jobs/view/4405012142/;https://media.licdn.com/dms/image/v2/D4D0BAQEq1L7mnu40sA/company-logo_100_100/B4DZdUohkUH4AQ-/0/1749471599632/algar_telecom_logo?e=1778716800&v=beta&t=J-bkkdfw9JkhLMXRYbgrTVXe9h_Yl4tgVyW6MuW86i4;Agility > Scrum Master;https://www.linkedin.com/company/algar/about/;Other;www.portalsinergyrh.com.br;algar;1.0;https://www.linkedin.com/jobs/view/4405012142/;https://www.portalsinergyrh.com.br/Portal/MeuPortal/VisualizarVaga?idVaga=1074537&Cliente=1498;On-site;Mid, Scrum/Agile;23/04/2026
10;AlmapBBDO;Pessoa Gerente de Projetos — Hub Conversacional & Campanhas Digitais;São Paulo (SP);23 hours ago;https://www.linkedin.com/jobs/view/4402833181/;https://media.licdn.com/dms/image/v2/D4D0BAQEPMKLfRB8TGA/company-logo_100_100/company-logo_100_100/0/1692977963356?e=1778716800&v=beta&t=CN9Cabswggz1bl_RDDnn0ibT3qUSBaPQPVvphx2QHQM;Middle > Manager;https://www.linkedin.com/company/almapbbdo/about/;IT;Gupy;almapbbdo;1.0;https://www.linkedin.com/jobs/view/4402833181/;https://almapbbdo.gupy.io/job/eyJqb2JJZCI6MTExNzA4MjgsInNvdXJjZSI6ImxpbmtlZGluIn0=?jobBoardSource=linkedin;Hybrid;PCD / Afirmativa, Mid, Liderança/Gerência;23/04/2026
