Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;4flow;Data Scientist;Campinas (SP);25/04 11:00;https://www.linkedin.com/jobs/view/4384883625/;https://media.licdn.com/dms/image/v2/D4E0BAQGY0ZP1SH6NvQ/company-logo_100_100/company-logo_100_100/0/1725445110768/4flow_logo?e=1778716800&v=beta&t=zc_ukxB2H0oznyo7969Zy6aFOZhfBWtc4KJTpMhlW1A;Data & Ai > Data Engineering;https://www.linkedin.com/company/4flow/about/;Data;;4flow;1.0;https://www.linkedin.com/jobs/view/4384883625/;;Hybrid;Dados/Analytics;25/04/2026
2;99;Gerente de planejamento e Estratégia de Políticas Públicas e Relações Governamentais;Grande São Paulo (SP) ;24/04 22:00;https://www.linkedin.com/jobs/view/4406802788/;https://media.licdn.com/dms/image/v2/D4D0BAQGvkxxN_jUX3Q/company-logo_100_100/company-logo_100_100/0/1719800835083/99app_logo?e=1778716800&v=beta&t=26Gj8Lt8imotMEfFBLeHqkkcB2mXzp72RPlon2xH1k0;Middle > Manager;https://www.linkedin.com/company/99/about/;IT;careers.didiglobal.com;99;1.0;https://www.linkedin.com/jobs/view/4406802788/;;Hybrid;Mid, Liderança/Gerência;25/04/2026
3;99;Performance and Planning Sr. Analyst - Affirmative for Black and Brown Candidates;Grande São Paulo (SP) ;24/04 21:00;https://www.linkedin.com/jobs/view/4405361892/;https://media.licdn.com/dms/image/v2/D4D0BAQGvkxxN_jUX3Q/company-logo_100_100/company-logo_100_100/0/1719800835083/99app_logo?e=1778716800&v=beta&t=26Gj8Lt8imotMEfFBLeHqkkcB2mXzp72RPlon2xH1k0;Advanced > Specialist;https://www.linkedin.com/company/99/about/;IT;careers.didiglobal.com;99;1.0;https://www.linkedin.com/jobs/view/4405361892/;;Hybrid;Senior;25/04/2026
4;A2DOTS Voice & Sound Production Studio in Brazil;Mixador de som (diálogo);Brasil;24/04 21:00;https://www.linkedin.com/jobs/view/4406882474/;https://media.licdn.com/dms/image/v2/C4D0BAQFbcEX0G1XVQQ/company-logo_100_100/company-logo_100_100/0/1660379282548/amandadeandrade_logo?e=1778716800&v=beta&t=nOyBsu-2Wb1otXwe8TSQYHgM43dWz60oG_SZYHSAcjY;-;https://www.linkedin.com/company/a2dots-voice-sound-production-studio-in-brazil/about/;IT;;a2dots voice & sound production studio in brazil;1;https://www.linkedin.com/jobs/view/4406882474/;;Remote;-;25/04/2026
5;AB InBev;Engineering Coordinator;Campinas (SP);24/04 21:00;https://www.linkedin.com/jobs/view/4405385043/;https://media.licdn.com/dms/image/v2/C560BAQEZRSga0FreWA/company-logo_100_100/company-logo_100_100/0/1656631574816/ab_inbev_logo?e=1778716800&v=beta&t=9-5T4SOkhFNuZxrMvUbBWbMvI_q8QF7XXdVF6z8ruvk;Advanced > Information Technology;https://www.linkedin.com/company/ab-inbev/about/;Other;Workday;ab inbev;1.0;https://www.linkedin.com/jobs/view/4405385043/;;Hybrid;Mid, Engenharia Geral;25/04/2026
6;AB InBev;Especialista de Projetos Tech I;Campinas (SP);24/04 21:00;https://www.linkedin.com/jobs/view/4383169133/;https://media.licdn.com/dms/image/v2/C560BAQEZRSga0FreWA/company-logo_100_100/company-logo_100_100/0/1656631574816/ab_inbev_logo?e=1778716800&v=beta&t=9-5T4SOkhFNuZxrMvUbBWbMvI_q8QF7XXdVF6z8ruvk;Advanced > Information Technology;https://www.linkedin.com/company/ab-inbev/about/;IT;Workday;ab inbev;1.0;https://www.linkedin.com/jobs/view/4383169133/;;On-site;Specialist, TI/Tech;25/04/2026
7;AB InBev;Product Analyst | TADA;SP;24/04 21:00;https://www.linkedin.com/jobs/view/4405388321/;https://media.licdn.com/dms/image/v2/C560BAQEZRSga0FreWA/company-logo_100_100/company-logo_100_100/0/1656631574816/ab_inbev_logo?e=1778716800&v=beta&t=9-5T4SOkhFNuZxrMvUbBWbMvI_q8QF7XXdVF6z8ruvk;Advanced > Specialist;https://www.linkedin.com/company/ab-inbev/about/;Marketing;Workday;ab inbev;1.0;https://www.linkedin.com/jobs/view/4405388321/;;Remote;-;25/04/2026
8;ABB;Business Development Manager, LATAM – Grid Automation;Sorocaba (SP);24/04 23:00;https://www.linkedin.com/jobs/view/4406816047/;https://media.licdn.com/dms/image/v2/C4D0BAQHPGAMgqJMBZQ/company-logo_100_100/company-logo_100_100/0/1630579606103/abb_logo?e=1778716800&v=beta&t=5MzZyGKZUQYik7n042CPjau8xBnyP6GnaeqOzOaCBVo;Middle > Manager;https://www.linkedin.com/company/abb/about/;IT;careers.abb;abb;1.0;https://www.linkedin.com/jobs/view/4406816047/;;On-site;Liderança/Gerência, Vendas / Comercial;25/04/2026
9;ABB;Business Development Manager, LATAM – Grid Automation;Sorocaba (SP);24/04 22:00;https://www.linkedin.com/jobs/view/4405715244/;https://media.licdn.com/dms/image/v2/C4D0BAQHPGAMgqJMBZQ/company-logo_100_100/company-logo_100_100/0/1630579606103/abb_logo?e=1778716800&v=beta&t=5MzZyGKZUQYik7n042CPjau8xBnyP6GnaeqOzOaCBVo;Middle > Manager;https://www.linkedin.com/company/abb/about/;IT;careers.abb;abb;1.0;https://www.linkedin.com/jobs/view/4405715244/;;On-site;Liderança/Gerência, Vendas / Comercial;25/04/2026
10;ABB;Coordenador do Canal de Distribuição;Sorocaba (SP);25/04 05:00;https://www.linkedin.com/jobs/view/4406842174/;https://media.licdn.com/dms/image/v2/C4D0BAQHPGAMgqJMBZQ/company-logo_100_100/company-logo_100_100/0/1630579606103/abb_logo?e=1778716800&v=beta&t=5MzZyGKZUQYik7n042CPjau8xBnyP6GnaeqOzOaCBVo;Middle > Manager;https://www.linkedin.com/company/abb/about/;Other;careers.abb;abb;1.0;https://www.linkedin.com/jobs/view/4406842174/;;On-site;Mid, Liderança/Gerência;25/04/2026
11;ABB;Engenheiro de Suporte a Vendas SR - Propostas de Automação;Sorocaba (SP);24/04 23:00;https://www.linkedin.com/jobs/view/4406811096/;https://media.licdn.com/dms/image/v2/C4D0BAQHPGAMgqJMBZQ/company-logo_100_100/company-logo_100_100/0/1630579606103/abb_logo?e=1778716800&v=beta&t=5MzZyGKZUQYik7n042CPjau8xBnyP6GnaeqOzOaCBVo;Advanced > Process & Automation;https://www.linkedin.com/company/abb/about/;Marketing;careers.abb;abb;1.0;https://www.linkedin.com/jobs/view/4406811096/;;On-site;Senior, Vendas / Comercial, Propostas/Bids;25/04/2026
12;ABG Corp;Especialista de Marketing - Inteligência de Mercado;Vinhedo (SP);24/04 22:00;https://www.linkedin.com/jobs/view/4406693817/;https://media.licdn.com/dms/image/v2/D4D0BAQEzdhGCn3bEQw/company-logo_100_100/company-logo_100_100/0/1733834999238/abg_corp_logo?e=1778716800&v=beta&t=DCfDR1ZW0QxxJi7UucV3CanWCrATU9NvF5hQXiouwok;Advanced > Specialist;https://www.linkedin.com/company/abg-corp/about/;Hardware;;abg corp;1;https://www.linkedin.com/jobs/view/4406693817/;;On-site;Specialist, Marketing/Mídia;25/04/2026
13;ADP;Gerente de Projetos I;São Paulo (SP);24/04 21:00;https://www.linkedin.com/jobs/view/4404132369/;https://media.licdn.com/dms/image/v2/D4E0BAQE2ALnzsL9mlw/company-logo_100_100/B4EZXS9EdvHMAU-/0/1743000979692/adp_logo?e=1778716800&v=beta&t=_J_9ezCxK_xRvIe0VhxT5DnQlLL-PaQpBM_uaOpiImk;Middle > Manager;https://www.linkedin.com/company/adp/about/;Marketing;click.appcast.io;adp;1.0;https://www.linkedin.com/jobs/view/4404132369/;;On-site;Mid, Liderança/Gerência;25/04/2026
14;AETHRA GROUP - Automotive Systems;Analista de Sistemas Jr;Contagem (MG);24/04 21:00;https://www.linkedin.com/jobs/view/4405393333/;https://media.licdn.com/dms/image/v2/C4D0BAQEjPI1WM4RLmw/company-logo_100_100/company-logo_100_100/0/1630507241557/aethra_automotive_systems_logo?e=1778716800&v=beta&t=ZU9zATs3U3b4BHBotmXv4BkAkl_naIpa7hEpIpC4x8o;Advanced > Specialist;https://www.linkedin.com/company/aethra-group-automotive-systems/about/;HR;;aethra group - automotive systems;1;https://www.linkedin.com/jobs/view/4405393333/;;Hybrid;Junior, Associate, TI/Tech;25/04/2026
15;AGCO Corporation;Commercial Coordinator;Jundiaí (SP);25/04 06:00;https://www.linkedin.com/jobs/view/4402613373/;https://media.licdn.com/dms/image/v2/C4E0BAQF5TwBZg6M6TA/company-logo_100_100/company-logo_100_100/0/1630563830825/agco_corporation_logo?e=1778716800&v=beta&t=GcNq-2oCZPr63pAVMKKU93zw_mzCowi9oCAeF01lo7w;-;https://www.linkedin.com/company/agco-corporation/about/;IT;;agco corporation;1.0;https://www.linkedin.com/jobs/view/4402613373/;;Remote;Mid;25/04/2026
16;AGENTIFY;Sales Account Executive – Italian- speakers;Brasil;24/04 21:00;https://www.linkedin.com/jobs/view/4397772977/;https://media.licdn.com/dms/image/v2/D4D0BAQFViFSPsr8Zww/company-logo_100_100/B4DZxmOWOOI8AU-/0/1771241563721/top_calls_logo?e=1778716800&v=beta&t=5DtE4E8ALOCmKSvclzvwtDjREFRpVSP1quNo0uF1QPI;Specific > Sales > Account;https://www.linkedin.com/company/agentify/about/;IT;;agentify;1;https://www.linkedin.com/jobs/view/4397772977/;;Remote;Vendas / Comercial, Executivo de Contas;25/04/2026
17;AGGRANDIZE;Desenvolvedor Oracle APEX Sênior (Remoto);Pelotas (RS);24/04 22:00;https://www.linkedin.com/jobs/view/4406687859/;https://media.licdn.com/dms/image/v2/D4E0BAQFORY8aKXnjig/company-logo_100_100/B4EZwFlbMnH8AQ-/0/1769620223223/aggrandize_it_logo?e=1778716800&v=beta&t=gUl3aihRusce-z5-ZfaLVENN2nCPDiTZdT7sDU8AL1I;-;https://www.linkedin.com/company/aggrandize/about/;Other;Solidês;aggrandize;1.0;https://www.linkedin.com/jobs/view/4406687859/;;Remote;Senior;25/04/2026
18;AI/R WEBJUMP;Analista CRO [MM46699-11133008];Brasil;24/04 21:00;https://www.linkedin.com/jobs/view/4405707632/;https://media.licdn.com/dms/image/v2/D4D0BAQHfvkBWJ-r4_Q/company-logo_100_100/B4DZ2b_5CgJIAQ-/0/1776438711227/webjump_logo?e=1778716800&v=beta&t=cFpJpZAkI1MW2LjXrUP6w9oDaNsBqIkLpMTUzrqxpKY;Advanced > Specialist;https://www.linkedin.com/company/ai-r-webjump/about/;Transportation;;ai/r webjump;1;https://www.linkedin.com/jobs/view/4405707632/;;Remote;Associate;25/04/2026
19;AIESEC no Brasil;AIESEC no Brasil: Intercâmbio profissional na Colômbia - English Teacher;Grande São Paulo (SP) ;24/04 23:00;https://www.linkedin.com/jobs/view/4404121711/;https://media.licdn.com/dms/image/v2/C4E0BAQEhlBvD38ZJhA/company-logo_100_100/company-logo_100_100/0/1630616431901/aiesec_brasil_logo?e=1778716800&v=beta&t=AI_ZzxxG-zBmRO2NHwZzIzZHMS1lGaWEQ8u9c8bBTLc;-;https://www.linkedin.com/company/aiesec-no-brasil/about/;Marketing;LinkedIn (Easy Apply);aiesec no brasil;1.0;https://www.linkedin.com/jobs/view/4404121711/;;On-site;-;25/04/2026
