Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;Itaú Unibanco;Engenharia de Software Sênior - Java - AWS; (SP);1 day ago;https://www.linkedin.com/jobs/view/4402481483/;https://media.licdn.com/dms/image/v2/D4D0BAQGmyPiGIU-69w/company-logo_100_100/B4DZZFc2k4GgAQ-/0/1744921914031/itau_logo?e=1778716800&v=beta&t=M2VTqXNqFCW3bBgEwYyiBm0Wnl6gMAPg4RWma6e-kUI;-;https://www.linkedin.com/company/ita-unibanco/about/;Finance;Gupy;itaú unibanco;5.0;https://www.linkedin.com/jobs/view/4402481483/;https://www.linkedin.com/jobs/view/4402481483/;Hybrid;Senior, Cloud (AWS/GCP/Azure), TI/Tech, Engenharia Geral;23/04/2026
2;Itaú Unibanco;Executivo Meios de Pagamento - L223 - Jaú/SP;Bauru (SP);21 hours ago;https://www.linkedin.com/jobs/view/4405412137/;https://media.licdn.com/dms/image/v2/D4D0BAQGmyPiGIU-69w/company-logo_100_100/B4DZZFc2k4GgAQ-/0/1744921914031/itau_logo?e=1778716800&v=beta&t=M2VTqXNqFCW3bBgEwYyiBm0Wnl6gMAPg4RWma6e-kUI;-;https://www.linkedin.com/company/ita-unibanco/about/;Finance;Gupy;itaú unibanco;5.0;https://www.linkedin.com/jobs/view/4405412137/;https://carreiras.itau.com.br/vaga/bauru/executivo-meios-de-pagamento-l223-jau-sp/35299/94258227536;On-site;-;23/04/2026
3;Itaú Unibanco;Executivo Meios de Pagamento - S212 - Botucatu/SP;Bauru (SP);21 hours ago;https://www.linkedin.com/jobs/view/4405297603/;https://media.licdn.com/dms/image/v2/D4D0BAQGmyPiGIU-69w/company-logo_100_100/B4DZZFc2k4GgAQ-/0/1744921914031/itau_logo?e=1778716800&v=beta&t=M2VTqXNqFCW3bBgEwYyiBm0Wnl6gMAPg4RWma6e-kUI;-;https://www.linkedin.com/company/ita-unibanco/about/;Finance;Gupy;itaú unibanco;5.0;https://www.linkedin.com/jobs/view/4405297603/;https://carreiras.itau.com.br/vaga/bauru/executivo-meios-de-pagamento-s212-botucatu-sp/35299/94258227856;On-site;-;23/04/2026
4;Itaú Unibanco;Consultor de Negócios de Ativos - Curitiba/PR;Curitiba (PR);21 hours ago;https://www.linkedin.com/jobs/view/4393967063/;https://media.licdn.com/dms/image/v2/D4D0BAQGmyPiGIU-69w/company-logo_100_100/B4DZZFc2k4GgAQ-/0/1744921914031/itau_logo?e=1778716800&v=beta&t=M2VTqXNqFCW3bBgEwYyiBm0Wnl6gMAPg4RWma6e-kUI;Advanced > Specialist;https://www.linkedin.com/company/ita-unibanco/about/;Finance;Gupy;itaú unibanco;5.0;https://www.linkedin.com/jobs/view/4393967063/;https://vemproitau.gupy.io/job/eyJqb2JJZCI6MTA3NzQzNTYsInNvdXJjZSI6ImxpbmtlZGluIn0=?jobBoardSource=linkedin;On-site;Consultor;23/04/2026
5;Itaú Unibanco;GTE NEG EMP TOP BUSS;Goiânia (GO);21 hours ago;https://www.linkedin.com/jobs/view/4383845054/;https://media.licdn.com/dms/image/v2/D4D0BAQGmyPiGIU-69w/company-logo_100_100/B4DZZFc2k4GgAQ-/0/1744921914031/itau_logo?e=1778716800&v=beta&t=M2VTqXNqFCW3bBgEwYyiBm0Wnl6gMAPg4RWma6e-kUI;-;https://www.linkedin.com/company/ita-unibanco/about/;Finance;Gupy;itaú unibanco;5.0;https://www.linkedin.com/jobs/view/4383845054/;https://vemproitau.gupy.io/job/eyJqb2JJZCI6MTA4NDc0MzMsInNvdXJjZSI6ImxpbmtlZGluIn0=?jobBoardSource=linkedin;On-site;-;23/04/2026
6;Itaú Unibanco;ANALISTA DE BANKING SERVICES;São Paulo (SP);21 hours ago;https://www.linkedin.com/jobs/view/4075019778/;https://media.licdn.com/dms/image/v2/D4D0BAQGmyPiGIU-69w/company-logo_100_100/B4DZZFc2k4GgAQ-/0/1744921914031/itau_logo?e=1778716800&v=beta&t=M2VTqXNqFCW3bBgEwYyiBm0Wnl6gMAPg4RWma6e-kUI;Advanced > Specialist;https://www.linkedin.com/company/ita-unibanco/about/;Finance;Gupy;itaú unibanco;5.0;https://www.linkedin.com/jobs/view/4075019778/;https://carreiras.itau.com.br/vaga/sao-paulo/analista-de-banking-services/35299/53069472064;Hybrid;Associate;23/04/2026
7;Itaú Unibanco;ANALISTA DE OPERACOES JR;São Paulo (SP);1 day ago;https://www.linkedin.com/jobs/view/4404509801/;https://media.licdn.com/dms/image/v2/D4D0BAQGmyPiGIU-69w/company-logo_100_100/B4DZZFc2k4GgAQ-/0/1744921914031/itau_logo?e=1778716800&v=beta&t=M2VTqXNqFCW3bBgEwYyiBm0Wnl6gMAPg4RWma6e-kUI;Advanced > Specialist;https://www.linkedin.com/company/ita-unibanco/about/;Finance;Gupy;itaú unibanco;5.0;https://www.linkedin.com/jobs/view/4404509801/;https://carreiras.itau.com.br/vaga/sao-paulo/analista-de-operacoes-jr/35299/94191608496;On-site;Junior, Associate;23/04/2026
8;Itaú Unibanco;ANALISTA OPER ATACADO JR;São Paulo (SP);21 hours ago;https://www.linkedin.com/jobs/view/4394304102/;https://media.licdn.com/dms/image/v2/D4D0BAQGmyPiGIU-69w/company-logo_100_100/B4DZZFc2k4GgAQ-/0/1744921914031/itau_logo?e=1778716800&v=beta&t=M2VTqXNqFCW3bBgEwYyiBm0Wnl6gMAPg4RWma6e-kUI;Advanced > Specialist;https://www.linkedin.com/company/ita-unibanco/about/;Finance;Gupy;itaú unibanco;5.0;https://www.linkedin.com/jobs/view/4394304102/;https://carreiras.itau.com.br/vaga/sao-paulo/analista-oper-atacado-jr/35299/93433782816;On-site;Junior, Associate;23/04/2026
9;Itaú Unibanco;ANALISTA OPER ATACADO JR;São Paulo (SP);21 hours ago;https://www.linkedin.com/jobs/view/4393996325/;https://media.licdn.com/dms/image/v2/D4D0BAQGmyPiGIU-69w/company-logo_100_100/B4DZZFc2k4GgAQ-/0/1744921914031/itau_logo?e=1778716800&v=beta&t=M2VTqXNqFCW3bBgEwYyiBm0Wnl6gMAPg4RWma6e-kUI;Advanced > Specialist;https://www.linkedin.com/company/ita-unibanco/about/;Finance;Gupy;itaú unibanco;5.0;https://www.linkedin.com/jobs/view/4393996325/;https://carreiras.itau.com.br/vaga/sao-paulo/analista-oper-atacado-jr/35299/93433785168;On-site;Junior, Associate;23/04/2026
10;Itaú Unibanco;ANALISTA OPER ATACADO JR;São Paulo (SP);1 day ago;https://www.linkedin.com/jobs/view/4393988802/;https://media.licdn.com/dms/image/v2/D4D0BAQGmyPiGIU-69w/company-logo_100_100/B4DZZFc2k4GgAQ-/0/1744921914031/itau_logo?e=1778716800&v=beta&t=M2VTqXNqFCW3bBgEwYyiBm0Wnl6gMAPg4RWma6e-kUI;Advanced > Specialist;https://www.linkedin.com/company/ita-unibanco/about/;Finance;Gupy;itaú unibanco;5.0;https://www.linkedin.com/jobs/view/4393988802/;https://carreiras.itau.com.br/vaga/sao-paulo/analista-oper-atacado-jr/35299/93433785232;On-site;Junior, Associate;23/04/2026
