Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent;Keywords
1;3AM IT Services;Tecnico de TI-Projeto;São Luís (MA);14/05 19:00;https://www.linkedin.com/jobs/view/4414967033/;https://media.licdn.com/dms/image/v2/D4D0BAQFMqpfEio73BQ/company-logo_100_100/B4DZb0jJQMG8AU-/0/1747859576571/3am_it_services_logo?e=1780531200&v=beta&t=jHLae4IXmqmI3ylRrdSatTIQKWZHw-QdOiWmxIK7LBw;-;https://www.linkedin.com/company/3am-it-services/about/;Software e Serviços de TI;LinkedIn (Easy Apply);3am it services;1.0;https://www.linkedin.com/jobs/view/4414967033/;https://www.linkedin.com/jobs/view/4414967033/;On-site;TI/Tech;15/05/2026;São Luís;Maranhão;MA;Região Nordeste;Brasil;América do Sul;oracle
2;4DF Connect;Especialista Datasphere e SAC BI Sênior (Híbrido - São Paulo);São Paulo (SP);14/05 15:00;https://www.linkedin.com/jobs/view/4414676030/;https://media.licdn.com/dms/image/v2/D4E0BAQHgznwIT2t3IA/company-logo_100_100/B4EZgUICjYGcAU-/0/1752684309117/4dfconnect_logo?e=1780531200&v=beta&t=2OV5tQqdhtMCdd6rdaLF12LQueryoti-1jA5yhvYSjI;Advanced > Specialist;https://www.linkedin.com/company/4df-connect/about/;Dados e Analytics;Geekhunter;4df connect;1.0;https://www.linkedin.com/jobs/view/4414676030/;https://www.linkedin.com/jobs/view/4414676030/;Hybrid;Specialist, Senior;15/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;oracle
3;5C Company LLC;Sales Representative;Brasil;14/05 06:00;https://www.linkedin.com/jobs/view/4414564667/;https://media.licdn.com/dms/image/v2/D4D0BAQGKspJTMYfl1w/company-logo_100_100/B4DZuOvWYsI4AQ-/0/1767626336988/5c_company_llc_logo?e=1780531200&v=beta&t=hjWOlTNmtychQ8qvLr0R3UE_AI6AynKfSUouBD4DLpg;-;https://www.linkedin.com/company/5c-company-llc/about/;Software e Serviços de TI;;5c company llc;1;https://www.linkedin.com/jobs/view/4414564667/;https://www.linkedin.com/jobs/view/4414564667/;Remote;Vendas / Comercial;15/05/2026;;;;;Brasil;América do Sul;oracle
4;99;Analista Sênior de Operações (Exclusiva PcD);Grande São Paulo (SP) ;15/05 04:00;https://www.linkedin.com/jobs/view/4407555510/;https://media.licdn.com/dms/image/v2/D4D0BAQGvkxxN_jUX3Q/company-logo_100_100/company-logo_100_100/0/1719800835083/99app_logo?e=1780531200&v=beta&t=hxhOw25ihHKZ8saFVa8eIkfPFudIFlEe5_9BGljyxkA;Advanced > Specialist;https://www.linkedin.com/company/99/about/;Transporte e Mobilidade;careers.didiglobal.com;99;1.0;https://www.linkedin.com/jobs/view/4407555510/;https://www.linkedin.com/jobs/view/4407555510/;Hybrid;PCD / Afirmativa, Senior, Associate;15/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;oracle
5;99;Estagiário de Marketing - Compras;Grande São Paulo (SP) ;14/05 19:00;https://www.linkedin.com/jobs/view/4414695463/;https://media.licdn.com/dms/image/v2/D4D0BAQGvkxxN_jUX3Q/company-logo_100_100/company-logo_100_100/0/1719800835083/99app_logo?e=1780531200&v=beta&t=hxhOw25ihHKZ8saFVa8eIkfPFudIFlEe5_9BGljyxkA;-;https://www.linkedin.com/company/99/about/;Marketing e Publicidade Marketing;careers.didiglobal.com;99;1.0;https://www.linkedin.com/jobs/view/4414695463/;https://www.linkedin.com/jobs/view/4414695463/;Hybrid;Intern, Marketing/Mídia;15/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;oracle
6;99;Estágio em Operações - Pricing;Grande São Paulo (SP) ;14/05 16:00;https://www.linkedin.com/jobs/view/4414693311/;https://media.licdn.com/dms/image/v2/D4D0BAQGvkxxN_jUX3Q/company-logo_100_100/company-logo_100_100/0/1719800835083/99app_logo?e=1780531200&v=beta&t=hxhOw25ihHKZ8saFVa8eIkfPFudIFlEe5_9BGljyxkA;-;https://www.linkedin.com/company/99/about/;Transporte e Mobilidade;careers.didiglobal.com;99;1.0;https://www.linkedin.com/jobs/view/4414693311/;https://www.linkedin.com/jobs/view/4414693311/;Hybrid;Intern;15/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;oracle
7;99;Senior Operations Manager;Grande São Paulo (SP) ;14/05 10:00;https://www.linkedin.com/jobs/view/4414602394/;https://media.licdn.com/dms/image/v2/D4D0BAQGvkxxN_jUX3Q/company-logo_100_100/company-logo_100_100/0/1719800835083/99app_logo?e=1780531200&v=beta&t=hxhOw25ihHKZ8saFVa8eIkfPFudIFlEe5_9BGljyxkA;Operations > Operations Manager;https://www.linkedin.com/company/99/about/;Software e Serviços de TI;careers.didiglobal.com;99;1.0;https://www.linkedin.com/jobs/view/4414602394/;https://www.linkedin.com/jobs/view/4414602394/;Hybrid;Senior, Liderança/Gerência;15/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;oracle
8;99;Senior Support Engineer;Grande São Paulo (SP) ;14/05 16:00;https://www.linkedin.com/jobs/view/4407553498/;https://media.licdn.com/dms/image/v2/D4D0BAQGvkxxN_jUX3Q/company-logo_100_100/company-logo_100_100/0/1719800835083/99app_logo?e=1780531200&v=beta&t=hxhOw25ihHKZ8saFVa8eIkfPFudIFlEe5_9BGljyxkA;Advanced > Information Technology;https://www.linkedin.com/company/99/about/;Transporte e Mobilidade;careers.didiglobal.com;99;1.0;https://www.linkedin.com/jobs/view/4407553498/;https://www.linkedin.com/jobs/view/4407553498/;Hybrid;Senior, Engenharia Geral;15/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;oracle
9;AB InBev;Product Operations Manager (Upstream);Campinas (SP);14/05 10:00;https://www.linkedin.com/jobs/view/4411180675/;https://media.licdn.com/dms/image/v2/C560BAQEZRSga0FreWA/company-logo_100_100/company-logo_100_100/0/1656631574816/ab_inbev_logo?e=1780531200&v=beta&t=fEpWdTKdcS1rgbCajLTknPiNjrJT1RbWPFP086_La18;Operations > Operations Manager;https://www.linkedin.com/company/ab-inbev/about/;Software e Serviços de TI;Workday;ab inbev;1.0;https://www.linkedin.com/jobs/view/4411180675/;https://www.linkedin.com/jobs/view/4411180675/;On-site;Liderança/Gerência;15/05/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul;oracle
10;ABESPetro;Analista de Negócios TI Pleno – Vaga Afirmativa PCD;Grande Rio de Janeiro (RJ);14/05 06:00;https://www.linkedin.com/jobs/view/4411138828/;https://media.licdn.com/dms/image/v2/D4D0BAQEwfyIdGBAxSw/company-logo_100_100/company-logo_100_100/0/1714140756975/abespetro_logo?e=1780531200&v=beta&t=KSAOqPmrh5SSlkf0WLTia0KMKB0sjFk-Qdi6uQA9Li0;Advanced > Specialist;https://www.linkedin.com/company/abespetro/about/;Cuidado Animal;;abespetro;1.0;https://www.linkedin.com/jobs/view/4411138828/;https://www.linkedin.com/jobs/view/4411138828/;On-site;PCD / Afirmativa, Mid, Associate, TI/Tech;15/05/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul;oracle
