Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;BTG Pactual;Project Manager Pleno | Investment Products;São Paulo (SP);26/05 22:00;https://www.linkedin.com/jobs/view/4420204771/;https://media.licdn.com/dms/image/v2/C4E0BAQE0wyub1rswiA/company-logo_100_100/company-logo_100_100/0/1654720569889/btgpactual_logo?e=1781740800&v=beta&t=6vxP7wAmpY251QBu53kF0Xj106w82QljrVp2P5ja9ss;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/btg-pactual/about/;-;project manager;btg pactual;4.0;carreiras.btgpactual.com;https://www.linkedin.com/jobs/view/4420204771/;https://www.linkedin.com/jobs/view/4420204771/;Hybrid;Mid, Liderança/Gerência;27/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
2;BerTech LLC;Project Manager;Belo Horizonte (MG);26/05 22:00;https://www.linkedin.com/jobs/view/4419507258/;https://media.licdn.com/dms/image/v2/D4E0BAQEdbLIoWy10pw/company-logo_100_100/company-logo_100_100/0/1694543621402?e=1781740800&v=beta&t=B8y_PwoigYHL_AiDY1m6FYxg2mtF-95mOnw2z0XNb6A;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/bertech-llc/about/;Software e Serviços de TI;project manager;bertech llc;1;;https://www.linkedin.com/jobs/view/4419507258/;https://www.linkedin.com/jobs/view/4419507258/;Remote;Liderança/Gerência;27/05/2026;Belo Horizonte;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
3;CI&T;Project Manager, Brazil;Brasil;26/05 22:00;https://www.linkedin.com/jobs/view/4419462748/;https://media.licdn.com/dms/image/v2/D4D0BAQGLvQL_ujmJgA/company-logo_100_100/B4DZi9QI7xHwAc-/0/1755521781937/ciandt_logo?e=1781740800&v=beta&t=0zU38daqRlVwZV-Bzg7SfRoqmPydV7gLM58VJSt0T3c;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/ci-t/about/;-;project manager;ci&t;4.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4419462748/;https://www.linkedin.com/jobs/view/4419462748/;Remote;Liderança/Gerência;27/05/2026;;;;;Brasil;América do Sul
4;CommandLink;Project Manager, Service Delivery;Brasil;27/05 04:00;https://www.linkedin.com/jobs/view/4419820251/;https://media.licdn.com/dms/image/v2/C560BAQHylMCqopIWnA/company-logo_100_100/company-logo_100_100/0/1641769799183/commandlink_logo?e=1781740800&v=beta&t=3JzYMNoUN7FFkfSX3CzEyUqLDsXrEznQFxoKWm4LxkA;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/commandlink/about/;-;project manager;commandlink;1.0;ats.rippling.com;https://www.linkedin.com/jobs/view/4419820251/;https://www.linkedin.com/jobs/view/4419820251/;Remote;Liderança/Gerência, Delivery/SDM;27/05/2026;;;;;Brasil;América do Sul
5;Confidential Company;Technical Project Manager;Brasil;27/05 13:00;https://www.linkedin.com/jobs/view/4418810945/;missing logo;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/confidential-company/about/;Software e Serviços de TI;project manager;confidential company;1;;https://www.linkedin.com/jobs/view/4418810945/;https://www.linkedin.com/jobs/view/4418810945/;Remote;Liderança/Gerência, TI/Tech;27/05/2026;;;;;Brasil;América do Sul
6;Dexian;"""Project Manager #1005485""";Grande São Paulo (SP) ;26/05 22:00;https://www.linkedin.com/jobs/view/4418270148/;https://media.licdn.com/dms/image/v2/D560BAQGXx9Ix2Tcwqg/company-logo_100_100/company-logo_100_100/0/1738000396255/dexiansolutions_logo?e=1781740800&v=beta&t=V0Q7vwtpuZHM_YWw1oe2fMK9xLlSbk9E_dPSJFXOEII;Middle > Manager;https://www.linkedin.com/company/dexian/about/;-;project manager;dexian;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4418270148/;https://www.linkedin.com/jobs/view/4418270148/;Hybrid;Liderança/Gerência;27/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
7;EZVIZ Inc.;Operator Project Manager;SP;26/05 22:00;https://www.linkedin.com/jobs/view/4395019612/;https://media.licdn.com/dms/image/v2/C560BAQFhC9bUAKfU2g/company-logo_100_100/company-logo_100_100/0/1630658613635/ezviz_inc_logo?e=1781740800&v=beta&t=hHifCnq4LeMQnHqWIyeiIvO0XIDzCFPWKgB1_KjBmUE;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/ezviz-inc/about/;-;project manager;ezviz inc.;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4395019612/;https://www.linkedin.com/jobs/view/4395019612/;On-site;Liderança/Gerência;27/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
8;Floowi Inc;Project Manager (Digital Marketing Agency);Brasil;26/05 22:00;https://www.linkedin.com/jobs/view/4419509376/;https://media.licdn.com/dms/image/v2/D4D0BAQGrPyPULHfXYw/company-logo_100_100/B4DZcTq277IAAQ-/0/1748381691999/floowi_inc_logo?e=1781740800&v=beta&t=JjCEyb7A2d6bpbSF-Dj-VZ5JCYJh7lm_wQlm1J9HR2A;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/floowi-inc/about/;Marketing e Publicidade Marketing;project manager;floowi inc;1;;https://www.linkedin.com/jobs/view/4419509376/;https://www.linkedin.com/jobs/view/4419509376/;Remote;Liderança/Gerência, TI/Tech, Marketing/Mídia;27/05/2026;;;;;Brasil;América do Sul
9;GFT Brasil;Project Manager Sênior (Hibrido/SP) - 133514;São Paulo (SP);27/05 17:00;https://www.linkedin.com/jobs/view/4419962570/;https://media.licdn.com/dms/image/v2/D4E0BAQHo8b2c2pSzMw/company-logo_100_100/B4EZmE9mMwIMAU-/0/1758872364214/gft_technologies_brasil_logo?e=1781740800&v=beta&t=QJT4tLIq17Cma2NuwhfW1sm2n5p9aTaJLAiRbzsnDqg;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/gft-brasil/about/;-;project manager;gft brasil;3.0;jobs.gft.com;https://www.linkedin.com/jobs/view/4419962570/;https://www.linkedin.com/jobs/view/4419962570/;Hybrid;Senior, Liderança/Gerência;27/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
10;HireLATAM;Remote Assistant Project Manager;América Latina;27/05 11:00;https://www.linkedin.com/jobs/view/4418801324/;https://media.licdn.com/dms/image/v2/D4E0BAQEOrTbLkHhg2Q/company-logo_100_100/company-logo_100_100/0/1690768734557/hirelatam_logo?e=1781740800&v=beta&t=U1z6eseIc_OPb5P0MvnZwT4yCUsPkLzDOkLMCYfOxdo;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/hirelatam/about/;-;project manager;hirelatam;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4418801324/;https://www.linkedin.com/jobs/view/4418801324/;Remote;Associate, Liderança/Gerência;27/05/2026;;;;;;América Latina
11;Hyland;Associate Project Manager;Brasil;26/05 22:00;https://www.linkedin.com/jobs/view/4416821794/;https://media.licdn.com/dms/image/v2/D4E0BAQGRzC5P03b71Q/company-logo_100_100/B4EZWpevatHcAU-/0/1742305163610/hyland_software_logo?e=1781740800&v=beta&t=BOdYMDw2eWfHSgxdFHoQwaRx3CdGi5OpL13D5HYGJEw;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/hyland/about/;-;project manager;hyland;1.0;iCIMS;https://www.linkedin.com/jobs/view/4416821794/;https://www.linkedin.com/jobs/view/4416821794/;Remote;Associate, Liderança/Gerência;27/05/2026;;;;;Brasil;América do Sul
12;Hyland;Lead Technical Project Manager;Brasil;26/05 22:00;https://www.linkedin.com/jobs/view/4408977252/;https://media.licdn.com/dms/image/v2/D4E0BAQGRzC5P03b71Q/company-logo_100_100/B4EZWpevatHcAU-/0/1742305163610/hyland_software_logo?e=1781740800&v=beta&t=BOdYMDw2eWfHSgxdFHoQwaRx3CdGi5OpL13D5HYGJEw;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/hyland/about/;Software e Serviços de TI;project manager;hyland;1.0;iCIMS;https://www.linkedin.com/jobs/view/4408977252/;https://www.linkedin.com/jobs/view/4408977252/;Remote;Mid, Liderança/Gerência, TI/Tech;27/05/2026;;;;;Brasil;América do Sul
13;IQVIA;Clinical Project Manager, Immuno-oncology - IQVIA Biotech;São Paulo (SP);26/05 22:00;https://www.linkedin.com/jobs/view/4418284104/;https://media.licdn.com/dms/image/v2/C560BAQFW8oSPns4-Cw/company-logo_100_100/company-logo_100_100/0/1678802429367/iqvia_logo?e=1781740800&v=beta&t=-Z2T4UdfS7tzUNgsLCCYcSid6LvTln2oJycd-39jKa4;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/iqvia/about/;Software e Serviços de TI;project manager;iqvia;1.0;jobs.iqvia.com;https://www.linkedin.com/jobs/view/4418284104/;https://www.linkedin.com/jobs/view/4418284104/;Remote;Liderança/Gerência, TI/Tech;27/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
14;InComm Payments;IT Project Manager III;Brasil;27/05 10:00;https://www.linkedin.com/jobs/view/4418596499/;https://media.licdn.com/dms/image/v2/C4D0BAQExVKozoptuLA/company-logo_100_100/company-logo_100_100/0/1630544992626/incomm_logo?e=1781740800&v=beta&t=T0XupPjXO85dao7OiJ2XX_vSnJAtkNafT3UZxJZlONw;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/incomm-payments/about/;Software e Serviços de TI;project manager;incomm payments;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4418596499/;https://www.linkedin.com/jobs/view/4418596499/;Remote;Liderança/Gerência;27/05/2026;;;;;Brasil;América do Sul
15;Insight Global;Project Manager;Brasil;27/05 12:00;https://www.linkedin.com/jobs/view/4418818288/;https://media.licdn.com/dms/image/v2/D560BAQFr-Bh7QG9n5w/company-logo_100_100/B56Z5ppByzIEAI-/0/1779888824493/insight_global_logo?e=1781740800&v=beta&t=H-rnwJM2Fp52_iVv0CUcyJGfxmn5pGUJG6-TEvR1ROY;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/insight-global/about/;-;project manager;insight global;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4418818288/;https://www.linkedin.com/jobs/view/4418818288/;Remote;Liderança/Gerência;27/05/2026;;;;;Brasil;América do Sul
16;Insight Global;Senior Sap Project Manager;Brasil;26/05 22:00;https://www.linkedin.com/jobs/view/4418265743/;https://media.licdn.com/dms/image/v2/D560BAQFr-Bh7QG9n5w/company-logo_100_100/B56Z5ppByzIEAI-/0/1779888824493/insight_global_logo?e=1781740800&v=beta&t=H-rnwJM2Fp52_iVv0CUcyJGfxmn5pGUJG6-TEvR1ROY;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/insight-global/about/;-;project manager;insight global;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4418265743/;https://www.linkedin.com/jobs/view/4418265743/;Remote;Senior, Liderança/Gerência, SAP;27/05/2026;;;;;Brasil;América do Sul
17;Jobgether;Project Manager;Grande São Paulo (SP) ;26/05 22:00;https://www.linkedin.com/jobs/view/4418229498/;https://media.licdn.com/dms/image/v2/D4E0BAQHdx4NngvFyPA/company-logo_100_100/B4EZ5GHh6CHEAU-/0/1779292839822/jobgether_logo?e=1781740800&v=beta&t=ko932TF9ftRGPAQJcNq49h2NSYyg_hE606h9f3s9m64;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/jobgether/about/;-;project manager;jobgether;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4418229498/;https://www.linkedin.com/jobs/view/4418229498/;Remote;Liderança/Gerência;27/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
18;Kajae;Marketing Project Manager;América Latina;27/05 13:00;https://www.linkedin.com/jobs/view/4418809999/;https://media.licdn.com/dms/image/v2/C4D0BAQFCtsfO8QopMw/company-logo_100_100/company-logo_100_100/0/1631669821486/kajae_logo?e=1781740800&v=beta&t=YzCqJb1nkpIELDkn_kzoK9NNIyLef7aMAHM8xv5VAwE;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/kajae/about/;Marketing e Publicidade Marketing;project manager;kajae;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4418809999/;https://www.linkedin.com/jobs/view/4418809999/;Remote;Liderança/Gerência, Marketing/Mídia;27/05/2026;;;;;;América Latina
19;Keyrus;SAP Core Project Manager;São Paulo (SP);26/05 22:00;https://www.linkedin.com/jobs/view/4408687688/;https://media.licdn.com/dms/image/v2/C4D0BAQHRBnGuCj0Ibw/company-logo_100_100/company-logo_100_100/0/1678695436734/keyrus_logo?e=1781740800&v=beta&t=XvJ1r3FMF670mKy5JDJWixJSv3RQhifOrYKUCqf4HfQ;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/keyrus/about/;-;project manager;keyrus;3.0;jobs.keyrus.com.br;https://www.linkedin.com/jobs/view/4408687688/;https://www.linkedin.com/jobs/view/4408687688/;Remote;Liderança/Gerência, SAP;27/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
20;Kyndryl;Jr Project Manager;Grande Rio de Janeiro (RJ);26/05 22:00;https://www.linkedin.com/jobs/view/4408672840/;https://media.licdn.com/dms/image/v2/C560BAQHgQ1kcTnuSCg/company-logo_100_100/company-logo_100_100/0/1630640554546/kyndryl_logo?e=1781740800&v=beta&t=yfJTcm1hw0BHwobG6lgjvxTbOn-eYVP_4NcWICIEmIg;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/kyndryl/about/;-;project manager;kyndryl;1.0;Workday;https://www.linkedin.com/jobs/view/4408672840/;https://www.linkedin.com/jobs/view/4408672840/;On-site;Junior, Liderança/Gerência;27/05/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul
21;Kyndryl;Jr Project Manager (Natal/RN);São Paulo (SP);26/05 22:00;https://www.linkedin.com/jobs/view/4409359668/;https://media.licdn.com/dms/image/v2/C560BAQHgQ1kcTnuSCg/company-logo_100_100/company-logo_100_100/0/1630640554546/kyndryl_logo?e=1781740800&v=beta&t=yfJTcm1hw0BHwobG6lgjvxTbOn-eYVP_4NcWICIEmIg;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/kyndryl/about/;-;project manager;kyndryl;1.0;Workday;https://www.linkedin.com/jobs/view/4409359668/;https://www.linkedin.com/jobs/view/4409359668/;On-site;Junior, Liderança/Gerência;27/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
22;Máquinas Furlan Ltda;GERENTES DE PROJETOS (PROJECT MANAGER);Limeira (SP);26/05 22:00;https://www.linkedin.com/jobs/view/4419555591/;https://media.licdn.com/dms/image/v2/D4D0BAQGKiC2-H64qUw/company-logo_100_100/B4DZuOGAvQIIAU-/0/1767615501580/m_quinas_furlan_ltda_logo?e=1781740800&v=beta&t=BWm1fhF66MI-98IkRiA7OySLuafz0dPJDZVFu5hL0h8;Middle > Manager;https://www.linkedin.com/company/m-quinas-furlan-ltda/about/;-;project manager;máquinas furlan ltda;1;;https://www.linkedin.com/jobs/view/4419555591/;https://www.linkedin.com/jobs/view/4419555591/;On-site;Mid, Liderança/Gerência;27/05/2026;Limeira;São Paulo;SP;Região Sudeste;Brasil;América do Sul
23;NOV;Industrial Project Manager - PMO;São João da Barra (RJ);26/05 22:00;https://www.linkedin.com/jobs/view/4408429793/;https://media.licdn.com/dms/image/v2/C4E0BAQERxFxtfNAbrQ/company-logo_100_100/company-logo_100_100/0/1631353473531?e=1781740800&v=beta&t=zc5F1EYVLSykqkp1xLQcWhCD6m-WMC6SH06IUyjb1Y4;Produtos > Product Manager;https://www.linkedin.com/company/nov/about/;Manufatura e Produção;project manager;nov;1.0;Oracle;https://www.linkedin.com/jobs/view/4408429793/;https://www.linkedin.com/jobs/view/4408429793/;On-site;Liderança/Gerência, PMO, Engenharia Geral;27/05/2026;São João da Barra;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul
24;Pearl Talent;Operations & Project Manager (Customer Success Support) - REMOTE;América Latina;26/05 22:00;https://www.linkedin.com/jobs/view/4418507466/;https://media.licdn.com/dms/image/v2/D4E0BAQHefQSqYvzGeg/company-logo_100_100/B4EZzngB8dJoAQ-/0/1773410460810/pearltalent_logo?e=1781740800&v=beta&t=mUgXNfthMM-5zMl1bWeWjSCzMXQsmN7ZwUcZq7y1TYE;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/pearl-talent/about/;Software e Serviços de TI;project manager;pearl talent;1;;https://www.linkedin.com/jobs/view/4418507466/;https://www.linkedin.com/jobs/view/4418507466/;Remote;Liderança/Gerência;27/05/2026;;;;;;América Latina
