Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;.;Especialista de Gente & Cultura;Brasil;18 hours ago;https://www.linkedin.com/jobs/view/4400891515/;https://media.licdn.com/dms/image/v2/D4D0BAQG7yoZPwvPnjg/company-logo_100_100/B4DZxxQxuGJwAQ-/0/1771426749742/red_logo?e=1778112000&v=beta&t=S14G4Efp3k8WpI4KJpCgljo8tHz5tpek0Th4Kq1KraU;Advanced > Specialist;https://www.linkedin.com/company//about/;Other;;.;1;https://www.linkedin.com/jobs/view/4400891515/;;On-site;Specialist;18/04/2026
2;3Neuron;Produtor de Eventos (Brasília, DF);Brasília (DF);17 hours ago;https://www.linkedin.com/jobs/view/4401210663/;https://media.licdn.com/dms/image/v2/C4D0BAQF7ZVV0EjOoKw/company-logo_100_100/company-logo_100_100/0/1631336174864?e=1778112000&v=beta&t=RvTQB-kIgPBJOr6zNxcfKhxGyymMXy9ZizEmLAu_F3Q;-;https://www.linkedin.com/company/3neuron/about/;Marketing;;3neuron;1;https://www.linkedin.com/jobs/view/4401210663/;;On-site;Eventos;18/04/2026
3;A.P. Moller - Maersk;Analista de Logística (Dados) - São Paulo (SP);Ceará, Brasil;22 hours ago;https://www.linkedin.com/jobs/view/4403544520/;https://media.licdn.com/dms/image/v2/C4D0BAQFxaOJ8VzplhA/company-logo_100_100/company-logo_100_100/0/1630463556967/maersk_group_logo?e=1778112000&v=beta&t=x4M0LoRi9hqL8kCiRHGoFwda6VQHqU-fjPxImhuqVAo;Advanced > Specialist;https://www.linkedin.com/company/a-p-moller-maersk/about/;Data;;a.p. moller - maersk;1.0;https://www.linkedin.com/jobs/view/4403544520/;;Hybrid;Associate, Dados/Analytics, Logística/Supply;18/04/2026
4;AB InBev;Especialista de Produto;Campinas (SP);9 hours ago;https://www.linkedin.com/jobs/view/4380829274/;https://media.licdn.com/dms/image/v2/C560BAQEZRSga0FreWA/company-logo_100_100/company-logo_100_100/0/1656631574816/ab_inbev_logo?e=1778112000&v=beta&t=H2b6BB5TvshnTiQTrXr6OGXvMXbwH0DbVvltlCtLVFA;Advanced > Specialist;https://www.linkedin.com/company/ab-inbev/about/;Marketing;Greenhouse;ab inbev;1.0;https://www.linkedin.com/jobs/view/4380829274/;;On-site;Specialist;18/04/2026
5;ABB;Engenheiro de Serviços de Campo Senior - Papel e Celulose;São Paulo (SP);22 hours ago;https://www.linkedin.com/jobs/view/4403545557/;https://media.licdn.com/dms/image/v2/C4D0BAQHPGAMgqJMBZQ/company-logo_100_100/company-logo_100_100/0/1630579606103/abb_logo?e=1778112000&v=beta&t=NY1AL_wWC6dMAx5p0csCy4gPvk3-pbnIUdYkXmq0JEM;-;https://www.linkedin.com/company/abb/about/;Other;careers.abb;abb;1.0;https://www.linkedin.com/jobs/view/4403545557/;;On-site;Senior;18/04/2026
6;ADM;Analista de Dados SR;São Paulo (SP);22 hours ago;https://www.linkedin.com/jobs/view/4400878152/;https://media.licdn.com/dms/image/v2/C560BAQG0X_qChwy0vg/company-logo_100_100/company-logo_100_100/0/1656694101135/adm_logo?e=1778112000&v=beta&t=HbZOqazJXmEYf-K0ud4VOhY2KMlDIS0R4e2jYLBjAt4;Advanced > Specialist;https://www.linkedin.com/company/adm/about/;Data;;adm;1.0;https://www.linkedin.com/jobs/view/4400878152/;;Hybrid;Senior, Associate, Dados/Analytics;18/04/2026
7;AIESEC no Brasil;Intercâmbio profissional no Panamá - Finance Business Partner Jr Analyst;São Paulo (SP);Easy Apply;https://www.linkedin.com/jobs/view/4403056232/;https://media.licdn.com/dms/image/v2/C4E0BAQEhlBvD38ZJhA/company-logo_100_100/company-logo_100_100/0/1630616431901/aiesec_brasil_logo?e=1778112000&v=beta&t=ysZG_y2bp_GJM1jsYPFRiLWf7cSm1CjHCqx5D2EzFZI;People > HR Business Partner;https://www.linkedin.com/company/aiesec-no-brasil/about/;Finance;LinkedIn (Easy Apply);aiesec no brasil;1.0;https://www.linkedin.com/jobs/view/4403056232/;;On-site;Junior;18/04/2026
8;AIESEC no Brasil;Intercambio Profisisonal - Estagiário(a) em Desenvolvimento de Software para Drones na Romênia;Uberlândia (MG);19 hours ago;https://www.linkedin.com/jobs/view/4400886005/;https://media.licdn.com/dms/image/v2/C4E0BAQEhlBvD38ZJhA/company-logo_100_100/company-logo_100_100/0/1630616431901/aiesec_brasil_logo?e=1778112000&v=beta&t=ysZG_y2bp_GJM1jsYPFRiLWf7cSm1CjHCqx5D2EzFZI;-;https://www.linkedin.com/company/aiesec-no-brasil/about/;IT;LinkedIn (Easy Apply);aiesec no brasil;1.0;https://www.linkedin.com/jobs/view/4400886005/;;Hybrid;Intern, TI/Tech;18/04/2026
9;ALLSTARSIT;Senior Web Manager;Brasil;50 minutes ago;https://www.linkedin.com/jobs/view/4403849513/;https://media.licdn.com/dms/image/v2/D4E0BAQFV7O7ZV0Tf4w/company-logo_100_100/company-logo_100_100/0/1698851592986/allstarsitcom_logo?e=1778112000&v=beta&t=1PBheSep3e30j-IDcEs_Xxq_ePWu3SsEvjmibGrJ33I;Middle > Manager;https://www.linkedin.com/company/allstarsit/about/;IT;;allstarsit;2.0;https://www.linkedin.com/jobs/view/4403849513/;;Remote;Senior, Liderança/Gerência;18/04/2026
10;ANBIMA;Analista de Representação Sênior - Negociação e Estruturação de Mercado de Capitais;São Paulo (SP);3 hours ago;https://www.linkedin.com/jobs/view/4391201931/;https://media.licdn.com/dms/image/v2/C4E0BAQF3u_ZkHJGzzA/company-logo_100_100/company-logo_100_100/0/1631353712223?e=1778112000&v=beta&t=xXVgRg665bZW54oG0r239CoYhg3nRJB7WjtHn4Sqzm8;Advanced > Specialist;https://www.linkedin.com/company/anbima/about/;IT;;anbima;1.0;https://www.linkedin.com/jobs/view/4391201931/;;Hybrid;Senior, Associate;18/04/2026
