Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;AI Jobs;Project Coordinator;América Latina;01/05 10:00;https://www.linkedin.com/jobs/view/4409185996/;https://media.licdn.com/dms/image/v2/D560BAQGTWi6HPgNb3g/company-logo_100_100/B56Zr4FbJWHQAQ-/0/1765098763622?e=1779321600&v=beta&t=nm_xddzpDUheW1DvdgbQ_clSOQrx6jlcR_iPJQ5wrqY;-;https://www.linkedin.com/company/ai-jobs/about/;AI;LinkedIn (Easy Apply);ai jobs;1.0;https://www.linkedin.com/jobs/view/4409185996/;https://www.linkedin.com/jobs/view/4409185996/;Remote;Mid;02/05/2026;;;;;;América Latina
2;AI Jobs;Project Coordinator;Brasil;02/05 06:00;https://www.linkedin.com/jobs/view/4409576554/;https://media.licdn.com/dms/image/v2/D560BAQGTWi6HPgNb3g/company-logo_100_100/B56Zr4FbJWHQAQ-/0/1765098763622?e=1779321600&v=beta&t=nm_xddzpDUheW1DvdgbQ_clSOQrx6jlcR_iPJQ5wrqY;-;https://www.linkedin.com/company/ai-jobs/about/;AI;LinkedIn (Easy Apply);ai jobs;1.0;https://www.linkedin.com/jobs/view/4409576554/;https://www.linkedin.com/jobs/view/4409576554/;Remote;Mid;02/05/2026;;;;;Brasil;América do Sul
3;AVANTTi;Delivery Manager / Gerente de Projetos Estratégico (com viés de negócio);São Paulo (SP);01/05 09:00;https://www.linkedin.com/jobs/view/4407656500/;https://media.licdn.com/dms/image/v2/D4D0BAQEEGuq8S7cw1w/company-logo_100_100/company-logo_100_100/0/1687890929597/avantti_inovao_digital_logo?e=1779321600&v=beta&t=ZPdILfNvXpbtVEJ2xbwfN2j91gh30nOUDzuL-b9AbNo;Operations > Delivery Manager;https://www.linkedin.com/company/avantti/about/;IT;Quickin;avantti;1.0;https://www.linkedin.com/jobs/view/4407656500/;https://jobs.quickin.io/avanttibr/jobs/69f34e20f58b5d00138fb3d0?src=LinkedIn%20Limited%20Listings;Remote;Mid, Liderança/Gerência, Delivery/SDM;02/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;Aché Laboratórios;Gerente de Produto Pleno (Unidade Dermocosméticos);Grande São Paulo (SP) ;01/05 18:00;https://www.linkedin.com/jobs/view/4409491516/;https://media.licdn.com/dms/image/v2/C4E0BAQEipEC5ogYaSA/company-logo_100_100/company-logo_100_100/0/1631322864347?e=1779321600&v=beta&t=4dOac5NlqSucjXGK9NPEveKJ8hKs0MYHSEWqfr6qbV4;Middle > Manager;https://www.linkedin.com/company/ach-laborat-rios/about/;Fashion & Beauty;LinkedIn (Easy Apply);aché laboratórios;2.0;https://www.linkedin.com/jobs/view/4409491516/;https://www.linkedin.com/jobs/view/4409491516/;Hybrid;Mid, Liderança/Gerência;02/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
5;Aggreko;Project Manager;Manaus (AM);01/05 09:00;https://www.linkedin.com/jobs/view/4335233620/;https://media.licdn.com/dms/image/v2/D4E0BAQFIhknlSyFsfQ/company-logo_100_100/B4EZwEnMxXIIAQ-/0/1769603911154/aggreko_logo?e=1779321600&v=beta&t=dA5kszr7XMEb0F4_eOD2iRxKV2PVm4a0WvuyO7_TeEw;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/aggreko/about/;Marketing;careers.aggreko.com;aggreko;1.0;https://www.linkedin.com/jobs/view/4335233620/;https://careers.aggreko.com/sa/pt-br/jobs/jr17840-project-manager?source=LinkedIn;On-site;Liderança/Gerência;02/05/2026;Manaus;Amazonas;AM;Região Norte;Brasil;América do Sul
6;Agência California;Gerente de Projetos;Florianópolis (SC);01/05 16:00;https://www.linkedin.com/jobs/view/4409449930/;https://media.licdn.com/dms/image/v2/D4D0BAQGENsxihLs7qw/company-logo_100_100/company-logo_100_100/0/1737510873210/agncia_califrnia_logo?e=1779321600&v=beta&t=rmZnXDr_vWvi_WTIuhTPAF43-RPDjY2cA9xRu3cYeJQ;Middle > Manager;https://www.linkedin.com/company/ag-ncia-california/about/;Marketing;Trampos;agência california;1.0;https://www.linkedin.com/jobs/view/4409449930/;;On-site;Mid, Liderança/Gerência;02/05/2026;Florianópolis;Santa Catarina;SC;Região Sul;Brasil;América do Sul
7;Alfafam Management Consulting;PM Software Implementation Specialist;Brasil;01/05 09:00;https://www.linkedin.com/jobs/view/4409184325/;https://media.licdn.com/dms/image/v2/C560BAQE17UgB39hnMA/company-logo_100_100/company-logo_100_100/0/1649279070323/alfafam_logo?e=1779321600&v=beta&t=OitQ6SvJ05H1u8zMtun2n2vUqMFxnYhaiukvNtqnxU4;Produtos > Product Manager;https://www.linkedin.com/company/alfafam-management-consulting/about/;Consulting;BambooHR;alfafam management consulting;1.0;https://www.linkedin.com/jobs/view/4409184325/;https://alfafam.bamboohr.com/careers/58?source=aWQ9MTk%3D;Remote;Specialist, TI/Tech, Product Owner/Product Manager;02/05/2026;;;;;Brasil;América do Sul
8;Alstom;Project Quality & Safety Manager;Taubaté (SP);01/05 09:00;https://www.linkedin.com/jobs/view/4406759344/;https://media.licdn.com/dms/image/v2/D4E0BAQFLUKI2w48YdA/company-logo_100_100/B4EZxGf8CNLAAQ-/0/1770709304114/alstom_logo?e=1779321600&v=beta&t=6CdzCoEIsxzlWJbIVOZjL3T-7hjxmrwqR3HZdYcv0K0;Middle > Manager;https://www.linkedin.com/company/alstom/about/;IT;jobsearch.alstom.com;alstom;1.0;https://www.linkedin.com/jobs/view/4406759344/;https://jobsearch.alstom.com/job/Taubate-Project-Quality-&-Safety-Manager-SP/1389485533/?utm_source=LINKEDIN&utm_medium=referrer;On-site;Liderança/Gerência, Testes / QA;02/05/2026;Taubaté;São Paulo;SP;Região Sudeste;Brasil;América do Sul
9;Amazon;Sr. Product Manager, Amazon;Grande São Paulo (SP) ;01/05 10:00;https://www.linkedin.com/jobs/view/4387824571/;https://media.licdn.com/dms/image/v2/D560BAQGDLy4STCnHbg/company-logo_100_100/B56ZnZxDipI0AQ-/0/1760295142304/amazon_logo?e=1779321600&v=beta&t=7jukWAflI_mcl3yXRyOpXm42YboI6iAOGCpZ9aAh4wU;Produtos > Product Manager;https://www.linkedin.com/company/amazon/about/;Marketing;Amazon;amazon;5.0;https://www.linkedin.com/jobs/view/4387824571/;https://www.amazon.jobs/en/jobs/3208368/sr-product-manager-amazon?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid;On-site;Senior, Liderança/Gerência, Product Owner/Product Manager;02/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
10;Amazon Web Services (AWS);Customer Solutions Manager;Grande São Paulo (SP) ;01/05 22:00;https://www.linkedin.com/jobs/view/4409191176/;https://media.licdn.com/dms/image/v2/D4E0BAQFqdm1TZ-RZKQ/company-logo_100_100/B4EZgOay6gHEAY-/0/1752588562343/amazon_web_services_logo?e=1779321600&v=beta&t=TC1AZkpDFhkrRLjhC41m8oFkESfbM_PBDY41_OshXb4;Middle > Manager;https://www.linkedin.com/company/amazon-web-services-aws/about/;IT;Amazon;amazon web services (aws);5.0;https://www.linkedin.com/jobs/view/4409191176/;https://www.amazon.jobs/en/jobs/10408390/customer-solutions-manager?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid;On-site;Liderança/Gerência;02/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
11;Amazon Web Services (AWS);Customer Solutions Manager, AGS Brazil;Grande São Paulo (SP) ;01/05 22:00;https://www.linkedin.com/jobs/view/4409169995/;https://media.licdn.com/dms/image/v2/D4E0BAQFqdm1TZ-RZKQ/company-logo_100_100/B4EZgOay6gHEAY-/0/1752588562343/amazon_web_services_logo?e=1779321600&v=beta&t=TC1AZkpDFhkrRLjhC41m8oFkESfbM_PBDY41_OshXb4;Middle > Manager;https://www.linkedin.com/company/amazon-web-services-aws/about/;IT;Amazon;amazon web services (aws);5.0;https://www.linkedin.com/jobs/view/4409169995/;https://www.amazon.jobs/en/jobs/10408362/customer-solutions-manager-ags-brazil?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid;On-site;Liderança/Gerência;02/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
12;Amazon Web Services (AWS);Senior Customer Solutions Manager, AGS Brazil;Grande São Paulo (SP) ;01/05 10:00;https://www.linkedin.com/jobs/view/4409176829/;https://media.licdn.com/dms/image/v2/D4E0BAQFqdm1TZ-RZKQ/company-logo_100_100/B4EZgOay6gHEAY-/0/1752588562343/amazon_web_services_logo?e=1779321600&v=beta&t=TC1AZkpDFhkrRLjhC41m8oFkESfbM_PBDY41_OshXb4;Middle > Manager;https://www.linkedin.com/company/amazon-web-services-aws/about/;IT;Amazon;amazon web services (aws);5.0;https://www.linkedin.com/jobs/view/4409176829/;https://www.amazon.jobs/en/jobs/10408457/senior-customer-solutions-manager-ags-brazil?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid;On-site;Senior, Liderança/Gerência;02/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
