Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent;Keywords
1;ADM;Especialista de Projetos e Processos;São Paulo (SP);18/05 10:00;https://www.linkedin.com/jobs/view/4412280872/;https://media.licdn.com/dms/image/v2/C560BAQG0X_qChwy0vg/company-logo_100_100/company-logo_100_100/0/1656694101135/adm_logo?e=1780531200&v=beta&t=D4rMwIzye9oqxwXsojKjfGL9RnxHMPtLhKhSxww0CgE;Advanced > Process & Automation;https://www.linkedin.com/company/adm/about/;-;sjobs.brassring.com;adm;1.0;https://www.linkedin.com/jobs/view/4412280872/;https://www.linkedin.com/jobs/view/4412280872/;Hybrid;Specialist, Processos/Excelência;18/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
2;AGCO Corporation;Program Leader/NPI;Mogi das Cruzes (SP);18/05 12:00;https://www.linkedin.com/jobs/view/4415678156/;https://media.licdn.com/dms/image/v2/C4E0BAQF5TwBZg6M6TA/company-logo_100_100/company-logo_100_100/0/1630563830825/agco_corporation_logo?e=1780531200&v=beta&t=vTkiv29ilQyygnMFA2KU9SupokeO7eSs--EuTkiDstM;Middle > Manager;https://www.linkedin.com/company/agco-corporation/about/;Software e Serviços de TI;;agco corporation;1.0;https://www.linkedin.com/jobs/view/4415678156/;https://www.linkedin.com/jobs/view/4415678156/;On-site;Mid, Liderança/Gerência;18/05/2026;Mogi das Cruzes;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
3;AS2 GROUP;Gerente de projetos de automação;São José dos Campos (SP);18/05 14:00;https://www.linkedin.com/jobs/view/4415672849/;https://media.licdn.com/dms/image/v2/C4E0BAQGAVkAzhJxWsg/company-logo_100_100/company-logo_100_100/0/1630644468705/as2_automao_industrial_logo?e=1780531200&v=beta&t=Nv0KvDeL7PiT6CQwgJsBQHAWaRdLZ0IcsYXOptprrEQ;Middle > Manager;https://www.linkedin.com/company/as2-group/about/;-;LinkedIn (Easy Apply);as2 group;1.0;https://www.linkedin.com/jobs/view/4415672849/;https://www.linkedin.com/jobs/view/4415672849/;On-site;Mid, Liderança/Gerência;18/05/2026;São José dos Campos;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
4;Amazon;Amazon Flex Capacity Planning PM, Amazon Flex;Osasco (SP);17/05 18:00;https://www.linkedin.com/jobs/view/4376133848/;https://media.licdn.com/dms/image/v2/D560BAQGDLy4STCnHbg/company-logo_100_100/B56ZnZxDipI0AQ-/0/1760295142304/amazon_logo?e=1780531200&v=beta&t=qg_CtjENYoY907yhRa1YBrYpXot6Wr8EeptZvpB9HxA;Produtos > Product Manager;https://www.linkedin.com/company/amazon/about/;Software e Serviços de TI;Amazon;amazon;5.0;https://www.linkedin.com/jobs/view/4376133848/;https://www.linkedin.com/jobs/view/4376133848/;On-site;Product Owner/Product Manager;18/05/2026;Osasco;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
5;Amcor;Culture & Engagement Manager - Americas;São Paulo (SP);18/05 13:00;https://www.linkedin.com/jobs/view/4416239873/;https://media.licdn.com/dms/image/v2/C4D0BAQF0sed-lbowMg/company-logo_100_100/company-logo_100_100/0/1630499181382/amcor_logo?e=1780531200&v=beta&t=_xqoz9OglZ0rDykN6J1YkDGymbF7u2fXEjjtV4wgFus;Middle > Manager;https://www.linkedin.com/company/amcor/about/;-;;amcor;1;https://www.linkedin.com/jobs/view/4416239873/;https://www.linkedin.com/jobs/view/4416239873/;Hybrid;Liderança/Gerência, Engagement;18/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
6;Andela;Project Manager;América Latina;18/05 15:00;https://www.linkedin.com/jobs/view/4412818890/;https://media.licdn.com/dms/image/v2/D4E0BAQF4stmbN8pBjg/company-logo_100_100/B4EZc7N7F4HgAQ-/0/1749045195669/andela_logo?e=1780531200&v=beta&t=pXPOmYSDfsHjk2gZsHLeFFFiQOtsNQk9Q9-e_TuIIVk;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/andela/about/;-;;andela;1.0;https://www.linkedin.com/jobs/view/4412818890/;https://www.linkedin.com/jobs/view/4412818890/;Remote;Liderança/Gerência;18/05/2026;;;;;;América Latina;gerente projetos
7;Arius Sistemas;Coordenador de Projetos (Implantação de Sistemas);Americana (SP);18/05 13:00;https://www.linkedin.com/jobs/view/4416259228/;https://media.licdn.com/dms/image/v2/D4E0BAQGzHQaFDbqVwQ/company-logo_100_100/B4EZy08T.aIQAQ-/0/1772562236503/ariussistemas_logo?e=1780531200&v=beta&t=v4yLxA5WW2-YTEhfs3UXxkwU1cWDkKdB9Du9KsvrYqk;Middle > Manager;https://www.linkedin.com/company/arius-sistemas/about/;Software e Serviços de TI;;arius sistemas;1;https://www.linkedin.com/jobs/view/4416259228/;https://www.linkedin.com/jobs/view/4416259228/;On-site;Mid, Liderança/Gerência, TI/Tech, Implementação;18/05/2026;Americana;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
8;B. Braun Group;Coordenador de Sistemas;Rio de Janeiro (RJ);17/05 18:00;https://www.linkedin.com/jobs/view/4369301566/;https://media.licdn.com/dms/image/v2/C4D0BAQEQH3llYnK1ug/company-logo_100_100/company-logo_100_100/0/1676896484533/bbraun_group_logo?e=1780531200&v=beta&t=bv_S8Kk3HcdvWnIGoWY_11TPR7qYyvC_H4LJYyL62tY;Middle > Manager;https://www.linkedin.com/company/b-braun-group/about/;Software e Serviços de TI;jobs.bbraun.com;b. braun group;1.0;https://www.linkedin.com/jobs/view/4369301566/;https://www.linkedin.com/jobs/view/4369301566/;Hybrid;Mid, Liderança/Gerência, TI/Tech;18/05/2026;Rio de Janeiro;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul;gerente projetos
9;BT1;Project Manager;América Latina;18/05 10:00;https://www.linkedin.com/jobs/view/4415666005/;https://media.licdn.com/dms/image/v2/D560BAQH1h3rpa73mQQ/company-logo_100_100/B56ZtvLCX7J8AQ-/0/1767096723448/best_teams_logo?e=1780531200&v=beta&t=seqQWaAL7ss_tC1WrCoVyNUQ1CHRMUnNdXqJH6LS-kA;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/bt1/about/;-;jobs.bt1.ai;bt1;1.0;https://www.linkedin.com/jobs/view/4415666005/;https://www.linkedin.com/jobs/view/4415666005/;Remote;Liderança/Gerência;18/05/2026;;;;;;América Latina;gerente projetos
10;BairesDev;Gerente de Engenharia de Projetos (TI) - Trabalho Remoto;Brasil;18/05 11:00;https://www.linkedin.com/jobs/view/4415657877/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1780531200&v=beta&t=tij4cA69Bno6nfstJQr1mgeqLxSN7TfGvETYkoJJ8A8;Middle > Manager;https://www.linkedin.com/company/bairesdev/about/;Software e Serviços de TI;applicants.bairesdev.com;bairesdev;2.0;https://www.linkedin.com/jobs/view/4415657877/;https://www.linkedin.com/jobs/view/4415657877/;Remote;Mid, Liderança/Gerência, TI/Tech, Engenharia Geral;18/05/2026;;;;;Brasil;América do Sul;gerente projetos
