Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;ACL;Desarrollador Mobile IOS;América Latina;20 hours ago;https://www.linkedin.com/jobs/view/4401965954/;https://media.licdn.com/dms/image/v2/D4E0BAQFILA4Y-53I3w/company-logo_100_100/B4EZmHpp_KHcAQ-/0/1758917470447/acltecnologia_logo?e=1778716800&v=beta&t=oQuvnXjFdON0sr5X8awE5vMeBDcDWUQdIqNqqMaz1E8;-;https://www.linkedin.com/company/acl/about/;Other;LinkedIn (Easy Apply);acl;1.0;https://www.linkedin.com/jobs/view/4401965954/;https://www.linkedin.com/jobs/view/4401965954/;Remote;-;22/04/2026
2;Accenture Brasil;Desenvolvedor(a) Backend Kotlin | AWS;Grande Recife;22 hours ago;https://www.linkedin.com/jobs/view/4369181141/;https://media.licdn.com/dms/image/v2/D4D0BAQFxYk90aqWMqA/company-logo_100_100/company-logo_100_100/0/1727873248436/accenturebrasil_logo?e=1778716800&v=beta&t=HygUGGNXlDj35FQjFIbRxf5A9Q9Aqlox3xjnXN5q6R8;-;https://www.linkedin.com/company/accenture-brasil/about/;Other;www.accenture.com;accenture brasil;4.0;https://www.linkedin.com/jobs/view/4369181141/;https://www.accenture.com/br-pt/careers/jobdetails?id=R00311774_pt-br&src=LINKEDINJP;On-site;Cloud (AWS/GCP/Azure), Backend;22/04/2026
3;Accenture Brasil;Desenvolvedor(a) Front-end | Angular, React e AWS;Grande Recife;22 hours ago;https://www.linkedin.com/jobs/view/4360547509/;https://media.licdn.com/dms/image/v2/D4D0BAQFxYk90aqWMqA/company-logo_100_100/company-logo_100_100/0/1727873248436/accenturebrasil_logo?e=1778716800&v=beta&t=HygUGGNXlDj35FQjFIbRxf5A9Q9Aqlox3xjnXN5q6R8;-;https://www.linkedin.com/company/accenture-brasil/about/;Other;www.accenture.com;accenture brasil;4.0;https://www.linkedin.com/jobs/view/4360547509/;https://www.accenture.com/br-pt/careers/jobdetails?id=R00311851_pt-br&src=LINKEDINJP;On-site;Cloud (AWS/GCP/Azure), Frontend;22/04/2026
4;Alignerr;Senior C# Full-Stack Engineer — AI Data & Infrastructure;Brasil;7 hours ago;https://www.linkedin.com/jobs/view/4404973723/;https://media.licdn.com/dms/image/v2/D560BAQHD7jKpwp33DA/company-logo_100_100/B56ZsP32kCG4AQ-/0/1765497858824/alignerr_logo?e=1778716800&v=beta&t=AxhH3JZY2x6jlcBw5Dn3c-7uELzQlvVLH7uNZc4PHnk;Data & Ai > Data Engineering;https://www.linkedin.com/company/alignerr/about/;AI;www.alignerr.com;alignerr;1.0;https://www.linkedin.com/jobs/view/4404973723/;https://www.alignerr.com/jobs/ec14c876-a21e-4ecb-971c-c9e75c170223?referral-source=linkedin-job;Remote;Inteligência Artificial, Senior, Full Stack, Dados/Analytics, Engenharia Geral;22/04/2026
5;Amazon;Business Intelligence Engineer, BR Trans Execution, BR Trans Execution;Grande São Paulo (SP) ;1 hour ago;https://www.linkedin.com/jobs/view/4393974829/;https://media.licdn.com/dms/image/v2/D560BAQGDLy4STCnHbg/company-logo_100_100/B56ZnZxDipI0AQ-/0/1760295142304/amazon_logo?e=1778716800&v=beta&t=FYJCJ2hlwui49vBxlcS1iuYuTZ5spgQCzAhhQIW4ks8;Advanced > Information Technology;https://www.linkedin.com/company/amazon/about/;Hardware;Amazon;amazon;5.0;https://www.linkedin.com/jobs/view/4393974829/;https://www.amazon.jobs/en/jobs/10380226/business-intelligence-engineer-br-trans-execution-br-trans-execution?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid;On-site;Engenharia Geral;22/04/2026
6;Artefact;Pessoa Engenheira de Dados  - Vaga afirmativa para pessoas LGBTQIAPN+;Grande São Paulo (SP) ;22 hours ago;https://www.linkedin.com/jobs/view/4404838115/;https://media.licdn.com/dms/image/v2/D4E0BAQH6_mc4Zb_tjg/company-logo_100_100/company-logo_100_100/0/1719815465190/artefact_global_logo?e=1778716800&v=beta&t=nOyEGq4o_3G8OPV5OuwI_umTxL7ppxfWU43djGosnXE;-;https://www.linkedin.com/company/artefact/about/;Data;Greenhouse;artefact;1.0;https://www.linkedin.com/jobs/view/4404838115/;https://job-boards.greenhouse.io/artefactlinkedin/jobs/8250282002?gh_src=96efae722us;Remote;PCD / Afirmativa, Dados/Analytics;22/04/2026
7;Artefact;Software Engineer Sênior - Vaga afirmativa para mulheres cis e trans;Grande São Paulo (SP) ;22 hours ago;https://www.linkedin.com/jobs/view/4404844008/;https://media.licdn.com/dms/image/v2/D4E0BAQH6_mc4Zb_tjg/company-logo_100_100/company-logo_100_100/0/1719815465190/artefact_global_logo?e=1778716800&v=beta&t=nOyEGq4o_3G8OPV5OuwI_umTxL7ppxfWU43djGosnXE;Advanced > Information Technology;https://www.linkedin.com/company/artefact/about/;IT;Greenhouse;artefact;1.0;https://www.linkedin.com/jobs/view/4404844008/;https://job-boards.greenhouse.io/artefactlinkedin/jobs/8219888002?gh_src=96efae722us;Hybrid;PCD / Afirmativa, Senior, TI/Tech, Engenharia Geral;22/04/2026
8;BTG Pactual;Engenheiro(a) de Software Java | Investimentos Alternativos;São Paulo (SP);Viewed;https://www.linkedin.com/jobs/view/4377889569/;https://media.licdn.com/dms/image/v2/C4E0BAQE0wyub1rswiA/company-logo_100_100/company-logo_100_100/0/1654720569889/btgpactual_logo?e=1778716800&v=beta&t=SRItdvyeBQzbz7rKJim6itdQ3K5akFw_mUPV73FqmMI;-;https://www.linkedin.com/company/btg-pactual/about/;Finance;carreiras.btgpactual.com;btg pactual;4.0;https://www.linkedin.com/jobs/view/4377889569/;https://carreiras.btgpactual.com/vagas/tech-development/engenheiro-a-de-software-java-investimentos-alternativos/5812710004;Hybrid;TI/Tech;22/04/2026
9;BTG Pactual;Engenheiro(a) de Software Pleno ou Senior (Node.js/C#) | BTG Empresas;São Paulo (SP);Viewed;https://www.linkedin.com/jobs/view/4378611097/;https://media.licdn.com/dms/image/v2/C4E0BAQE0wyub1rswiA/company-logo_100_100/company-logo_100_100/0/1654720569889/btgpactual_logo?e=1778716800&v=beta&t=SRItdvyeBQzbz7rKJim6itdQ3K5akFw_mUPV73FqmMI;-;https://www.linkedin.com/company/btg-pactual/about/;IT;carreiras.btgpactual.com;btg pactual;4.0;https://www.linkedin.com/jobs/view/4378611097/;https://carreiras.btgpactual.com/vagas/tech-development/engenheiro-a-de-software-pleno-ou-senior-node-js-c%23-btg-empresas/5813595004;On-site;Senior, Mid, TI/Tech;22/04/2026
10;BairesDev;Python Developer - Remote Work; (SP);Viewed;https://www.linkedin.com/jobs/view/4404428036/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1778716800&v=beta&t=n6-Iy_XDi8IgJYiOTKo4rmPSCJFzAT5_LyzfPMjTTBo;Advanced > Information Technology;https://www.linkedin.com/company/bairesdev/about/;Other;applicants.bairesdev.com;bairesdev;2.0;https://www.linkedin.com/jobs/view/4404428036/;https://applicants.bairesdev.com/job/71/287824/apply?utm_source=linkedinjobposting&utm_medium=jobposting&utm_campaign=USA-20260422&lang=en;Remote;-;22/04/2026
11;BairesDev;Ingeniero Backend (JavaScript + Node.js) - Trabajo Remoto;América Latina;22 hours ago;https://www.linkedin.com/jobs/view/4403973910/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1778716800&v=beta&t=n6-Iy_XDi8IgJYiOTKo4rmPSCJFzAT5_LyzfPMjTTBo;-;https://www.linkedin.com/company/bairesdev/about/;Other;applicants.bairesdev.com;bairesdev;2.0;https://www.linkedin.com/jobs/view/4403973910/;https://applicants.bairesdev.com/job/289/287844/apply?utm_source=linkedinjobposting&utm_medium=jobposting&utm_campaign=-20260421&lang=en;Remote;Backend;22/04/2026
12;BairesDev;Senior Full-Stack Developer (Python) - Remote Work;América Latina;Viewed;https://www.linkedin.com/jobs/view/4404434189/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1778716800&v=beta&t=n6-Iy_XDi8IgJYiOTKo4rmPSCJFzAT5_LyzfPMjTTBo;Advanced > Information Technology;https://www.linkedin.com/company/bairesdev/about/;Other;applicants.bairesdev.com;bairesdev;2.0;https://www.linkedin.com/jobs/view/4404434189/;https://applicants.bairesdev.com/job/71/288356/apply?utm_source=linkedinjobposting&utm_medium=jobposting&utm_campaign=USA-20260422&lang=en;Remote;Senior, Full Stack;22/04/2026
13;BairesDev;Python Developer - Remote Work;Brasil;Viewed;https://www.linkedin.com/jobs/view/4404429065/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1778716800&v=beta&t=n6-Iy_XDi8IgJYiOTKo4rmPSCJFzAT5_LyzfPMjTTBo;Advanced > Information Technology;https://www.linkedin.com/company/bairesdev/about/;Other;applicants.bairesdev.com;bairesdev;2.0;https://www.linkedin.com/jobs/view/4404429065/;https://applicants.bairesdev.com/job/71/288289/apply?utm_source=linkedinjobposting&utm_medium=jobposting&utm_campaign=USA-20260422&lang=en;Remote;-;22/04/2026
14;BairesDev;Senior Full-Stack Developer (Python) - Remote Work;Brasil;Viewed;https://www.linkedin.com/jobs/view/4404439180/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1778716800&v=beta&t=n6-Iy_XDi8IgJYiOTKo4rmPSCJFzAT5_LyzfPMjTTBo;Advanced > Information Technology;https://www.linkedin.com/company/bairesdev/about/;Other;applicants.bairesdev.com;bairesdev;2.0;https://www.linkedin.com/jobs/view/4404439180/;https://applicants.bairesdev.com/job/71/288356/apply?utm_source=linkedinjobposting&utm_medium=jobposting&utm_campaign=USA-20260422&lang=en;Remote;Senior, Full Stack;22/04/2026
15;CI&T;Mid-Level Backend Developer, Brazil;Brasil;8 minutes ago;https://www.linkedin.com/jobs/view/4405261459/;https://media.licdn.com/dms/image/v2/D4D0BAQGLvQL_ujmJgA/company-logo_100_100/B4DZi9QI7xHwAc-/0/1755521781937/ciandt_logo?e=1778716800&v=beta&t=DPrsm18kimzw_2kOR9DmLp0kszzcAj2WOmTyeLoKexA;Advanced > Information Technology;https://www.linkedin.com/company/ci-t/about/;Other;LinkedIn (Easy Apply);ci&t;4.0;https://www.linkedin.com/jobs/view/4405261459/;https://www.linkedin.com/jobs/view/4405261459/;Remote;Mid, Backend;22/04/2026
