Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent;Keywords
1;3 Corações S/A;ESTAGIÁRIO(A) DE PROGRAMAÇÃO;Eusébio (CE);22/05 20:00;https://www.linkedin.com/jobs/view/4414361587/;https://media.licdn.com/dms/image/v2/D4D0BAQHaKIaxwU8jkw/company-logo_100_100/company-logo_100_100/0/1735839498852/3coracoes_logo?e=1781136000&v=beta&t=Sr0No8Ua8uFvIcOPDRplchocUiByiiLEXI59jMkkgn8;-;https://www.linkedin.com/company/3-cora-es-s-a/about/;-;Gupy;3 corações s/a;1.0;https://www.linkedin.com/jobs/view/4414361587/;https://www.linkedin.com/jobs/view/4414361587/;Hybrid;Intern;23/05/2026;;Ceará;CE;Região Nordeste;Brasil;América do Sul;engenheiro tecnologia da informação
2;4DF Connect;Engenheiro(a) de IA - Pleno;São Paulo (SP);22/05 15:00;https://www.linkedin.com/jobs/view/4418173698/;https://media.licdn.com/dms/image/v2/D4E0BAQHgznwIT2t3IA/company-logo_100_100/B4EZgUICjYGcAU-/0/1752684309117/4dfconnect_logo?e=1781136000&v=beta&t=3YV0Ckg9GPO176nDxnY_c_uqzHf8pODpliSdRCmhegQ;-;https://www.linkedin.com/company/4df-connect/about/;Inteligência Artificial;Geekhunter;4df connect;1.0;https://www.linkedin.com/jobs/view/4418173698/;https://www.linkedin.com/jobs/view/4418173698/;Hybrid;Inteligência Artificial, Mid;23/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
3;AB InBev;Especialista de Produto SAP CO;Campinas (SP);23/05 09:00;https://www.linkedin.com/jobs/view/4399302009/;https://media.licdn.com/dms/image/v2/C560BAQEZRSga0FreWA/company-logo_100_100/company-logo_100_100/0/1656631574816/ab_inbev_logo?e=1781136000&v=beta&t=tx5piSLn9U_B2_T1EdwtETOoOMtMv82ksmHjaJJUGS4;Advanced > Specialist;https://www.linkedin.com/company/ab-inbev/about/;-;Workday;ab inbev;1.0;https://www.linkedin.com/jobs/view/4399302009/;https://www.linkedin.com/jobs/view/4399302009/;On-site;Specialist, SAP;23/05/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
4;AB InBev;Especialista de Produto SAP FI;Campinas (SP);22/05 14:00;https://www.linkedin.com/jobs/view/4385490290/;https://media.licdn.com/dms/image/v2/C560BAQEZRSga0FreWA/company-logo_100_100/company-logo_100_100/0/1656631574816/ab_inbev_logo?e=1781136000&v=beta&t=tx5piSLn9U_B2_T1EdwtETOoOMtMv82ksmHjaJJUGS4;Advanced > Specialist;https://www.linkedin.com/company/ab-inbev/about/;-;Workday;ab inbev;1.0;https://www.linkedin.com/jobs/view/4385490290/;https://www.linkedin.com/jobs/view/4385490290/;On-site;Specialist, SAP;23/05/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
5;ADM;Sr. Data Engineer;São Paulo (SP);22/05 14:00;https://www.linkedin.com/jobs/view/4414358035/;https://media.licdn.com/dms/image/v2/C560BAQG0X_qChwy0vg/company-logo_100_100/company-logo_100_100/0/1656694101135/adm_logo?e=1781136000&v=beta&t=LizTlGTACWGth0w7WW5XpDGGRi9IczycsZq-0D7jkCE;Data & Ai > Data Engineering;https://www.linkedin.com/company/adm/about/;Dados e Analytics;sjobs.brassring.com;adm;1.0;https://www.linkedin.com/jobs/view/4414358035/;https://www.linkedin.com/jobs/view/4414358035/;Hybrid;Senior, Dados/Analytics, Engenharia Geral;23/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
6;AFA Advogados;Engenheiro de Inteligência Artificial;São Paulo (SP);22/05 18:00;https://www.linkedin.com/jobs/view/4418417731/;https://media.licdn.com/dms/image/v2/D4D0BAQH1Tba38JE_WQ/company-logo_100_100/B4DZxJTGRGJ8AQ-/0/1770756269484/afaadvogados_logo?e=1781136000&v=beta&t=AoctLRCIR5eYNZWQr6QE1kzD0JUBxvnooZeWz-761Dw;-;https://www.linkedin.com/company/afa-advogados/about/;Hardware e Eletrônicos;;afa advogados;1;https://www.linkedin.com/jobs/view/4418417731/;https://www.linkedin.com/jobs/view/4418417731/;Hybrid;Inteligência Artificial;23/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
7;ANDRITZ;Estágio em Desenvolvimento de Software (TI);Araraquara (SP);23/05 09:00;https://www.linkedin.com/jobs/view/4418487894/;https://media.licdn.com/dms/image/v2/C4D0BAQFaniq8UCGInQ/company-logo_100_100/company-logo_100_100/0/1631370408031/andritz_logo?e=1781136000&v=beta&t=GapPxabX3-kCOYaJPcuWz8kO1eGBCqdWO2KJNHSAzBg;-;https://www.linkedin.com/company/andritz/about/;Software e Serviços de TI;careers.andritz.com;andritz;3.0;https://www.linkedin.com/jobs/view/4418487894/;https://www.linkedin.com/jobs/view/4418487894/;On-site;Intern, TI/Tech;23/05/2026;Araraquara;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
8;ATECH – NEGÓCIOS EM TECNOLOGIAS S/A;Desenvolvedor sênior;SP;22/05 16:00;https://www.linkedin.com/jobs/view/4414342897/;https://media.licdn.com/dms/image/v2/D4D0BAQEEg8Mn58U4QA/company-logo_100_100/B4DZsNQx_xLYAU-/0/1765454062051/atech_grupoembraer_logo?e=1781136000&v=beta&t=xWHaXX8wVHeN8GEE_I86wxem3o72NI-KDedxhvx097Y;-;https://www.linkedin.com/company/atech-neg-cios-em-tecnologias-s-a/about/;Software e Serviços de TI;Gupy;atech – negócios em tecnologias s/a;1.0;https://www.linkedin.com/jobs/view/4414342897/;https://www.linkedin.com/jobs/view/4414342897/;On-site;Senior;23/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
9;ATECH – NEGÓCIOS EM TECNOLOGIAS S/A;2025-068/069/070 Desenvolvedor Sênior Fullstack (C++ e/ou JAVA);São Paulo (SP);23/05 05:00;https://www.linkedin.com/jobs/view/4418492152/;https://media.licdn.com/dms/image/v2/D4D0BAQEEg8Mn58U4QA/company-logo_100_100/B4DZsNQx_xLYAU-/0/1765454062051/atech_grupoembraer_logo?e=1781136000&v=beta&t=xWHaXX8wVHeN8GEE_I86wxem3o72NI-KDedxhvx097Y;-;https://www.linkedin.com/company/atech-neg-cios-em-tecnologias-s-a/about/;Software e Serviços de TI;Gupy;atech – negócios em tecnologias s/a;1.0;https://www.linkedin.com/jobs/view/4418492152/;https://www.linkedin.com/jobs/view/4418492152/;On-site;Senior, Full Stack;23/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
10;ATECH – NEGÓCIOS EM TECNOLOGIAS S/A;PROGRAMA DE ESTÁGIO ATECH!;São Paulo (SP);23/05 05:00;https://www.linkedin.com/jobs/view/4414910831/;https://media.licdn.com/dms/image/v2/D4D0BAQEEg8Mn58U4QA/company-logo_100_100/B4DZsNQx_xLYAU-/0/1765454062051/atech_grupoembraer_logo?e=1781136000&v=beta&t=xWHaXX8wVHeN8GEE_I86wxem3o72NI-KDedxhvx097Y;-;https://www.linkedin.com/company/atech-neg-cios-em-tecnologias-s-a/about/;Software e Serviços de TI;Gupy;atech – negócios em tecnologias s/a;1.0;https://www.linkedin.com/jobs/view/4414910831/;https://www.linkedin.com/jobs/view/4414910831/;Hybrid;Intern, TI/Tech;23/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
