Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent;Keywords
1;3AM IT Services;ARQUITETO CORPORATIVO;Brasil;18/05 22:00;https://www.linkedin.com/jobs/view/4416468046/;https://media.licdn.com/dms/image/v2/D4D0BAQFMqpfEio73BQ/company-logo_100_100/B4DZb0jJQMG8AU-/0/1747859576571/3am_it_services_logo?e=1780531200&v=beta&t=jHLae4IXmqmI3ylRrdSatTIQKWZHw-QdOiWmxIK7LBw;Architecture;https://www.linkedin.com/company/3am-it-services/about/;Software e Serviços de TI;LinkedIn (Easy Apply);3am it services;1.0;https://www.linkedin.com/jobs/view/4416468046/;https://www.linkedin.com/jobs/view/4416468046/;Remote;-;19/05/2026;;;;;Brasil;América do Sul;engenheiro tecnologia da informação
2;4DF Connect;Senior Quality Assurance Engineer (Contract - São Paulo);São Paulo (SP);18/05 21:00;https://www.linkedin.com/jobs/view/4416451451/;https://media.licdn.com/dms/image/v2/D4E0BAQHgznwIT2t3IA/company-logo_100_100/B4EZgUICjYGcAU-/0/1752684309117/4dfconnect_logo?e=1780531200&v=beta&t=2OV5tQqdhtMCdd6rdaLF12LQueryoti-1jA5yhvYSjI;Advanced > Information Technology;https://www.linkedin.com/company/4df-connect/about/;Software e Serviços de TI;Geekhunter;4df connect;1.0;https://www.linkedin.com/jobs/view/4416451451/;https://www.linkedin.com/jobs/view/4416451451/;Hybrid;Freelance/PJ, Senior, Engenharia Geral, Testes / QA;19/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
3;AI/R Everymind;Desenvolvedor Salesforce Sênior - Marketing Cloud;Brasil;18/05 17:00;https://www.linkedin.com/jobs/view/4415909482/;https://media.licdn.com/dms/image/v2/D4D0BAQHaE_fNTrzNwQ/company-logo_100_100/B4DZ2cQ8srJgAQ-/0/1776443182388/everymind_uol_logo?e=1780531200&v=beta&t=V8zdV04ymJbzmJ97wtXypZdHEsiIqgWrvpRxM3pNjhk;Specific > Cloud;https://www.linkedin.com/company/ai-r-everymind/about/;Inteligência Artificial;;ai/r everymind;1;https://www.linkedin.com/jobs/view/4415909482/;https://www.linkedin.com/jobs/view/4415909482/;Remote;Senior, Salesforce/CRM, Marketing/Mídia, Vendas / Comercial;19/05/2026;;;;;Brasil;América do Sul;engenheiro tecnologia da informação
4;AREENA;Senior Full Stack Engineer;Brasil;19/05 14:00;https://www.linkedin.com/jobs/view/4415929373/;https://media.licdn.com/dms/image/v2/D560BAQGKevZDjUrPFQ/company-logo_100_100/B56ZWKbEAOGQAQ-/0/1741784106702/areena_logo?e=1780531200&v=beta&t=zG4JjpfVWz8slT_r9g8j8wOFwGIM98MbllxOeuNkeVE;Advanced > Information Technology;https://www.linkedin.com/company/areena/about/;-;;areena;1;https://www.linkedin.com/jobs/view/4415929373/;https://www.linkedin.com/jobs/view/4415929373/;Remote;Senior, Full Stack, Engenharia Geral;19/05/2026;;;;;Brasil;América do Sul;engenheiro tecnologia da informação
5;Acclaim AI;Senior DevOps Engineer;São Paulo (SP);19/05 12:00;https://www.linkedin.com/jobs/view/4415907846/;https://media.licdn.com/dms/image/v2/D560BAQGXUSchD6bkTg/company-logo_100_100/B56Z1BE8qqGsAQ-/0/1774913309652/acclaim_ai_cx_logo?e=1780531200&v=beta&t=bRIjGUOhrrtY2nfAwZjSRSLLnW299IttQlL70qnu5Ls;Advanced > Information Technology;https://www.linkedin.com/company/acclaim-ai/about/;Inteligência Artificial;;acclaim ai;1;https://www.linkedin.com/jobs/view/4415907846/;https://www.linkedin.com/jobs/view/4415907846/;Remote;Senior, DevOps, Engenharia Geral;19/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
6;Agoda;Lead DevOps Engineer (Bangkok based, relocation provided);Belo Horizonte (MG);19/05 10:00;https://www.linkedin.com/jobs/view/4410075200/;https://media.licdn.com/dms/image/v2/D4D0BAQHnu249lVL3yA/company-logo_100_100/B4DZ09fn8fJQAU-/0/1774853194495/agoda_logo?e=1780531200&v=beta&t=DvlrAWv6zwHvFhX5EbJH3Mu-Aj03JnsvuUrSp4_-fZM;Middle > Manager;https://www.linkedin.com/company/agoda/about/;Software e Serviços de TI;Greenhouse;agoda;1.0;https://www.linkedin.com/jobs/view/4410075200/;https://www.linkedin.com/jobs/view/4410075200/;On-site;Mid, Liderança/Gerência, DevOps, Engenharia Geral;19/05/2026;Belo Horizonte;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
7;Agoda;Lead DevOps Engineer (SRE) (Bangkok based, relocation provided);Belo Horizonte (MG);19/05 10:00;https://www.linkedin.com/jobs/view/4410079180/;https://media.licdn.com/dms/image/v2/D4D0BAQHnu249lVL3yA/company-logo_100_100/B4DZ09fn8fJQAU-/0/1774853194495/agoda_logo?e=1780531200&v=beta&t=DvlrAWv6zwHvFhX5EbJH3Mu-Aj03JnsvuUrSp4_-fZM;Middle > Manager;https://www.linkedin.com/company/agoda/about/;Software e Serviços de TI;Greenhouse;agoda;1.0;https://www.linkedin.com/jobs/view/4410079180/;https://www.linkedin.com/jobs/view/4410079180/;On-site;Mid, Liderança/Gerência, DevOps, Engenharia Geral;19/05/2026;Belo Horizonte;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
8;Agoda;Lead Software Engineer, DevOps Domain (Bangkok based, relocation provided);Brasília (DF);19/05 10:00;https://www.linkedin.com/jobs/view/4410074231/;https://media.licdn.com/dms/image/v2/D4D0BAQHnu249lVL3yA/company-logo_100_100/B4DZ09fn8fJQAU-/0/1774853194495/agoda_logo?e=1780531200&v=beta&t=DvlrAWv6zwHvFhX5EbJH3Mu-Aj03JnsvuUrSp4_-fZM;Middle > Manager;https://www.linkedin.com/company/agoda/about/;Software e Serviços de TI;Greenhouse;agoda;1.0;https://www.linkedin.com/jobs/view/4410074231/;https://www.linkedin.com/jobs/view/4410074231/;On-site;Mid, Liderança/Gerência, DevOps, TI/Tech, Engenharia Geral;19/05/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul;engenheiro tecnologia da informação
9;Agoda;Lead Software Engineer, DevOps Platform (Bangkok based, relocation provided);Brasília (DF);19/05 10:00;https://www.linkedin.com/jobs/view/4410060483/;https://media.licdn.com/dms/image/v2/D4D0BAQHnu249lVL3yA/company-logo_100_100/B4DZ09fn8fJQAU-/0/1774853194495/agoda_logo?e=1780531200&v=beta&t=DvlrAWv6zwHvFhX5EbJH3Mu-Aj03JnsvuUrSp4_-fZM;Middle > Manager;https://www.linkedin.com/company/agoda/about/;Software e Serviços de TI;Greenhouse;agoda;1.0;https://www.linkedin.com/jobs/view/4410060483/;https://www.linkedin.com/jobs/view/4410060483/;On-site;Mid, Liderança/Gerência, DevOps, TI/Tech, Engenharia Geral;19/05/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul;engenheiro tecnologia da informação
10;Agoda;Principal Engineer, Back End (Data Engineer) (Bangkok based, Relocation provided);Brasília (DF);19/05 10:00;https://www.linkedin.com/jobs/view/4410058719/;https://media.licdn.com/dms/image/v2/D4D0BAQHnu249lVL3yA/company-logo_100_100/B4DZ09fn8fJQAU-/0/1774853194495/agoda_logo?e=1780531200&v=beta&t=DvlrAWv6zwHvFhX5EbJH3Mu-Aj03JnsvuUrSp4_-fZM;Advanced > Information Technology;https://www.linkedin.com/company/agoda/about/;Dados e Analytics;Greenhouse;agoda;1.0;https://www.linkedin.com/jobs/view/4410058719/;https://www.linkedin.com/jobs/view/4410058719/;On-site;Backend, Dados/Analytics, Engenharia Geral;19/05/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul;engenheiro tecnologia da informação
