Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;<LaFinteca>;Product Manager (Crypto);América Latina;1 day ago;https://www.linkedin.com/jobs/view/4405626945/;https://media.licdn.com/dms/image/v2/D4E0BAQEUB9QDV0TinQ/company-logo_100_100/company-logo_100_100/0/1693582703857?e=1778716800&v=beta&t=im5v58uIDSk0u9iungXVlrAAw_UsvJdoo07BBRgcxho;Produtos > Product Manager;https://www.linkedin.com/company/lafinteca/about/;Crypto;LinkedIn (Easy Apply);<lafinteca>;1.0;https://www.linkedin.com/jobs/view/4405626945/;https://www.linkedin.com/jobs/view/4405626945/;Remote;Liderança/Gerência, Product Owner/Product Manager;24/04/2026
2;AB InBev;Gerente de Produto I;Campinas (SP);1 day ago;https://www.linkedin.com/jobs/view/4403252302/;https://media.licdn.com/dms/image/v2/C560BAQEZRSga0FreWA/company-logo_100_100/company-logo_100_100/0/1656631574816/ab_inbev_logo?e=1778716800&v=beta&t=9-5T4SOkhFNuZxrMvUbBWbMvI_q8QF7XXdVF6z8ruvk;Middle > Manager;https://www.linkedin.com/company/ab-inbev/about/;Marketing;Workday;ab inbev;1.0;https://www.linkedin.com/jobs/view/4403252302/;https://wd1.myworkdaysite.com/recruiting/abinbev/GHQ/job/Gl-Ibs-DO/Gerente-de-Produto-I_30097138?source=LinkedIn;On-site;Mid, Liderança/Gerência;24/04/2026
3;AUTOMOB;GERENTE DE PRODUTOS -  Nicho Automotivo;São Paulo (SP);8 hours ago;https://www.linkedin.com/jobs/view/4403722585/;https://media.licdn.com/dms/image/v2/C4D0BAQHdGjL_kaGreA/company-logo_100_100/company-logo_100_100/0/1656330832260/automobbr_logo?e=1778716800&v=beta&t=3extH4eX6tsJbtL634coYpbzQkBQzmnwxdsOMovsshA;Middle > Manager;https://www.linkedin.com/company/automob/about/;IT;Gupy;automob;1.0;https://www.linkedin.com/jobs/view/4403722585/;https://automob.gupy.io/job/eyJqb2JJZCI6MTExODk2ODEsInNvdXJjZSI6ImxpbmtlZGluIn0=?jobBoardSource=linkedin;On-site;Mid, Liderança/Gerência;24/04/2026
4;ArcTouch;Senior Product Manager with Project Expertise - Talent Pool;Florianópolis (SC);1 day ago;https://www.linkedin.com/jobs/view/4404780677/;https://media.licdn.com/dms/image/v2/D560BAQHeyW6JWckctw/company-logo_100_100/company-logo_100_100/0/1702488613057/arctouch_logo?e=1778716800&v=beta&t=HIu_j4qD2wFkv4Rk6P8KMhQqG1lO978hhtB62JxPHlM;Produtos > Product Manager;https://www.linkedin.com/company/arctouch/about/;IT;arctouch.com;arctouch;3.0;https://www.linkedin.com/jobs/view/4404780677/;https://arctouch.com/careers/job-description?gh_jid=7819129&gh_src=5jsjgfza1us;Remote;Banco de Talentos, Specialist, Senior, Liderança/Gerência, Product Owner/Product Manager;24/04/2026
5;Bees Brasil;Product Manager | Cart & Checkout;Brasil;1 day ago;https://www.linkedin.com/jobs/view/4405641998/;https://media.licdn.com/dms/image/v2/C4D0BAQHm1ULYG7xpsw/company-logo_100_100/company-logo_100_100/0/1630576352748/beesbrasil_logo?e=1778716800&v=beta&t=qy9NfBpR_kuISyq4rJkFAO43Ubl6cglS10GYwo8NXns;Produtos > Product Manager;https://www.linkedin.com/company/bees-brasil/about/;Marketing;Greenhouse;bees brasil;1.0;https://www.linkedin.com/jobs/view/4405641998/;https://job-boards.greenhouse.io/bees/jobs/8372958002;Remote;Liderança/Gerência, Product Owner/Product Manager;24/04/2026
6;Bees Brasil;Product Manager | Frontline;Brasil;1 day ago;https://www.linkedin.com/jobs/view/4405660200/;https://media.licdn.com/dms/image/v2/C4D0BAQHm1ULYG7xpsw/company-logo_100_100/company-logo_100_100/0/1630576352748/beesbrasil_logo?e=1778716800&v=beta&t=qy9NfBpR_kuISyq4rJkFAO43Ubl6cglS10GYwo8NXns;Produtos > Product Manager;https://www.linkedin.com/company/bees-brasil/about/;Marketing;Greenhouse;bees brasil;1.0;https://www.linkedin.com/jobs/view/4405660200/;https://job-boards.greenhouse.io/bees/jobs/8135683002;Remote;Liderança/Gerência, Product Owner/Product Manager;24/04/2026
7;Bees Brasil;Product Manager | Pricing & Order Platform;Brasil;1 day ago;https://www.linkedin.com/jobs/view/4405659299/;https://media.licdn.com/dms/image/v2/C4D0BAQHm1ULYG7xpsw/company-logo_100_100/company-logo_100_100/0/1630576352748/beesbrasil_logo?e=1778716800&v=beta&t=qy9NfBpR_kuISyq4rJkFAO43Ubl6cglS10GYwo8NXns;Produtos > Product Manager;https://www.linkedin.com/company/bees-brasil/about/;Marketing;Greenhouse;bees brasil;1.0;https://www.linkedin.com/jobs/view/4405659299/;https://job-boards.greenhouse.io/bees/jobs/8497147002;Remote;Liderança/Gerência, Product Owner/Product Manager;24/04/2026
8;Bees Brasil;Product Manager | Professional Services;Brasil;1 day ago;https://www.linkedin.com/jobs/view/4405665194/;https://media.licdn.com/dms/image/v2/C4D0BAQHm1ULYG7xpsw/company-logo_100_100/company-logo_100_100/0/1630576352748/beesbrasil_logo?e=1778716800&v=beta&t=qy9NfBpR_kuISyq4rJkFAO43Ubl6cglS10GYwo8NXns;Produtos > Product Manager;https://www.linkedin.com/company/bees-brasil/about/;Marketing;Greenhouse;bees brasil;1.0;https://www.linkedin.com/jobs/view/4405665194/;https://job-boards.greenhouse.io/bees/jobs/8512590002;Remote;Liderança/Gerência, Product Owner/Product Manager;24/04/2026
9;Bees Brasil;Product Manager | Seller Tools;Brasil;1 day ago;https://www.linkedin.com/jobs/view/4405658447/;https://media.licdn.com/dms/image/v2/C4D0BAQHm1ULYG7xpsw/company-logo_100_100/company-logo_100_100/0/1630576352748/beesbrasil_logo?e=1778716800&v=beta&t=qy9NfBpR_kuISyq4rJkFAO43Ubl6cglS10GYwo8NXns;Produtos > Product Manager;https://www.linkedin.com/company/bees-brasil/about/;Marketing;Greenhouse;bees brasil;1.0;https://www.linkedin.com/jobs/view/4405658447/;https://job-boards.greenhouse.io/bees/jobs/8321754002;Remote;Liderança/Gerência, Product Owner/Product Manager;24/04/2026
10;Bitso;Product Manager (Customers’ Security);América Latina;1 day ago;https://www.linkedin.com/jobs/view/4383839945/;https://media.licdn.com/dms/image/v2/D4E0BAQHDO_gpxOxaXA/company-logo_100_100/B4EZnJfBVaGoAQ-/0/1760021977059/bitso_logo?e=1778716800&v=beta&t=ANT_F_md9lcXkpsfIHc5aSR-THMkxugtvIcq7GF9YTw;Produtos > Product Manager;https://www.linkedin.com/company/bitso/about/;IT;bitso.com;bitso;2.0;https://www.linkedin.com/jobs/view/4383839945/;https://bitso.com/jobs/7660177003?gh_jid=7660177003;Remote;Liderança/Gerência, Cybersecurity, Product Owner/Product Manager;24/04/2026
11;Bitso;Product Manager (IAM);América Latina;1 day ago;https://www.linkedin.com/jobs/view/4383850510/;https://media.licdn.com/dms/image/v2/D4E0BAQHDO_gpxOxaXA/company-logo_100_100/B4EZnJfBVaGoAQ-/0/1760021977059/bitso_logo?e=1778716800&v=beta&t=ANT_F_md9lcXkpsfIHc5aSR-THMkxugtvIcq7GF9YTw;Produtos > Product Manager;https://www.linkedin.com/company/bitso/about/;IT;bitso.com;bitso;2.0;https://www.linkedin.com/jobs/view/4383850510/;https://bitso.com/jobs/7660197003?gh_jid=7660197003;Remote;Liderança/Gerência, Product Owner/Product Manager;24/04/2026
12;Bitso;Senior Product Manager (Core Experience);América Latina;1 day ago;https://www.linkedin.com/jobs/view/4384109652/;https://media.licdn.com/dms/image/v2/D4E0BAQHDO_gpxOxaXA/company-logo_100_100/B4EZnJfBVaGoAQ-/0/1760021977059/bitso_logo?e=1778716800&v=beta&t=ANT_F_md9lcXkpsfIHc5aSR-THMkxugtvIcq7GF9YTw;Produtos > Product Manager;https://www.linkedin.com/company/bitso/about/;IT;bitso.com;bitso;2.0;https://www.linkedin.com/jobs/view/4384109652/;https://bitso.com/jobs/7660915003?gh_jid=7660915003;Remote;Senior, Liderança/Gerência, Product Owner/Product Manager;24/04/2026
13;CTdoAgro;Gerente de produtos;Foz do Iguaçu (PR);6 hours ago;https://www.linkedin.com/jobs/view/4406399575/;https://media.licdn.com/dms/image/v2/C4E0BAQFcIrSoT3jAZg/company-logo_100_100/company-logo_100_100/0/1636483734677/ctdoagro_logo?e=1778716800&v=beta&t=yeiTvHZ6MDs5hP-j_MebAuVhZNSrTTkQFUypvtxQ6zA;Middle > Manager;https://www.linkedin.com/company/ctdoagro/about/;Agribusiness;Compleo;ctdoagro;1.0;https://www.linkedin.com/jobs/view/4406399575/;https://ctdoagro.compleo.com.br/Visualizar/214271;On-site;Mid, Liderança/Gerência;24/04/2026
14;Clicksign;Product Leader (Value Stream Leader);Brasil;20 hours ago;https://www.linkedin.com/jobs/view/4403271452/;https://media.licdn.com/dms/image/v2/D4D0BAQGCOKCVbsDMlA/company-logo_100_100/company-logo_100_100/0/1713842395508/clicksign_logo?e=1778716800&v=beta&t=yjHEYxfY_MsCcZpzqNqEcHmjRuzJt2Tkd0JdePMHBVc;Middle > Manager;https://www.linkedin.com/company/clicksign/about/;Marketing;Gupy;clicksign;1.0;https://www.linkedin.com/jobs/view/4403271452/;https://clicksign.gupy.io/job/eyJqb2JJZCI6MTExODMwOTAsInNvdXJjZSI6ImxpbmtlZGluIn0=?jobBoardSource=linkedin;Remote;Mid, Liderança/Gerência;24/04/2026
15;DIA Brasil;GERENTE DE PRODUTO - MARCA PRÓPRIA;São Paulo (SP);1 day ago;https://www.linkedin.com/jobs/view/4403213443/;https://media.licdn.com/dms/image/v2/C4E0BAQFh8du8pi4-Wg/company-logo_100_100/company-logo_100_100/0/1660162236853/dia_brasil_logo?e=1778716800&v=beta&t=JL8fYiKqcx-zHlyMHOnGGTHQmnQ6DhWk1lSbMoNBb3c;Middle > Manager;https://www.linkedin.com/company/dia-brasil/about/;Marketing;Infojobs;dia brasil;1.0;https://www.linkedin.com/jobs/view/4403213443/;https://diabrasilcn-mat.pandape.infojobs.com.br/Detail?id=3233946;On-site;Mid, Liderança/Gerência;24/04/2026
16;DIGISYSTEM - IT Solutions;APOIO AO PO JÚNIOR;Brasília (DF);18 hours ago;https://www.linkedin.com/jobs/view/4406114280/;https://media.licdn.com/dms/image/v2/D4D0BAQEryLjOgxwxdw/company-logo_100_100/B4DZWKqZq9G8AQ-/0/1741788126994/digisystem_logo?e=1778716800&v=beta&t=6iRyfJg4a1cHXDpU_fVWa6pb_ljEBuyI3-jC8_uca1A;-;https://www.linkedin.com/company/digisystem-it-solutions/about/;IT;Recrutei;digisystem - it solutions;1.0;https://www.linkedin.com/jobs/view/4406114280/;https://jobs.recrutei.com.br/digisystem/vacancy/141584-apoio-ao-po-junior?utm_source=linkedin-jobboard;Hybrid;Junior, Product Owner/Product Manager;24/04/2026
17;Davene;Analista de Desenvolvimento de Embalagens Sênior;São Paulo (SP);1 day ago;https://www.linkedin.com/jobs/view/4402880478/;https://media.licdn.com/dms/image/v2/D4D0BAQEXij75OyoD1g/company-logo_100_100/company-logo_100_100/0/1711375073399/davene_logo?e=1778716800&v=beta&t=UuGJIdc-yzc74sUIh6kB2EyFe78h2cFkXm0KkDICo4I;Advanced > Specialist;https://www.linkedin.com/company/davene/about/;IT;Gupy;davene;1.0;https://www.linkedin.com/jobs/view/4402880478/;https://davene.gupy.io/job/eyJqb2JJZCI6MTExNzU4NzcsInNvdXJjZSI6ImxpbmtlZGluIn0=?jobBoardSource=linkedin;On-site;Senior, Associate;24/04/2026
18;Deel;Senior Product Manager - People List & Org Chart;América Latina;Viewed;https://www.linkedin.com/jobs/view/4403786844/;https://media.licdn.com/dms/image/v2/D560BAQEFXl5JlEEmUg/company-logo_100_100/B56ZikukJoHMAU-/0/1755110327795/deel_logo?e=1778716800&v=beta&t=OuF9ulzk-mnJGd3Z6jzUauZAowrYUtL4X-c899Xc9ls;Produtos > Product Manager;https://www.linkedin.com/company/deel/about/;Marketing;www.deel.com;deel;1.0;https://www.linkedin.com/jobs/view/4403786844/;https://www.deel.com/careers/position/?ashby_jid=269e6266-838b-4cb5-85f9-290549e885e0&utm_source=Ob3JNy9ZxM;Remote;Senior, Liderança/Gerência, Product Owner/Product Manager;24/04/2026
19;EBANX;Product Manager: Payments Mandates & Regulatory Readiness;Curitiba (PR);Viewed;https://www.linkedin.com/jobs/view/4366991022/;https://media.licdn.com/dms/image/v2/C4D0BAQGeN3tRIIskUg/company-logo_100_100/company-logo_100_100/0/1646913266040/ebanx_logo?e=1778716800&v=beta&t=WdKeoZX5golzJ0l9kxgfOOvuTtxVW9i688ePKtMpLlA;Produtos > Product Manager;https://www.linkedin.com/company/ebanx/about/;Marketing;Greenhouse;ebanx;1.0;https://www.linkedin.com/jobs/view/4366991022/;https://job-boards.greenhouse.io/ebanx/jobs/7546405003?gh_src=pk1iuwm53us&source=LinkedIn;On-site;Liderança/Gerência, Product Owner/Product Manager;24/04/2026
20;Elo;Especialista de Produtos | Canais;Barueri (SP);Easy Apply;https://www.linkedin.com/jobs/view/4396051680/;https://media.licdn.com/dms/image/v2/D4D0BAQHgpdHmSMtDZA/company-logo_100_100/company-logo_100_100/0/1716382942425/carto_elo_logo?e=1778716800&v=beta&t=IRzMAwQCkAd8iMYGmEKNhLX6P1pj2zkjTKXVnp8gisQ;Advanced > Specialist;https://www.linkedin.com/company/elo/about/;Marketing;LinkedIn (Easy Apply);elo;1.0;https://www.linkedin.com/jobs/view/4396051680/;https://www.linkedin.com/jobs/view/4396051680/;Remote;Specialist;24/04/2026
21;FTD Educação;Pessoa Analista de Produtos Digitais Pleno - Product Owner;São Paulo (SP);20 hours ago;https://www.linkedin.com/jobs/view/4403266472/;https://media.licdn.com/dms/image/v2/C4D0BAQG1HrnEpQ1_3Q/company-logo_100_100/company-logo_100_100/0/1651593115200/ftdeducacao_logo?e=1778716800&v=beta&t=zPwk6x2XO77fZ4fGtQQ-8AugbP6DpgyqlsBGl_2PtY8;Produtos > Product Manager;https://www.linkedin.com/company/ftd-educa-o/about/;Education;Gupy;ftd educação;1.0;https://www.linkedin.com/jobs/view/4403266472/;https://vempraftd.gupy.io/job/eyJqb2JJZCI6MTEwNzQ2MzksInNvdXJjZSI6ImxpbmtlZGluIn0=?jobBoardSource=linkedin;Hybrid;PCD / Afirmativa, Mid, Associate, Product Owner/Product Manager;24/04/2026
22;GM Financial;Product Manager;São Paulo (SP);Viewed;https://www.linkedin.com/jobs/view/4396076251/;https://media.licdn.com/dms/image/v2/C560BAQH0ETI-qQiKLw/company-logo_100_100/company-logo_100_100/0/1630642426577/gm_financial_logo?e=1778716800&v=beta&t=DcKY_5ieMThfywnOWSkcEXOFCxqPSNMnbpZUl8cL7OI;Produtos > Product Manager;https://www.linkedin.com/company/gm-financial/about/;Marketing;Oracle;gm financial;1.0;https://www.linkedin.com/jobs/view/4396076251/;https://fa-exvu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1003/job/2064?utm_medium=jobboard&utm_source=linkedin;Hybrid;Liderança/Gerência, Product Owner/Product Manager;24/04/2026
23;Galderma;Gerente de Produto Jr;São Paulo (SP);Viewed;https://www.linkedin.com/jobs/view/4397157792/;https://media.licdn.com/dms/image/v2/D4E0BAQGL3kh_LPxYFA/company-logo_100_100/company-logo_100_100/0/1692632436457/galderma__logo?e=1778716800&v=beta&t=Ub-p8I1IexTk6tEUcDpBWLlEDU6UEGqbS3MbBH26rvU;Middle > Manager;https://www.linkedin.com/company/galderma/about/;Marketing;Workday;galderma;1.0;https://www.linkedin.com/jobs/view/4397157792/;https://galderma.wd3.myworkdayjobs.com/External/job/So-Paulo/Gerente-de-Produto-Jr_JR018286-2?source=LinkedIn;Remote;Mid, Junior, Liderança/Gerência;24/04/2026
24;Hiperbanco;Product Manager & Owner;Grande Salvador;1 day ago;https://www.linkedin.com/jobs/view/4403240647/;https://media.licdn.com/dms/image/v2/D4D0BAQFtCQIaisxz9g/company-logo_100_100/company-logo_100_100/0/1683980091794?e=1778716800&v=beta&t=6VQmGGVqx8WZxJsMftPzMZAkuIDJbK5vJA2ivoYo_PU;Produtos > Product Manager;https://www.linkedin.com/company/hiperbanco/about/;Finance;LinkedIn (Easy Apply);hiperbanco;1.0;https://www.linkedin.com/jobs/view/4403240647/;https://www.linkedin.com/jobs/view/4403240647/;Hybrid;Liderança/Gerência, Product Owner/Product Manager;24/04/2026
25;Hire Hangar;Technical Product Manager;América Latina;1 day ago;https://www.linkedin.com/jobs/view/4404777831/;https://media.licdn.com/dms/image/v2/D4E0BAQFTQKFmIxhc3g/company-logo_100_100/B4EZsOnHc.HUAU-/0/1765476694170/growthtroops_logo?e=1778716800&v=beta&t=lFSn-gSIg5Q4mGY4tf7Xf_5_2P8UU4he-xH3_6n5jH4;Produtos > Product Manager;https://www.linkedin.com/company/hire-hangar/about/;IT;jobs.ashbyhq.com;hire hangar;1.0;https://www.linkedin.com/jobs/view/4404777831/;https://jobs.ashbyhq.com/hirehangar/9c649bc8-fed8-45d1-836d-71b7bd20c5cb;Remote;Liderança/Gerência, TI/Tech, Product Owner/Product Manager;24/04/2026
26;Hotmart;Associate Product Manager;São Paulo (SP);Viewed;https://www.linkedin.com/jobs/view/4397063295/;https://media.licdn.com/dms/image/v2/D4D0BAQG9AjmUNc5lgg/company-logo_100_100/B4DZY515wsGwAY-/0/1744727154307/hotmart_logo?e=1778716800&v=beta&t=c_gIkynIZrE04FzvrqJxkJaahIFDYmlTVpSf-O_RP0w;Produtos > Product Manager;https://www.linkedin.com/company/hotmart/about/;Marketing;Greenhouse;hotmart;5.0;https://www.linkedin.com/jobs/view/4397063295/;https://job-boards.eu.greenhouse.io/hotmartcareersbr/jobs/4825245101?gh_src=z13f5zt2teu;Hybrid;Associate, Liderança/Gerência, Product Owner/Product Manager;24/04/2026
27;Itaú Unibanco;ANALISTA DE PRODUTOS SR | SEGUROS;São Paulo (SP);Viewed;https://www.linkedin.com/jobs/view/4397186221/;https://media.licdn.com/dms/image/v2/D4D0BAQGmyPiGIU-69w/company-logo_100_100/B4DZZFc2k4GgAQ-/0/1744921914031/itau_logo?e=1778716800&v=beta&t=M2VTqXNqFCW3bBgEwYyiBm0Wnl6gMAPg4RWma6e-kUI;Advanced > Specialist;https://www.linkedin.com/company/ita-unibanco/about/;Finance;carreiras.itau.com.br;itaú unibanco;5.0;https://www.linkedin.com/jobs/view/4397186221/;https://carreiras.itau.com.br/vaga/sao-paulo/analista-de-produtos-sr-seguros/35299/93493586720;On-site;Senior, Associate;24/04/2026
28;"Iterative;";Product Manager;São Paulo (SP);4 hours ago;https://www.linkedin.com/jobs/view/4403760189/;https://media.licdn.com/dms/image/v2/C560BAQGyFf6y1-t0Vw/company-logo_100_100/company-logo_100_100/0/1630661393251/iterative__logo?e=1778716800&v=beta&t=EhT5YScjafIzT0cAnoRzJ0WupGSjslNLwJALmePFUV4;Produtos > Product Manager;https://www.linkedin.com/company/iterative/about/;IT;LinkedIn (Easy Apply);"iterative;";1.0;https://www.linkedin.com/jobs/view/4403760189/;https://www.linkedin.com/jobs/view/4403760189/;Hybrid;Liderança/Gerência, Product Owner/Product Manager;24/04/2026
29;Klabin;Programador Producao I;Grande Manaus;18 hours ago;https://www.linkedin.com/jobs/view/4406103481/;https://media.licdn.com/dms/image/v2/D4D0BAQHnQh33Rfisjw/company-logo_100_100/B4DZZN7gxcHwAQ-/0/1745064169141/klabin_logo?e=1778716800&v=beta&t=H2Jkeo4raLnz2-pn0vXyHU-rFAkVUdDnDBNLGPstcYo;-;https://www.linkedin.com/company/klabin/about/;Marketing;carreiras.klabin.com.br;klabin;1.0;https://www.linkedin.com/jobs/view/4406103481/;https://carreiras.klabin.com.br/job/Manaus-Unidade-II-Programador-Producao-I-SP-69007-002/1385070400/;On-site;-;24/04/2026
