Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent;Keywords
1;AB InBev;Associate Product Manager;Campinas (SP);26/05 09:00;https://www.linkedin.com/jobs/view/4408100340/;https://media.licdn.com/dms/image/v2/C560BAQEZRSga0FreWA/company-logo_100_100/company-logo_100_100/0/1656631574816/ab_inbev_logo?e=1781136000&v=beta&t=tx5piSLn9U_B2_T1EdwtETOoOMtMv82ksmHjaJJUGS4;Produtos > Product Manager;https://www.linkedin.com/company/ab-inbev/about/;-;Workday;ab inbev;1.0;https://www.linkedin.com/jobs/view/4408100340/;https://www.linkedin.com/jobs/view/4408100340/;On-site;Associate, Liderança/Gerência, Product Owner/Product Manager;26/05/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
2;Agibank;Gerente de Produtos - Meios de Pagamentos - Campinas/SP;Campinas (SP);25/05 16:00;https://www.linkedin.com/jobs/view/4411667483/;https://media.licdn.com/dms/image/v2/C560BAQEjCCKGMhA9Yw/company-logo_100_100/company-logo_100_100/0/1630377372677/agibank_logo?e=1781136000&v=beta&t=caba07WDBK5QzAMpJvmxXg6liaDjBUOOa_TD8MnGe5E;Middle > Manager;https://www.linkedin.com/company/agibank/about/;Serviços Financeiros;Greenhouse;agibank;2.0;https://www.linkedin.com/jobs/view/4411667483/;https://www.linkedin.com/jobs/view/4411667483/;On-site;Mid, Liderança/Gerência;26/05/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
3;Alice;Estagiário(a) de Produto — Squad Shield;São Paulo (SP);25/05 16:00;https://www.linkedin.com/jobs/view/4417890773/;https://media.licdn.com/dms/image/v2/D4D0BAQFG8_5Sdw0Qdw/company-logo_100_100/B4DZeEVzqTHMAY-/0/1750272000159/alice_logo?e=1781136000&v=beta&t=lB0xFu4bNiL9cFZy_9LOvCpKxHWvhkTkDyww2s-PQt8;-;https://www.linkedin.com/company/alice/about/;-;;alice;1;https://www.linkedin.com/jobs/view/4417890773/;https://www.linkedin.com/jobs/view/4417890773/;Hybrid;Intern, Squad Leader;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
4;BMP;Product Ops Manager – Monitoramento e Qualidade Regulatória;São Paulo (SP);25/05 22:00;https://www.linkedin.com/jobs/view/4419119246/;https://media.licdn.com/dms/image/v2/D4D0BAQFwjalAJyUKkA/company-logo_100_100/company-logo_100_100/0/1706894807435/bmp_money_plus_logo?e=1781136000&v=beta&t=xhjzG5goOBZJwBUGp0lqpoHeN5PJ1Rx_yfeOf8-VVok;Middle > Manager;https://www.linkedin.com/company/bmp/about/;Software e Serviços de TI;Solidês;bmp;1.0;https://www.linkedin.com/jobs/view/4419119246/;https://www.linkedin.com/jobs/view/4419119246/;On-site;Liderança/Gerência;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
5;BTG Pactual;Especialista BTG Empresas | Produtos BTG Pay Adquirência;São Paulo (SP);26/05 06:00;https://www.linkedin.com/jobs/view/4401371142/;https://media.licdn.com/dms/image/v2/C4E0BAQE0wyub1rswiA/company-logo_100_100/company-logo_100_100/0/1654720569889/btgpactual_logo?e=1781136000&v=beta&t=vk7FbMtLU4vHdf56K5e8eUEQwXriP2aHkIxv8x6wsFU;Advanced > Specialist;https://www.linkedin.com/company/btg-pactual/about/;-;carreiras.btgpactual.com;btg pactual;4.0;https://www.linkedin.com/jobs/view/4401371142/;https://www.linkedin.com/jobs/view/4401371142/;On-site;Specialist;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
6;Banco Bradesco;Analista Produtos SR;Osasco (SP);26/05 14:00;https://www.linkedin.com/jobs/view/4419462380/;https://media.licdn.com/dms/image/v2/C4E0BAQEXB9xussWsHQ/company-logo_100_100/company-logo_100_100/0/1680038081185/bradesco_logo?e=1781136000&v=beta&t=oC304y6mbqGtB77PIgSZO6cqioGgDeaC69L9OA5IkFk;Advanced > Specialist;https://www.linkedin.com/company/banco-bradesco/about/;Serviços Financeiros;bradesco.csod.com;banco bradesco;4.0;https://www.linkedin.com/jobs/view/4419462380/;https://www.linkedin.com/jobs/view/4419462380/;Hybrid;Senior, Associate;26/05/2026;Osasco;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
7;Banco Sofisa S/A;Coordenador de Produtos (PRODUCT OWNER);São Paulo (SP);26/05 14:00;https://www.linkedin.com/jobs/view/4419471034/;https://media.licdn.com/dms/image/v2/D4D0BAQE93aYPQXXQZg/company-logo_100_100/B4DZuPREumKAAQ-/0/1767635176857/banco_sofisa_sa_logo?e=1781136000&v=beta&t=uhLPhtG4E6_WQop__MbhnK9j95DAYHgXhfHKqMx3k9c;Produtos > Product Manager;https://www.linkedin.com/company/banco-sofisa-s-a/about/;Serviços Financeiros;;banco sofisa s/a;1;https://www.linkedin.com/jobs/view/4419471034/;https://www.linkedin.com/jobs/view/4419471034/;On-site;Mid, Liderança/Gerência, Product Owner/Product Manager;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
8;Bees Brasil;Product Manager | Frontline;Brasil;25/05 16:00;https://www.linkedin.com/jobs/view/4417888135/;https://media.licdn.com/dms/image/v2/C4D0BAQHm1ULYG7xpsw/company-logo_100_100/company-logo_100_100/0/1630576352748/beesbrasil_logo?e=1781136000&v=beta&t=UqVK4fYzYlbRhb3Ug34vJpVH-b4LsQFZOnEIeRVQ31E;Produtos > Product Manager;https://www.linkedin.com/company/bees-brasil/about/;-;Greenhouse;bees brasil;1.0;https://www.linkedin.com/jobs/view/4417888135/;https://www.linkedin.com/jobs/view/4417888135/;Remote;Liderança/Gerência, Product Owner/Product Manager;26/05/2026;;;;;Brasil;América do Sul;gerente produtos
9;Bees Brasil;Product Manager | Professional Services;Brasil;25/05 16:00;https://www.linkedin.com/jobs/view/4417899083/;https://media.licdn.com/dms/image/v2/C4D0BAQHm1ULYG7xpsw/company-logo_100_100/company-logo_100_100/0/1630576352748/beesbrasil_logo?e=1781136000&v=beta&t=UqVK4fYzYlbRhb3Ug34vJpVH-b4LsQFZOnEIeRVQ31E;Produtos > Product Manager;https://www.linkedin.com/company/bees-brasil/about/;-;Greenhouse;bees brasil;1.0;https://www.linkedin.com/jobs/view/4417899083/;https://www.linkedin.com/jobs/view/4417899083/;Remote;Liderança/Gerência, Product Owner/Product Manager;26/05/2026;;;;;Brasil;América do Sul;gerente produtos
10;Bees Brasil;Data Product Manager | Computer Vision & Machine Learning;São Paulo (SP);25/05 16:00;https://www.linkedin.com/jobs/view/4417885289/;https://media.licdn.com/dms/image/v2/C4D0BAQHm1ULYG7xpsw/company-logo_100_100/company-logo_100_100/0/1630576352748/beesbrasil_logo?e=1781136000&v=beta&t=UqVK4fYzYlbRhb3Ug34vJpVH-b4LsQFZOnEIeRVQ31E;Produtos > Data Product Manager;https://www.linkedin.com/company/bees-brasil/about/;Dados e Analytics;Greenhouse;bees brasil;1.0;https://www.linkedin.com/jobs/view/4417885289/;https://www.linkedin.com/jobs/view/4417885289/;Hybrid;Machine Learning, Liderança/Gerência, Product Owner/Product Manager, Dados/Analytics;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
