Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent;Keywords
1;4DF Connect;Bling | Especialista em Infraestrutura com MySQL | Remoto;Brasil;07/05 14:00;https://www.linkedin.com/jobs/view/4414502385/;https://media.licdn.com/dms/image/v2/D4E0BAQHgznwIT2t3IA/company-logo_100_100/B4EZgUICjYGcAU-/0/1752684309117/4dfconnect_logo?e=1781136000&v=beta&t=3YV0Ckg9GPO176nDxnY_c_uqzHf8pODpliSdRCmhegQ;Advanced > Specialist;https://www.linkedin.com/company/4df-connect/about/;Infraestrutura;Geekhunter;4df connect;1.0;https://www.linkedin.com/jobs/view/4414502385/;https://www.linkedin.com/jobs/view/4414502385/;Remote;Specialist, Infraestrutura/Redes;21/05/2026;;;;;Brasil;América do Sul;administrador banco de dados
2;ABC Fitness;Lead IT Database Administrator;Brasil;21/05 13:00;https://www.linkedin.com/jobs/view/4407334199/;https://media.licdn.com/dms/image/v2/C4E0BAQE5gp01PpXu5Q/company-logo_100_100/company-logo_100_100/0/1679312863907/abc_fitness_logo?e=1781136000&v=beta&t=7jDyd1s3gAkFpI_fLbXkMDvYDQIMmKfFGNoTxW44q4Q;Middle > Manager;https://www.linkedin.com/company/abc-fitness/about/;Bem-estar e Fitness;;abc fitness;1;https://www.linkedin.com/jobs/view/4407334199/;https://www.linkedin.com/jobs/view/4407334199/;Remote;Mid, Liderança/Gerência;21/05/2026;;;;;Brasil;América do Sul;administrador banco de dados
3;Accenture Brasil;Administrador(a) de Banco de Dados Oracle (Oracle DBA);Grande Recife (PE);07/05 14:00;https://www.linkedin.com/jobs/view/4409676307/;https://media.licdn.com/dms/image/v2/D4D0BAQFxYk90aqWMqA/company-logo_100_100/company-logo_100_100/0/1727873248436/accenturebrasil_logo?e=1781136000&v=beta&t=ZzIfjGrFDZMf19vQ7pPQ-7RM1ALw2Z1GwGRKvJyq3wU;-;https://www.linkedin.com/company/accenture-brasil/about/;Dados e Analytics;www.accenture.com;accenture brasil;4.0;https://www.linkedin.com/jobs/view/4409676307/;https://www.linkedin.com/jobs/view/4409676307/;Hybrid;Dados/Analytics;21/05/2026;;Pernambuco;PE;Região Nordeste;Brasil;América do Sul;administrador banco de dados
4;Aubay Portugal;Senior Teradata Consultant - Relocation to Portugal;SP;20/05 14:00;https://www.linkedin.com/jobs/view/4415345942/;https://media.licdn.com/dms/image/v2/D4D0BAQFSexdvK2mWhw/company-logo_100_100/company-logo_100_100/0/1736250958915/aubay_portugal_logo?e=1781136000&v=beta&t=hWQYXPicm058sPfoRBfm4wTNXygCrOZnFfstbqlijaI;Advanced > Specialist;https://www.linkedin.com/company/aubay-portugal/about/;Dados e Analytics;;aubay portugal;1.0;https://www.linkedin.com/jobs/view/4415345942/;https://www.linkedin.com/jobs/view/4415345942/;Hybrid;Senior, Consultor;21/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;administrador banco de dados
5;BTG Pactual;Database Reliability Engineer pleno | IT Infrastructure;Rio de Janeiro (RJ);07/05 14:00;https://www.linkedin.com/jobs/view/4360794856/;https://media.licdn.com/dms/image/v2/C4E0BAQE0wyub1rswiA/company-logo_100_100/company-logo_100_100/0/1654720569889/btgpactual_logo?e=1781136000&v=beta&t=vk7FbMtLU4vHdf56K5e8eUEQwXriP2aHkIxv8x6wsFU;Advanced > Information Technology;https://www.linkedin.com/company/btg-pactual/about/;Dados e Analytics;carreiras.btgpactual.com;btg pactual;4.0;https://www.linkedin.com/jobs/view/4360794856/;https://www.linkedin.com/jobs/view/4360794856/;Hybrid;Mid, DevOps, Engenharia Geral;21/05/2026;Rio de Janeiro;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul;administrador banco de dados
6;BTG Pactual;Database Reliability Engineer | IT Infrastructure;São Paulo (SP);20/05 14:00;https://www.linkedin.com/jobs/view/4349316199/;https://media.licdn.com/dms/image/v2/C4E0BAQE0wyub1rswiA/company-logo_100_100/company-logo_100_100/0/1654720569889/btgpactual_logo?e=1781136000&v=beta&t=vk7FbMtLU4vHdf56K5e8eUEQwXriP2aHkIxv8x6wsFU;Advanced > Information Technology;https://www.linkedin.com/company/btg-pactual/about/;Dados e Analytics;carreiras.btgpactual.com;btg pactual;4.0;https://www.linkedin.com/jobs/view/4349316199/;https://www.linkedin.com/jobs/view/4349316199/;Hybrid;DevOps, Engenharia Geral;21/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;administrador banco de dados
7;Brivia;DBA SQL Server Sênior;Brasil;07/05 14:00;https://www.linkedin.com/jobs/view/4414193916/;https://media.licdn.com/dms/image/v2/D4D0BAQHDPtx0BOYJUQ/company-logo_100_100/company-logo_100_100/0/1688563882724/briviagroup_logo?e=1781136000&v=beta&t=BA4T_5xTejSuA3IkNpGYz7ciYdWWVsPuYltVcKcjzzE;-;https://www.linkedin.com/company/brivia/about/;-;;brivia;1.0;https://www.linkedin.com/jobs/view/4414193916/;https://www.linkedin.com/jobs/view/4414193916/;Remote;Senior;21/05/2026;;;;;Brasil;América do Sul;administrador banco de dados
8;CCM Tecnologia;DBA Pleno;Brasil;16/05 14:00;https://www.linkedin.com/jobs/view/4415528302/;https://media.licdn.com/dms/image/v2/D4D0BAQGvzFRlTWYcxg/company-logo_100_100/company-logo_100_100/0/1702317979445/ccm_tecnologia_logo?e=1781136000&v=beta&t=JWMVhpMxM1heQcJGMDYfRcbnfauwbbz8R5saT2JEMwg;-;https://www.linkedin.com/company/ccm-tecnologia/about/;-;;ccm tecnologia;1;https://www.linkedin.com/jobs/view/4415528302/;https://www.linkedin.com/jobs/view/4415528302/;Remote;Mid;21/05/2026;;;;;Brasil;América do Sul;administrador banco de dados
9;CCM Tecnologia;DBA Pleno;Grande Ribeirão Preto;18/05 14:00;https://www.linkedin.com/jobs/view/4416234897/;https://media.licdn.com/dms/image/v2/D4D0BAQGvzFRlTWYcxg/company-logo_100_100/company-logo_100_100/0/1702317979445/ccm_tecnologia_logo?e=1781136000&v=beta&t=JWMVhpMxM1heQcJGMDYfRcbnfauwbbz8R5saT2JEMwg;-;https://www.linkedin.com/company/ccm-tecnologia/about/;-;;ccm tecnologia;1;https://www.linkedin.com/jobs/view/4416234897/;https://www.linkedin.com/jobs/view/4416234897/;On-site;Mid;21/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;administrador banco de dados
10;CIEE - Centro de Integração Empresa-Escola;Administrador de Banco de Dados;São Paulo (SP);20/05 14:00;https://www.linkedin.com/jobs/view/4413364480/;https://media.licdn.com/dms/image/v2/D4D0BAQEaZ6P6-GyboA/company-logo_100_100/B4DZy5ELgfKAAQ-/0/1772631407146/oficialciee_logo?e=1781136000&v=beta&t=PDOLf4_T0SGinVfIYr81RqViqoVvCkJuKV00vTm0GrU;-;https://www.linkedin.com/company/ciee-centro-de-integra-o-empresa-escola/about/;Dados e Analytics;;ciee - centro de integração empresa-escola;1.0;https://www.linkedin.com/jobs/view/4413364480/;https://www.linkedin.com/jobs/view/4413364480/;Hybrid;Dados/Analytics;21/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;administrador banco de dados
