Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;3i Distribuidora;Gerente de Contas Hunter | Account Manager | Account Executive - PRESENCIAL;Porto Alegre (RS);17/08 10:00;https://www.linkedin.com/jobs/view/4452253303/;https://media.licdn.com/dms/image/v2/D4D0BAQEP2YT_DgPdqg/company-logo_100_100/B4DZWuuWL4HAAk-/0/1742393141423?e=1788393600&v=beta&t=IPemY7MlQj4K_UhUqD_PpV-MtvpfBIgRnZYTi1SXxbg;Specific > Sales > Account;https://www.linkedin.com/company/3i-distribuidora/about/;Software e Serviços de TI;ceo OR cto OR cio OR c-level OR executive OR head OR head of technology OR líder de tecnologia OR director of technology OR delivery director;3i distribuidora;1;;https://www.linkedin.com/jobs/view/4452253303/;https://www.linkedin.com/jobs/view/4452253303/;On-site;Mid, Liderança/Gerência, Vendas / Comercial, Executivo de Contas;17/08/2026;;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
2;Clara;Account Executive (Executivo de Vendas) - Minas Gerais (Hybrid);Belo Horizonte (MG);17/08 12:00;https://www.linkedin.com/jobs/view/4455319002/;https://media.licdn.com/dms/image/v2/D4E0BAQF_kw0c_I-iFA/company-logo_100_100/company-logo_100_100/0/1719840580920/claracc_logo?e=1788393600&v=beta&t=rJ8RNHofERv8nKW14-iFgDruqVTXxYR0fKtETchtkxI;Specific > Sales > Account;https://www.linkedin.com/company/clara/about/;Software e Serviços de TI;ceo OR cto OR cio OR c-level OR executive OR head OR head of technology OR líder de tecnologia OR director of technology OR delivery director;clara;1;;https://www.linkedin.com/jobs/view/4455319002/;https://www.linkedin.com/jobs/view/4455319002/;Hybrid;Vendas / Comercial, Executivo de Contas;17/08/2026;;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
3;Clara;Account Executive (Executivo de Vendas) - Campinas/SP;Campinas (SP);17/08 12:00;https://www.linkedin.com/jobs/view/4455311050/;https://media.licdn.com/dms/image/v2/D4E0BAQF_kw0c_I-iFA/company-logo_100_100/company-logo_100_100/0/1719840580920/claracc_logo?e=1788393600&v=beta&t=rJ8RNHofERv8nKW14-iFgDruqVTXxYR0fKtETchtkxI;Specific > Sales > Account;https://www.linkedin.com/company/clara/about/;Software e Serviços de TI;ceo OR cto OR cio OR c-level OR executive OR head OR head of technology OR líder de tecnologia OR director of technology OR delivery director;clara;1;;https://www.linkedin.com/jobs/view/4455311050/;https://www.linkedin.com/jobs/view/4455311050/;Hybrid;Vendas / Comercial, Executivo de Contas;17/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;Clara;Account Executive (Executivo de Vendas) - Rio de Janeiro (Hybrid);Grande Rio de Janeiro (RJ);17/08 12:00;https://www.linkedin.com/jobs/view/4455311043/;https://media.licdn.com/dms/image/v2/D4E0BAQF_kw0c_I-iFA/company-logo_100_100/company-logo_100_100/0/1719840580920/claracc_logo?e=1788393600&v=beta&t=rJ8RNHofERv8nKW14-iFgDruqVTXxYR0fKtETchtkxI;Specific > Sales > Account;https://www.linkedin.com/company/clara/about/;Software e Serviços de TI;ceo OR cto OR cio OR c-level OR executive OR head OR head of technology OR líder de tecnologia OR director of technology OR delivery director;clara;1;;https://www.linkedin.com/jobs/view/4455311043/;https://www.linkedin.com/jobs/view/4455311043/;Hybrid;Vendas / Comercial, Executivo de Contas;17/08/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul
5;Clara;Account Executive (Executivo de Vendas) - Manaus/AM (Hybrid);Manaus (AM);17/08 12:00;https://www.linkedin.com/jobs/view/4455314022/;https://media.licdn.com/dms/image/v2/D4E0BAQF_kw0c_I-iFA/company-logo_100_100/company-logo_100_100/0/1719840580920/claracc_logo?e=1788393600&v=beta&t=rJ8RNHofERv8nKW14-iFgDruqVTXxYR0fKtETchtkxI;Specific > Sales > Account;https://www.linkedin.com/company/clara/about/;Software e Serviços de TI;ceo OR cto OR cio OR c-level OR executive OR head OR head of technology OR líder de tecnologia OR director of technology OR delivery director;clara;1;;https://www.linkedin.com/jobs/view/4455314022/;https://www.linkedin.com/jobs/view/4455314022/;Hybrid;Vendas / Comercial, Executivo de Contas;17/08/2026;;Amazonas;AM;Região Norte;Brasil;América do Sul
6;Clara;Account Executive (Executivo de Vendas) - Recife (Remote);Recife (PE);17/08 12:00;https://www.linkedin.com/jobs/view/4455290966/;https://media.licdn.com/dms/image/v2/D4E0BAQF_kw0c_I-iFA/company-logo_100_100/company-logo_100_100/0/1719840580920/claracc_logo?e=1788393600&v=beta&t=rJ8RNHofERv8nKW14-iFgDruqVTXxYR0fKtETchtkxI;Specific > Sales > Account;https://www.linkedin.com/company/clara/about/;Software e Serviços de TI;ceo OR cto OR cio OR c-level OR executive OR head OR head of technology OR líder de tecnologia OR director of technology OR delivery director;clara;1;;https://www.linkedin.com/jobs/view/4455290966/;https://www.linkedin.com/jobs/view/4455290966/;Hybrid;Vendas / Comercial, Executivo de Contas;17/08/2026;Recife;Pernambuco;PE;Região Nordeste;Brasil;América do Sul
7;Clara;Account Executive (Executivo de Vendas) - Salvador/BA (Hybrid);Salvador (BA);17/08 12:00;https://www.linkedin.com/jobs/view/4455307085/;https://media.licdn.com/dms/image/v2/D4E0BAQF_kw0c_I-iFA/company-logo_100_100/company-logo_100_100/0/1719840580920/claracc_logo?e=1788393600&v=beta&t=rJ8RNHofERv8nKW14-iFgDruqVTXxYR0fKtETchtkxI;Specific > Sales > Account;https://www.linkedin.com/company/clara/about/;Software e Serviços de TI;ceo OR cto OR cio OR c-level OR executive OR head OR head of technology OR líder de tecnologia OR director of technology OR delivery director;clara;1;;https://www.linkedin.com/jobs/view/4455307085/;https://www.linkedin.com/jobs/view/4455307085/;Hybrid;Vendas / Comercial, Executivo de Contas;17/08/2026;;Bahia;BA;Região Nordeste;Brasil;América do Sul
8;Clara;Account Executive (Executivo de Vendas) - Vitória/ES;Vitoria, Brasil Metropolitan ;17/08 12:00;https://www.linkedin.com/jobs/view/4455306121/;https://media.licdn.com/dms/image/v2/D4E0BAQF_kw0c_I-iFA/company-logo_100_100/company-logo_100_100/0/1719840580920/claracc_logo?e=1788393600&v=beta&t=rJ8RNHofERv8nKW14-iFgDruqVTXxYR0fKtETchtkxI;Specific > Sales > Account;https://www.linkedin.com/company/clara/about/;Software e Serviços de TI;ceo OR cto OR cio OR c-level OR executive OR head OR head of technology OR líder de tecnologia OR director of technology OR delivery director;clara;1;;https://www.linkedin.com/jobs/view/4455306121/;https://www.linkedin.com/jobs/view/4455306121/;Hybrid;Vendas / Comercial, Executivo de Contas;17/08/2026;;;;;;
9;Confidential;Head of Business & Operations (Brazil Resident);Brasil;17/08 01:00;https://www.linkedin.com/jobs/view/4451393099/;https://media.licdn.com/dms/image/v2/D4D0BAQFb6ggMb4SUqw/img-crop_100/B4DZnZQvOoG8AM-/0/1760286672481?e=1788393600&v=beta&t=nJTVjn6okjEmS-Y5SRfYPk4ceDRuuAQt7XAmQiQrfdI;Leadership > Middle Management > Head;https://www.linkedin.com/company/confidential/about/;Software e Serviços de TI;ceo OR cto OR cio OR c-level OR executive OR head OR head of technology OR líder de tecnologia OR director of technology OR delivery director;confidential;1;;https://www.linkedin.com/jobs/view/4451393099/;https://www.linkedin.com/jobs/view/4451393099/;Remote;Liderança/Gerência;17/08/2026;;;;;Brasil;América do Sul
10;Devos Executive Search;Vendedor;Grande Belo Horizonte (MG);17/08 10:00;https://www.linkedin.com/jobs/view/4454272012/;https://media.licdn.com/dms/image/v2/D4D0BAQHtAFWtx8Yo2w/company-logo_100_100/company-logo_100_100/0/1721840603295/devos_executive_search_logo?e=1788393600&v=beta&t=fM4kUm4spP2qOz-F0J1ZI2lV_uedQ_w2eBayO3nN4xA;-;https://www.linkedin.com/company/devos-executive-search/about/;Software e Serviços de TI;ceo OR cto OR cio OR c-level OR executive OR head OR head of technology OR líder de tecnologia OR director of technology OR delivery director;devos executive search;1;;https://www.linkedin.com/jobs/view/4454272012/;https://www.linkedin.com/jobs/view/4454272012/;Remote;Vendas / Comercial;17/08/2026;;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
11;Devos Executive Search;Vendedor;Grande Recife (PE);17/08 10:00;https://www.linkedin.com/jobs/view/4454275005/;https://media.licdn.com/dms/image/v2/D4D0BAQHtAFWtx8Yo2w/company-logo_100_100/company-logo_100_100/0/1721840603295/devos_executive_search_logo?e=1788393600&v=beta&t=fM4kUm4spP2qOz-F0J1ZI2lV_uedQ_w2eBayO3nN4xA;-;https://www.linkedin.com/company/devos-executive-search/about/;Software e Serviços de TI;ceo OR cto OR cio OR c-level OR executive OR head OR head of technology OR líder de tecnologia OR director of technology OR delivery director;devos executive search;1;;https://www.linkedin.com/jobs/view/4454275005/;https://www.linkedin.com/jobs/view/4454275005/;Remote;Vendas / Comercial;17/08/2026;;Pernambuco;PE;Região Nordeste;Brasil;América do Sul
