Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;AB InBev;Associate Product Manager – Plataforma de Campanhas de Marketing;Campinas (SP);20/06 20:00;https://www.linkedin.com/jobs/view/4400453140/;https://media.licdn.com/dms/image/v2/C560BAQEZRSga0FreWA/company-logo_100_100/company-logo_100_100/0/1656631574816/ab_inbev_logo?e=1784160000&v=beta&t=V4cL8i7HBInvg4Qxp9UMyU-mmittx-UAgFVVe3Kscxc;Produtos > Product Manager;https://www.linkedin.com/company/ab-inbev/about/;Marketing e Publicidade Marketing;(engineering AND manager) OR (tech AND manager) OR (gerente AND de AND projetos) OR (project AND manager) OR (gerente AND de AND produtos) OR (product AND manager) OR (program AND manager) OR (senior AND program AND manager) OR (coordenador AND de AND ti) OR (it AND coordinator);ab inbev;1.0;Workday;https://www.linkedin.com/jobs/view/4400453140/;https://www.linkedin.com/jobs/view/4400453140/;On-site;Associate, Liderança/Gerência, Product Owner/Product Manager, Marketing/Mídia;26/06/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul
2;AB InBev;Product Manager (CRM & CDP);Campinas (SP);21/06 20:00;https://www.linkedin.com/jobs/view/4400453141/;https://media.licdn.com/dms/image/v2/C560BAQEZRSga0FreWA/company-logo_100_100/company-logo_100_100/0/1656631574816/ab_inbev_logo?e=1784160000&v=beta&t=V4cL8i7HBInvg4Qxp9UMyU-mmittx-UAgFVVe3Kscxc;Produtos > Product Manager;https://www.linkedin.com/company/ab-inbev/about/;-;(engineering AND manager) OR (tech AND manager) OR (gerente AND de AND projetos) OR (project AND manager) OR (gerente AND de AND produtos) OR (product AND manager) OR (program AND manager) OR (senior AND program AND manager) OR (coordenador AND de AND ti) OR (it AND coordinator);ab inbev;1.0;Workday;https://www.linkedin.com/jobs/view/4400453141/;https://www.linkedin.com/jobs/view/4400453141/;On-site;Liderança/Gerência, Salesforce/CRM, Product Owner/Product Manager;26/06/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;AB InBev;Technology Project Manager;Campinas (SP);26/06 09:00;https://www.linkedin.com/jobs/view/4433214551/;https://media.licdn.com/dms/image/v2/C560BAQEZRSga0FreWA/company-logo_100_100/company-logo_100_100/0/1656631574816/ab_inbev_logo?e=1784160000&v=beta&t=V4cL8i7HBInvg4Qxp9UMyU-mmittx-UAgFVVe3Kscxc;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/ab-inbev/about/;Software e Serviços de TI;(engineering AND manager) OR (tech AND manager) OR (gerente AND de AND projetos) OR (project AND manager) OR (gerente AND de AND produtos) OR (product AND manager) OR (program AND manager) OR (senior AND program AND manager) OR (coordenador AND de AND ti) OR (it AND coordinator);ab inbev;1.0;Workday;https://www.linkedin.com/jobs/view/4433214551/;https://www.linkedin.com/jobs/view/4433214551/;Remote;Liderança/Gerência, TI/Tech;26/06/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;AGCO Corporation;Sr NPI Project Manager, Governance & System Engineering;Canoas (RS);24/06 20:00;https://www.linkedin.com/jobs/view/4424253535/;https://media.licdn.com/dms/image/v2/C4E0BAQF5TwBZg6M6TA/company-logo_100_100/company-logo_100_100/0/1630563830825/agco_corporation_logo?e=1784160000&v=beta&t=lsC0LoMWwGrixf1jN2AUgoWW-dTfyTrkZGj-Nl3nxzc;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/agco-corporation/about/;Software e Serviços de TI;(engineering AND manager) OR (tech AND manager) OR (gerente AND de AND projetos) OR (project AND manager) OR (gerente AND de AND produtos) OR (product AND manager) OR (program AND manager) OR (senior AND program AND manager) OR (coordenador AND de AND ti) OR (it AND coordinator);agco corporation;1.0;;https://www.linkedin.com/jobs/view/4424253535/;https://www.linkedin.com/jobs/view/4424253535/;On-site;Senior, Liderança/Gerência, Engenharia Geral;26/06/2026;Canoas;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
5;ALTAVE;Engineering Manager - IA para Proteger Vidas;São José dos Campos (SP);25/06 20:00;https://www.linkedin.com/jobs/view/4430240513/;https://media.licdn.com/dms/image/v2/D4D0BAQFPU6_MwIJlhg/company-logo_100_100/B4DZdaIs6QGkAU-/0/1749563920541/flyaltave_logo?e=1784160000&v=beta&t=CoG1WgEQwGN7G2LpXFZ5bdkhBkvJNmcJHdtQfIhDyQo;Middle > Manager;https://www.linkedin.com/company/altave/about/;Inteligência Artificial;(engineering AND manager) OR (tech AND manager) OR (gerente AND de AND projetos) OR (project AND manager) OR (gerente AND de AND produtos) OR (product AND manager) OR (program AND manager) OR (senior AND program AND manager) OR (coordenador AND de AND ti) OR (it AND coordinator);altave;3.0;;https://www.linkedin.com/jobs/view/4430240513/;https://www.linkedin.com/jobs/view/4430240513/;Hybrid;Inteligência Artificial, Liderança/Gerência, Engenharia Geral;26/06/2026;São José dos Campos;São Paulo;SP;Região Sudeste;Brasil;América do Sul
6;Abc Technology Group;Gerente de Projetos - SAP Fiori;Hortolândia (SP);26/06 12:00;https://www.linkedin.com/jobs/view/4430614176/;https://media.licdn.com/dms/image/v2/D4D0BAQGs55J1MOA_1w/company-logo_100_100/B4DZXiWafsHsAQ-/0/1743259281782/abc_technology_des_sol_empresariais_ltda_logo?e=1784160000&v=beta&t=ZukRIDJGUOSXQNX-4WX6Cu4_cLRC5rDDrGi2hcC_TBg;Middle > Manager;https://www.linkedin.com/company/abc-technology-group/about/;Software e Serviços de TI;(engineering AND manager) OR (tech AND manager) OR (gerente AND de AND projetos) OR (project AND manager) OR (gerente AND de AND produtos) OR (product AND manager) OR (program AND manager) OR (senior AND program AND manager) OR (coordenador AND de AND ti) OR (it AND coordinator);abc technology group;1.0;LinkedIn (Easy Apply);https://www.linkedin.com/jobs/view/4430614176/;https://www.linkedin.com/jobs/view/4430614176/;Hybrid;Mid, Liderança/Gerência, SAP;26/06/2026;Hortolândia;São Paulo;SP;Região Sudeste;Brasil;América do Sul
7;Accenture Brasil;Tech Manager;São Paulo (SP);25/06 20:00;https://www.linkedin.com/jobs/view/4433037480/;https://media.licdn.com/dms/image/v2/D4D0BAQFxYk90aqWMqA/company-logo_100_100/company-logo_100_100/0/1727873248436/accenturebrasil_logo?e=1784160000&v=beta&t=I8ml82PzbpYtaSPl24Ho6hcQXVOx_Z7ZoaOSdmx9tWM;Middle > Manager;https://www.linkedin.com/company/accenture-brasil/about/;Software e Serviços de TI;(engineering AND manager) OR (tech AND manager) OR (gerente AND de AND projetos) OR (project AND manager) OR (gerente AND de AND produtos) OR (product AND manager) OR (program AND manager) OR (senior AND program AND manager) OR (coordenador AND de AND ti) OR (it AND coordinator);accenture brasil;4.0;www.accenture.com;https://www.linkedin.com/jobs/view/4433037480/;https://www.linkedin.com/jobs/view/4433037480/;On-site;Liderança/Gerência, TI/Tech;26/06/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
8;Adecco Permanent Recruitment;Energy Project Manager (Campinas/SP);Campinas (SP);26/06 15:00;https://www.linkedin.com/jobs/view/4430621781/;https://media.licdn.com/dms/image/v2/D4D0BAQG7IaihAlqG4g/company-logo_100_100/B4DZVb0q3vGcAQ-/0/1741002288977/adecco_recruitment_portugal_logo?e=1784160000&v=beta&t=xzx8mowUWuMlJSidGLIuyA7zpQGoOyggy1bpMiTGruw;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/adecco-permanent-recruitment/about/;Energia e Combustíveis;(engineering AND manager) OR (tech AND manager) OR (gerente AND de AND projetos) OR (project AND manager) OR (gerente AND de AND produtos) OR (product AND manager) OR (program AND manager) OR (senior AND program AND manager) OR (coordenador AND de AND ti) OR (it AND coordinator);adecco permanent recruitment;1;;https://www.linkedin.com/jobs/view/4430621781/;https://www.linkedin.com/jobs/view/4430621781/;On-site;Liderança/Gerência;26/06/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul
9;Adistec;Project Manager - BR;São Paulo (SP);26/06 17:00;https://www.linkedin.com/jobs/view/4423971348/;https://media.licdn.com/dms/image/v2/D4D0BAQG2PKyhyPvOYA/company-logo_100_100/B4DZjijjTDGQAc-/0/1756147627603/adistec_logo?e=1784160000&v=beta&t=PMM32lzlpa-YESfQvb_ry_SXyedHU81UVrKEIlBdfL8;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/adistec/about/;-;(engineering AND manager) OR (tech AND manager) OR (gerente AND de AND projetos) OR (project AND manager) OR (gerente AND de AND produtos) OR (product AND manager) OR (program AND manager) OR (senior AND program AND manager) OR (coordenador AND de AND ti) OR (it AND coordinator);adistec;1;;https://www.linkedin.com/jobs/view/4423971348/;https://www.linkedin.com/jobs/view/4423971348/;Hybrid;Liderança/Gerência;26/06/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
10;Aditi Consulting;Project Manager;Contagem (MG);24/06 20:00;https://www.linkedin.com/jobs/view/4422494648/;https://media.licdn.com/dms/image/v2/C560BAQFhSuWL16cn7A/company-logo_100_100/company-logo_100_100/0/1655498607143/aditiconsulting_logo?e=1784160000&v=beta&t=HqAc6dCpfPkYsPHfpsVLHt5hU3njnFGRJymQwb5jSaU;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/aditi-consulting/about/;Consultoria e Assessoria;(engineering AND manager) OR (tech AND manager) OR (gerente AND de AND projetos) OR (project AND manager) OR (gerente AND de AND produtos) OR (product AND manager) OR (program AND manager) OR (senior AND program AND manager) OR (coordenador AND de AND ti) OR (it AND coordinator);aditi consulting;1.0;;https://www.linkedin.com/jobs/view/4422494648/;https://www.linkedin.com/jobs/view/4422494648/;On-site;Liderança/Gerência;26/06/2026;Contagem;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
