Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;AGCO Corporation;Lead Specialist, AI Platform Engineering;Jundiaí (SP);05/08 15:00;https://www.linkedin.com/jobs/view/4442240032/;https://media.licdn.com/dms/image/v2/C4E0BAQF5TwBZg6M6TA/company-logo_100_100/company-logo_100_100/0/1630563830825/agco_corporation_logo?e=1787788800&v=beta&t=ZdbXqb785dDgcorqesrXo6MRCsHf2aKxPAzDE23NyO4;Middle > Manager;https://www.linkedin.com/company/agco-corporation/about/;Inteligência Artificial;Banco ABC Brasil S.A.;agco corporation;1;;https://www.linkedin.com/jobs/view/4442240032/;https://www.linkedin.com/jobs/view/4442240032/;On-site;Inteligência Artificial, Specialist, Mid, Liderança/Gerência, Engenharia Geral;06/08/2026;Jundiaí;São Paulo;SP;Região Sudeste;Brasil;América do Sul
2;Accenture Brasil;Engenheiro(a) de IA Generativa;São Paulo (SP);04/08 15:00;https://www.linkedin.com/jobs/view/4409763108/;https://media.licdn.com/dms/image/v2/D4D0BAQFxYk90aqWMqA/company-logo_100_100/company-logo_100_100/0/1727873248436/accenturebrasil_logo?e=1787788800&v=beta&t=V62RKX7Bv9BJWZq_gWdqoa1e0MHgJ8vR2BuQex9aJsY;-;https://www.linkedin.com/company/accenture-brasil/about/;Inteligência Artificial;Banco ABC Brasil S.A.;accenture brasil;1;;https://www.linkedin.com/jobs/view/4409763108/;https://www.linkedin.com/jobs/view/4409763108/;Hybrid;Inteligência Artificial;06/08/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;Amazon Web Services (AWS);Prototyping Architect, PACE;Grande Belo Horizonte (MG);05/08 15:00;https://www.linkedin.com/jobs/view/4443047234/;https://media.licdn.com/dms/image/v2/D4E0BAQFqdm1TZ-RZKQ/company-logo_100_100/B4EZgOay6gHEAY-/0/1752588562343/amazon_web_services_logo?e=1787788800&v=beta&t=oZpBJAQp5HIaLt2NsfHB2lzZCD7z3TNGsRtaIMjXBkM;Architecture;https://www.linkedin.com/company/amazon-web-services-aws/about/;Software e Serviços de TI;Banco ABC Brasil S.A.;amazon web services (aws);1;;https://www.linkedin.com/jobs/view/4443047234/;https://www.linkedin.com/jobs/view/4443047234/;On-site;-;06/08/2026;;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
4;Amazon Web Services (AWS);AWS Senior Solutions Architect, Financial Industry, Brazil Federal Government SA;Grande São Paulo (SP) ;05/08 15:00;https://www.linkedin.com/jobs/view/4443049564/;https://media.licdn.com/dms/image/v2/D4E0BAQFqdm1TZ-RZKQ/company-logo_100_100/B4EZgOay6gHEAY-/0/1752588562343/amazon_web_services_logo?e=1787788800&v=beta&t=oZpBJAQp5HIaLt2NsfHB2lzZCD7z3TNGsRtaIMjXBkM;Architecture > Solutions Architect;https://www.linkedin.com/company/amazon-web-services-aws/about/;Governo e Social;Banco ABC Brasil S.A.;amazon web services (aws);1;;https://www.linkedin.com/jobs/view/4443049564/;https://www.linkedin.com/jobs/view/4443049564/;On-site;Senior, Cloud (AWS/GCP/Azure);06/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
5;Amazon Web Services (AWS);Senior Solutions Architect, Media, Entertainment, Games & Sports;Grande São Paulo (SP) ;05/08 15:00;https://www.linkedin.com/jobs/view/4443038835/;https://media.licdn.com/dms/image/v2/D4E0BAQFqdm1TZ-RZKQ/company-logo_100_100/B4EZgOay6gHEAY-/0/1752588562343/amazon_web_services_logo?e=1787788800&v=beta&t=oZpBJAQp5HIaLt2NsfHB2lzZCD7z3TNGsRtaIMjXBkM;Architecture > Solutions Architect;https://www.linkedin.com/company/amazon-web-services-aws/about/;Mídia e Entretenimento;Banco ABC Brasil S.A.;amazon web services (aws);1;;https://www.linkedin.com/jobs/view/4443038835/;https://www.linkedin.com/jobs/view/4443038835/;On-site;Senior, Marketing/Mídia;06/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
6;Amazon Web Services (AWS);Solution Architect, Public Sector Brazil;Grande São Paulo (SP) ;05/08 15:00;https://www.linkedin.com/jobs/view/4443058059/;https://media.licdn.com/dms/image/v2/D4E0BAQFqdm1TZ-RZKQ/company-logo_100_100/B4EZgOay6gHEAY-/0/1752588562343/amazon_web_services_logo?e=1787788800&v=beta&t=oZpBJAQp5HIaLt2NsfHB2lzZCD7z3TNGsRtaIMjXBkM;Architecture > Solutions Architect;https://www.linkedin.com/company/amazon-web-services-aws/about/;Software e Serviços de TI;Banco ABC Brasil S.A.;amazon web services (aws);1;;https://www.linkedin.com/jobs/view/4443058059/;https://www.linkedin.com/jobs/view/4443058059/;On-site;-;06/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
7;Amazon Web Services (AWS);Solutions Architect, Automotive and Manufacturing, Brazil Solutions Architecture;Grande São Paulo (SP) ;05/08 15:00;https://www.linkedin.com/jobs/view/4443043394/;https://media.licdn.com/dms/image/v2/D4E0BAQFqdm1TZ-RZKQ/company-logo_100_100/B4EZgOay6gHEAY-/0/1752588562343/amazon_web_services_logo?e=1787788800&v=beta&t=oZpBJAQp5HIaLt2NsfHB2lzZCD7z3TNGsRtaIMjXBkM;Architecture > Solutions Architect;https://www.linkedin.com/company/amazon-web-services-aws/about/;Manufatura e Produção;Banco ABC Brasil S.A.;amazon web services (aws);1;;https://www.linkedin.com/jobs/view/4443043394/;https://www.linkedin.com/jobs/view/4443043394/;On-site;-;06/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
8;Bain & Company;Lead, AI Engineering;São Paulo (SP);04/08 15:00;https://www.linkedin.com/jobs/view/4411748052/;https://media.licdn.com/dms/image/v2/D560BAQHJWWQNCmnqKg/company-logo_100_100/company-logo_100_100/0/1719929153718/bain_and_company_logo?e=1787788800&v=beta&t=qQLnvDBR7lA4-mIwYFmta_RvQhMIoeTWEM-Ulww13BI;Middle > Manager;https://www.linkedin.com/company/bain-company/about/;Consultoria e Assessoria;Banco ABC Brasil S.A.;bain & company;1;;https://www.linkedin.com/jobs/view/4411748052/;https://www.linkedin.com/jobs/view/4411748052/;Hybrid;Inteligência Artificial, Mid, Liderança/Gerência, Engenharia Geral;06/08/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
9;CI&T;Data Architect (Databricks), Brazil;Brasil;05/08 03:00;https://www.linkedin.com/jobs/view/4448147728/;https://media.licdn.com/dms/image/v2/D4E0BAQHeZyGQWQJb7g/company-logo_100_100/B4EZ89lXBZJEAI-/0/1783444632002/ciandt_logo?e=1787788800&v=beta&t=d2lKB9JLvGnx4QVyKLk9W5LpqmFqG6BT4yhYsZvPd7A;Data & Ai > Data Engineering;https://www.linkedin.com/company/ci-t/about/;Dados e Analytics;Banco ABC Brasil S.A.;ci&t;1;;https://www.linkedin.com/jobs/view/4448147728/;https://www.linkedin.com/jobs/view/4448147728/;Remote;Dados/Analytics;06/08/2026;;;;;Brasil;América do Sul
10;Cielo;Especialista Arquiteto(a) de Plataforma Cloud;Barueri (SP);04/08 15:00;https://www.linkedin.com/jobs/view/4446260118/;https://media.licdn.com/dms/image/v2/D4D0BAQGTX-wCoqy8RA/company-logo_100_100/company-logo_100_100/0/1664799757547?e=1787788800&v=beta&t=QAezGUNloOHQKaQRMzeKGK_G209l9tEMLUWZuATu5iU;Architecture;https://www.linkedin.com/company/cielo/about/;Software e Serviços de TI;Banco ABC Brasil S.A.;cielo;1;;https://www.linkedin.com/jobs/view/4446260118/;https://www.linkedin.com/jobs/view/4446260118/;Hybrid;Specialist;06/08/2026;Barueri;São Paulo;SP;Região Sudeste;Brasil;América do Sul
