Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;Mercado Livre Brasil;Supervisor de Operações - Mercado Envios;Brasília (DF);04/08 22:00;https://www.linkedin.com/jobs/view/4446677764/;https://media.licdn.com/dms/image/v2/D4D0BAQE4q-iBP4fZ0g/company-logo_100_100/B4DZUUipIKG8AQ-/0/1739806380950/mercadolivre_com_logo?e=1787788800&v=beta&t=tjAZETDEDcIomie6KBRBTK5DD7jEYD8Z85HkBetVE2E;Middle > Manager;https://www.linkedin.com/company/mercado-livre-brasil/about/;Varejo e E-commerce;Mercado Livre;mercado livre brasil;1;;https://www.linkedin.com/jobs/view/4446677764/;https://www.linkedin.com/jobs/view/4446677764/;On-site;Mid, Liderança/Gerência;05/08/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul
2;Mercado Livre Brasil;Pessoa Executiva de Vendas - Campos do Jordão- SP - Mercado Pago;Campos do Jordão (SP);04/08 22:00;https://www.linkedin.com/jobs/view/4447319025/;https://media.licdn.com/dms/image/v2/D4D0BAQE4q-iBP4fZ0g/company-logo_100_100/B4DZUUipIKG8AQ-/0/1739806380950/mercadolivre_com_logo?e=1787788800&v=beta&t=tjAZETDEDcIomie6KBRBTK5DD7jEYD8Z85HkBetVE2E;-;https://www.linkedin.com/company/mercado-livre-brasil/about/;Software e Serviços de TI;Mercado Livre;mercado livre brasil;1;;https://www.linkedin.com/jobs/view/4447319025/;https://www.linkedin.com/jobs/view/4447319025/;On-site;PCD / Afirmativa, Vendas / Comercial;05/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;Mercado Livre Brasil;Gerente de Desenvolvimento de Processos em Projetos - Mercado Envios;Grande São Paulo (SP) ;05/08 16:00;https://www.linkedin.com/jobs/view/4448043835/;https://media.licdn.com/dms/image/v2/D4D0BAQE4q-iBP4fZ0g/company-logo_100_100/B4DZUUipIKG8AQ-/0/1739806380950/mercadolivre_com_logo?e=1787788800&v=beta&t=tjAZETDEDcIomie6KBRBTK5DD7jEYD8Z85HkBetVE2E;Middle > Manager;https://www.linkedin.com/company/mercado-livre-brasil/about/;Software e Serviços de TI;Mercado Livre;mercado livre brasil;1;;https://www.linkedin.com/jobs/view/4448043835/;https://www.linkedin.com/jobs/view/4448043835/;Hybrid;Mid, Liderança/Gerência, Processos/Excelência;05/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;Mercado Livre Brasil;Analista Pleno de Segurança e Monitoramento  - Mercado Envios;Guarulhos (SP);05/08 19:00;https://www.linkedin.com/jobs/view/4448060410/;https://media.licdn.com/dms/image/v2/D4D0BAQE4q-iBP4fZ0g/company-logo_100_100/B4DZUUipIKG8AQ-/0/1739806380950/mercadolivre_com_logo?e=1787788800&v=beta&t=tjAZETDEDcIomie6KBRBTK5DD7jEYD8Z85HkBetVE2E;Advanced > Specialist;https://www.linkedin.com/company/mercado-livre-brasil/about/;Cibersegurança;Mercado Livre;mercado livre brasil;1;;https://www.linkedin.com/jobs/view/4448060410/;https://www.linkedin.com/jobs/view/4448060410/;On-site;Mid, Associate;05/08/2026;Guarulhos;São Paulo;SP;Região Sudeste;Brasil;América do Sul
5;Mercado Livre Brasil;Coordenador de Controle e Monitoramento - Mercado Envios;Guarulhos (SP);04/08 22:00;https://www.linkedin.com/jobs/view/4448064382/;https://media.licdn.com/dms/image/v2/D4D0BAQE4q-iBP4fZ0g/company-logo_100_100/B4DZUUipIKG8AQ-/0/1739806380950/mercadolivre_com_logo?e=1787788800&v=beta&t=tjAZETDEDcIomie6KBRBTK5DD7jEYD8Z85HkBetVE2E;Middle > Manager;https://www.linkedin.com/company/mercado-livre-brasil/about/;Software e Serviços de TI;Mercado Livre;mercado livre brasil;1;;https://www.linkedin.com/jobs/view/4448064382/;https://www.linkedin.com/jobs/view/4448064382/;On-site;Mid, Liderança/Gerência;05/08/2026;Guarulhos;São Paulo;SP;Região Sudeste;Brasil;América do Sul
6;Mercado Livre Brasil;Analista Pleno de Logística - Mercado Envios;Nova Santa Rita (RS);04/08 22:00;https://www.linkedin.com/jobs/view/4447310372/;https://media.licdn.com/dms/image/v2/D4D0BAQE4q-iBP4fZ0g/company-logo_100_100/B4DZUUipIKG8AQ-/0/1739806380950/mercadolivre_com_logo?e=1787788800&v=beta&t=tjAZETDEDcIomie6KBRBTK5DD7jEYD8Z85HkBetVE2E;Advanced > Specialist;https://www.linkedin.com/company/mercado-livre-brasil/about/;Logística e Supply Chain;Mercado Livre;mercado livre brasil;1;;https://www.linkedin.com/jobs/view/4447310372/;https://www.linkedin.com/jobs/view/4447310372/;On-site;Mid, Associate, Logística/Supply;05/08/2026;Nova Santa Rita;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
7;Mercado Livre Brasil;Analista Sênior de Planejamento de Malha Logística - Mercado Envios;Osasco (SP);04/08 22:00;https://www.linkedin.com/jobs/view/4447305741/;https://media.licdn.com/dms/image/v2/D4D0BAQE4q-iBP4fZ0g/company-logo_100_100/B4DZUUipIKG8AQ-/0/1739806380950/mercadolivre_com_logo?e=1787788800&v=beta&t=tjAZETDEDcIomie6KBRBTK5DD7jEYD8Z85HkBetVE2E;Advanced > Specialist;https://www.linkedin.com/company/mercado-livre-brasil/about/;Logística e Supply Chain;Mercado Livre;mercado livre brasil;1;;https://www.linkedin.com/jobs/view/4447305741/;https://www.linkedin.com/jobs/view/4447305741/;Hybrid;Senior, Associate, Logística/Supply;05/08/2026;Osasco;São Paulo;SP;Região Sudeste;Brasil;América do Sul
8;Mercado Livre Brasil;Especialista de Projetos Logísticos - Mercado Envios;Osasco (SP);04/08 22:00;https://www.linkedin.com/jobs/view/4446697431/;https://media.licdn.com/dms/image/v2/D4D0BAQE4q-iBP4fZ0g/company-logo_100_100/B4DZUUipIKG8AQ-/0/1739806380950/mercadolivre_com_logo?e=1787788800&v=beta&t=tjAZETDEDcIomie6KBRBTK5DD7jEYD8Z85HkBetVE2E;Advanced > Specialist;https://www.linkedin.com/company/mercado-livre-brasil/about/;Software e Serviços de TI;Mercado Livre;mercado livre brasil;1;;https://www.linkedin.com/jobs/view/4446697431/;https://www.linkedin.com/jobs/view/4446697431/;Hybrid;Specialist, Logística/Supply;05/08/2026;Osasco;São Paulo;SP;Região Sudeste;Brasil;América do Sul
9;Mercado Livre Brasil;Líder de Equipe Logística - Mercado Envios;Porto Feliz (SP);04/08 22:00;https://www.linkedin.com/jobs/view/4447312230/;https://media.licdn.com/dms/image/v2/D4D0BAQE4q-iBP4fZ0g/company-logo_100_100/B4DZUUipIKG8AQ-/0/1739806380950/mercadolivre_com_logo?e=1787788800&v=beta&t=tjAZETDEDcIomie6KBRBTK5DD7jEYD8Z85HkBetVE2E;-;https://www.linkedin.com/company/mercado-livre-brasil/about/;Logística e Supply Chain;Mercado Livre;mercado livre brasil;1;;https://www.linkedin.com/jobs/view/4447312230/;https://www.linkedin.com/jobs/view/4447312230/;On-site;Mid, Liderança/Gerência, Coach, Logística/Supply;05/08/2026;Porto Feliz;São Paulo;SP;Região Sudeste;Brasil;América do Sul
10;Mercado Livre Brasil;Analista Pleno de Manutenção e Facilities - Mercado envios;Recife (PE);05/08 18:00;https://www.linkedin.com/jobs/view/4448079115/;https://media.licdn.com/dms/image/v2/D4D0BAQE4q-iBP4fZ0g/company-logo_100_100/B4DZUUipIKG8AQ-/0/1739806380950/mercadolivre_com_logo?e=1787788800&v=beta&t=tjAZETDEDcIomie6KBRBTK5DD7jEYD8Z85HkBetVE2E;Advanced > Specialist;https://www.linkedin.com/company/mercado-livre-brasil/about/;Software e Serviços de TI;Mercado Livre;mercado livre brasil;1;;https://www.linkedin.com/jobs/view/4448079115/;https://www.linkedin.com/jobs/view/4448079115/;On-site;Mid, Associate, Sustentação/O&M;05/08/2026;Recife;Pernambuco;PE;Região Nordeste;Brasil;América do Sul
11;Mercado Livre Brasil;Analista de Transportes - Mercado Envios;SP;04/08 22:00;https://www.linkedin.com/jobs/view/4447317168/;https://media.licdn.com/dms/image/v2/D4D0BAQE4q-iBP4fZ0g/company-logo_100_100/B4DZUUipIKG8AQ-/0/1739806380950/mercadolivre_com_logo?e=1787788800&v=beta&t=tjAZETDEDcIomie6KBRBTK5DD7jEYD8Z85HkBetVE2E;Advanced > Specialist;https://www.linkedin.com/company/mercado-livre-brasil/about/;Transporte e Mobilidade;Mercado Livre;mercado livre brasil;1;;https://www.linkedin.com/jobs/view/4447317168/;https://www.linkedin.com/jobs/view/4447317168/;Hybrid;Associate;05/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
12;Mercado Livre Brasil;Analista de Transportes - Pessoas Com Deficiência - Mercado Envios;SP;04/08 22:00;https://www.linkedin.com/jobs/view/4447313286/;https://media.licdn.com/dms/image/v2/D4D0BAQE4q-iBP4fZ0g/company-logo_100_100/B4DZUUipIKG8AQ-/0/1739806380950/mercadolivre_com_logo?e=1787788800&v=beta&t=tjAZETDEDcIomie6KBRBTK5DD7jEYD8Z85HkBetVE2E;Advanced > Specialist;https://www.linkedin.com/company/mercado-livre-brasil/about/;Transporte e Mobilidade;Mercado Livre;mercado livre brasil;1;;https://www.linkedin.com/jobs/view/4447313286/;https://www.linkedin.com/jobs/view/4447313286/;Hybrid;PCD / Afirmativa, Associate;05/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
13;Mercado Livre Brasil;Líder de Equipe Logística - Mercado Envios;Uberlândia (MG);04/08 22:00;https://www.linkedin.com/jobs/view/4447302856/;https://media.licdn.com/dms/image/v2/D4D0BAQE4q-iBP4fZ0g/company-logo_100_100/B4DZUUipIKG8AQ-/0/1739806380950/mercadolivre_com_logo?e=1787788800&v=beta&t=tjAZETDEDcIomie6KBRBTK5DD7jEYD8Z85HkBetVE2E;-;https://www.linkedin.com/company/mercado-livre-brasil/about/;Logística e Supply Chain;Mercado Livre;mercado livre brasil;1;;https://www.linkedin.com/jobs/view/4447302856/;https://www.linkedin.com/jobs/view/4447302856/;On-site;Mid, Liderança/Gerência, Coach, Logística/Supply;05/08/2026;Uberlândia;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
