Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;Atmosera;Cloud Engineer, DBA (Remote LATAM);América Latina;24/06 16:00;https://www.linkedin.com/jobs/view/4432820268/;https://media.licdn.com/dms/image/v2/D560BAQGZeZDLzKVxTw/company-logo_100_100/company-logo_100_100/0/1688493758274?e=1784160000&v=beta&t=VauCThXhmaQHLgDAZAZCw_cFJDfVqUqNPHmyJ0DUqyM;Specific > Cloud;https://www.linkedin.com/company/atmosera/about/;-;dba;atmosera;1.0;Lever;https://www.linkedin.com/jobs/view/4432820268/;https://www.linkedin.com/jobs/view/4432820268/;Remote;Engenharia Geral;26/06/2026;;;;;;América Latina
2;BuscarVagas - Empregos Brasil;DBA SQL / Server – Porto Alegre – RS;Porto Alegre (RS);23/06 16:00;https://www.linkedin.com/jobs/view/4432206253/;https://media.licdn.com/dms/image/v2/D4D0BAQGegAuLcKhWMg/img-crop_100/B4DZrc3ndQIgAM-/0/1764642161116?e=1784160000&v=beta&t=K9-9lpY0NeSOZN42EGrMMjVE5USO4Ro_xSF-BzcMvV4;-;https://www.linkedin.com/company/buscarvagas-empregos-brasil/about/;Energia e Combustíveis;dba;buscarvagas - empregos brasil;2.0;Vagas.com;https://www.linkedin.com/jobs/view/4432206253/;https://www.linkedin.com/jobs/view/4432206253/;On-site;-;26/06/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
3;EY;DBA Oracle PeopleSoft - Performance, RAC e Troubleshooting;Belo Horizonte (MG);21/06 16:00;https://www.linkedin.com/jobs/view/4392741588/;https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1784160000&v=beta&t=n2DdTzIADi0AT0t79Dpj5DBr3zIdE_xmY4jSjHz1i3o;People;https://www.linkedin.com/company/ey/about/;Software e Serviços de TI;dba;ey;1.0;careers.ey.com;https://www.linkedin.com/jobs/view/4392741588/;https://www.linkedin.com/jobs/view/4392741588/;On-site;-;26/06/2026;Belo Horizonte;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
4;EY;DBA Oracle PeopleSoft - Performance, RAC e Troubleshooting;Blumenau (SC);21/06 16:00;https://www.linkedin.com/jobs/view/2148452171/;https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1784160000&v=beta&t=n2DdTzIADi0AT0t79Dpj5DBr3zIdE_xmY4jSjHz1i3o;People;https://www.linkedin.com/company/ey/about/;Software e Serviços de TI;dba;ey;1.0;careers.ey.com;https://www.linkedin.com/jobs/view/2148452171/;https://www.linkedin.com/jobs/view/2148452171/;On-site;-;26/06/2026;Blumenau;Santa Catarina;SC;Região Sul;Brasil;América do Sul
5;EY;DBA Oracle PeopleSoft - Performance, RAC e Troubleshooting;Brasília (DF);22/06 16:00;https://www.linkedin.com/jobs/view/4392745522/;https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1784160000&v=beta&t=n2DdTzIADi0AT0t79Dpj5DBr3zIdE_xmY4jSjHz1i3o;People;https://www.linkedin.com/company/ey/about/;Software e Serviços de TI;dba;ey;1.0;careers.ey.com;https://www.linkedin.com/jobs/view/4392745522/;https://www.linkedin.com/jobs/view/4392745522/;On-site;-;26/06/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul
6;EY;DBA Oracle PeopleSoft - Performance, RAC e Troubleshooting;Campinas (SP);23/06 16:00;https://www.linkedin.com/jobs/view/4418787844/;https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1784160000&v=beta&t=n2DdTzIADi0AT0t79Dpj5DBr3zIdE_xmY4jSjHz1i3o;People;https://www.linkedin.com/company/ey/about/;Software e Serviços de TI;dba;ey;1.0;careers.ey.com;https://www.linkedin.com/jobs/view/4418787844/;https://www.linkedin.com/jobs/view/4418787844/;On-site;-;26/06/2026;Campinas;São Paulo;SP;Região Sudeste;Brasil;América do Sul
7;EY;DBA Oracle PeopleSoft - Performance, RAC e Troubleshooting;Curitiba (PR);21/06 16:00;https://www.linkedin.com/jobs/view/4392743640/;https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1784160000&v=beta&t=n2DdTzIADi0AT0t79Dpj5DBr3zIdE_xmY4jSjHz1i3o;People;https://www.linkedin.com/company/ey/about/;Software e Serviços de TI;dba;ey;1.0;careers.ey.com;https://www.linkedin.com/jobs/view/4392743640/;https://www.linkedin.com/jobs/view/4392743640/;On-site;-;26/06/2026;Curitiba;Paraná;PR;Região Sul;Brasil;América do Sul
8;EY;DBA Oracle PeopleSoft - Performance, RAC e Troubleshooting;Fortaleza (CE);21/06 16:00;https://www.linkedin.com/jobs/view/4392744540/;https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1784160000&v=beta&t=n2DdTzIADi0AT0t79Dpj5DBr3zIdE_xmY4jSjHz1i3o;People;https://www.linkedin.com/company/ey/about/;Software e Serviços de TI;dba;ey;1.0;careers.ey.com;https://www.linkedin.com/jobs/view/4392744540/;https://www.linkedin.com/jobs/view/4392744540/;On-site;-;26/06/2026;Fortaleza;Ceará;CE;Região Nordeste;Brasil;América do Sul
9;EY;DBA Oracle PeopleSoft - Performance, RAC e Troubleshooting;Goiânia (GO);22/06 16:00;https://www.linkedin.com/jobs/view/4392747538/;https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1784160000&v=beta&t=n2DdTzIADi0AT0t79Dpj5DBr3zIdE_xmY4jSjHz1i3o;People;https://www.linkedin.com/company/ey/about/;Software e Serviços de TI;dba;ey;1.0;careers.ey.com;https://www.linkedin.com/jobs/view/4392747538/;https://www.linkedin.com/jobs/view/4392747538/;On-site;-;26/06/2026;Goiânia;Goiás;GO;Região Centro-Oeste;Brasil;América do Sul
10;EY;DBA Oracle PeopleSoft - Performance, RAC e Troubleshooting;Grande Ribeirão Preto;23/06 16:00;https://www.linkedin.com/jobs/view/4418792828/;https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1784160000&v=beta&t=n2DdTzIADi0AT0t79Dpj5DBr3zIdE_xmY4jSjHz1i3o;People;https://www.linkedin.com/company/ey/about/;Software e Serviços de TI;dba;ey;1.0;careers.ey.com;https://www.linkedin.com/jobs/view/4418792828/;https://www.linkedin.com/jobs/view/4418792828/;On-site;-;26/06/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
11;EY;DBA Oracle PeopleSoft - Performance, RAC e Troubleshooting;Porto Alegre (RS);20/06 16:00;https://www.linkedin.com/jobs/view/2148452168/;https://media.licdn.com/dms/image/v2/C510BAQGpRhkpxp5A9A/company-logo_100_100/company-logo_100_100/0/1630570672166/ernstandyoung_logo?e=1784160000&v=beta&t=n2DdTzIADi0AT0t79Dpj5DBr3zIdE_xmY4jSjHz1i3o;People;https://www.linkedin.com/company/ey/about/;Software e Serviços de TI;dba;ey;1.0;careers.ey.com;https://www.linkedin.com/jobs/view/2148452168/;https://www.linkedin.com/jobs/view/2148452168/;On-site;-;26/06/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
