Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;4DF Connect;Desenvolvedor BACKEND Sênior;São Paulo (SP);13/07 21:00;https://www.linkedin.com/jobs/view/4440337981/;https://media.licdn.com/dms/image/v2/D4E0BAQHgznwIT2t3IA/company-logo_100_100/B4EZgUICjYGcAU-/0/1752684309117/4dfconnect_logo?e=1785369600&v=beta&t=IiHoKQerxCoGc4r0RFL7rmMD0y9GSeMPxsl6WoBrnR8;-;https://www.linkedin.com/company/4df-connect/about/;-;backend OR java OR (spring AND boot) OR python OR django OR go OR golang OR php OR laravel OR ruby OR (ruby AND rails) OR c++ OR c# OR rust OR scala OR julia OR elixir OR node.js OR (asp.net AND core);4df connect;1;;https://www.linkedin.com/jobs/view/4440337981/;https://www.linkedin.com/jobs/view/4440337981/;Hybrid;Senior, Backend;14/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
2;4DF Connect;Desenvolvedor(a) Fullstack Go + Angular Sênior;São Paulo (SP);13/07 21:00;https://www.linkedin.com/jobs/view/4440358183/;https://media.licdn.com/dms/image/v2/D4E0BAQHgznwIT2t3IA/company-logo_100_100/B4EZgUICjYGcAU-/0/1752684309117/4dfconnect_logo?e=1785369600&v=beta&t=IiHoKQerxCoGc4r0RFL7rmMD0y9GSeMPxsl6WoBrnR8;-;https://www.linkedin.com/company/4df-connect/about/;-;backend OR java OR (spring AND boot) OR python OR django OR go OR golang OR php OR laravel OR ruby OR (ruby AND rails) OR c++ OR c# OR rust OR scala OR julia OR elixir OR node.js OR (asp.net AND core);4df connect;1;;https://www.linkedin.com/jobs/view/4440358183/;https://www.linkedin.com/jobs/view/4440358183/;Hybrid;Senior, Full Stack;14/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;7LM;Corretor Autônomo - Catalão/GO;Catalão (GO);13/07 20:00;https://www.linkedin.com/jobs/view/4437635086/;https://media.licdn.com/dms/image/v2/D4D0BAQGbt8MiTgIhMQ/company-logo_100_100/company-logo_100_100/0/1730469424270/7lm_empreendimentos_imobilirios_logo?e=1785369600&v=beta&t=M7BHZULWouo0rntCJjuv6vKPBXFXlISdhEUBRt9hT6c;-;https://www.linkedin.com/company/7lm/about/;-;backend OR java OR (spring AND boot) OR python OR django OR go OR golang OR php OR laravel OR ruby OR (ruby AND rails) OR c++ OR c# OR rust OR scala OR julia OR elixir OR node.js OR (asp.net AND core);7lm;1;;https://www.linkedin.com/jobs/view/4437635086/;https://www.linkedin.com/jobs/view/4437635086/;On-site;-;14/07/2026;Catalão;Goiás;GO;Região Centro-Oeste;Brasil;América do Sul
4;AI/R Invillia;Node.js Back-End Developer Especialista | Remote;Brasil;14/07 13:00;https://www.linkedin.com/jobs/view/4430802374/;https://media.licdn.com/dms/image/v2/D4D0BAQHquDE5kLqdtg/company-logo_100_100/B4DZ2b0kc4HwAQ-/0/1776435742980/invillia_logo?e=1785369600&v=beta&t=BaHenGydQEGtqr2iTFcyoV0PyhG_rKVs3sq8U-P0k7U;Advanced > Information Technology;https://www.linkedin.com/company/ai-r-invillia/about/;Inteligência Artificial;backend OR java OR (spring AND boot) OR python OR django OR go OR golang OR php OR laravel OR ruby OR (ruby AND rails) OR c++ OR c# OR rust OR scala OR julia OR elixir OR node.js OR (asp.net AND core);ai/r invillia;1;;https://www.linkedin.com/jobs/view/4430802374/;https://www.linkedin.com/jobs/view/4430802374/;Remote;Specialist, Backend;14/07/2026;;;;;Brasil;América do Sul
5;AI/R Invillia;Node.js Back-End Developer Sênior;Brasil;14/07 12:00;https://www.linkedin.com/jobs/view/4439876192/;https://media.licdn.com/dms/image/v2/D4D0BAQHquDE5kLqdtg/company-logo_100_100/B4DZ2b0kc4HwAQ-/0/1776435742980/invillia_logo?e=1785369600&v=beta&t=BaHenGydQEGtqr2iTFcyoV0PyhG_rKVs3sq8U-P0k7U;Advanced > Information Technology;https://www.linkedin.com/company/ai-r-invillia/about/;Inteligência Artificial;backend OR java OR (spring AND boot) OR python OR django OR go OR golang OR php OR laravel OR ruby OR (ruby AND rails) OR c++ OR c# OR rust OR scala OR julia OR elixir OR node.js OR (asp.net AND core);ai/r invillia;1;;https://www.linkedin.com/jobs/view/4439876192/;https://www.linkedin.com/jobs/view/4439876192/;Remote;Senior, Backend;14/07/2026;;;;;Brasil;América do Sul
6;AI/R Invillia;Node.js Back-End Developer Sênior | Remote;Brasil;14/07 13:00;https://www.linkedin.com/jobs/view/4439877430/;https://media.licdn.com/dms/image/v2/D4D0BAQHquDE5kLqdtg/company-logo_100_100/B4DZ2b0kc4HwAQ-/0/1776435742980/invillia_logo?e=1785369600&v=beta&t=BaHenGydQEGtqr2iTFcyoV0PyhG_rKVs3sq8U-P0k7U;Advanced > Information Technology;https://www.linkedin.com/company/ai-r-invillia/about/;Inteligência Artificial;backend OR java OR (spring AND boot) OR python OR django OR go OR golang OR php OR laravel OR ruby OR (ruby AND rails) OR c++ OR c# OR rust OR scala OR julia OR elixir OR node.js OR (asp.net AND core);ai/r invillia;1;;https://www.linkedin.com/jobs/view/4439877430/;https://www.linkedin.com/jobs/view/4439877430/;Remote;Senior, Backend;14/07/2026;;;;;Brasil;América do Sul
7;Accenture Brasil;Engenheiro(a) de Software - Backend (Inglês Avançado);São Paulo (SP);14/07 09:00;https://www.linkedin.com/jobs/view/4430831121/;https://media.licdn.com/dms/image/v2/D4D0BAQFxYk90aqWMqA/company-logo_100_100/company-logo_100_100/0/1727873248436/accenturebrasil_logo?e=1785369600&v=beta&t=NUFR9CkekjScWwOHPv1MAeip1cUur-O_YrBsKvAksqA;-;https://www.linkedin.com/company/accenture-brasil/about/;Software e Serviços de TI;backend OR java OR (spring AND boot) OR python OR django OR go OR golang OR php OR laravel OR ruby OR (ruby AND rails) OR c++ OR c# OR rust OR scala OR julia OR elixir OR node.js OR (asp.net AND core);accenture brasil;1;;https://www.linkedin.com/jobs/view/4430831121/;https://www.linkedin.com/jobs/view/4430831121/;Remote;Inglês Fluente/Avançado, TI/Tech, Backend;14/07/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
8;Adama Brasil;Gerente Regional de Vendas - Goiânia/GO;Goiânia (GO);14/07 08:00;https://www.linkedin.com/jobs/view/4437672560/;https://media.licdn.com/dms/image/v2/D4D0BAQFi7YNOARoH5A/company-logo_100_100/B4DZ5feda5J4AM-/0/1779718281194/adama_brasil_logo?e=1785369600&v=beta&t=iv_HcgT96oQHiVdLQDartbljDCIPN_e5Aat_3Mj6W-s;Middle > Manager;https://www.linkedin.com/company/adama-brasil/about/;Vendas e Suporte;backend OR java OR (spring AND boot) OR python OR django OR go OR golang OR php OR laravel OR ruby OR (ruby AND rails) OR c++ OR c# OR rust OR scala OR julia OR elixir OR node.js OR (asp.net AND core);adama brasil;1;;https://www.linkedin.com/jobs/view/4437672560/;https://www.linkedin.com/jobs/view/4437672560/;On-site;Mid, Liderança/Gerência, Vendas / Comercial;14/07/2026;Goiânia;Goiás;GO;Região Centro-Oeste;Brasil;América do Sul
9;Adama Brasil;Representante Técnico(a) de Vendas Pleno (Cana) - Goiânia/GO;Goiânia (GO);14/07 08:00;https://www.linkedin.com/jobs/view/4437671584/;https://media.licdn.com/dms/image/v2/D4D0BAQFi7YNOARoH5A/company-logo_100_100/B4DZ5feda5J4AM-/0/1779718281194/adama_brasil_logo?e=1785369600&v=beta&t=iv_HcgT96oQHiVdLQDartbljDCIPN_e5Aat_3Mj6W-s;-;https://www.linkedin.com/company/adama-brasil/about/;Vendas e Suporte;backend OR java OR (spring AND boot) OR python OR django OR go OR golang OR php OR laravel OR ruby OR (ruby AND rails) OR c++ OR c# OR rust OR scala OR julia OR elixir OR node.js OR (asp.net AND core);adama brasil;1;;https://www.linkedin.com/jobs/view/4437671584/;https://www.linkedin.com/jobs/view/4437671584/;On-site;Mid, Vendas / Comercial;14/07/2026;Goiânia;Goiás;GO;Região Centro-Oeste;Brasil;América do Sul
10;AgileEngine;Lead Backend Engineer ID76299;Belo Horizonte (MG);14/07 04:00;https://www.linkedin.com/jobs/view/4439868944/;https://media.licdn.com/dms/image/v2/D4D0BAQEV7XPrwqjYLg/company-logo_100_100/company-logo_100_100/0/1693840967446/agileengine_logo?e=1785369600&v=beta&t=7Iw1bj3GUqxtr-KMd8GAMF3EltgVw3IKy4arKV5rQe0;Middle > Manager;https://www.linkedin.com/company/agileengine/about/;Transporte e Mobilidade;backend OR java OR (spring AND boot) OR python OR django OR go OR golang OR php OR laravel OR ruby OR (ruby AND rails) OR c++ OR c# OR rust OR scala OR julia OR elixir OR node.js OR (asp.net AND core);agileengine;1;;https://www.linkedin.com/jobs/view/4439868944/;https://www.linkedin.com/jobs/view/4439868944/;Remote;Mid, Liderança/Gerência, Backend, Engenharia Geral;14/07/2026;Belo Horizonte;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
