Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;.add;Desenvolvedor FullStack .NET Sênior | Angular;Brasil;11/09 11:00;https://www.linkedin.com/jobs/view/4464862987/;https://media.licdn.com/dms/image/v2/D4D0BAQHJcNlb8h-Ahg/company-logo_100_100/company-logo_100_100/0/1704196093304/somosadd_logo?e=1790812800&v=beta&t=qzz1TJvKc9YkS4T0phIYKvFoPnD1nhvDijzTtqn3HJc;-;https://www.linkedin.com/company/add/about/;-;frontend OR javascript OR typescript OR html OR css OR react OR angular OR vue OR next.js OR wordpress OR full stack;.add;1;;https://www.linkedin.com/jobs/view/4464862987/;https://www.linkedin.com/jobs/view/4464862987/;Remote;Senior, Full Stack;11/09/2026;;;;;Brasil;América do Sul
2;.add;Desenvolvedor .Net | Angular Sênior;RJ;11/09 10:00;https://www.linkedin.com/jobs/view/4464871909/;https://media.licdn.com/dms/image/v2/D4D0BAQHJcNlb8h-Ahg/company-logo_100_100/company-logo_100_100/0/1704196093304/somosadd_logo?e=1790812800&v=beta&t=qzz1TJvKc9YkS4T0phIYKvFoPnD1nhvDijzTtqn3HJc;-;https://www.linkedin.com/company/add/about/;-;frontend OR javascript OR typescript OR html OR css OR react OR angular OR vue OR next.js OR wordpress OR full stack;.add;1;;https://www.linkedin.com/jobs/view/4464871909/;https://www.linkedin.com/jobs/view/4464871909/;Hybrid;Senior;11/09/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul
3;4DF Connect;Desenvolvedor(a) Full Stack Sênior;Brasil;10/09 21:00;https://www.linkedin.com/jobs/view/4465890830/;https://media.licdn.com/dms/image/v2/D4E0BAQHgznwIT2t3IA/company-logo_100_100/B4EZgUICjYGcAU-/0/1752684309117/4dfconnect_logo?e=1790812800&v=beta&t=pmYNhtibA9BcyuUVtI--zzy8c3lRIzxw0d9jh8XiWLY;-;https://www.linkedin.com/company/4df-connect/about/;-;frontend OR javascript OR typescript OR html OR css OR react OR angular OR vue OR next.js OR wordpress OR full stack;4df connect;1;;https://www.linkedin.com/jobs/view/4465890830/;https://www.linkedin.com/jobs/view/4465890830/;Remote;Senior, Full Stack;11/09/2026;;;;;Brasil;América do Sul
4;4DF Connect;Fullstack Angular Java Azure;Brasil;11/09 14:00;https://www.linkedin.com/jobs/view/4466358316/;https://media.licdn.com/dms/image/v2/D4E0BAQHgznwIT2t3IA/company-logo_100_100/B4EZgUICjYGcAU-/0/1752684309117/4dfconnect_logo?e=1790812800&v=beta&t=pmYNhtibA9BcyuUVtI--zzy8c3lRIzxw0d9jh8XiWLY;-;https://www.linkedin.com/company/4df-connect/about/;-;frontend OR javascript OR typescript OR html OR css OR react OR angular OR vue OR next.js OR wordpress OR full stack;4df connect;1;;https://www.linkedin.com/jobs/view/4466358316/;https://www.linkedin.com/jobs/view/4466358316/;Remote;Cloud (AWS/GCP/Azure), Full Stack;11/09/2026;;;;;Brasil;América do Sul
5;4DF Connect;Desenvolvedor Full Stack PHP Pleno;Porto Alegre (RS);10/09 21:00;https://www.linkedin.com/jobs/view/4465875990/;https://media.licdn.com/dms/image/v2/D4E0BAQHgznwIT2t3IA/company-logo_100_100/B4EZgUICjYGcAU-/0/1752684309117/4dfconnect_logo?e=1790812800&v=beta&t=pmYNhtibA9BcyuUVtI--zzy8c3lRIzxw0d9jh8XiWLY;-;https://www.linkedin.com/company/4df-connect/about/;-;frontend OR javascript OR typescript OR html OR css OR react OR angular OR vue OR next.js OR wordpress OR full stack;4df connect;1;;https://www.linkedin.com/jobs/view/4465875990/;https://www.linkedin.com/jobs/view/4465875990/;On-site;Mid, Full Stack;11/09/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
6;AI/R;Tech Lead Mobile | React Native & Java Sênior | Híbrido (SP);Agudos (SP);11/09 12:00;https://www.linkedin.com/jobs/view/4466309769/;https://media.licdn.com/dms/image/v2/D4D0BAQE25m3eaP3M7w/company-logo_100_100/B4DZ2cjk2BHsAQ-/0/1776448065324/airevolutioncompany_logo?e=1790812800&v=beta&t=wshLYYcA9p6vZEnuY_e9TugsnJDUZPnHwdMLDgPEck8;Middle > Manager;https://www.linkedin.com/company/ai-r/about/;Inteligência Artificial;frontend OR javascript OR typescript OR html OR css OR react OR angular OR vue OR next.js OR wordpress OR full stack;ai/r;1;;https://www.linkedin.com/jobs/view/4466309769/;https://www.linkedin.com/jobs/view/4466309769/;Hybrid;Senior, Mid, Liderança/Gerência, TI/Tech;11/09/2026;Agudos;São Paulo;SP;Região Sudeste;Brasil;América do Sul
7;AMcom Sistemas de Informação;Pessoa Desenvolvedora .NET e React Pleno;Brasil;10/09 21:00;https://www.linkedin.com/jobs/view/4464865692/;https://media.licdn.com/dms/image/v2/D4D0BAQHb6tHzUvJdDQ/company-logo_100_100/company-logo_100_100/0/1697737715510/amcom_logo?e=1790812800&v=beta&t=wxEPKxbKs3AMA4XV3cFa9yu9TyjF1UA0VC2IoiMO44s;-;https://www.linkedin.com/company/amcom-sistemas-de-informa-o/about/;Software e Serviços de TI;frontend OR javascript OR typescript OR html OR css OR react OR angular OR vue OR next.js OR wordpress OR full stack;amcom sistemas de informação;1;;https://www.linkedin.com/jobs/view/4464865692/;https://www.linkedin.com/jobs/view/4464865692/;Remote;PCD / Afirmativa, Mid;11/09/2026;;;;;Brasil;América do Sul
8;Addvisor Group;Desenvolvedor Full Stack Sênior;Barueri (SP);10/09 22:00;https://www.linkedin.com/jobs/view/4464813616/;https://media.licdn.com/dms/image/v2/C560BAQERrO4FKqw5Mg/company-logo_100_100/company-logo_100_100/0/1631314677308?e=1790812800&v=beta&t=N3PIbZzqyyBuKfM9Bc_OaTXjwkKOLtWpCVNiKoom14c;-;https://www.linkedin.com/company/addvisor-group/about/;-;frontend OR javascript OR typescript OR html OR css OR react OR angular OR vue OR next.js OR wordpress OR full stack;addvisor group;1;;https://www.linkedin.com/jobs/view/4464813616/;https://www.linkedin.com/jobs/view/4464813616/;Hybrid;Senior, Full Stack;11/09/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
9;Agenda Assessoria;Desenvolvedor(a) Júnior (NestJS, Vue.js e SQL Server) - 153541;Cuiabá (MT);10/09 20:00;https://www.linkedin.com/jobs/view/4463934222/;https://media.licdn.com/dms/image/v2/D560BAQH5mo2PtFeC-Q/company-logo_100_100/B56Z_sGqcRG4AM-/0/1786372597811/agendaassessoria_logo?e=1790812800&v=beta&t=Ffozznr81RX2lNHu_9a957zui9uPw8puNvR5qJYxnvE;-;https://www.linkedin.com/company/agenda-assessoria/about/;Consultoria e Assessoria;frontend OR javascript OR typescript OR html OR css OR react OR angular OR vue OR next.js OR wordpress OR full stack;agenda assessoria;1;;https://www.linkedin.com/jobs/view/4463934222/;https://www.linkedin.com/jobs/view/4463934222/;On-site;Junior;11/09/2026;;Mato Grosso;MT;Região Centro-Oeste;Brasil;América do Sul
10;AgileEngine;Full Stack Engineer ID83016;Belo Horizonte (MG);11/09 04:00;https://www.linkedin.com/jobs/view/4464896009/;https://media.licdn.com/dms/image/v2/D4D0BAQEV7XPrwqjYLg/company-logo_100_100/company-logo_100_100/0/1693840967446/agileengine_logo?e=1790812800&v=beta&t=kiREkjdmK5cnqufohQ09W-5t_hSgOdCSiOsJAjALy64;Advanced > Information Technology;https://www.linkedin.com/company/agileengine/about/;-;frontend OR javascript OR typescript OR html OR css OR react OR angular OR vue OR next.js OR wordpress OR full stack;agileengine;1;;https://www.linkedin.com/jobs/view/4464896009/;https://www.linkedin.com/jobs/view/4464896009/;Remote;Full Stack, Engenharia Geral;11/09/2026;;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
