Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;4DF Connect;Designer UX/UI Aplicativo Mobile;São Paulo, SP;13/08 03:00;https://www.linkedin.com/jobs/view/4453649618/;https://media.licdn.com/dms/image/v2/D4E0BAQHgznwIT2t3IA/company-logo_100_100/B4EZgUICjYGcAU-/0/1752684309117/4dfconnect_logo?e=1788393600&v=beta&t=ZLvQpHFN1bl-OL-xuW7CCYaNqNwjph_8sSPdaE3I2M0;Produtos > Customer Experience;https://www.linkedin.com/company/4df-connect/about/;Software e Serviços de TI;android OR ios OR kotlin OR flutter OR swiftui;4df connect;1;;https://www.linkedin.com/jobs/view/4453649618/;https://www.linkedin.com/jobs/view/4453649618/;Hybrid;-;13/08/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
2;BRQ Digital Solutions;Desenvolvedor - Flutter SR;SP;13/08 18:00;https://www.linkedin.com/jobs/view/4450839414/;https://media.licdn.com/dms/image/v2/D4D0BAQHsHMIGkFifsw/company-logo_100_100/B4DZwerWdfIoAQ-/0/1770041207049/brq_logo?e=1788393600&v=beta&t=id-PUdXi5B2ydvzCWcgdCaPnv-rGB51aKv3Bbg-nwRQ;-;https://www.linkedin.com/company/brq-digital-solutions/about/;Software e Serviços de TI;android OR ios OR kotlin OR flutter OR swiftui;brq digital solutions;1;;https://www.linkedin.com/jobs/view/4450839414/;https://www.linkedin.com/jobs/view/4450839414/;Hybrid;Senior;13/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;BairesDev;Engenheiro React Native - Trabalho Remoto;Brasília, DF;13/08 15:00;https://www.linkedin.com/jobs/view/4453217394/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1788393600&v=beta&t=6wniX0AEtLFVXfaIkyBCkhHM8agRCPrRsiiD4U9orAw;-;https://www.linkedin.com/company/bairesdev/about/;Software e Serviços de TI;android OR ios OR kotlin OR flutter OR swiftui;bairesdev;1;;https://www.linkedin.com/jobs/view/4453217394/;https://www.linkedin.com/jobs/view/4453217394/;Remote;-;13/08/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul
4;BairesDev;Desenvolvedor React Native - Trabalho Remoto;Curitiba, PR;13/08 15:00;https://www.linkedin.com/jobs/view/4453219358/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1788393600&v=beta&t=6wniX0AEtLFVXfaIkyBCkhHM8agRCPrRsiiD4U9orAw;-;https://www.linkedin.com/company/bairesdev/about/;Software e Serviços de TI;android OR ios OR kotlin OR flutter OR swiftui;bairesdev;1;;https://www.linkedin.com/jobs/view/4453219358/;https://www.linkedin.com/jobs/view/4453219358/;Remote;-;13/08/2026;;Paraná;PR;Região Sul;Brasil;América do Sul
5;BairesDev;Desenvolvedor React Native - Trabalho Remoto;Fortaleza, CE;13/08 15:00;https://www.linkedin.com/jobs/view/4453228245/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1788393600&v=beta&t=6wniX0AEtLFVXfaIkyBCkhHM8agRCPrRsiiD4U9orAw;-;https://www.linkedin.com/company/bairesdev/about/;Software e Serviços de TI;android OR ios OR kotlin OR flutter OR swiftui;bairesdev;1;;https://www.linkedin.com/jobs/view/4453228245/;https://www.linkedin.com/jobs/view/4453228245/;Remote;-;13/08/2026;Fortaleza;Ceará;CE;Região Nordeste;Brasil;América do Sul
6;BairesDev;Engenheiro React Native - Trabalho Remoto;SP;13/08 15:00;https://www.linkedin.com/jobs/view/4453230249/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1788393600&v=beta&t=6wniX0AEtLFVXfaIkyBCkhHM8agRCPrRsiiD4U9orAw;-;https://www.linkedin.com/company/bairesdev/about/;Software e Serviços de TI;android OR ios OR kotlin OR flutter OR swiftui;bairesdev;1;;https://www.linkedin.com/jobs/view/4453230249/;https://www.linkedin.com/jobs/view/4453230249/;Remote;-;13/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
7;CI&T;Master Developer, AI Engineer (Mobile Android+iOS + backend Java);Brasil;13/08 18:00;https://www.linkedin.com/jobs/view/4454090985/;https://media.licdn.com/dms/image/v2/D4E0BAQHeZyGQWQJb7g/company-logo_100_100/B4EZ89lXBZJEAI-/0/1783444632002/ciandt_logo?e=1788393600&v=beta&t=W3TL5onRLuu1Mcmv6tV7uBh_bDsdKYQxEjjPuR6AhHY;Advanced > Information Technology;https://www.linkedin.com/company/ci-t/about/;Inteligência Artificial;android OR ios OR kotlin OR flutter OR swiftui;ci&t;1;;https://www.linkedin.com/jobs/view/4454090985/;https://www.linkedin.com/jobs/view/4454090985/;Remote;Inteligência Artificial, Backend, Engenharia Geral;13/08/2026;;;;;Brasil;América do Sul
8;Cooper Card Administradora de Cartões Ltda;ANALISTA PROGRAMADOR PL II;Maringá, PR;13/08 14:00;https://www.linkedin.com/jobs/view/4454074024/;https://media.licdn.com/dms/image/v2/D4D0BAQERzyQbzwrXng/company-logo_100_100/company-logo_100_100/0/1735564673532/coopercardbr_logo?e=1788393600&v=beta&t=6800w4H9XOry31IhlYFHMAVy52kxQl2L_LUIv4duOR8;Advanced > Specialist;https://www.linkedin.com/company/cooper-card-administradora-de-cart-es-ltda/about/;-;android OR ios OR kotlin OR flutter OR swiftui;cooper card administradora de cartões ltda;1;;https://www.linkedin.com/jobs/view/4454074024/;https://www.linkedin.com/jobs/view/4454074024/;On-site;Mid, Associate;13/08/2026;Maringá;Paraná;PR;Região Sul;Brasil;América do Sul
9;DB;Dev Frontend/Mobile Pl/Sr | Open Finance - Híbrido em Porto Alegre | RS;Grande Porto Alegre (RS);13/08 08:00;https://www.linkedin.com/jobs/view/4450496159/;https://media.licdn.com/dms/image/v2/C4D0BAQEapSU_88x73Q/company-logo_100_100/company-logo_100_100/0/1642519070298/dbserver_logo?e=1788393600&v=beta&t=58qX9WuVZ7TvJ6iE0GIP4fvjIHnfNKYWS__vLazHs18;Advanced > Information Technology;https://www.linkedin.com/company/db/about/;Serviços Financeiros;android OR ios OR kotlin OR flutter OR swiftui;db;1;;https://www.linkedin.com/jobs/view/4450496159/;https://www.linkedin.com/jobs/view/4450496159/;Hybrid;Senior, Mid, Frontend;13/08/2026;;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul
10;Empresa Confidencial;Engenheiro De Software Sênior - Trabalhe de casa;Brasil;13/08 08:00;https://www.linkedin.com/jobs/view/4454010542/;https://media.licdn.com/dms/image/v2/D4E0BAQHmjZj6KijwKA/company-logo_100_100/company-logo_100_100/0/1689886484552?e=1788393600&v=beta&t=2aTEJAlUFrxqr4ll-O6aa_OMtPEOqBbXys1m-ex-wLU;-;https://www.linkedin.com/company/empresa-confidencial/about/;Software e Serviços de TI;android OR ios OR kotlin OR flutter OR swiftui;empresa confidencial;1;;https://www.linkedin.com/jobs/view/4454010542/;https://www.linkedin.com/jobs/view/4454010542/;Remote;Senior, TI/Tech;13/08/2026;;;;;Brasil;América do Sul
