Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;4DF Connect;Analista QA Funcional;Brasil;26/08 15:00;https://www.linkedin.com/jobs/view/4459352226/;https://media.licdn.com/dms/image/v2/D4E0BAQHgznwIT2t3IA/company-logo_100_100/B4EZgUICjYGcAU-/0/1752684309117/4dfconnect_logo?e=1789603200&v=beta&t=ekZaMH2T675zkuyxkJjTmCyCusoYLqviaQ7KtbYRG_0;Advanced > Specialist;https://www.linkedin.com/company/4df-connect/about/;-;qa OR quality assurance OR leetcode;4df connect;1;;https://www.linkedin.com/jobs/view/4459352226/;https://www.linkedin.com/jobs/view/4459352226/;Remote;Associate, Testes / QA;27/08/2026;;;;;Brasil;América do Sul
2;4DF Connect;Engenheiro QA Automatizador- AI;Brasil;26/08 15:00;https://www.linkedin.com/jobs/view/4459356186/;https://media.licdn.com/dms/image/v2/D4E0BAQHgznwIT2t3IA/company-logo_100_100/B4EZgUICjYGcAU-/0/1752684309117/4dfconnect_logo?e=1789603200&v=beta&t=ekZaMH2T675zkuyxkJjTmCyCusoYLqviaQ7KtbYRG_0;-;https://www.linkedin.com/company/4df-connect/about/;Inteligência Artificial;qa OR quality assurance OR leetcode;4df connect;1;;https://www.linkedin.com/jobs/view/4459356186/;https://www.linkedin.com/jobs/view/4459356186/;Remote;Inteligência Artificial, Testes / QA;27/08/2026;;;;;Brasil;América do Sul
3;Bunge;Software Quality Assurance Manager;São Paulo (SP);26/08 10:00;https://www.linkedin.com/jobs/view/4440097612/;https://media.licdn.com/dms/image/v2/D560BAQFJQ0GVco3UXw/company-logo_100_100/company-logo_100_100/0/1720012233520/bunge_logo?e=1789603200&v=beta&t=REthqTGudV_eaYZMXuzcXexCowukcQJrBabr6UGKcXQ;Middle > Manager;https://www.linkedin.com/company/bunge/about/;Software e Serviços de TI;qa OR quality assurance OR leetcode;bunge;1;;https://www.linkedin.com/jobs/view/4440097612/;https://www.linkedin.com/jobs/view/4440097612/;On-site;Liderança/Gerência, TI/Tech, Testes / QA;27/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;Code Group;QA Automação Pleno (Java/Selenium);SP;26/08 12:00;https://www.linkedin.com/jobs/view/4457274030/;https://media.licdn.com/dms/image/v2/C4E0BAQG5vstBVawMrg/company-logo_100_100/company-logo_100_100/0/1630621866889?e=1789603200&v=beta&t=0r_3j_5fPCXwW5MpISQbBBoBCOLYyVLBbC4zI5xjiLc;Advanced > Process & Automation;https://www.linkedin.com/company/code-group/about/;-;qa OR quality assurance OR leetcode;code group;1;;https://www.linkedin.com/jobs/view/4457274030/;https://www.linkedin.com/jobs/view/4457274030/;Hybrid;Mid, Testes / QA;27/08/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
5;Confidential;Quality Assurance Manager;Curitiba (PR);27/08 07:00;https://www.linkedin.com/jobs/view/4457755816/;https://media.licdn.com/dms/image/v2/D4D0BAQGxhBuvY4JuXw/img-crop_100/B4DZXn.1neH4AM-/0/1743353764858?e=1789603200&v=beta&t=u6GTugEQN9lepUPiUpNY2irKowI7rJR0kNqDc-kwzJQ;Middle > Manager;https://www.linkedin.com/company/confidential/about/;Software e Serviços de TI;qa OR quality assurance OR leetcode;confidential;1;;https://www.linkedin.com/jobs/view/4457755816/;https://www.linkedin.com/jobs/view/4457755816/;On-site;Liderança/Gerência, Testes / QA;27/08/2026;;Paraná;PR;Região Sul;Brasil;América do Sul
6;Core Code io;QA/QC Engineer (Civil, Electrical & MEP) BR 4;Brasília (DF);26/08 22:00;https://www.linkedin.com/jobs/view/4458330103/;https://media.licdn.com/dms/image/v2/C4E0BAQESbo4t7Cz6kg/company-logo_100_100/company-logo_100_100/0/1680035879375/core_code_io_logo?e=1789603200&v=beta&t=xcxfD0HfyXSIZZWj07CFGCImkrs9C5DldXt6QkKY2O8;Advanced > Information Technology;https://www.linkedin.com/company/core-code-io/about/;-;qa OR quality assurance OR leetcode;core code io;1;;https://www.linkedin.com/jobs/view/4458330103/;https://www.linkedin.com/jobs/view/4458330103/;Remote;Obras/Engenharia Civil, Engenharia Geral, Testes / QA;27/08/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul
7;Core Code io;QA/QC Engineer (Civil, Electrical & MEP) BR 5;Brasília (DF);26/08 22:00;https://www.linkedin.com/jobs/view/4458318840/;https://media.licdn.com/dms/image/v2/C4E0BAQESbo4t7Cz6kg/company-logo_100_100/company-logo_100_100/0/1680035879375/core_code_io_logo?e=1789603200&v=beta&t=xcxfD0HfyXSIZZWj07CFGCImkrs9C5DldXt6QkKY2O8;Advanced > Information Technology;https://www.linkedin.com/company/core-code-io/about/;-;qa OR quality assurance OR leetcode;core code io;1;;https://www.linkedin.com/jobs/view/4458318840/;https://www.linkedin.com/jobs/view/4458318840/;Remote;Obras/Engenharia Civil, Engenharia Geral, Testes / QA;27/08/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul
8;Core Code io;QA/QC Engineer (Civil, Electrical & MEP) BR 6;Brasília (DF);26/08 22:00;https://www.linkedin.com/jobs/view/4458338027/;https://media.licdn.com/dms/image/v2/C4E0BAQESbo4t7Cz6kg/company-logo_100_100/company-logo_100_100/0/1680035879375/core_code_io_logo?e=1789603200&v=beta&t=xcxfD0HfyXSIZZWj07CFGCImkrs9C5DldXt6QkKY2O8;Advanced > Information Technology;https://www.linkedin.com/company/core-code-io/about/;-;qa OR quality assurance OR leetcode;core code io;1;;https://www.linkedin.com/jobs/view/4458338027/;https://www.linkedin.com/jobs/view/4458338027/;Remote;Obras/Engenharia Civil, Engenharia Geral, Testes / QA;27/08/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul
9;Core Code io;Senior QA/QC Engineer (Civil, Structural, Mechanical & Electrical) BR 2;Brasília (DF);26/08 22:00;https://www.linkedin.com/jobs/view/4458321246/;https://media.licdn.com/dms/image/v2/C4E0BAQESbo4t7Cz6kg/company-logo_100_100/company-logo_100_100/0/1680035879375/core_code_io_logo?e=1789603200&v=beta&t=xcxfD0HfyXSIZZWj07CFGCImkrs9C5DldXt6QkKY2O8;Advanced > Information Technology;https://www.linkedin.com/company/core-code-io/about/;-;qa OR quality assurance OR leetcode;core code io;1;;https://www.linkedin.com/jobs/view/4458321246/;https://www.linkedin.com/jobs/view/4458321246/;Remote;Senior, Obras/Engenharia Civil, Engenharia Geral, Testes / QA;27/08/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul
10;Core Code io;QA/QC Engineer (Civil, Electrical & MEP) BR;Campo Belo (MG);26/08 22:00;https://www.linkedin.com/jobs/view/4458319629/;https://media.licdn.com/dms/image/v2/C4E0BAQESbo4t7Cz6kg/company-logo_100_100/company-logo_100_100/0/1680035879375/core_code_io_logo?e=1789603200&v=beta&t=xcxfD0HfyXSIZZWj07CFGCImkrs9C5DldXt6QkKY2O8;Advanced > Information Technology;https://www.linkedin.com/company/core-code-io/about/;-;qa OR quality assurance OR leetcode;core code io;1;;https://www.linkedin.com/jobs/view/4458319629/;https://www.linkedin.com/jobs/view/4458319629/;Remote;Obras/Engenharia Civil, Engenharia Geral, Testes / QA;27/08/2026;Campo Belo;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
