Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Query Parameters;Company_Match;Score;Platform;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;Assaí Atacadista;Operador(a) de Loja - Vendas Canais Digitais (IFOOD) MANGABEIRAS;Maceió (AL);19/06 13:00;https://www.linkedin.com/jobs/view/4428268350/;https://media.licdn.com/dms/image/v2/D4D0BAQGxJbbfmCSbqw/company-logo_100_100/B4DZh65m30GsAQ-/0/1754408579127/assaiatacadista_logo?e=1783555200&v=beta&t=7cSAbTNEqbsVW0BORYeN6HtFtD0W5QmFLx0rD5lCbYk;-;https://www.linkedin.com/company/assa-atacadista/about/;Alimentos e Bebidas;(Azul AND Linhas AND Aéreas AND Brasileiras) OR (DHL AND Supply AND Chain) OR (GOL AND Linhas AND Aéreas) OR iFood OR (Leroy AND Merlin) OR Localiza&Co OR (Lojas AND Renner AND S.A.) OR Magalu OR (Mercado AND Livre AND Brasil);assaí atacadista;3.0;;https://www.linkedin.com/jobs/view/4428268350/;https://www.linkedin.com/jobs/view/4428268350/;On-site;Vendas / Comercial;23/06/2026;Maceió;Alagoas;AL;Região Nordeste;Brasil;América do Sul
2;Cacau Show;GERENTE DE LOJA IFOOD salario 4.500,00 + Premiação;Grande São Paulo (SP) ;22/06 13:00;https://www.linkedin.com/jobs/view/4431654919/;https://media.licdn.com/dms/image/v2/C4D0BAQGx9uY61xp2DA/company-logo_100_100/company-logo_100_100/0/1630512832008/cacau_show_logo?e=1783555200&v=beta&t=m9-UMQCEdlxD6qdobaebxcbNO8xNSU-eB3dCe2ERcxo;Middle > Manager;https://www.linkedin.com/company/cacau-show/about/;Alimentos e Bebidas;(Azul AND Linhas AND Aéreas AND Brasileiras) OR (DHL AND Supply AND Chain) OR (GOL AND Linhas AND Aéreas) OR iFood OR (Leroy AND Merlin) OR Localiza&Co OR (Lojas AND Renner AND S.A.) OR Magalu OR (Mercado AND Livre AND Brasil);cacau show;2.0;Gupy;https://www.linkedin.com/jobs/view/4431654919/;https://www.linkedin.com/jobs/view/4431654919/;On-site;Mid, Liderança/Gerência;23/06/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;Consórcio Magalu;Coordenador Regional de Consórcio - Florianópolis;Florianópolis (SC);23/06 11:00;https://www.linkedin.com/jobs/view/4432282020/;https://media.licdn.com/dms/image/v2/D4D0BAQGs51FIf_gzAA/company-logo_100_100/company-logo_100_100/0/1698069170225/consrcio_magalu_logo?e=1783555200&v=beta&t=D-576sej7Y-AH2djaFZzEHgybk3V9lFXQW4AEEkek34;Middle > Manager;https://www.linkedin.com/company/cons-rcio-magalu/about/;Varejo e E-commerce;(Azul AND Linhas AND Aéreas AND Brasileiras) OR (DHL AND Supply AND Chain) OR (GOL AND Linhas AND Aéreas) OR iFood OR (Leroy AND Merlin) OR Localiza&Co OR (Lojas AND Renner AND S.A.) OR Magalu OR (Mercado AND Livre AND Brasil);consórcio magalu;1.0;;https://www.linkedin.com/jobs/view/4432282020/;https://www.linkedin.com/jobs/view/4432282020/;On-site;Mid, Liderança/Gerência;23/06/2026;Florianópolis;Santa Catarina;SC;Região Sul;Brasil;América do Sul
4;DHL Supply Chain;Coordenador de inventário;Araçatuba (SP);22/06 13:00;https://www.linkedin.com/jobs/view/4432063863/;https://media.licdn.com/dms/image/v2/D4E0BAQGeCmgM_-Fk4g/company-logo_100_100/B4EZ6657KMKQAQ-/0/1781252207536/dhl_supply_chain_logo?e=1783555200&v=beta&t=PP9If_nuimFbGUHm_ji3VoZF-tU-B8jf-9UTSjaGQNM;Middle > Manager;https://www.linkedin.com/company/dhl-supply-chain/about/;Logística e Supply Chain;(Azul AND Linhas AND Aéreas AND Brasileiras) OR (DHL AND Supply AND Chain) OR (GOL AND Linhas AND Aéreas) OR iFood OR (Leroy AND Merlin) OR Localiza&Co OR (Lojas AND Renner AND S.A.) OR Magalu OR (Mercado AND Livre AND Brasil);dhl supply chain;3.0;careers.dhl.com;https://www.linkedin.com/jobs/view/4432063863/;https://www.linkedin.com/jobs/view/4432063863/;On-site;Mid, Liderança/Gerência;23/06/2026;Araçatuba;São Paulo;SP;Região Sudeste;Brasil;América do Sul
5;DHL Supply Chain;AUXILIAR LOGÍSTICO I;Barretos (SP);22/06 13:00;https://www.linkedin.com/jobs/view/4431726294/;https://media.licdn.com/dms/image/v2/D4E0BAQGeCmgM_-Fk4g/company-logo_100_100/B4EZ6657KMKQAQ-/0/1781252207536/dhl_supply_chain_logo?e=1783555200&v=beta&t=PP9If_nuimFbGUHm_ji3VoZF-tU-B8jf-9UTSjaGQNM;-;https://www.linkedin.com/company/dhl-supply-chain/about/;Logística e Supply Chain;(Azul AND Linhas AND Aéreas AND Brasileiras) OR (DHL AND Supply AND Chain) OR (GOL AND Linhas AND Aéreas) OR iFood OR (Leroy AND Merlin) OR Localiza&Co OR (Lojas AND Renner AND S.A.) OR Magalu OR (Mercado AND Livre AND Brasil);dhl supply chain;3.0;careers.dhl.com;https://www.linkedin.com/jobs/view/4431726294/;https://www.linkedin.com/jobs/view/4431726294/;On-site;Associate, Logística/Supply;23/06/2026;Barretos;São Paulo;SP;Região Sudeste;Brasil;América do Sul
6;DHL Supply Chain;Copiar de COORDENADOR DE PROCESSOS;Barueri (SP);18/06 13:00;https://www.linkedin.com/jobs/view/4429133023/;https://media.licdn.com/dms/image/v2/D4E0BAQGeCmgM_-Fk4g/company-logo_100_100/B4EZ6657KMKQAQ-/0/1781252207536/dhl_supply_chain_logo?e=1783555200&v=beta&t=PP9If_nuimFbGUHm_ji3VoZF-tU-B8jf-9UTSjaGQNM;Middle > Manager;https://www.linkedin.com/company/dhl-supply-chain/about/;Logística e Supply Chain;(Azul AND Linhas AND Aéreas AND Brasileiras) OR (DHL AND Supply AND Chain) OR (GOL AND Linhas AND Aéreas) OR iFood OR (Leroy AND Merlin) OR Localiza&Co OR (Lojas AND Renner AND S.A.) OR Magalu OR (Mercado AND Livre AND Brasil);dhl supply chain;3.0;careers.dhl.com;https://www.linkedin.com/jobs/view/4429133023/;https://www.linkedin.com/jobs/view/4429133023/;On-site;Mid, Liderança/Gerência, Processos/Excelência;23/06/2026;Barueri;São Paulo;SP;Região Sudeste;Brasil;América do Sul
7;DHL Supply Chain;AUXILIAR LOGÍSTICO I;Brasília (DF);17/06 13:00;https://www.linkedin.com/jobs/view/4428102444/;https://media.licdn.com/dms/image/v2/D4E0BAQGeCmgM_-Fk4g/company-logo_100_100/B4EZ6657KMKQAQ-/0/1781252207536/dhl_supply_chain_logo?e=1783555200&v=beta&t=PP9If_nuimFbGUHm_ji3VoZF-tU-B8jf-9UTSjaGQNM;-;https://www.linkedin.com/company/dhl-supply-chain/about/;Logística e Supply Chain;(Azul AND Linhas AND Aéreas AND Brasileiras) OR (DHL AND Supply AND Chain) OR (GOL AND Linhas AND Aéreas) OR iFood OR (Leroy AND Merlin) OR Localiza&Co OR (Lojas AND Renner AND S.A.) OR Magalu OR (Mercado AND Livre AND Brasil);dhl supply chain;3.0;careers.dhl.com;https://www.linkedin.com/jobs/view/4428102444/;https://www.linkedin.com/jobs/view/4428102444/;On-site;Associate, Logística/Supply;23/06/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul
8;DHL Supply Chain;AUXILIAR LOGÍSTICO I;Cajamar (SP);19/06 13:00;https://www.linkedin.com/jobs/view/4430795481/;https://media.licdn.com/dms/image/v2/D4E0BAQGeCmgM_-Fk4g/company-logo_100_100/B4EZ6657KMKQAQ-/0/1781252207536/dhl_supply_chain_logo?e=1783555200&v=beta&t=PP9If_nuimFbGUHm_ji3VoZF-tU-B8jf-9UTSjaGQNM;-;https://www.linkedin.com/company/dhl-supply-chain/about/;Logística e Supply Chain;(Azul AND Linhas AND Aéreas AND Brasileiras) OR (DHL AND Supply AND Chain) OR (GOL AND Linhas AND Aéreas) OR iFood OR (Leroy AND Merlin) OR Localiza&Co OR (Lojas AND Renner AND S.A.) OR Magalu OR (Mercado AND Livre AND Brasil);dhl supply chain;3.0;careers.dhl.com;https://www.linkedin.com/jobs/view/4430795481/;https://www.linkedin.com/jobs/view/4430795481/;On-site;Associate, Logística/Supply;23/06/2026;Cajamar;São Paulo;SP;Região Sudeste;Brasil;América do Sul
9;DHL Supply Chain;Auxiliar Logistico I (PA FORD);Cajamar (SP);22/06 13:00;https://www.linkedin.com/jobs/view/4432062905/;https://media.licdn.com/dms/image/v2/D4E0BAQGeCmgM_-Fk4g/company-logo_100_100/B4EZ6657KMKQAQ-/0/1781252207536/dhl_supply_chain_logo?e=1783555200&v=beta&t=PP9If_nuimFbGUHm_ji3VoZF-tU-B8jf-9UTSjaGQNM;-;https://www.linkedin.com/company/dhl-supply-chain/about/;Logística e Supply Chain;(Azul AND Linhas AND Aéreas AND Brasileiras) OR (DHL AND Supply AND Chain) OR (GOL AND Linhas AND Aéreas) OR iFood OR (Leroy AND Merlin) OR Localiza&Co OR (Lojas AND Renner AND S.A.) OR Magalu OR (Mercado AND Livre AND Brasil);dhl supply chain;3.0;careers.dhl.com;https://www.linkedin.com/jobs/view/4432062905/;https://www.linkedin.com/jobs/view/4432062905/;On-site;Associate;23/06/2026;Cajamar;São Paulo;SP;Região Sudeste;Brasil;América do Sul
10;DHL Supply Chain;COORDENADOR DE OPERAÇÕES;Campina Grande do Sul (PR);20/06 13:00;https://www.linkedin.com/jobs/view/4431118957/;https://media.licdn.com/dms/image/v2/D4E0BAQGeCmgM_-Fk4g/company-logo_100_100/B4EZ6657KMKQAQ-/0/1781252207536/dhl_supply_chain_logo?e=1783555200&v=beta&t=PP9If_nuimFbGUHm_ji3VoZF-tU-B8jf-9UTSjaGQNM;Middle > Manager;https://www.linkedin.com/company/dhl-supply-chain/about/;Logística e Supply Chain;(Azul AND Linhas AND Aéreas AND Brasileiras) OR (DHL AND Supply AND Chain) OR (GOL AND Linhas AND Aéreas) OR iFood OR (Leroy AND Merlin) OR Localiza&Co OR (Lojas AND Renner AND S.A.) OR Magalu OR (Mercado AND Livre AND Brasil);dhl supply chain;3.0;careers.dhl.com;https://www.linkedin.com/jobs/view/4431118957/;https://www.linkedin.com/jobs/view/4431118957/;On-site;Mid, Liderança/Gerência;23/06/2026;Campina Grande do Sul;Paraná;PR;Região Sul;Brasil;América do Sul
